Index;Wert
0;0.311121732
1;0.311121732
2;0.311121732
3;0.311121732
4;0.622243464
5;1.55560875
6;3.7334609
7;5.60019112
8;4.97794771
9;3.4223392
10;2.48897386
11;2.17785215
12;2.48897386
13;2.17785215
14;1.86673045
15;1.86673045
16;2.17785215
17;3.1112175
18;4.35570431
19;4.97794771
20;4.66682625
21;3.7334609
22;2.80009556
23;2.17785215
24;0.311121732
25;0.311121732
26;0.311121732
27;0.311121732
28;0.622243464
29;1.55560875
30;3.7334609
31;5.60019112
32;4.97794771
33;3.4223392
34;2.48897386
35;2.17785215
36;2.48897386
37;2.17785215
38;1.86673045
39;1.86673045
40;2.17785215
41;3.1112175
42;4.35570431
43;4.97794771
44;4.66682625
45;3.7334609
46;2.80009556
47;2.17785215
48;0.473446131
49;0.405810982
50;0.338175833
51;0.338175833
52;0.473446131
53;0.811621964
54;1.69087911
55;3.04358244
56;4.73446131
57;5.74898863
58;5.41081333
59;4.39628553
60;3.71993375
61;3.04358244
62;2.70540667
63;2.70540667
64;3.04358244
65;3.71993375
66;4.39628553
67;4.73446131
68;4.39628553
69;3.71993375
70;2.57013607
71;1.01452744
72;0.577153385
73;0.505009234
74;0.360720843
75;0.360720843
76;0.360720843
77;0.577153385
78;1.08216262
79;2.16432524
80;3.96792936
81;5.77153349
82;6.49297571
83;5.77153349
84;4.68937111
85;3.60720873
86;3.24648786
87;2.88576674
88;3.24648786
89;3.96792936
90;4.68937111
91;5.05009222
92;4.68937111
93;3.75149703
94;2.52504611
95;1.80360436
96;0.311121732
97;0.311121732
98;0.311121732
99;0.311121732
100;0.622243464
101;1.55560875
102;3.7334609
103;5.60019112
104;4.97794771
105;3.4223392
106;2.48897386
107;2.17785215
108;2.48897386
109;2.17785215
110;1.86673045
111;1.86673045
112;2.17785215
113;3.1112175
114;4.35570431
115;4.97794771
116;4.66682625
117;3.7334609
118;2.80009556
119;2.17785215
120;0.311121732
121;0.311121732
122;0.311121732
123;0.311121732
124;0.622243464
125;1.55560875
126;3.7334609
127;5.60019112
128;4.97794771
129;3.4223392
130;2.48897386
131;2.17785215
132;2.48897386
133;2.17785215
134;1.86673045
135;1.86673045
136;2.17785215
137;3.1112175
138;4.35570431
139;4.97794771
140;4.66682625
141;3.7334609
142;2.80009556
143;2.17785215
144;0.311121732
145;0.311121732
146;0.311121732
147;0.311121732
