Index;Wert
0;100
1;96.0871964
2;94.6673431
3;92.1592026
4;91.7953339
5;90.6028595
6;90.0972366
7;90.0614166
8;89.5354233
9;88.3814087
10;88.3680191
11;88.2316895
12;87.502388
13;87.4793854
14;87.3288498
15;87.2901077
16;86.6275101
17;86.5341187
18;86.4398346
19;85.7178497
20;85.6856918
21;85.6636047
22;85.2385101
23;85.2125549
24;84.9959335
25;84.8524628
26;84.8425903
27;84.6084061
28;83.7915115
29;83.6407776
30;83.2870865
31;83.0880508
32;82.847496
33;82.8290253
34;82.8249359
35;82.6307831
36;82.5919724
37;82.4347839
38;82.2547226
39;82.0992126
40;81.9325333
41;81.8781281
42;81.6834259
43;81.5545731
44;81.4717712
45;81.4372635
46;81.0710526
47;80.7925262
48;80.6905594
49;80.6305695
50;80.6074524
51;80.4744186
52;80.3248901
53;80.1957855
54;80.1799622
55;80.1439133
56;80.0324554
57;79.7225189
58;79.7107697
59;79.470314
60;79.4275589
61;79.2222672
62;79.1323776
63;78.9588394
64;78.8804474
65;78.7918091
66;78.7350769
67;78.5202789
68;78.271492
69;78.1864548
70;78.1650162
71;77.9386368
72;77.9103928
73;77.8851852
74;77.79776
75;77.33255
76;77.3027344
77;77.2836685
78;77.1159363
79;77.1106644
80;77.0426178
81;77.0179138
82;76.9758148
83;76.7982712
84;76.7203827
85;76.6945953
86;76.6616669
87;76.4524841
88;76.2340469
89;76.0512772
90;76.0496826
91;76.036087
92;75.8395004
93;75.7967758
94;75.6683273
95;75.4806747
96;75.389267
97;75.3683929
98;75.3543167
99;75.2875137
100;75.1375122
101;74.9924622
102;74.6045837
103;74.5719757
104;74.5315704
105;74.5058212
106;74.4272537
107;74.4027252
108;74.3889313
109;74.3112717
110;74.2637482
111;74.2616501
112;74.2584534
113;74.1323242
114;73.9332428
115;73.7754288
116;73.7302704
117;73.6837234
118;73.6813278
119;73.6579666
120;73.6429596
121;73.5436783
122;73.4759369
123;73.4742126
124;73.3958817
125;73.2439346
126;73.2042007
127;73.0898743
128;72.9649811
129;72.9618912
130;72.9102859
131;72.7831345
132;72.5769806
133;72.4806519
134;72.333107
135;72.3299713
136;72.2051239
137;72.0383835
138;72.0362854
139;71.9522781
140;71.9198685
141;71.623558
142;71.6209641
143;71.6146698
144;71.5921555
145;71.5126877
146;71.4671173
147;71.4540558
148;71.3493576
149;71.3202744
150;71.3091812
151;71.2174759
152;71.1676788
153;71.0998459
154;71.0455704
155;70.9764175
156;70.882515
157;70.850441
158;70.7386093
159;70.6098862
160;70.5661469
161;70.5483322
162;70.4883957
163;70.4317474
164;70.2875977
165;70.2557983
166;70.2482681
167;70.1700592
168;70.0631714
169;70.0112152
170;69.9756775
171;69.9083023
172;69.9037476
173;69.8690872
174;69.8532104
175;69.792366
176;69.7447891
177;69.675293
178;69.6139145
179;69.4342346
180;69.3918304
181;69.3791504
182;69.3506241
183;69.328949
184;69.2541504
185;69.110527
186;69.1000366
187;69.0407181
188;68.9504318
189;68.932663
190;68.9039841
191;68.8781662
192;68.7698441
193;68.6938705
