Groesse;Wert
Lauf.ID_Projekt;1042
Sim.Restwaerme;0
Sim.Reststrom;27.4816914
Sim.bSimulationWP;True
Sim.bSimulationKessel;True
Sim.bSimulationSolarthermie;True
Sim.bSimulationBHKW;False
Sim.bSimulationPV;True
Sim.bSimulationSSP;False
Sim.PufferWP_vorhanden;False
Sim.Speicher_Anzahl;3
Ergebnis.ID_Projekt;1042
Ergebnis.Bezeichner;Simulation Booster-Kette mit Kombi-Speicher
Ergebnis.ID_Klimaregion;1020052
Ergebnis.Sim_Energiebedarf;True
Ergebnis.Sim_Waermepumpe;True
Ergebnis.Sim_Heizkessel;True
Ergebnis.Sim_Solarthermie;True
Ergebnis.Sim_BHKW;False
Ergebnis.Sim_PV;True
Ergebnis.Sim_Stromspeicher;False
Energiebedarf.Waermebedarf_Gesamt;64.31
Energiebedarf.Waermelast_Max;38.6
Energiebedarf.Strombedarf_Gesamt;8
Energiebedarf.Strombedarf_Max;3.72
Energiebedarf.Waermerestbedarf;0
Energiebedarf.Stromrestbedarf;27.48
Energiebedarf.Waermebedarf_Heizung;59.31
Energiebedarf.Waermebedarf_Brauchwasser;5
Energiebedarf.Waermebedarf_Prozess;0
Waermepumpe.Waermebedarf;64.31
Waermepumpe.Restwaermebedarf;15.63
Waermepumpe.Waermeproduktion_WP;52.24
Waermepumpe.Stromverbrauch_WP;19.48
Waermepumpe.Stromverbrauch_Heizstab;0
Waermepumpe.Kapazitaet_Pufferspeicher;80.79
Waermepumpe.Min_Spitzenkesselleistung;0
Waermepumpe.Waermebedarfsdeckung;75.7
Waermepumpe.Vollbenutzungsstunden;2124.68
Waermepumpe.Bivalenzpunkt;
Waermepumpe.Deckung_Heizung;67.93
Waermepumpe.Deckung_Brauchwasser;7.77
Waermepumpe.Deckung_Prozess;0
WaermepumpeModul[0].Modul;CS7800iLW 16
WaermepumpeModul[0].Leistung;15
WaermepumpeModul[0].Waermeproduktion;7.38
WaermepumpeModul[0].Stromverbrauch;2.39
WaermepumpeModul[0].Heizstab;0
WaermepumpeModul[0].Betriebsstunden;430.92
WaermepumpeModul[1].Modul;CS6800iAW MB + AW 10 OR-T
WaermepumpeModul[1].Leistung;11
WaermepumpeModul[1].Waermeproduktion;44.85
WaermepumpeModul[1].Stromverbrauch;17.09
WaermepumpeModul[1].Heizstab;0
WaermepumpeModul[1].Betriebsstunden;3818.45
