Index;Wert
0;10.6877327
1;4.7966795
2;4.7966795
3;5.74356699
4;6.69045448
5;9.53111744
6;11.4248924
7;9.53111744
8;6.69045401
9;6.69045448
10;4.79667902
11;0
12;0
13;0
14;0
15;4.79667902
16;6.69045448
17;9.53111744
18;11.4248924
19;11.4248934
20;9.53111744
21;9.53111744
22;7.63734293
23;7.63734198
24;5.93561268
25;4.95671701
26;4.95671749
27;5.9356122
28;6.91450834
29;9.85119343
30;11.8089838
31;9.85119438
32;6.91450787
33;6.91450834
34;4.95671701
35;0
36;0
37;0
38;0
39;4.95671701
40;6.91450834
41;9.85119343
42;11.8089838
43;11.8089848
44;9.85119343
45;9.85119343
46;7.89340401
47;7.89340305
48;5.45515633
49;4.5563364
50;4.55633688
51;4.5563364
52;4.55633688
53;5.45515585
54;7.25279427
55;9.05043221
56;9.05043221
57;9.05043316
58;7.25279427
59;6.35397482
60;4.5563364
61;4.55633688
62;5.45515585
63;7.25279427
64;10.8480701
65;10.8480701
66;10.8480711
67;9.94925117
68;9.05043221
69;8.15161419
70;7.25279427
71;6.35397482
72;4.5934515
73;0
74;0
75;0
76;0
77;4.5934515
78;6.10385513
79;7.61425829
80;7.61425829
81;7.61425924
82;6.10385466
83;5.34865379
84;0
85;0
86;4.5934515
87;6.10385513
88;9.12466145
89;9.12466145
90;9.1246624
91;8.36946011
92;7.61425829
93;6.85905695
94;6.10385513
95;5.34865284
96;5.36341429
97;4.4798851
98;4.4798851
99;5.36341381
100;6.24694347
101;8.89752865
102;10.664587
103;8.8975296
104;6.246943
105;6.24694347
106;4.4798851
107;0
108;0
109;0
110;0
111;4.4798851
112;6.24694347
113;8.89752865
114;10.664587
115;10.664588
116;8.89752865
117;8.89752865
118;7.13047266
119;7.13047266
120;5.245471
121;4.38160038
122;4.3815999
123;5.24547195
124;6.10934353
125;8.70095921
126;10.4287024
127;8.70095921
128;6.10934401
129;6.10934353
130;4.38160038
131;0
132;0
133;0
134;0
135;4.3815999
136;6.10934401
137;8.70095921
138;10.4287014
139;10.4287024
140;8.70095921
141;8.70095921
142;6.97321558
143;6.97321558
144;0
145;0
146;0
147;0
148;4.87074184
149;6.93152857
150;8.30538654
151;6.93152857
152;4.87074184
153;4.87074232
154;0
155;0
156;0
157;0
158;0
159;0
160;4.87074184
161;6.93152857
162;8.30538654
163;8.30538654
164;6.93152857
165;6.93152857
166;5.55767107
167;5.55767155
168;0
169;0
170;0
171;0
172;4.47238731
173;6.36245155
174;7.62249231
175;6.36245155
176;4.47238731
177;4.47238779
178;0
179;0
180;0
181;0
182;0
183;0
184;4.47238731
185;6.36245108
186;7.62249231
187;7.62249327
188;6.36245108
189;6.36245155
190;5.10240889
191;5.10240936
192;4.73612595
193;0
194;0
195;4.73612595
196;5.51510715
197;7.8520503
198;9.41001129
199;7.85205126
200;5.51510668
201;5.51510715
202;0
203;0
204;0
205;0
206;0
207;0
208;5.51510668
209;7.8520503
210;9.41001225
211;9.41001129
212;7.8520503
213;7.85205126
214;6.29408789
215;6.29408836
216;4.8587923
217;0
218;0
219;0
220;0
221;4.8587923
222;6.45764351
223;8.05649281
224;8.05649281
225;8.05649376
226;6.45764303
227;5.65821791
228;0
229;0
230;4.8587923
231;6.45764351
232;9.65534306
233;9.65534306
234;9.65534401
235;8.85591888
236;8.05649281
237;7.25706863
238;6.45764351
239;5.65821743
240;4.48153496
241;0
242;0
243;0
244;0
245;4.48153496
246;5.95463324
247;7.42773056
248;7.42773056
249;7.42773056
250;5.95463324
251;5.21808338
252;0
253;0
254;4.48153496
255;5.95463324
256;8.90082836
257;8.90082836
258;8.90082932
259;8.16427994
260;7.42773056
261;6.69118118
262;5.95463324
263;5.21808338
264;4.57775116
265;0
266;0
267;4.57775021
268;5.33033609
269;7.58809185
270;9.09325981
271;7.58809185
272;5.33033562
273;5.33033609
274;0
275;0
276;0
277;0
278;0
279;0
280;5.33033562
281;7.58809185
282;9.09325981
283;9.09325981
284;7.58809185
285;7.58809185
286;6.08292007
287;6.08292055
288;5.68198872
289;4.74536467
290;4.74536419
291;5.68198919
292;6.61861324
293;9.42848682
294;11.3017368
295;9.42848682
296;6.61861372
297;6.61861324
298;4.74536467
299;0
300;0
301;0
302;0
303;4.74536419
304;6.61861372
305;9.42848682
306;11.3017359
307;11.3017368
308;9.42848682
309;9.42848682
310;7.5552392
311;7.55523872
312;0
313;0
314;0
315;0
316;4.63610554
317;6.59633446
318;7.90315199
319;6.59633446
320;4.63610554
321;4.63610649
322;0
323;0
324;0
325;0
326;0
327;0
328;4.63610554
329;6.59633398
330;7.90315199
331;7.90315294
332;6.59633398
333;6.59633446
334;5.28951502
335;5.2895155
336;5.87411499
337;4.90546989
338;4.90546942
339;5.87411547
340;6.84276056
341;9.74869823
342;11.6859903
343;9.74869823
344;6.84276104
345;6.84276056
346;4.90546989
347;0
348;0
349;0
350;0
351;4.90546942
352;6.84276104
353;9.74869823
354;11.6859894
355;11.6859903
356;9.74869823
357;9.74869823
358;7.81140709
359;7.81140661
360;6.65411329
361;5.55546761
362;5.55546808
363;6.65411282
364;7.75275803
365;11.0486956
366;13.2459841
367;11.0486946
368;7.75275898
369;7.75275803
370;5.55546808
371;0
372;0
373;0
374;4.45682287
375;5.55546808
376;7.75275803
377;11.0486946
378;13.245985
379;13.2459841
380;11.0486946
381;11.0486956
382;8.85140419
383;8.85140419
384;6.70751333
385;5.59996748
386;5.599967
387;5.59996748
388;5.599967
389;6.70751333
390;8.92260361
391;11.1376944
392;11.1376953
393;11.1376944
394;8.92260361
395;7.81505871
396;5.599967
397;5.59996748
398;6.70751286
399;8.92260361
400;13.3527851
401;13.3527842
402;13.3527842
403;12.2452393
404;11.1376944
405;10.0301485
406;8.92260456
407;7.81505728
408;6.69947052
409;5.59326506
410;5.59326553
411;5.59326506
412;5.59326553
413;6.69947004
414;8.91187954
415;11.1242905
416;11.1242895
417;11.1242895
418;8.91188049
419;7.80567455
420;5.59326553
421;5.59326506
422;6.69947052
423;8.91187954
424;13.3366985
425;13.3366995
426;13.3366985
427;12.2304945
428;11.1242905
429;10.0180845
430;8.91187954
431;7.80567551
432;7.57087374
433;6.31943512
434;6.31943464
435;7.57087374
436;8.82231331
437;12.5766287
438;14.5
439;13.1489305
440;8.82231331
441;8.82231236
442;6.31943512
443;0
444;0
445;0
446;5.06799555
447;6.31943512
448;8.82231236
449;12.5766287
450;14.5
451;14.5
452;13.714118
453;12.5766287
454;10.0737505
455;10.0737514
456;6.63272619
457;5.53764629
458;5.53764582
459;6.63272667
460;7.72780752
461;11.0130501
462;13.2032118
463;11.0130501
464;7.72780752
465;7.72780848
466;5.53764582
467;0
468;0
469;0
470;4.44256401
471;5.53764629
472;7.72780752
473;11.0130501
474;13.2032118
475;13.2032108
476;11.0130501
477;11.013051
478;8.82288837
479;8.82288837
480;7.45381927
481;6.22188997
482;6.2218895
483;7.45381927
484;8.68574905
485;12.3815384
486;14.5
487;12.7226419
488;8.68574905
489;8.68574905
490;6.22188997
491;0
492;0
493;0
494;4.98995972
495;6.22188997
496;8.68574905
497;12.3815384
498;14.5
499;14.5
500;13.0595036
501;12.3815393
502;9.91767883
503;9.91767883
504;5.49752998
505;4.59164906
506;4.59164858
507;5.49752998
508;6.40341091
509;9.1210556
510;10.9328184
511;9.1210556
512;6.40341139
513;6.40341091
514;4.59164906
515;0
516;0
517;0
518;0
519;4.59164858
520;6.40341139
521;9.1210556
522;10.9328175
523;10.9328184
524;9.1210556
525;9.1210556
526;7.30929327
527;7.30929327
528;5.66224861
529;4.72891378
530;4.72891378
531;5.66224861
532;6.59558344
533;9.39558697
534;11.2622566
535;9.39558697
536;6.59558392
537;6.59558344
538;4.72891378
539;0
540;0
541;0
542;0
543;4.72891378
544;6.59558392
545;9.39558697
546;11.2622557
547;11.2622566
548;9.39558697
549;9.39558697
550;7.52891827
551;7.52891827
552;0
553;0
554;0
555;0
556;0
557;0
558;5.54774094
559;6.91911554
560;6.91911507
561;6.91911554
562;5.54774094
