Index;Wert
0;80
1;26.3214054
2;80
3;22.7480774
4;80
5;80
6;80
7;80
8;80
9;80
10;80
11;80
12;80
13;80
14;80
15;80
16;80
17;80
18;80
19;80
20;80
21;80
22;80
23;41.1577339
24;61.0373192
25;26.8792782
26;61.0872116
27;32.7441711
28;80
29;80
30;80
31;80
32;80
33;80
34;80
35;80
36;80
37;80
38;80
39;80
40;80
41;80
42;80
43;80
44;80
45;80
46;80
47;25.7127323
48;43.3369675
49;0.5380193
50;16.3653507
51;21.0566559
52;51.3132553
53;70.4379349
54;80
55;80
56;80
57;80
58;74.0829315
59;65.1593628
60;63.8781471
61;56.9610367
62;57.384758
63;60.669117
64;72.8011932
65;80
66;80
67;80
68;80
69;80
70;48.9361725
71;2.31055069
72;37.6592178
73;9.15863037
74;37.374424
75;16.7246971
76;74.8266449
77;70.7189331
78;80
79;80
80;80
81;80
82;80
83;80
84;80
85;72.6570969
86;71.9225159
87;67.6815186
88;80
89;80
90;80
91;80
92;80
93;80
94;73.7809677
95;1.93581271
96;52.9366417
97;33.9723969
98;53.5769081
99;39.6077118
100;79.6718216
101;77.5379028
102;80
103;80
104;80
105;80
106;80
107;80
108;80
109;80
110;80
111;80
112;80
113;80
114;80
115;80
116;80
117;80
118;80
119;28.6546345
120;68.1904907
121;18.5751839
122;68.461525
123;24.4700413
124;80
125;80
126;80
127;80
128;80
129;80
130;80
131;80
132;80
133;80
134;80
135;80
136;80
137;80
138;80
139;80
140;80
141;80
142;80
143;39.1167908
144;56.9913597
145;22.9244461
146;57.2565575
147;28.2970467
148;80
149;66.731163
150;80
151;80
152;80
153;80
154;80
155;80
156;80
157;80
158;71.9825363
159;80
160;80
161;80
162;80
163;80
164;80
165;80
166;80
167;16.9636879
168;48.9709282
169;0.44333005
170;22.6314621
171;17.0259361
172;41.8412781
173;44.8928223
174;66.3285904
175;66.7080917
176;74.786911
177;58.6144371
178;59.950386
179;47.604187
180;54.7999802
181;44.5083656
182;53.2640152
183;47.1882744
184;61.5241394
185;61.2206268
186;77.8917542
187;67.1414108
188;71.3403854
189;51.591423
190;32.5751991
191;16.8020611
192;45.1053123
193;36.6900406
194;44.8197746
195;42.1382866
196;71.4331665
197;80
198;80
199;80
200;80
201;80
202;80
203;80
204;80
205;80
206;80
207;80
208;80
209;80
210;80
211;80
212;80
213;80
214;80
215;26.7824898
216;49.0713158
217;0.5380193
218;38.3376808
219;11.6352282
220;74.8349686
221;65.4281082
222;80
223;80
224;80
225;80
226;80
227;80
228;77.4425964
229;70.3949203
230;60.2447357
231;74.8138962
232;77.4203873
233;80
234;80
235;80
236;80
237;80
238;64.6026459
239;1.14673579
240;31.849472
241;13.6617813
242;31.6562462
243;22.1886826
244;72.0736618
245;79.6621933
246;80
247;80
248;80
249;80
250;80
251;80
252;80
253;80
254;70.5658798
255;80
256;80
257;80
258;80
259;80
260;80
261;80
262;71.5575562
263;1.93581271
264;47.7794075
265;28.5484333
266;47.8219528
267;33.4857101
268;72.9917297
269;71.2459946
270;80
271;80
272;80
273;80
274;80
275;80
276;80
277;80
278;79.1170044
279;77.2854156
280;80
281;80
282;80
283;80
284;80
285;80
286;80
287;19.0110512
288;77.2217865
289;14.1265593
290;76.8918915
291;19.8687248
292;80
293;80
294;80
295;80
296;80
297;80
298;80
299;80
300;80
301;80
302;80
303;80
304;80
305;80
306;80
307;80
308;80
309;80
310;80
311;49.0304451
312;50.9688187
313;29.3901844
314;50.7662697
315;34.9162216
316;76.0857544
317;71.7232056
318;80
319;80
320;80
321;80
322;80
323;80
324;80
325;80
326;80
327;80
328;80
329;80
330;80
331;80
332;80
333;80
334;80
335;18.7238026
336;80
337;65.2182999
338;64.2090302
339;71.7767334
340;80
341;80
342;80
343;80
344;80
345;80
346;80
347;80
348;80
349;80
350;80
351;80
352;80
353;80
354;80
355;80
356;80
357;80
358;80
359;80
360;80
361;72.2036057
362;71.1557541
363;77.2891693
364;80
365;80
366;80
367;80
368;80
369;80
370;80
371;80
372;80
373;80
374;80
375;80
376;80
377;80
378;80
379;80
380;80
381;80
382;80
383;80
384;80
385;52.5760841
386;77.1611176
387;57.8967133
388;80
389;80
390;80
391;80
392;80
393;80
394;80
395;80
396;80
397;80
398;80
399;80
400;80
401;80
402;80
403;80
404;80
405;80
406;80
407;80
408;62.5308609
409;80
410;75.7451324
411;80
412;80
413;80
414;80
415;80
416;80
417;80
418;80
419;80
420;80
421;80
422;80
423;80
424;80
425;80
426;80
427;80
428;80
429;80
430;80
431;80
432;80
433;80
434;80
435;80
436;80
437;80
438;80
439;80
440;80
441;80
442;80
443;80
444;80
445;80
446;80
447;80
448;80
449;80
450;80
451;80
452;80
453;80
454;80
455;80
456;80
457;80
458;80
459;80
460;80
461;80
462;80
463;80
464;80
465;80
466;80
467;80
468;80
469;80
470;80
471;80
472;80
473;80
474;80
475;80
476;80
477;80
478;80
479;80
480;80
481;80
482;80
483;80
484;80
485;80
486;80
487;80
488;80
489;80
490;80
491;80
492;80
493;80
494;80
495;80
496;80
497;80
498;80
499;80
500;80
501;80
502;80
503;80
504;80
505;80
506;80
507;80
508;80
509;80
510;80
511;80
512;80
513;80
514;80
515;80
516;80
517;80
518;80
519;80
520;80
521;80
522;80
523;80
524;80
525;80
526;80
527;80
528;80
529;33.4529381
530;69.4101334
531;36.4318428
532;80
533;80
534;80
535;80
536;80
537;80
538;80
539;80
540;80
541;80
542;80
543;80
544;80
545;80
546;80
547;80
548;80
549;80
550;80
551;61.6197281
552;38.3940353
553;32.1169739
554;39.1341553
555;42.5570755
556;80
557;80
558;80
559;80
560;80
561;80
562;80
563;80
564;80
565;80
566;80
567;80
568;80
569;80
570;80
571;80
572;80
573;80
574;78.919136
575;1.14673579
576;26.3061771
577;0.637217581
578;0.492929161
579;0.492929161
580;37.5209084
581;40.6165085
582;61.3825378
583;53.6430359
584;67.6109085
585;46.1151581
586;57.3490524
587;36.7022591
588;50.9836044
589;31.1805649
590;48.2472458
591;35.0290489
592;59.1419716
593;52.2766228
594;77.6452408
595;58.2338448
596;69.0277557
597;37.8974037
598;19.3111382
599;1.93581271
600;0.44333005
601;0.44333005
602;0.44333005
603;0.44333005
604;0.754451811
605;4.86570883
606;33.9103508
607;21.7543297
608;39.7787018
609;16.938467
610;31.063448
611;8.94744587
612;27.0789127
613;6.89030218
614;25.8816624
615;8.18729687
616;30.4195786
617;16.4923477
618;41.6263657
619;22.0104446
620;37.3736839
621;11.8690815
622;12.8005152
623;2.3100605
624;0.44333005
625;0.44333005
626;0.44333005
627;0.44333005
628;3.74770355
629;33.1492081
630;21.3053036
631;46.4188576
632;25.9177723
633;41.908062
634;17.6855927
635;34.9247704
636;13.7617407
637;30.9840279
638;10.1625013
639;31.1561947
640;15.8958311
641;42.2365494
642;31.6074657
643;52.1547127
644;29.7627506
645;41.0426598
646;2.93230391
647;5.99580002
648;8.77193356
649;15.5624189
650;8.77306652
651;18.8531322
652;25.5955811
653;44.122776
654;46.0118675
655;58.1202316
656;50.5889664
657;52.7171822
658;40.8525085
659;44.7859497
660;36.3461914
661;40.1828918
662;32.1235352
663;40.9276009
664;39.5623207
665;54.8115578
666;58.074585
667;65.8801651
668;55.2411957
669;51.9330864
670;17.8110123
671;16.5936909
672;0.44333005
673;2.61089563
