Index;Wert
0;32.1923523
1;0.578924477
2;32.2908478
3;1.00671184
4;4.34301567
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;24.2406712
23;7.51714659
24;24.217617
25;7.66281557
26;24.2653561
27;7.89574099
28;16.668169
29;8.7226572
30;0
31;0
32;0
33;0
34;0
35;0
36;0
37;2.35938549
38;5.901052
39;6.39599562
40;0
41;0
42;0
43;0
44;0
45;0
46;28.9212265
47;1.37405598
48;28.8899479
49;14.8683882
50;15.5547581
51;15.0026054
52;15.797965
53;14.8567839
54;15.9607325
55;14.9751406
56;15.9639072
57;14.7528582
58;15.3455276
59;14.755228
60;15.3431673
61;14.7575798
62;15.3408251
63;14.7599125
64;15.3385019
65;12.1727638
66;0
67;0
68;0
69;9.20212936
70;22.7847881
71;9.46680164
72;23.2048283
73;9.69703674
74;23.2033997
75;9.7072258
76;22.842659
77;9.26016045
78;0
79;0
80;0
81;0
82;4.11334515
83;12.5897617
84;17.4999752
85;12.6093979
86;17.4804173
87;13.0671177
88;11.7634611
89;0
90;0
91;0
92;0
93;0
94;32.2831802
95;11.8449888
96;21.3532753
97;12.3475485
98;21.6941471
99;12.5689869
100;21.701479
101;12.1234436
102;0
103;0
104;0
105;0
106;0
107;0
108;0.976341188
109;6.34998846
110;12.9144459
111;16.3848228
112;10.8450975
113;0
114;0
115;0
116;0
117;0
118;28.4522057
119;3.95352006
120;28.5733547
121;4.3061552
122;28.7304897
123;4.64047909
124;14.7480364
125;8.63567829
126;0
127;0
128;0
129;0
130;0
131;0
132;0
133;3.41087079
134;7.52010489
135;8.18084812
136;0.0209069625
137;0
138;0
139;0
140;0
141;0
142;25.097353
143;8.7849741
144;25.2074165
145;8.65782166
146;25.3603535
147;8.88238239
148;24.5261059
149;9.25752449
150;0
151;0
152;0
153;0
154;0
155;3.60299873
156;9.78770256
157;20.2037849
158;10.6175842
159;17.6632404
160;14.6116924
161;3.61636829
162;0
163;0
164;0
165;0
166;30.197155
167;0.453822523
168;30.4463329
169;13.1256456
170;17.5534744
171;13.2572956
172;17.8518276
173;13.3370228
174;18.1580715
175;13.5841875
176;18.6569042
177;13.0259962
178;17.2144871
179;12.8937445
180;17.1972065
181;12.9109535
182;17.1800671
183;12.9280262
184;17.2945347
185;13.3486691
186;17.4365215
187;13.110837
188;17.6471081
189;13.426981
190;17.8931751
191;14.0934372
192;17.7552738
193;14.0029039
194;17.6350899
195;14.1313715
196;17.9015522
197;14.5321007
198;1.37882507
199;0
200;0
201;0
202;0
203;0.182049513
204;2.76754403
205;9.6642828
206;17.5522556
207;12.5573263
208;9.33446407
209;0
210;0
211;0
212;0
213;0
214;29.5514545
215;3.3407321
216;29.2888699
217;8.15842247
218;24.0434418
219;7.53829193
220;23.1710739
221;6.96097708
222;0.214285478
223;0
224;0
225;0.429955512
226;7.03795385
227;17.4548512
228;12.6543407
229;17.4356537
230;12.6734619
231;17.4166088
232;12.6924295
233;0
234;0
235;0
236;0
237;1.96338809
238;28.5045624
239;11.1595421
240;19.4503632
241;11.1050501
242;19.4958725
243;11.4366083
244;19.8317661
245;11.6630068
246;0
247;0
248;0
249;0
250;0
251;4.14800787
252;11.1048002
253;18.9789963
254;11.1362896
255;18.9476337
256;11.1675282
257;0
258;0
259;0
260;0
261;0
262;30.7055149
263;10.5651979
264;20.4104519
265;11.2531652
266;20.4527149
267;11.2373657
268;20.5473347
269;11.5024815
270;2.83242416
271;0
272;0
273;0
274;0
275;2.26149797
276;6.9808569
277;16.4885311
278;13.9761524
279;16.9079609
280;14.4085875
281;2.66662908
282;0
283;0
284;0
285;0
286;31.9966431
287;0.738790035
288;31.8190536
289;0.854316473
290;31.6776943
291;1.02140474
292;8.54209995
293;0
294;0
295;0
296;0
297;0
298;0
299;0
300;0
301;0
302;0.170261458
303;0
304;0
305;0
306;0
307;0
308;0
309;0
310;22.4968204
311;12.5065851
312;22.8191338
313;12.7462091
314;23.0117359
315;13.1409016
316;23.4897842
317;13.5359268
318;0.638374627
319;0
320;0
321;0
322;0
323;1.34314144
324;5.79885674
325;12.466671
326;18.2799339
327;13.1385145
328;7.41663647
329;0
330;0
331;0
332;0
333;0
334;32.7713814
335;1.38704967
336;16.4297943
337;17.2688694
338;16.4506798
339;17.4408932
340;0
341;0
342;0
343;0
344;0
345;0
346;0
347;0
348;0
349;0
350;0
351;0
352;0
353;0
354;0
355;0
356;0
357;0
358;2.27639651
359;17.8470631
360;17.9399071
361;17.9336872
362;17.8191261
363;17.9763565
364;0
365;0
366;0
367;0
368;0
369;0
370;0
371;0
372;0
373;0
374;0
375;0
376;0
377;0
378;0
379;0
380;0
381;0
382;0
383;10.7405701
384;25.880518
385;11.2582598
386;26.158432
387;11.4127254
388;0
389;0
390;0
391;0
392;0
393;0
394;0
395;0
396;0
397;0
398;0
399;0
400;0
401;0
402;0
403;0
404;0
405;0
406;10.5559568
407;28.0051003
408;11.108758
409;20.7645721
410;21.2184544
411;15.4585714
412;0
413;0
414;0
415;0
416;0
417;0
418;0
419;0
420;0
421;0
422;0
423;0
424;0
425;0
426;0
427;0
428;0
429;0
430;0
431;7.295753
432;0
433;0
434;0
435;0
436;0
437;0
438;0
439;0
440;0
441;0
442;0
443;0
444;0
445;0
446;0
447;0
448;0
449;0
450;0
451;0
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;0
462;0
463;0
464;0
465;0
466;0
467;0
468;0
469;0
470;0
471;0
472;0
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;1.68251956
482;2.34200788
483;0
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;0
502;0
503;1.61177623
504;1.70159388
505;2.73047566
506;2.13420534
507;0
508;0
