Index;Wert
0;5.62434769
1;5.62434769
2;5.62434769
3;5.62434769
4;9.02720547
5;9.02720547
6;9.02720547
7;9.02720547
8;5.42886305
9;5.42886305
10;5.42886305
11;5.42886305
12;5.14128828
13;5.14128828
14;5.14128828
15;5.14128828
16;5.15315151
17;5.15315151
18;5.15315151
19;5.15315151
20;5.1844492
21;5.1844492
22;5.1844492
23;5.1844492
24;5.83713484
25;5.83713484
26;5.83713484
27;5.83713484
28;6.13999271
29;6.13999271
30;6.13999271
31;6.13999271
32;5.77551079
33;5.77551079
34;5.77551079
35;5.77551079
36;6.3450613
37;6.3450613
38;6.3450613
39;6.3450613
40;7.17650557
41;7.17650557
42;7.17650557
43;7.17650557
44;6.85462713
45;6.85462713
46;6.85462713
47;6.85462713
48;6.20010757
49;6.20010757
50;6.20010757
51;6.20010757
52;5.34089851
53;5.34089851
54;5.34089851
55;5.34089851
56;5.59298468
57;5.59298468
58;5.59298468
59;5.59298468
60;5.63034821
61;5.63034821
62;5.63034821
63;5.63034821
64;5.39539766
65;5.39539766
66;5.39539766
67;5.39539766
68;6.18169928
69;6.18169928
70;6.18169928
71;6.18169928
72;7.72611475
73;7.72611475
74;7.72611475
75;7.72611475
76;6.55819798
77;6.55819798
78;6.55819798
79;6.55819798
80;7.74389267
81;7.74389267
82;7.74389267
83;7.74389267
84;6.48448133
85;6.48448133
86;6.48448133
87;6.48448133
88;8.21410561
89;8.21410561
90;8.21410561
91;8.21410561
92;8.64775181
93;8.64775181
94;8.64775181
95;8.64775181
96;6.85671234
97;6.85671234
98;6.85671234
99;6.85671234
100;5.0906291
101;5.0906291
102;5.0906291
103;5.0906291
104;4.03872299
105;4.03872299
106;4.03872299
107;4.03872299
108;2.70215917
109;2.70215917
110;2.70215917
111;2.70215917
112;2.756464
113;2.756464
114;2.756464
115;2.756464
116;3.2263701
117;3.2263701
118;3.2263701
119;3.2263701
120;5.93365717
121;5.93365717
122;5.93365717
123;5.93365717
124;6.11423969
125;6.11423969
126;6.11423969
127;6.11423969
128;6.03581524
129;6.03581524
130;6.03581524
131;6.03581524
132;5.59241343
133;5.59241343
134;5.59241343
135;5.59241343
136;5.4179697
137;5.4179697
138;5.4179697
139;5.4179697
140;5.81858206
141;5.81858206
142;5.81858206
143;5.81858206
144;7.45070171
145;7.45070171
146;7.45070171
147;7.45070171
148;5.33212042
149;5.33212042
150;5.33212042
151;5.33212042
152;5.52245617
153;5.52245617
154;5.52245617
155;5.52245617
156;6.84326506
157;6.84326506
158;6.84326506
159;6.84326506
160;5.59764576
161;5.59764576
162;5.59764576
163;5.59764576
164;5.9571867
165;5.9571867
166;5.9571867
167;5.9571867
168;6.08295679
169;6.08295679
170;6.08295679
171;6.08295679
172;6.44366932
173;6.44366932
174;6.44366932
175;6.44366932
176;6.26645279
177;6.26645279
178;6.26645279
