Index;Wert
0;11.6329994
1;21.5606327
2;12.4329023
3;11.6616983
4;11.6596851
5;11.7881403
6;12.4509678
7;12.9708319
8;12.3714514
9;12.2125549
10;12.4411049
11;12.6531057
12;12.8615885
13;12.861105
14;12.7326221
15;12.6176214
16;12.6375875
17;12.8175201
18;13.0899343
19;13.2209005
20;13.0859337
21;12.7580023
22;12.5245543
23;12.442071
24;11.9101944
25;11.8776979
26;9.33184052
27;5.96289062
28;6.02231026
29;7.20386839
30;12.7759676
31;13.3758316
32;12.863451
33;12.4565544
34;12.2871056
35;12.4031057
36;12.5895882
37;12.5731058
38;12.536622
39;12.5526218
40;12.6995878
41;13.0055199
42;13.3919344
43;13.5289001
44;13.3739338
45;13.0820026
46;12.8705549
47;12.7800713
48;10.6931906
49;5.40775299
50;5.38286114
51;5.35496759
52;5.37700748
53;6.32521343
54;12.4010925
55;12.7079763
56;13.270525
57;13.6734085
58;13.6909666
59;13.4460821
60;13.2344189
61;13.0819759
62;13.0027552
63;12.9187555
64;12.9891977
65;13.1248608
66;13.2905235
67;13.1705246
68;13.0073032
69;12.6897078
70;12.3967562
71;12.0398712
72;7.29077101
73;5.867342
74;5.81936359
75;5.77643156
76;5.78235626
77;6.76469707
78;12.1010323
79;12.4258566
80;13.0055046
81;13.6831532
82;13.9004278
83;13.6273289
84;13.2642307
85;13.0566807
86;12.9644051
87;12.7711315
88;12.8576803
89;13.0575047
90;13.2433281
91;13.2333298
92;13.0157795
93;12.7249556
94;12.3968763
95;12.1645823
96;11.6801949
97;7.14529705
98;6.07912064
99;6.07956696
100;6.13755274
101;7.33944845
102;12.6389675
103;13.3478317
104;12.8284512
105;12.5105543
106;12.545105
107;12.6761055
108;12.7275887
109;12.6491051
110;12.5886221
111;12.550622
112;12.5055876
113;12.6175194
114;12.949934
115;13.1729002
116;12.9859343
117;12.6730022
118;12.4415541
119;12.3550711
120;11.8081951
121;7.30278587
122;6.23336029
123;6.23380756
124;6.29179335
125;7.52090836
126;12.6329679
127;13.1448317
128;12.6574507
129;12.4165545
130;12.5071049
131;12.6411057
132;12.6375885
133;12.5071049
134;12.3166218
135;12.1936226
136;12.2715883
137;12.5255194
138;12.8259344
139;12.8969002
140;12.555934
141;12.2360029
142;12.0105543
143;12.0580721
144;11.4961948
145;8.07012081
146;5.95018768
147;5.95108032
148;6.00906658
149;7.18828869
150;12.4649677
151;13.0048313
152;12.4914513
153;12.3745546
154;12.479105
155;12.6831055
156;12.8055887
157;12.722105
158;12.4346218
159;12.1856222
160;12.2925882
161;12.7835197
162;13.442934
163;13.6219006
164;13.4589338
165;13.1320028
166;12.8485546
167;12.7000713
168;11.191555
169;4.85115528
170;4.84422684
171;4.8442297
172;5.11646843
173;5.98688841
174;12.9269676
175;13.4548311
176;12.8744507
177;12.5265541
178;12.6331053
179;12.7581053
180;12.9655876
181;12.9451046
182;12.8586216
183;12.6906214
184;12.7095881
185;12.9075193
186;13.2339344
187;13.4369001
188;13.239934
189;12.8820028
190;12.6045542
191;12.3980713
192;9.40120506
193;5.81394958
194;5.80579472
195;5.80579853
196;5.86378479
197;7.01736832
198;12.7589674
199;13.3738317
200;12.8454514
201;12.5525541
202;12.6671057
203;12.7651052
204;13.039588
205;12.9671049
206;12.8946218
207;12.8946218
208;12.8635874
209;13.06252
210;13.3339338
211;13.2809
212;13.0079336
213;12.6550026
214;12.3935547
215;12.2880716
216;9.38072491
217;5.53900671
218;5.51326752
219;5.48537445
220;5.50741434
221;6.4786334
222;12.605093
223;12.8319769
224;13.5075245
225;13.8894081
226;13.8049669
227;13.592082
228;13.364418
229;13.1979761
230;13.0587559
231;12.9247551
232;13.0021973
233;13.1528616
234;13.2785244
235;13.3285236
236;13.2173033
237;12.9597073
238;12.7187557
239;12.3938713
240;7.95235395
241;5.78183651
242;5.73432922
243;5.69139719
244;5.69732189
245;6.66465712
246;12.1620321
247;12.3498564
248;12.8325043
249;13.3851528
250;13.4954271
251;13.1943283
252;13.0722303
253;13.1206808
254;13.1904049
255;13.0631313
256;13.1246805
257;13.3445044
258;13.5753288
259;13.5873299
260;13.3267803
261;13.0309553
262;12.7008762
263;12.4885817
264;10.8684559
265;5.87277508
266;5.86529541
267;5.86529827
268;5.92328453
269;7.08736849
270;12.8379679
271;13.4508314
272;12.9394512
273;12.5305548
274;12.3651056
275;12.4171057
276;12.4775887
277;12.5331049
278;12.5126219
279;12.4146214
280;12.4635878
281;12.7295198
282;13.0179338
283;13.1768999
284;12.982934
285;12.6770029
286;12.4365549
287;12.3190718
288;11.7732506
289;6.32443237
290;6.31717205
291;6.31717491
292;6.37516165
293;7.61898851
294;12.6429682
295;13.2568312
296;12.7114506
297;12.3425541
298;12.1691055
299;12.2041054
300;12.4015884
301;12.2831049
302;12.1966219
303;12.1516218
304;12.2665882
305;12.5075197
306;12.7879343
307;12.9288998
308;12.6819344
309;12.3060026
310;11.988555
311;11.7980719
312;11.1921949
313;9.10107136
314;6.00565529
315;6.00696945
316;6.33734035
317;7.38216019
318;11.5609674
319;12.456831
320;11.8854513
321;11.8085546
322;12.0231056
323;12.2611055
324;12.5175886
325;12.5431051
326;12.444622
327;12.2966223
328;12.2945881
329;12.4635201
330;12.7779341
331;12.8628998
332;12.6799335
333;12.3280029
334;12.0785542
335;12.0020714
336;11.494195
337;10.8500662
338;7.32141018
339;7.32291317
340;7.38089848
341;8.80220795
342;12.2469683
343;12.8368311
344;12.3034506
345;11.8745546
346;11.7131052
347;11.7431049
348;11.7795887
349;11.6831055
350;11.5846224
351;11.5846224
352;11.7115879
353;11.9815197
354;12.3259344
355;12.4729004
356;12.2959337
357;11.9660025
358;11.6975546
359;11.5830717
360;11.0401955
361;10.995698
362;10.0001259
363;7.5916853
364;7.65068913
365;9.11960793
366;11.8679676
367;12.4688311
368;12.0304508
369;11.7125549
370;11.5951052
371;11.6911049
372;11.855588
373;11.7711058
374;11.6786222
375;11.5726223
376;11.6395884
377;11.8755198
378;12.180934
379;12.4129
380;12.2289343
381;11.8490028
382;11.4805546
383;11.3520718
384;10.8320742
385;10.7094288
386;10.6147852
387;10.5761414
388;8.4956789
389;9.75979137
390;10.8110924
391;11.2179766
392;11.8945236
393;12.3014088
394;12.2009668
395;11.9060822
396;11.7304192
397;11.5969763
398;11.4237556
399;11.320756
400;11.2951975
401;11.4088612
402;11.4165249
403;11.3185234
404;11.6053028
405;11.279707
406;10.9547558
407;10.5318708
408;10.2979918
409;9.99973774
410;9.83822727
411;9.786973
412;9.81622696
413;9.85999298
414;10.0060329
415;10.2798567
416;10.8275051
417;11.3891535
418;11.6824274
419;11.5213299
420;11.3242302
421;11.2456808
422;11.1764059
423;10.9291315
424;10.7056808
425;10.9275045
426;11.1633282
427;11.0133286
428;10.8007803
429;10.3879557
430;9.87687588
431;9.57058239
432;9.12219524
433;9.11169815
434;9.08969784
435;9.09569836
436;9.13568497
437;9.44414043
438;10.2389679
439;11.1548319
440;10.8194513
441;10.4845543
442;10.4771051
443;10.913105
444;11.2015886
445;11.2911053
446;11.3566217
447;11.458622
448;11.5435886
449;11.5475178
450;10.6359997
451;10.2919998
452;10.2060003
453;10.1380005
454;10.0900002
455;10.9702339
456;12.1556454
457;12.0343466
458;11.5321903
459;9.99369812
460;9.93368435
461;10.1461401
462;10.8409681
463;11.3188314
464;9.73735523
465;9.60000038
466;9.69999981
467;10.1599998
468;10.5279999
469;10.7209997
470;10.6920004
471;10.5179996
472;10.1999998
473;9.98999977
474;9.75
475;9.74800014
476;9.81200027
477;9.80799961
478;9.75199986
479;10.5970306
480;13.3409758
481;13.7523394
482;13.0320091
483;10.1696978
484;10.2136841
485;10.4741402
486;11.2209682
487;11.7988319
488;11.3774509
489;11.1885548
490;11.2611055
491;11.4561052
492;11.6415882
493;11.6351051
494;11.524622
495;11.458622
496;11.3725882
497;11.4729414
498;10.5539999
499;10.552
500;10.3599997
501;10.0159998
502;9.73200035
503;12.5668526
504;11.8834209
505;11.2958565
506;9.84069729
507;9.77569771
508;9.78568459
509;9.70814037
510;10.1369677
511;11.3268318
512;10.8194513
513;10.4515543
514;10.6591053
515;10.7695084
516;11.1059999
517;11.3059998
518;11.3800001
519;11.2580004
520;10.9040003
521;10.5860004
522;10.4720001
523;10.2399998
524;10.2439995
525;10.3959999
526;10.632
527;14.5607853
528;17.954628
529;11.6716986
530;11.7996988
531;11.9016981
532;12.0596848
533;12.2321396
534;12.9129677
535;13.4008312
536;12.8934507
537;12.4695549
538;12.2791052
539;12.3051052
540;12.4435883
541;12.361105
542;12.2646227
543;12.3406219
544;12.381588
545;12.6005192
546;12.9259338
547;13.0778999
548;12.8099337
549;12.3720026
550;12.0765543
551;11.862071
552;11.1840734
553;10.9424295
554;8.20186996
555;6.43573189
556;6.45859814
557;7.59767342
558;10.7150927
559;11.4259768
560;12.1585236
561;12.7214088
562;12.9949665
563;13.1040821
564;13.0644188
565;12.9659767
566;12.8767557
567;12.7967558
568;12.9111977
569;13.134861
570;13.4065247
571;13.4225235
572;13.365303
573;13.0657072
574;12.7667561
575;12.4258718
576;12.2119923
577;5.70199537
578;4.62082481
579;4.57848787
580;4.78381634
581;5.44914484
582;11.650033
583;12.1458559
584;12.7555046
585;13.6931534
586;14.240427
587;14.0013294
588;13.6952305
589;13.5926809
590;13.530405
591;13.2411308
592;13.29568
593;13.3635044
594;13.4953289
595;13.3673286
596;13.1087799
597;12.7869549
598;12.421876
599;11.4051971
600;4.04585981
601;3.61818504
602;3.60850048
603;3.60850453
604;3.81896043
605;4.50403357
606;10.23528
607;13.7488317
608;13.311451
609;13.1285543
610;13.0671053
611;12.7481327
612;9.82276821
613;9.95456409
614;9.68057537
615;9.47920704
616;9.62423038
617;10.4695187
618;13.1621904
619;13.5513439
620;12.7410402
621;12.0481071
622;8.89098167
623;4.86047649
624;3.98405027
625;3.61720157
626;3.60755825
627;3.6075623
628;3.66554856
629;4.43120861
630;9.94605923
631;13.5262709
632;13.6414509
633;13.2845545
634;12.1254282
635;10.1803007
636;9.17772388
637;8.61620998
638;7.77736712
639;7.36980343
640;7.69415808
641;9.15803051
642;13.1234341
643;13.9588995
644;13.8529339
645;13.5620022
646;10.6089468
647;4.73171616
648;4.50836802
649;4.14151573
650;4.13187218
651;4.13187599
652;4.18986273
653;5.0480485
654;11.3647909
655;14.3068314
656;13.7484512
657;13.2845545
658;13.0671053
659;13.0531044
660;12.5739412
661;9.87759304
662;8.91852474
663;8.44927311
664;8.80447006
665;10.4533939
666;13.5579338
667;13.6229
668;13.4799337
669;13.1880026
670;12.9695539
671;6.88477039
672;4.65246725
673;4.11122847
674;4.10158396
675;4.10158825
676;4.33669662
677;5.09572792
678;11.6158581
679;13.3338318
680;12.8274508
681;12.6925545
682;12.7561054
683;12.9671049
684;13.0865879
685;12.4506407
686;11.0596743
687;10.8351336
688;10.980155
689;11.8994017
690;13.4489336
691;13.5249004
692;13.2859335
693;12.906002
694;12.6085539
695;6.3924017
696;5.5284462
697;5.1632843
698;5.15363979
699;5.15364361
700;5.21163034
701;6.25012875
702;12.9649677
703;13.5388317
704;13.1714506
705;12.9665546
706;12.9671049
707;12.9961052
708;13.0935879
709;13.0221052
710;12.9576216
711;12.7474966
712;10.965601
713;12.977766
714;13.5739336
715;13.7328997
716;13.4709339
717;13.1100025
718;12.7765541
719;10.7330065
720;5.89338827
721;5.5603013
722;5.53257847
723;5.50468636
724;5.52672625
725;6.50135326
726;12.0830927
727;12.4699764
728;13.1545238
729;13.6334085
730;13.5389662
731;13.3170815
732;13.0104179
733;12.817976
734;12.7307558
735;12.7787552
736;13.3801975
737;13.5858612
738;13.7915249
739;13.7805233
740;13.6973028
741;13.3557072
742;12.9847565
743;12.5728712
744;8.60774136
745;6.14670038
746;6.09871387
747;6.05518913
748;6.06119537
749;7.09340096
750;12.093811
751;12.3274155
752;12.8346214
753;13.4128275
754;13.5613613
755;13.238225
756;12.9820862
757;12.9090185
758;12.8604832
759;12.7419491
760;12.8090181
761;12.925621
762;13.1362247
763;12.9342241
764;12.6791553
765;12.3415527
766;11.9794426
767;11.7588797
768;11.298995
769;11.2216282
770;6.59328747
771;6.59528208
772;6.65406799
773;7.94993687
774;11.9179726
775;12.5508385
776;12.2644558
777;12.1595573
778;12.201108
779;12.3691072
780;12.556591
781;12.4991074
782;12.3276243
783;12.1986246
784;12.2785912
785;12.4125233
786;12.66994
787;12.7269058
788;12.4979391
789;12.114007
790;11.8195572
791;11.768074
792;11.2929955
793;11.2005119
794;7.01756716
795;7.01936388
796;7.0781498
797;8.44885635
798;12.2329731
799;12.9368382
800;12.3884563
801;12.1395569
802;12.0391073
803;12.1831074
804;12.3285904
805;12.2431078
806;12.1726246
807;12.161624
808;12.2185898
809;12.2825232
810;12.41994
811;12.4339066
812;12.2149391
813;11.9330063
814;11.6825571
815;11.5610733
816;10.9599953
817;10.9422979
818;8.98335361
819;7.26326799
820;7.32278013
821;8.73665619
822;11.8849735
823;12.3448381
824;12.1444559
825;12.151557
826;12.1131077
827;12.1971073
828;12.3045902
829;12.253108
830;12.1506243
831;12.0396242
832;11.9965916
833;12.1465235
834;12.4559393
835;12.4009056
836;12.2479391
837;11.7500067
838;11.4595575
839;11.3380737
840;10.8049955
841;10.7982979
842;8.41128159
843;6.81312609
844;6.87258625
845;8.20701694
846;11.6349735
847;12.6618385
848;12.2014561
849;11.9595575
850;11.9891081
851;12.1951075
852;12.386591
853;12.4211073
854;12.3476238
855;12.2756243
856;12.2835903
857;12.3585234
858;12.5299397
859;12.4429054
860;12.1579399
861;11.7860069
862;11.5115576
863;11.4020739
864;10.8209953
865;10.7522984
866;6.48069096
867;6.2418189
868;6.58478785
869;7.66783857
870;11.6789722
871;12.3168383
872;12.1834564
873;12.0575571
874;12.095108
875;12.2491074
876;12.5625916
877;12.6551075
878;12.6226244
879;12.5696239
880;12.4365902
881;12.4625235
882;12.5499392
883;12.4069061
884;12.0409393
885;11.5860062
886;11.3255568
887;11.2100735
888;10.7554522
889;10.9005775
890;9.34788609
891;7.35079575
892;7.37408209
893;8.67588615
894;11.0116863
895;11.2751656
896;11.9677525
897;12.6632309
898;12.7084913
899;12.5690136
900;12.4859047
901;12.361165
902;12.2507954
903;12.1607952
904;12.1895351
905;12.3066435
906;12.4537525
907;12.2987518
908;12.1123829
909;11.7756519
910;11.3927956
911;11.0073166
912;10.8877563
913;10.9092503
914;10.7876081
915;7.16756296
916;7.17535877
917;8.40418243
918;10.9118118
919;11.373415
920;12.0776215
921;12.8318281
922;13.0863619
923;12.8442249
924;12.5920868
925;12.4710178
926;12.4204836
927;12.3099489
928;12.377018
929;12.5226212
930;12.738225
931;12.5522242
932;12.1281557
933;11.7135525
934;11.3834419
935;11.14888
936;10.7349949
937;10.6962986
938;10.7482986
939;8.11538982
940;7.19468212
941;8.58643627
942;11.5849724
943;12.4638386
944;12.1054564
945;12.151557
946;12.2291079
947;12.3811073
948;12.5785904
949;12.6191072
950;12.5496244
951;12.4676247
952;12.42659
953;12.5755234
954;12.7159395
955;12.684906
956;12.3879395
957;12.0140066
958;11.5475569
959;11.3060741
960;10.6589956
961;10.6002979
962;10.033453
963;7.27523184
964;7.3351903
965;8.75125599
966;11.8189735
967;12.5538387
968;12.3604565
969;12.1915569
970;12.2031078
971;12.2551079
972;12.3705902
973;12.2651081
974;12.1996241
975;12.1446247
976;12.2045898
977;12.2745228
978;12.4139395
979;12.4889069
980;12.3499393
981;12.0940065
982;11.8715572
983;11.7500734
984;11.1849947
985;11.152298
986;7.00570393
987;6.71912575
988;6.77803183
989;8.09577656
990;12.272974
991;12.9968386
992;12.6204557
993;12.3575573
994;12.194108
995;12.2441072
996;12.4405899
997;12.4451075
998;12.3736238
999;12.3436241
1000;12.4085903
1001;12.6115227
1002;12.9329395
1003;12.9549065
1004;12.7699394
1005;12.482007
1006;12.2355576
1007;12.1100731
1008;11.5449953
1009;10.5041609
1010;6.89938354
1011;6.90092468
1012;6.95971107
1013;8.30951691
1014;12.2229729
1015;12.7368383
1016;12.2924557
1017;12.0215569
1018;11.9431076
1019;12.0631075
1020;12.1925907
1021;12.1311073
1022;12.0236244
1023;11.9396238
1024;11.9525909
1025;12.0905228
1026;12.2419395
1027;12.1509056
1028;11.95994
1029;11.5600061
1030;11.2555571
1031;11.1600742
1032;10.5649958
1033;10.494298
1034;7.72779369
1035;6.37514591
1036;6.72527313
1037;7.82839203
1038;11.260973
1039;11.8168383
1040;11.6844559
1041;11.7485571
1042;11.9091082
1043;12.1191072
1044;12.2915916
1045;12.2371073
1046;12.1646242
1047;12.1336241
1048;12.0665913
1049;12.0145235
1050;12.0439396
1051;12.0649052
1052;11.8419399
1053;11.496007
1054;11.2115574
1055;11.0220737
1056;10.375452
1057;10.2625771
1058;8.34581184
1059;6.46821117
1060;6.78576231
1061;7.77592325
1062;10.4796867
1063;10.611165
1064;11.709753
1065;12.5372305
1066;12.7604914
1067;12.6990137
1068;12.6149044
1069;12.507165
1070;12.4707956
1071;12.4207954
1072;12.4535351
1073;12.2786436
