Index;Wert
0;4.78133965
1;8.7031126
2;5.15593147
3;4.85264778
4;4.84760427
5;4.88904572
6;5.11182833
7;5.29403925
8;5.08096838
9;5.04306316
10;4.95397377
11;5.03951073
12;4.93270493
13;4.93450022
14;4.88693237
15;4.98500299
16;5.03148985
17;5.09281349
18;5.18967247
19;5.23870659
20;5.19156218
21;5.07128572
22;4.98562908
23;4.95544815
24;4.75682878
25;4.7413764
26;3.7379775
27;2.40035915
28;2.44742513
29;2.92413092
30;5.15631962
31;5.31555605
32;5.16284466
33;4.97990227
34;4.87556219
35;4.92266798
36;4.99312973
37;4.99215603
38;4.98292255
39;4.98969555
40;5.03869295
41;5.14254045
42;5.27627516
43;5.32566023
44;5.27596188
45;5.17828131
46;5.10715008
47;5.07594299
48;4.2620039
49;2.14612341
50;2.1374743
51;2.12762403
52;2.13380933
53;2.50654292
54;4.92383575
55;5.0212388
56;5.20324421
57;5.34348774
58;5.28359127
59;5.1083951
60;5.04224825
61;4.99343348
62;4.96693182
63;4.93244362
64;5.1182332
65;5.16715288
66;5.21791267
67;5.17351437
68;5.11734676
69;5.02758789
70;4.94866896
71;4.87274361
72;3.00901246
73;2.42165756
74;2.40514469
75;2.38898826
76;2.37240815
77;2.71166086
78;4.8178091
79;4.91745424
80;5.10844135
81;5.34177542
82;5.42797804
83;5.29982996
84;5.17862463
85;5.15745258
86;5.12983036
87;5.06187916
88;5.08402252
89;5.14682579
90;5.20779037
91;5.2081728
92;5.14101458
93;5.074224
94;5.02859497
95;5.03089476
96;4.8517251
97;2.96086502
98;2.51617718
99;2.51636291
100;2.53498268
101;3.01780319
102;5.1570859
103;5.35900354
104;5.21753597
105;4.94861937
106;4.97876215
107;5.01449394
108;5.04832935
109;5.02255535
110;5.00372219
111;4.98908186
112;4.9617281
113;5.01186895
114;5.18191957
115;5.18635702
116;5.1348238
117;5.07166481
118;5.01888084
119;5.01617765
120;4.86901093
121;3.0264864
122;2.58044338
123;2.58062983
124;2.5992496
125;3.09341145
126;5.15458584
127;5.31642103
128;5.16435719
129;5.04111385
130;4.96356201
131;5.01786804
132;5.01232958
133;4.96575546
134;4.89492226
135;4.84815454
136;4.99915266
137;5.14724541
138;5.2469101
139;5.26924086
140;5.14137459
141;5.0309267
142;4.95324945
143;4.9789753
144;4.77556276
145;3.3466568
146;2.46245456
147;2.46282697
148;2.48144674
149;2.95481968
150;5.08458567
151;5.25808764
152;5.09519053
153;5.08738613
154;4.95236206
155;5.00384855
156;4.95436096
157;4.94709396
158;4.94212246
159;4.85988522
160;4.96588516
161;5.05564594
162;5.20216608
163;5.20557499
164;5.18564034
165;5.14286041
166;5.10001278
167;5.04545784
168;4.46450567
169;1.92660344
170;1.92382944
171;1.92383063
172;2.02815127
173;2.36149073
174;5.08075237
175;5.25012064
176;5.14597797
177;4.95501947
178;5.01396179
179;4.89340115
180;4.95389843
181;4.95024157
182;4.92121696
183;4.86408949
184;5.04303122
185;5.1046195
186;5.21486092
187;5.29086113
188;5.22417688
189;5.09969902
190;5.00186586
191;4.94728041
192;3.74713516
193;2.3117218
194;2.30845666
195;2.30845809
196;2.34615541
197;2.84410381
198;5.18301439
199;5.3186264
200;5.19077444
201;4.96541929
202;5.02756214
203;4.88341808
204;4.96226788
205;4.86547184
206;4.83655548
207;4.89301014
208;4.9139986
209;5.09771252
210;5.24692965
211;5.21957302
