Index;Wert
0;12067.9199
1;10056.5996
2;10056.5996
3;12067.9199
4;14079.2393
5;20113.1992
6;24135.8398
7;20113.1992
8;14079.2393
9;14079.2393
10;10056.5996
11;6033.95996
12;6033.95996
13;6033.95996
14;8045.27979
15;10056.5996
16;14079.2393
17;20113.1992
18;24135.8398
19;24135.8398
20;20113.1992
21;20113.1992
22;16090.5596
23;16090.5596
24;12475.8506
25;10396.543
26;10396.543
27;12475.8506
28;14555.1602
29;20793.0859
30;24951.7012
31;20793.0859
32;14555.1602
33;14555.1602
34;10396.543
35;6237.92529
36;6237.92529
37;6237.92529
38;8317.23438
39;10396.543
40;14555.1602
41;20793.0859
42;24951.7012
43;24951.7012
44;20793.0859
45;20793.0859
46;16634.4688
47;16634.4688
48;11455.2949
49;9546.0791
50;9546.0791
51;9546.0791
52;9546.0791
53;11455.2949
54;15273.7266
55;19092.1582
56;19092.1582
57;19092.1582
58;15273.7266
59;13364.5098
60;9546.0791
61;9546.0791
62;11455.2949
63;15273.7266
64;22910.5898
65;22910.5898
66;22910.5898
67;21001.373
68;19092.1582
69;17182.9434
70;15273.7266
71;13364.5098
72;9624.91602
73;8020.76318
74;8020.76318
75;8020.76318
76;8020.76318
77;9624.91602
78;12833.2217
79;16041.5264
80;16041.5264
81;16041.5264
82;12833.2217
83;11229.0684
84;8020.76318
85;8020.76318
86;9624.91602
87;12833.2217
88;19249.832
89;19249.832
90;19249.832
91;17645.6797
92;16041.5264
93;14437.374
94;12833.2217
95;11229.0684
96;11260.4229
97;9383.68555
98;9383.68555
99;11260.4229
100;13137.1602
101;18767.3711
102;22520.8457
103;18767.3711
104;13137.1602
105;13137.1602
106;9383.68555
107;5630.21143
108;5630.21143
109;5630.21143
110;7506.94873
111;9383.68555
112;13137.1602
113;18767.3711
114;22520.8457
115;22520.8457
116;18767.3711
117;18767.3711
118;15013.8975
119;15013.8975
120;11009.8965
121;9174.91406
122;9174.91406
123;11009.8965
124;12844.8799
125;18349.8281
126;22019.793
127;18349.8281
128;12844.8799
129;12844.8799
130;9174.91406
131;5504.94824
132;5504.94824
133;5504.94824
134;7339.93115
135;9174.91406
136;12844.8799
137;18349.8281
138;22019.793
139;22019.793
140;18349.8281
141;18349.8281
142;14679.8623
143;14679.8623
144;8754.78809
145;7295.65723
146;7295.65723
147;8754.78809
148;10213.9199
149;14591.3145
150;17509.5762
151;14591.3145
152;10213.9199
153;10213.9199
154;7295.65723
155;4377.39404
156;4377.39404
157;4377.39404
158;5836.52588
159;7295.65723
160;10213.9199
161;14591.3145
162;17509.5762
163;17509.5762
164;14591.3145
165;14591.3145
166;11673.0518
167;11673.0518
168;8029.5083
169;6691.25732
170;6691.25732
171;8029.5083
172;9367.75977
173;13382.5146
174;16059.0166
175;13382.5146
176;9367.75977
177;9367.75977
178;6691.25732
179;4014.75415
180;4014.75415
181;4014.75415
182;5353.00586
183;6691.25732
184;9367.75977
185;13382.5146
186;16059.0166
187;16059.0166
188;13382.5146
189;13382.5146
190;10706.0117
191;10706.0117
192;9927.97656
193;8273.31445
194;8273.31445
195;9927.97656
196;11582.6396
197;16546.6289
198;19855.9531
199;16546.6289
200;11582.6396
201;11582.6396
202;8273.31445
203;4963.98828
204;4963.98828
205;4963.98828
206;6618.65137
207;8273.31445
208;11582.6396
209;16546.6289
210;19855.9531
211;19855.9531
212;16546.6289
213;16546.6289
214;13237.3027
215;13237.3027
216;10188.5371
217;8490.44727
218;8490.44727
219;8490.44727
220;8490.44727
221;10188.5371
222;13584.7168
223;16980.8945
224;16980.8945
225;16980.8945
226;13584.7168
227;11886.626
228;8490.44727
229;8490.44727
230;10188.5371
231;13584.7168
232;20377.0742
233;20377.0742
234;20377.0742
235;18678.9844
236;16980.8945
237;15282.8057
238;13584.7168
239;11886.626
240;9387.18945
241;7822.65771
242;7822.65771
243;7822.65771
244;7822.65771
245;9387.18945
246;12516.2529
247;15645.3154
248;15645.3154
249;15645.3154
250;12516.2529
251;10951.7207
252;7822.65771
253;7822.65771
254;9387.18945
255;12516.2529
256;18774.3789
257;18774.3789
258;18774.3789
259;17209.8477
260;15645.3154
261;14080.7842
262;12516.2529
263;10951.7207
264;9591.56543
265;7992.97168
266;7992.97168
267;9591.56543
268;11190.1602
269;15985.9434
270;19183.1309
271;15985.9434
272;11190.1602
273;11190.1602
274;7992.97168
