Groesse;Wert
Lauf.ID_Projekt;1030
Sim.Restwaerme;0
Sim.Reststrom;4357.78076
Sim.bSimulationWP;False
Sim.bSimulationKessel;True
Sim.bSimulationSolarthermie;False
Sim.bSimulationBHKW;True
Sim.bSimulationPV;False
Sim.bSimulationSSP;False
Sim.PufferWP_vorhanden;True
Puffer.Q_max;580
Puffer.Ladung_gesamt;2947360.96
Puffer.Entladung_gesamt;2945596.47
Puffer.Verluste_gesamt;1213.625
Puffer.SOC_Mittel;550.86145
Puffer.SOC_Max;550.86145
Puffer.Vollzyklen;5081.65682
Sim.Speicher_Anzahl;1
Ergebnis.ID_Projekt;1030
Ergebnis.Bezeichner;Simulation Referenz BHKW-Kaskade (Regressionstest)
Ergebnis.ID_Klimaregion;1020040
Ergebnis.Sim_Energiebedarf;True
Ergebnis.Sim_Waermepumpe;False
Ergebnis.Sim_Heizkessel;True
Ergebnis.Sim_Solarthermie;False
Ergebnis.Sim_BHKW;True
Ergebnis.Sim_PV;False
Ergebnis.Sim_Stromspeicher;False
Energiebedarf.Waermebedarf_Gesamt;6137.56
Energiebedarf.Waermelast_Max;2206
Energiebedarf.Strombedarf_Gesamt;4790.09
Energiebedarf.Strombedarf_Max;2070
Energiebedarf.Waermerestbedarf;0
Energiebedarf.Stromrestbedarf;4357.78
Energiebedarf.Waermebedarf_Heizung;6137.56
Energiebedarf.Waermebedarf_Brauchwasser;0
Energiebedarf.Waermebedarf_Prozess;0
BHKW.Waermebedarf;6137.56
BHKW.Restwaermebedarf;5401.84
BHKW.Strombedarf;4790.09
BHKW.Reststrombedarf;4357.78
BHKW.Waermeproduktion;736.22
BHKW.Waermeueberschuss;0
BHKW.Stromproduktion;432.3
BHKW.Betriebsstunden_Gesamt;13977.95
BHKW.Betriebsstunden_Durchschnitt;6988.98
BHKW.Waermebedarfsdeckung;11.99
BHKW.Strombedarfsdeckung;9.02
BHKW.Gasverbrauch;1048.27
BHKW.Oelverbrauch;0
BHKW.Koks;0
BHKW.Rapsoelverbrauch;0
BHKW.Holzverbrauch;0
BHKW.Kohle;0
BHKW.Sonstigverbrauch;0
BHKW.Pellets;0
BHKW.TierischeFette;0
BHKW.VbhElektrisch;7327.17
BHKW.Deckung_Heizung;11.99
BHKW.Deckung_Brauchwasser;0
BHKW.Deckung_Prozess;0
BHKWModul[0].Modul;BHKW EW M 50 S [K] Erdgas
BHKWModul[0].Waermeproduktion;605.52
BHKWModul[0].Stromproduktion;373.78
BHKWModul[0].Brennstoff;Gas
BHKWModul[0].Verbrauch;862.18
BHKWModul[0].carrier_id;63
BHKWModul[0].VbhThermisch;7475.59
BHKWModul[0].VbhElektrisch;7475.69
BHKWModul[0].Hilfsenergie;0
BHKWModul[1].Modul;EC-POWER XRGI 9
BHKWModul[1].Waermeproduktion;130.7
BHKWModul[1].Stromproduktion;58.52
BHKWModul[1].Brennstoff;Gas
BHKWModul[1].Verbrauch;186.09
BHKWModul[1].carrier_id;63
BHKWModul[1].VbhThermisch;6502.36
BHKWModul[1].VbhElektrisch;6502.04
BHKWModul[1].Hilfsenergie;0
Heizkessel.Waermebedarf;6137.56
Heizkessel.Restwaermebedarf;735.72
Heizkessel.Waermeproduktion;5403.1
Heizkessel.Strombedarf;4790.09
Heizkessel.Reststrombedarf;4790.09
Heizkessel.Waermebedarfsdeckung;88.01
Heizkessel.Stromverbrauch;0
Heizkessel.Maximale_Kesselleistung;2200
Heizkessel.Gasspitze;2105.04
Heizkessel.Gasverbrauch;5403.1
Heizkessel.Oelverbrauch;0
Heizkessel.Koks;0
Heizkessel.Rapsoelverbrauch;0
Heizkessel.Holzverbrauch;0
Heizkessel.Kohle;0
Heizkessel.Sonstigverbrauch;0
Heizkessel.Pellets;0
Heizkessel.TierischeFette;0
Heizkessel.Quellwaerme;0
Heizkessel.Deckung_Heizung;88.01
Heizkessel.Deckung_Brauchwasser;0
Heizkessel.Deckung_Prozess;0
HeizkesselModul[0].Modul;Vitocrossal 200 CM2 raumluftabh�ngig
HeizkesselModul[0].Waerme_Gas;5403.1
HeizkesselModul[0].Waerme_Oel;0
HeizkesselModul[0].Brennstoff;
HeizkesselModul[0].Verbrauch;0
HeizkesselModul[0].Jahresnutzungsgrad;100
HeizkesselModul[0].carrier_id;63
HeizkesselModul[0].Waermeproduktion;0
HeizkesselModul[0].Hilfsenergie;0
Pufferspeicher[0].ID_Pufferspeicher;1054170
Pufferspeicher[0].Bezeichner;Pufferspeicher 20 m3 BHKW-Kaskade
Pufferspeicher[0].Verwendung;Heizung
Pufferspeicher[0].Q_max;580
Pufferspeicher[0].Ladung_gesamt;2947360.96
Pufferspeicher[0].Entladung_gesamt;2945596.47
Pufferspeicher[0].Verluste_gesamt;1213.63
Pufferspeicher[0].SOC_Ende;550.86
Pufferspeicher[0].SOC_Mittel;550.86
Pufferspeicher[0].SOC_Max;550.86
Pufferspeicher[0].Vollzyklen;5081.66
Pufferspeicher[0].Entladung_Heizung;2945596.47
Pufferspeicher[0].Entladung_Brauchwasser;0
Pufferspeicher[0].Entladung_Prozess;0
Pufferspeicher[0].Durchsatz_Geladen;3191963.53
Pufferspeicher[0].Durchsatz_Entladen;3191963.53
Pufferspeicher[0].ID_Anlage;
Pufferspeicher[0].T_oben_Mittel;83.74
Pufferspeicher[0].T_oben_Min;83.74
Vektor.waermebedarf.Summe;6137560
Vektor.waermebedarf_gebaeude.Summe;0
Vektor.waermebedarf_brauchwasser.Summe;0
Vektor.waermebedarf_prozess.Summe;0
Vektor.waermebedarf_extern.Summe;6137560
Vektor.waermebedarf_dauerlinie.Summe;278221.216
Vektor.stundentemperatur.Summe;83874.19
Vektor.restwaerme.Summe;0
Vektor.strombedarf_viertelstunde.Summe;19160344
Vektor.reststrom_viertelstunde.Summe;17431123.1
Vektor.puffer_soc.Summe;4825546.3
Vektor.puffer_ladung.Summe;2947360.97
Vektor.puffer_entladung.Summe;2945596.43
Vektor.kessel_waermebedarf.Summe;6137560
Vektor.kessel_leistung.Summe;5403098.85
Vektor.kessel_restwaerme.Summe;3334363.01
Vektor.kessel_strom.Summe;0
Vektor.bhkw_waermebedarf.Summe;6137560
Vektor.bhkw_waerme.Summe;736225.67
Vektor.bhkw_strom.Summe;432305.211
Vektor.bhkw_restwaerme.Summe;5401838.03
