Index;Wert
0;6.10894918
1;0.794573784
2;0.223076239
3;0.226341397
4;0.451183498
5;1.200683
6;4.10269165
7;6.30028391
8;4.20853758
9;2.52507687
10;1.69361639
11;1.68641222
12;1.94880021
13;1.67071092
14;1.39627278
15;1.39297521
16;1.33002472
17;2.21156636E-16
18;4.9106638E-32
19;0
20;3.33786005E-07
21;4.29153431E-07
22;2.38418579E-07
23;6.02535009
24;2.82525086
25;0.221896768
26;0.225298733
27;0.228515267
28;0.459740222
29;1.22230649
30;4.17448997
31;6.4177146
32;4.27894115
33;2.55049229
34;1.71095693
35;1.70385838
36;1.96916962
37;1.68839383
38;1.41120315
39;1.40706325
40;1.94291377
41;3.00770259
42;0.105730392
43;0
44;1.90734866E-07
45;9.53674331E-08
46;0
47;6.10894918
48;2.89777184
49;0.36994651
50;0.313476533
51;0.255238622
52;0.394702494
53;0.742570758
54;1.42004037
55;2.75775909
56;5.05799103
57;6.25781631
58;5.46253633
59;4.13840437
60;3.16512108
61;2.52377653
62;2.20569539
63;2.20385528
64;2.81742978
65;0.92220819
66;1.90734866E-07
67;4.76837165E-08
68;6.59098138E-24
69;1.46349229E-39
70;0
71;6.10894918
72;1.80165422
73;0.4681454
74;0.337394089
75;0.272345185
76;0.351062655
77;0.579439104
78;1.1806674
79;2.28361368
80;4.46081877
81;6.53953648
82;6.37920809
83;5.53782988
84;3.79492998
85;1.69423449
86;0.814187765
87;1.32234001
88;0.92126435
89;9.53674331E-08
90;3.81469732E-07
91;0
92;4.52995295E-07
93;5.2727851E-23
94;1.17079355E-38
95;6.0846324
96;2.31811333
97;0.22198987
98;0.225149602
99;0.228109196
100;0.457123309
101;1.21366358
102;4.14098167
103;6.36290741
104;4.23852873
105;2.53854942
106;1.70280814
107;1.69565964
108;1.95959663
109;1.68008292
110;1.40418553
111;1.39930594
112;1.93101144
113;0.344205081
114;5.52891591E-17
115;1.22766595E-32
116;0
117;4.76837158E-07
118;4.05311596E-07
119;5.79760838
120;3.05086684
121;0.221552283
122;0.224755719
123;0.227769926
124;0.45592615
125;1.21093452
126;4.13083839
127;6.34631681
128;4.2262969
129;2.53497815
130;1.7003715
131;1.6932081
132;1.95673442
133;1.67759824
134;1.40208769
135;1.39691222
136;0.784083664
137;2.86102306E-07
138;0
139;0
140;5.96046448E-08
141;6.59098138E-24
142;1.66893003E-07
143;5.33729458
144;3.50688386
145;0.221271023
146;0.22451891
147;0.227577806
148;0.455347508
149;1.21054745
150;4.13369036
151;6.35098124
152;4.22973585
153;2.53598022
154;1.70105517
155;1.69389594
156;1.95753741
157;1.67829537
158;1.40267634
159;1.39825189
160;1.92904437
161;0.0218427163
162;0
163;0
164;1.90734866E-07
165;2.63639255E-23
166;5.85396777E-39
167;6.10894918
168;2.74368548
169;0.222663894
170;0.226751417
171;0.231802717
172;0.470116556
173;1.24665034
174;4.18405819
175;6.43336582
176;4.29048252
177;2.55394411
178;1.71331239
179;1.70622838
180;1.97193694
181;1.69215679
182;1.41496408
183;1.41114616
184;1.94597876
185;3.00992012
186;0.384733737
187;0
188;0
189;0
190;1.74988389
191;6.10894918
192;2.74878979
193;0.222512528
194;0.225979805
195;0.229274109
196;0.463017195
197;1.23095953
198;4.18429089
199;6.43374681
200;4.29076338
201;2.55402851
202;1.71336985
203;1.70628619
204;1.97200453
205;1.69085503
206;1.41328144
207;1.4116509
208;1.95252264
209;3.02650666
210;2.49299645
211;1.43051153E-07
212;3.81469732E-07
213;1.1920929E-07
214;0
215;6.02048063
216;2.98357701
217;0.369095147
218;0.312382728
219;0.25355956
220;0.390993804
221;0.736146092
222;1.42007244
223;2.75782251
224;5.05811214
225;6.25797892
226;5.46261024
227;4.13846254
228;3.16516685
229;2.52381372
230;2.20456934
231;2.20140123
232;2.60554075
233;4.42313273E-16
234;2.38418579E-07
235;2.63639255E-23
236;5.85396777E-39
237;9.53674331E-08
238;2.86102306E-07
239;6.10894918
240;1.80269611
241;0.468948454
242;0.338349223
243;0.274183124
244;0.354135811
245;0.584554911
246;1.1806463
