Index;Wert
0;6.24527502
1;6.21527529
2;6.15827513
3;6.09827518
4;6.03827524
5;5.02750015
6;9.53674331E-08
7;0
8;0
9;0
10;3.81469732E-07
11;0
12;0
13;2.86102306E-07
14;0.511774182
15;1.03062522
16;0.588700116
17;0
18;0
19;0
20;3.33786005E-07
21;4.29153431E-07
22;2.38418579E-07
23;6.02535009
24;6.31459475
25;6.2965951
26;6.28259516
27;6.2635951
28;6.23459482
29;5.27270031
30;2.86102306E-07
31;0
32;0
33;7.15255766E-08
34;0
35;0
36;1.90734866E-07
37;0
38;0.277295291
39;0.929224372
40;0.613260865
41;0
42;0
43;0
44;1.90734866E-07
45;9.53674331E-08
46;0
47;6.34463024
48;7.27599192
49;7.26799154
50;7.25199175
51;7.22199154
52;7.16599178
53;1.23922098
54;9.53674331E-08
55;1.90734866E-07
56;0
57;0
58;0
59;0
60;0
61;0.770215631
62;1.89751136
63;2.37515974
64;1.99833703
65;0.199392796
66;1.90734866E-07
67;4.7683713E-08
68;0
69;0
70;0
71;6.60316849
72;6.41770744
73;6.38170719
74;6.36970711
75;6.37970734
76;6.43170738
77;4.15832615
78;3.09944141E-07
79;0
80;1.43051153E-07
81;0
82;0
83;0
84;0
85;3.33786005E-07
86;0.814187765
87;1.32234001
88;0.92126435
89;9.53674331E-08
90;3.81469732E-07
91;0
92;4.52995295E-07
93;0
94;0
95;6.0846324
96;5.96935177
97;5.86335135
98;5.77735138
99;5.73535156
100;5.72535133
101;4.86112022
102;3.81469732E-07
103;0
104;0
105;1.90734866E-07
106;2.86102306E-07
107;0
108;0
109;1.90734866E-07
110;0.0784712806
111;0.689959824
112;0.175216481
113;2.86102306E-07
114;0
115;0
116;0
117;4.76837158E-07
118;4.05311596E-07
119;5.79760838
120;5.94311094
121;5.90311098
122;5.84511089
123;5.79111099
124;5.7491107
125;4.76366043
126;0
127;0
128;2.86102306E-07
129;2.38418583E-08
130;3.81469732E-07
131;0
132;0
133;3.81469732E-07
134;4.29153431E-07
135;0.0154052973
136;2.38418583E-08
137;2.86102306E-07
138;0
139;0
140;5.96046448E-08
141;0
142;1.66893003E-07
143;5.33729458
144;5.91383743
145;5.95783758
146;5.90783787
147;5.87183762
148;5.94983768
149;5.02428007
150;1.54972071E-07
151;1.1920929E-07
152;0
153;0
154;2.86102306E-07
155;0
156;0
157;2.86102306E-07
158;0.204118162
159;0.589489937
160;0.234304547
161;0
162;0
163;0
164;1.90734866E-07
165;0
166;0
167;6.27865219
168;7.40443563
169;7.64468765
170;7.6806879
171;7.65468788
172;6.18604565
173;0.600444853
174;2.86102306E-07
175;3.33786005E-07
176;2.62260443E-07
177;3.81469732E-07
178;0
179;0
180;0.327617466
181;0.165364936
182;0.365617454
183;0.411868006
184;0.285867989
185;2.86102306E-07
186;0
187;0
188;0
189;0
190;1.74988389
191;6.97218418
192;6.45311928
193;6.47711945
194;6.50111961
195;6.47511959
196;6.43211937
197;4.08988667
198;4.76837158E-07
199;0
200;0
201;3.33786005E-07
202;0
203;4.7683713E-08
204;3.81469732E-07
205;3.81469732E-07
206;0.980320334
207;1.59759939
208;1.11296082
209;0
210;1.90734866E-07
211;1.43051153E-07
212;3.81469732E-07
213;1.1920929E-07
214;0
215;6.02048063
216;6.70158482
217;6.70158482
218;6.75258493
219;6.86558485
220;7.04958487
221;3.62948489
222;0
223;0
224;1.43051153E-07
225;3.81469732E-07
226;0
227;0
228;3.81469732E-07
229;0.571705222
230;1.66968453
231;2.11267471
232;1.73518062
233;0
234;2.38418579E-07
235;0
236;0
237;9.53674331E-08
238;2.86102306E-07
239;6.81909037
240;6.87874174
241;6.89874172
242;6.8807416
243;6.81274176
244;6.72874165
245;1.76411796
246;4.29153431E-07
247;0
248;4.52995295E-07
249;3.33786005E-07
250;2.86102306E-07
251;1.66893003E-07
252;9.53674331E-08
253;1.90734866E-07
254;1.22526157
255;1.78940988
256;1.36833715
257;3.81469732E-07
258;0
259;0
260;0
261;0
262;0
263;6.49866867
264;6.58961964
265;6.44161987
266;6.42361975
267;6.43561983
268;6.40561962
269;4.15210104
270;2.38418565E-08
271;0
272;0
273;0
274;0
275;0
276;0
277;3.81469732E-07
278;0.468820006
279;0.995099902
280;0.586961389
281;0
282;1.90734866E-07
283;2.38418579E-07
284;2.38418565E-08
285;0
286;0
287;5.98848057
288;5.85474253
289;5.85574245
290;5.85774279
291;5.85274267
292;5.8457427
293;4.81558037
294;0
295;2.62260443E-07
296;3.81469732E-07
297;3.81469732E-07
298;0
299;0
300;0
301;3.81469732E-07
302;3.33786005E-07
303;4.05311596E-07
304;1.43051153E-07
305;0
306;0
307;3.81469732E-07
308;0
309;9.53674331E-08
310;0
311;4.98902225
312;5.28156376
313;5.48594904
314;5.40494919
315;5.28194904
316;4.87956381
317;3.98040843
318;4.29153431E-07
319;4.64916241E-07
320;0
321;0
322;0
323;0
324;0
325;1.90734866E-07
326;1.90734866E-07
327;0
328;2.62260443E-07
329;0
330;0
331;3.57627869E-07
332;4.64916241E-07
333;0
334;3.27825546E-07
335;5.29717875
336;4.54000568
337;4.6160059
338;4.61200571
339;4.57200575
340;4.45000601
341;3.18236041
342;0
343;3.45706951E-07
344;3.69548786E-07
345;0
346;8.94069672E-08
347;3.5911799E-07
348;0
349;0
350;0
351;0
352;4.52995295E-07
353;0
354;0
355;0
356;2.86102306E-07
357;2.50339497E-07
358;0
359;3.70912433
360;3.81621552
361;3.78621554
362;3.8282156
363;3.81321573
364;3.78921556
365;2.52996039
366;2.98023224E-07
367;3.69548786E-07
368;1.31130221E-07
369;0
370;1.1920929E-07
371;4.05311596E-07
372;3.96370893E-07
373;0
374;0
375;0
376;0
377;0
378;5.96046448E-08
379;1.54972071E-07
380;0
381;0
382;0
383;3.19246459
384;2.90651369
385;2.80051374
386;2.72251368
387;2.70051384
388;2.66451383
389;1.28484011
390;2.86102306E-07
391;0
392;4.76837165E-08
393;0
394;0
395;0
396;2.14576716E-07
397;2.26497647E-07
398;3.57627869E-07
399;4.7683713E-08
400;4.29153431E-07
401;9.53674331E-08
402;0
403;2.86102306E-07
404;3.81469732E-07
405;3.81469732E-07
406;1.90734866E-07
407;2.00395632
408;0.749947429
409;0.469947428
410;0.344947428
411;0.311947435
412;0.322947413
413;0
414;0
415;0
416;0
417;0
418;0
419;0
420;2.86102306E-07
421;1.90734866E-07
422;0
423;0
424;1.90734866E-07
425;1.90734866E-07
426;2.86102306E-07
427;0
428;0
429;0
430;3.81469732E-07
431;0
432;0.114388272
433;0.11838837
434;0.0963882431
435;0.102388382
436;0.0843883529
437;0
438;0
439;0
440;0
441;1.90734866E-07
442;1.90734866E-07
443;2.86102306E-07
444;0
445;3.57627883E-08
446;4.76837158E-07
447;2.50339497E-07
448;0
449;0
450;3.33786005E-07
451;1.90734866E-07
452;0
453;0
454;0
455;0.701705813
456;1.46129942
457;1.41529942
458;1.36729932
459;1.29929948
460;1.18129945
461;0
462;0
463;0
464;0
465;0
466;1.90734866E-07
467;1.90734866E-07
468;1.43051153E-07
469;2.98023224E-07
470;0
471;3.33786005E-07
472;1.90734866E-07
473;1.90734866E-07
474;0
475;0
476;0
477;3.81469732E-07
478;1.90734866E-07
479;0.680199802
480;2.34180069
481;2.49780083
482;2.52980065
483;2.61180067
484;2.59780073
485;1.36706066
486;0
487;0
488;0
489;0
490;0
491;5.96046448E-08
492;1.43051153E-07
493;1.54972071E-07
494;2.62260443E-07
495;2.50339497E-07
496;2.02655798E-07
497;0
498;9.53674331E-08
499;0
500;3.33786005E-07
501;1.90734866E-07
502;0
503;1.88355422
504;1.46604943
505;1.46604943
506;1.43104935
507;1.36604941
508;1.31804943
509;0
510;1.90734866E-07
511;0
512;0
513;1.90734866E-07
514;0
515;4.7683713E-08
516;5.36441789E-08
517;2.38418579E-07
518;0
519;0
520;0
521;0
522;0
523;1.90734866E-07
524;4.76837158E-07
525;9.53674331E-08
526;4.7683713E-08
527;2.29770017
528;5.64948082
529;5.86548042
530;5.99348068
531;6.09548044
532;6.19548082
533;5.18586016
534;1.90734866E-07
535;2.14576716E-07
536;2.14576716E-07
537;0
538;9.53674331E-08
539;9.53674331E-08
540;9.53674331E-08
541;3.33786005E-07
542;0
543;0.253754914
544;3.81469732E-07
545;4.76837158E-07
546;1.66893003E-07
547;2.14576716E-07
548;3.57627869E-07
549;1.1920929E-07
550;1.84774393E-07
551;5.18827438
552;5.09640121
553;4.87140131
554;4.75040102
555;4.566401
556;4.43640089
557;3.37706017
558;0
559;0
560;1.1920929E-07
561;0
562;4.76837165E-08
563;0
564;0
565;0
566;2.86102306E-07
567;0.026354026
568;2.86102306E-07
569;2.86102306E-07
570;0
571;1.90734866E-07
572;1.90734866E-07
573;1.90734866E-07
574;0
575;5.84395409
576;7.76424694
577;7.88365126
578;7.75165129
579;7.64965153
580;5.4248147
581;0.488547444
582;0.0770802945
583;4.05311596E-07
584;1.1920929E-07
585;0
586;3.81469732E-07
587;0.136650085
588;1.39208031
589;1.27267468
590;1.50108027
591;1.50248313
592;1.37448311
593;0.570269942
594;4.76837158E-07
595;0
596;4.7683713E-08
597;3.81469732E-07
598;2.2967217
599;7.2708416
600;8.43694401
601;8.57041359
602;8.57941341
603;8.64341354
604;0.957382858
605;0.609630466
606;1.37383318
607;0
608;0
