Index;Wert
0;9.51539803
1;9.51539803
2;9.51539803
3;9.51539803
4;5.65826035
5;5.65826035
6;5.65826035
7;5.65826035
8;5.22058487
9;5.22058487
10;5.22058487
11;5.22058487
12;5.20802927
13;5.20802927
14;5.20802927
15;5.20802927
16;5.3230114
17;5.3230114
18;5.3230114
19;5.3230114
20;5.66910076
21;5.66910076
22;5.66910076
23;5.66910076
24;7.52013254
25;7.52013254
26;7.52013254
27;7.52013254
28;8.89736462
29;8.89736462
30;8.89736462
31;8.89736462
32;7.7550869
33;7.7550869
34;7.7550869
35;7.7550869
36;7.55162048
37;7.55162048
38;7.55162048
39;7.55162048
40;7.98685598
41;7.98685598
42;7.98685598
43;7.98685598
44;7.67144537
45;7.67144537
46;7.67144537
47;7.67144537
48;7.1626091
49;7.1626091
50;7.1626091
51;7.1626091
52;6.17249012
53;6.17249012
54;6.17249012
55;6.17249012
56;6.29014635
57;6.29014635
58;6.29014635
59;6.29014635
60;6.33080769
61;6.33080769
62;6.33080769
63;6.33080769
64;6.00591135
65;6.00591135
66;6.00591135
67;6.00591135
68;5.84408569
69;5.84408569
70;5.84408569
71;5.84408569
72;7.25564241
73;7.25564241
74;7.25564241
75;7.25564241
76;6.03309155
77;6.03309155
78;6.03309155
79;6.03309155
80;7.26993036
81;7.26993036
82;7.26993036
83;7.26993036
84;6.11559629
85;6.11559629
86;6.11559629
87;6.11559629
88;7.9244771
89;7.9244771
90;7.9244771
91;7.9244771
92;12.222106
93;12.222106
94;12.222106
95;12.222106
96;8.58740616
97;8.58740616
98;8.58740616
99;8.58740616
100;5.16805267
101;5.16805267
102;5.16805267
103;5.16805267
104;5.1330924
105;5.1330924
106;5.1330924
107;5.1330924
108;5.15938616
109;5.15938616
110;5.15938616
111;5.15938616
112;5.32760429
113;5.32760429
114;5.32760429
115;5.32760429
116;5.70137453
117;5.70137453
118;5.70137453
119;5.70137453
120;7.57793236
121;7.57793236
122;7.57793236
123;7.57793236
124;8.8042984
125;8.8042984
126;8.8042984
127;8.8042984
128;7.98076534
