Index;Wert
0;100
1;99.6636276
2;98.8042374
3;97.1968918
4;95.6302643
5;95.0000229
6;94.0947571
7;93.9727859
8;93.8839417
9;92.3645248
10;91.9145203
11;91.8068085
12;91.5812607
13;91.5698547
14;91.5613251
15;90.3250885
16;90.2393417
17;89.8538818
18;89.6880493
19;89.6528549
20;89.4921875
21;89.2612152
22;89.1470184
23;88.99897
24;88.9251709
25;88.1184235
26;87.5509262
27;87.5006561
28;87.3626099
29;87.1336288
30;86.0834198
31;85.6430511
32;85.2028656
33;85.1473465
34;85.0796356
35;85.0704651
36;84.7553711
37;84.7337494
38;84.6750641
39;84.3430176
40;83.9959946
41;83.924881
42;83.8440247
43;83.7607193
44;83.4658966
45;83.4658966
46;82.7908401
47;82.7154388
48;82.7075043
49;82.3439941
50;82.2873154
51;82.194603
52;82.1823196
53;82.1479721
54;82.0501785
55;81.799202
56;81.6658249
57;80.6978836
58;80.6977005
59;80.5617142
60;80.4632416
61;80.3528137
62;80.2497253
63;80.1057281
64;79.8519516
65;79.8316422
66;79.5011902
67;79.3187408
68;79.2720261
69;79.2460403
70;79.0230789
71;79.0101395
72;78.8934402
73;78.5209808
74;78.444191
75;78.3843231
76;78.342659
77;78.3225174
78;78.2130203
79;78.0467453
80;77.8764267
81;77.7162323
82;77.555191
83;77.4332123
84;77.376152
85;77.3601608
86;77.2583771
87;77.1494522
88;76.9590073
89;76.95578
90;76.9470749
91;76.9403763
92;76.8932877
93;76.7830734
94;76.7124863
95;76.6133041
96;76.6030655
97;76.5593262
98;76.4498215
99;76.4238052
100;76.3534164
101;76.2980957
102;76.2667084
103;75.9805908
104;75.9657364
105;75.8841171
106;75.8104095
107;75.6828766
108;75.6602554
109;75.6393814
110;75.6040497
111;75.5712433
112;75.5396576
113;75.5180893
114;75.4772568
115;75.4130402
116;75.3371658
117;75.3261719
118;75.2898788
119;75.2517624
120;74.995369
121;74.7091522
122;74.6243134
123;74.6187439
124;74.5305176
125;74.446167
126;74.4132462
127;74.4063644
128;74.4028931
129;74.3999176
130;74.3781586
131;74.3524551
132;74.3495255
133;74.3230057
134;74.1033096
135;74.0926895
136;74.064415
137;74.0315247
138;74.014389
139;73.7663651
140;73.7264328
141;73.7115173
142;73.6329269
143;73.6305542
144;73.5853653
145;73.5363846
146;73.5285492
147;73.4609222
148;73.4134903
149;73.4018936
150;73.29702
151;73.2937698
152;73.1549301
153;73.1435623
154;72.9128418
155;72.9046478
156;72.802948
157;72.7635117
158;72.7481079
159;72.7448502
160;72.6747513
161;72.6337128
162;72.5430145
163;72.5095825
164;72.495697
165;72.4759445
166;72.4216156
167;72.4096985
168;72.3873367
169;72.3449478
170;72.3261337
171;72.251091
172;72.2478256
173;72.1805038
174;72.1561737
175;72.1315994
176;72.1026535
177;72.0515823
178;72.0196304
179;71.9665604
180;71.9536209
181;71.8669205
182;71.8457031
183;71.8246231
184;71.8000336
185;71.7982864
186;71.7823257
187;71.7789688
188;71.7494507
189;71.7182465
190;71.6332397
191;71.5441895
192;71.5132217
193;71.3882065
194;71.3471222
195;71.3455505
196;71.3282471
197;71.2195816
198;71.1488647
199;71.1159744
200;70.9920044
201;70.9754333
202;70.9732971
203;70.9706955
204;70.9201965
205;70.8310165
206;70.7619476
207;70.7470551
208;70.7338181
209;70.7118149
210;70.7070389
211;70.7038651
212;70.6673508
213;70.6461639
214;70.6236038
215;70.6070633
216;70.5493927
217;70.5093002
218;70.4190292
219;70.3832092
220;70.3134537
221;70.2796173
222;70.2415924
223;70.2104721
224;70.2097778
225;70.2086563
226;70.1443634
227;70.1283569
228;70.0340118
229;70.0268326
230;69.98983
231;69.9500427
232;69.8876495
233;69.882019
234;69.8722458
235;69.8614731
236;69.7232208
237;69.72258
238;69.6271973
239;69.6250458
240;69.6043396
241;69.5881729
242;69.5603943
243;69.5060577
244;69.5039444
245;69.4994736
246;69.3957748
247;69.2984085
248;69.2878418
249;69.2704315
250;69.2587433
251;69.1917114
252;69.1508789
253;69.0086746
254;69.0003128
255;68.9992905
256;68.9916382
257;68.878746
258;68.8368301
259;68.7110214
260;68.6726913
261;68.6581345
262;68.6287918
263;68.5745392
264;68.5648499
265;68.5073471
266;68.4898911
267;68.4429779
268;68.4262466
269;68.4247742
270;68.3984985
271;68.3340073
272;68.2573471
273;68.2562408
274;68.2397842
275;68.2333069
276;68.1804428
277;68.1383743
278;68.0486526
279;68.0365524
280;68.0257111
281;67.8336563
282;67.7800217
283;67.7637787
284;67.6670074
285;67.6540527
286;67.6334381
287;67.5646133
288;67.4917526
289;67.4909363
290;67.4604416
291;67.4290848
292;67.3978958
293;67.3777313
294;67.3675919
295;67.3628769
296;67.349556
297;67.2949219
298;67.2906494
299;67.2897263
300;67.2833328
301;67.1976013
302;67.1436615
303;67.1046677
304;67.0993805
305;67.0230026
306;66.9963837
307;66.9929581
308;66.956131
309;66.951622
310;66.8994446
311;66.8228073
312;66.8077316
313;66.805397
314;66.7628479
315;66.744812
316;66.6530228
317;66.6448364
318;66.6396637
319;66.606514
320;66.5298462
321;66.5023956
322;66.4940567
323;66.4746094
324;66.4632568
325;66.4156647
326;66.2969971
327;66.268074
328;66.2504501
329;66.2408752
330;66.2353287
331;66.1889038
332;66.0931244
333;66.0530548
334;66.0127945
335;65.9307098
336;65.9139328
337;65.8871841
338;65.7028961
339;65.6899643
340;65.6314392
341;65.6231384
342;65.5522156
343;65.5263748
344;65.4044418
345;65.2996979
346;65.2648926
347;65.2627487
348;65.2611008
349;65.2386093
350;65.1454926
351;65.1013947
352;65.0666199
353;65.0137939
354;64.9832535
355;64.9527588
356;64.9146118
357;64.893425
358;64.874939
359;64.8371506
360;64.7978516
361;64.7846222
362;64.7664108
363;64.7599945
364;64.758728
365;64.7575684
366;64.7216187
367;64.6961288
368;64.6612701
369;64.5547485
370;64.4914856
371;64.4823456
372;64.4683304
373;64.4441833
374;64.3831406
375;64.379364
376;64.3751297
377;64.3484879
378;64.2820435
379;64.2776337
380;64.2659302
381;64.2538757
382;64.2299576
383;64.1858368
384;64.1837769
385;64.1463318
386;64.1430359
387;64.0607681
388;64.0415115
389;64.0386581
390;64.0129166
391;63.9613152
392;63.8980293
393;63.8685799
394;63.8348045
395;63.6412277
396;63.6403999
397;63.6324615
398;63.6071396
399;63.6070938
400;63.5674019
401;63.5590553
402;63.5169029
403;63.4490013
404;63.4490013
405;63.319767
406;63.28545
407;63.2847443
408;63.1775665
409;63.1659546
410;63.1421089
411;63.0850563
412;63.0584641
413;63.0390778
414;63.0338402
415;63.0330162
416;63.0128708
417;63.0045624
418;62.9719238
419;62.9426994
420;62.9188118
421;62.9170456
422;62.8392677
423;62.8366318
424;62.8236465
425;62.7920113
426;62.7744102
427;62.7012062
428;62.5795746
429;62.5356331
430;62.5315819
431;62.5105515
432;62.4913292
433;62.4535408
434;62.4147682
435;62.4141579
436;62.404789
437;62.371727
438;62.3703804
439;62.3686981
440;62.3574371
441;62.3493347
442;62.3375626
443;62.298912
444;62.2668571
445;62.1633415
446;62.1213379
447;62.1093674
448;61.9879341
449;61.9569511
450;61.9088287
451;61.9013252
452;61.8991661
453;61.8660202
454;61.8340988
455;61.7917366
456;61.7709503
457;61.7535744
458;61.7457161
459;61.741703
460;61.7151985
461;61.6975212
462;61.6735229
463;61.6106949
464;61.5910759
465;61.5708885
466;61.4770317
467;61.4715233
468;61.4620399
469;61.4426079
470;61.3787689
471;61.3664894
472;61.3038788
473;61.2820473
474;61.2720642
475;61.2663155
476;61.2181129
477;61.1999969
478;61.1482162
479;61.1033287
480;61.0338402
481;61.0158691
482;61.0014725
483;60.9791794
484;60.9564857
485;60.9564857
486;60.8947487
487;60.8872414
488;60.8820877
489;60.8596191
490;60.8565712
491;60.8105469
492;60.7831345
493;60.7457428
494;60.7275238
495;60.7072945
496;60.6434975
497;60.6378555
498;60.6358681
499;60.627697
500;60.6165543
501;60.5691376
502;60.5285263
503;60.4947205
504;60.4942322
505;60.4850922
506;60.4214973
507;60.3184433
508;60.3145866
509;60.3145866
510;60.3114662
511;60.3046532
512;60.24086
513;60.2227058
514;60.2050858
515;60.1935272
516;60.1929398
517;60.1915817
518;60.0974426
519;60.0947723
520;60.0601616
521;60.0529022
522;60.0384483
523;60.0247192
524;59.9937363
525;59.9865685
526;59.971981
527;59.9449425
528;59.9220657
529;59.9182472
530;59.8717575
531;59.8598518
532;59.8588562
533;59.7517929
534;59.7109795
535;59.5587006
536;59.5251961
537;59.4741096
538;59.4724503
539;59.4031029
540;59.3759651
541;59.3759651
542;59.3705406
543;59.3604584
544;59.3437119
545;59.3267784
546;59.318779
547;59.2874794
548;59.2352562
549;59.1840973
550;59.1817627
551;59.1510124
552;59.1331215
553;59.1275597
554;59.1253586
555;59.0893669
556;59.0885391
557;59.0630531
558;59.0410728
559;59.0240326
560;59.0194664
561;59.0027504
562;58.9710426
563;58.9639549
564;58.951416
565;58.949646
566;58.8787193
567;58.8301582
568;58.8113976
569;58.796196
570;58.784214
571;58.7441864
572;58.6881981
573;58.6864357
574;58.6302719
575;58.6019974
576;58.5956612
577;58.5839958
578;58.567852
579;58.5646172
580;58.5637016
581;58.5431824
582;58.5160065
583;58.4928665
584;58.4772568
585;58.4549942
586;58.4338608
587;58.4155045
588;58.4135094
589;58.3928223
590;58.3666153
591;58.3650513
592;58.2658272
593;58.2274628
594;58.1915855
595;58.1768837
596;58.1567841
597;58.0912476
598;58.0669136
599;58.0581207
600;58.0357857
601;58.0097122
602;57.9865036
603;57.951416
604;57.9197578
605;57.8615494
606;57.8537636
607;57.7897644
608;57.7714043
609;57.766861
610;57.7556725
611;57.7364311
612;57.7212944
613;57.6960258
614;57.6521149
615;57.6357803
616;57.5770912
617;57.5238152
618;57.5234947
619;57.5216866
620;57.5204391
621;57.5079918
622;57.5049286
623;57.4513588
624;57.4353256
625;57.4099731
626;57.4060287
627;57.3966713
628;57.3683929
629;57.3621559
630;57.3311691
631;57.3284187
632;57.3157158
633;57.3080292
634;57.2927246
635;57.2767296
636;57.2081375
637;57.1991653
638;57.1145859
639;57.0482407
640;57.0158272
641;57.0039749
642;56.9422951
643;56.935894
644;56.9061661
645;56.8651619
646;56.8374252
647;56.8352661
648;56.8183365
649;56.817852
650;56.7812462
651;56.7661819
652;56.7646294
653;56.7646294
654;56.7484436
655;56.7434082
656;56.5286255
657;56.4536438
658;56.4416656
659;56.4116135
660;56.3929672
661;56.3634872
662;56.3619461
663;56.3593941
664;56.3058052
665;56.2989502
666;56.2842712
667;56.2494926
668;56.212677
669;56.196434
670;56.1259727
671;56.1231995
672;55.9603157
673;55.9412003
674;55.8943329
675;55.8933868
676;55.7698059
677;55.7621918
678;55.7424889
679;55.7197952
680;55.6824493
681;55.6607933
682;55.6443329
683;55.6353073
684;55.6215439
685;55.6163101
686;55.5658264
687;55.5376472
688;55.4971962
689;55.4706993
690;55.4531326
691;55.3859024
692;55.3852043
693;55.3834419
694;55.3789825
695;55.3749695
696;55.3732643
697;55.3516006
698;55.3169594
699;55.3105087
700;55.3003922
701;55.2954178
702;55.2202339
703;55.2088242
704;55.1558342
705;55.1369057
706;55.1091881
707;55.1047859
708;55.1007347
709;55.0481911
710;55.0438919
711;54.9677887
712;54.9580078
713;54.9445
714;54.8986092
715;54.7297401
716;54.6682091
717;54.6595879
718;54.6406898
719;54.5787201
720;54.5571251
721;54.5355911
722;54.4967804
723;54.4398537
724;54.4352837
725;54.4156151
726;54.4035454
727;54.3836555
728;54.3599243
729;54.3086319
730;54.2810097
731;54.2689552
732;54.2452545
733;54.2193298
734;54.2164879
735;54.1823692
736;54.1796532
737;54.1078758
738;54.086113
739;54.0697861
