Index;Wert
0;8.67238998
1;5.33416796
2;4.94765329
3;4.91938877
4;5.01746416
5;5.37369728
6;6.79482603
7;8.05141068
8;7.06054401
9;6.24962234
10;5.76432419
11;5.85632896
12;5.89520693
13;5.76609182
14;5.58409405
15;5.68546247
16;5.64200354
17;4.75519991
18;4.71920013
19;4.71360016
20;4.71759987
21;4.70240068
22;4.6960001
23;8.52980232
24;6.4875226
25;4.81879997
26;4.83234692
27;4.85758638
28;5.01856565
29;5.39913559
30;6.80059481
31;8.00561523
32;7.10779476
33;6.18422318
34;5.68538427
35;5.73888206
36;5.95406866
37;5.82234716
38;5.67904091
39;5.68958092
40;6.02432394
41;6.70552397
42;4.90729475
43;4.8368001
44;4.83279991
45;4.83199978
46;4.83440018
47;8.71825027
48;6.6627059
49;5.04513836
50;4.99534273
51;4.94171524
52;4.97958231
53;3.09732056
54;5.45062304
55;6.09980965
56;7.28686237
57;8.11234093
58;7.89855385
59;7.15641212
60;6.64633083
61;6.29440784
62;6.11470127
63;6.08423328
64;6.60321617
65;5.38205576
66;4.76399994
67;4.71600008
68;4.68400002
69;4.69181395
70;4.70668793
71;8.63393116
72;5.97059011
73;5.10799026
74;5.01468229
75;4.97436857
76;4.99081135
77;4.43161917
78;5.24861002
79;5.79963398
80;6.92111778
81;8.18028831
82;8.43439198
83;8.07589245
84;7.12562656
85;5.9019599
86;5.3555212
87;5.64225435
88;5.34839249
89;4.73199987
90;4.69680071
91;4.69280005
92;4.68442202
93;4.70967722
94;4.76432085
95;8.6988945
96;6.26400518
97;4.88123941
98;4.84224701
99;4.82178688
100;4.93652391
101;5.35654974
102;6.83486891
103;8.10387039
104;7.20289803
105;6.16488266
106;5.7967329
107;5.83890724
108;6.01884127
109;5.86105824
110;5.70685768
111;5.69653797
112;5.95862627
113;4.91646433
114;4.74288034
115;4.69439983
116;4.68885326
117;4.72318935
118;4.74440432
119;8.45860577
120;6.74802446
121;4.96251059
122;4.93514109
123;4.90962696
124;5.0118885
125;5.39427853
126;6.84251261
127;8.07787895
128;7.16195154
129;6.26094866
130;5.7839694
131;5.84473276
132;5.98570347
133;5.80674267
134;5.60015583
135;5.5580039
136;5.27960205
137;4.83166647
138;4.80583334
139;4.7750001
140;4.69333315
141;4.68083334
142;4.67749977
143;8.1270504
144;6.94451714
145;4.86779213
146;4.8437109
147;4.82565212
148;4.97829962
149;5.36466599
150;6.76966047
151;8.01488018
152;7.08934593
153;6.3062191
154;5.77208567
155;5.8300252
156;5.92693186
157;5.78738403
158;5.64676762
159;5.56848764
160;5.96470356
161;4.75551033
162;4.76322985
163;4.7137332
164;4.73977423
165;4.7944665
166;4.82560015
167;8.68625069
168;6.50711823
169;4.90923309
170;4.91954517
171;4.90409374
172;4.51194143
173;2.88900232
174;6.71545935
175;7.92452908
176;7.07938671
177;6.15588856
178;5.8214283
179;5.70724583
180;5.91207027
181;5.7769537
182;5.61386442
183;5.56029415
184;6.02525854
185;6.66410685
186;5.0211997
187;4.80000019
188;4.77920008
189;4.75199986
190;5.84257603
191;8.59177399
192;6.42041445
193;4.82698393
194;4.83311701
195;4.81942225
196;4.95597124
197;4.82224274
198;6.81748819
199;7.99265385
200;7.12390184
201;6.16620398
202;5.83497143
203;5.69720459
204;5.92037201
205;5.69320202
206;5.5305953
207;5.58920431
208;5.89225388
209;6.64629221
210;6.37763262
211;4.73759985
212;4.68640041
213;4.75050974
214;4.81901217
215;8.65803432
216;6.72414207
217;5.05296373
218;4.93044043
219;4.85299492
220;4.98889065
221;4.12121868
222;5.45571852
223;6.14934635
224;7.32971191
225;8.05488777
226;7.83951092
227;7.21250725
228;6.66168594
229;6.30800438
230;6.13736534
231;6.08899546
232;6.45760727
233;4.80880022
234;4.7592001
235;4.77920008
236;4.76800013
237;4.78480005
238;4.80159998
239;8.69585037
240;5.9345932
241;5.08718777
242;4.99152756
243;4.91896439
244;4.91494083
245;3.38735032
246;5.26365662
247;5.8259716
248;7.0353651
249;8.23464775
250;8.40850163
251;7.96581125
252;7.10260201
253;5.80357695
254;5.52195978
255;5.86744404
256;5.60550785
257;4.81406498
258;4.82959986
259;4.83440018
260;4.80319977
261;4.79440022
262;4.77920008
263;8.65105057
264;6.21715546
265;4.83651733
266;4.82587337
267;4.82742119
268;4.92966747
269;4.79936695
270;6.69651794
271;7.92254114
272;7.01964664
273;6.15740204
274;5.71417046
275;5.74205351
276;5.90643215
277;5.80388451
278;5.66736126
279;5.63161278
280;5.92578506
281;6.58888435
282;5.25537491
283;4.6960001
284;4.69329596
285;4.71717167
286;4.75203896
287;8.63650417
288;6.63546848
289;4.94938803
290;4.94305897
291;4.94793606
292;5.07858324
293;5.45568943
294;6.84242392
295;8.11758518
296;7.17932034
297;6.29239178
298;5.83709049
299;5.78923988
300;5.89010525
301;5.71610212
302;5.55127764
303;5.62005329
304;5.42714739
305;4.82416677
306;4.78999996
307;4.78833389
308;4.7458334
309;4.71000004
310;4.66833353
311;7.7968874
312;7.0376091
313;4.7371769
314;4.75251627
315;4.77837515
316;4.86577654
317;5.2191205
318;6.65587568
319;8.08211422
320;7.0754118
321;6.09622097
322;5.79824448
323;5.72102928
324;5.95760012
325;5.61484385
326;4.78000021
327;4.72079992
328;4.74745417
329;4.80583334
330;4.78583336
331;4.76083326
332;4.74500036
333;4.71916676
334;4.70583344
335;8.07816505
336;6.968997
337;4.8811183
338;4.87691736
339;4.85782051
340;4.93244696
341;5.30485725
342;6.82181931
343;8.15380573
344;7.09389591
345;6.14693642
346;5.68491173
347;5.46852493
348;4.64166689
349;4.63166666
350;4.6208334
351;4.6208334
352;4.6133337
353;4.60500002
354;4.59749985
355;4.59833336
356;4.58500004
357;4.59129
358;4.60269928
359;6.97471809
360;7.04773235
361;5.58656263
362;4.75297594
363;4.75435114
364;4.88807297
365;5.30617952
366;6.91948509
367;8.24942589
368;7.09260368
369;4.59932661
370;4.59499979
371;4.63500071
372;4.67333364
373;4.66833353
374;4.65999985
375;4.61583328
376;4.58333349
377;4.59529829
378;4.60812521
379;4.58862877
380;4.59730959
381;4.61770964
382;4.65043497
383;6.65950394
384;6.45997858
385;6.34637547
386;4.98562288
387;4.67290545
388;4.73196793
389;4.90917301
390;5.28946733
391;6.08400631
392;6.68297243
393;4.60347843
394;4.63217402
395;4.64869547
396;4.63652039
397;4.62880421
398;4.65002155
399;4.61130428
400;4.52782679
401;4.46869564
402;4.42504406
403;4.47859383
404;4.48173952
405;4.47043514
406;4.45217371
407;5.68944883
408;4.90164852
409;4.73478413
410;4.59834766
411;4.56232882
412;4.5743351
413;4.36363649
414;4.36363649
415;4.36363649
416;4.36363649
417;4.36999989
418;4.46181822
419;4.43362856
420;4.42956543
421;4.47478247
422;4.48434782
423;4.41652155
424;4.43272734
425;4.409091
426;4.39181805
427;4.32363653
428;4.30999994
429;4.24681807
430;4.14727306
431;4.19523573
432;4.29403067
433;4.29448128
434;4.2920537
435;4.29270363
436;4.29078054
437;4.17491913
438;4.14025497
439;4.28545475
440;4.36363649
441;4.409091
442;4.49433088
443;4.49826097
444;4.59217405
445;4.64644718
446;4.61427402
447;4.59129
448;4.60472965
449;4.63230228
450;4.62434769
451;4.47478247
452;4.43739128
453;4.40782595
454;4.39651442
455;4.87092113
456;5.3861208
457;5.38229418
458;5.3645277
459;5.29030609
460;5.16151094
461;4.42000008
462;4.40636349
463;4.36000013
464;4.31818199
465;4.36363649
466;4.409091
467;4.4173913
468;4.57739115
469;4.64716101
470;4.64869547
471;4.57304335
472;4.43478251
473;4.44988871
474;4.43181801
475;4.43090916
476;4.46000004
477;4.45818233
478;4.43272734
479;4.84233952
480;5.91159296
481;6.08186483
482;5.9131937
483;4.58756781
484;4.72767019
485;5.11754227
486;6.76208973
487;5.1622901
488;4.41652155
489;4.52347803
490;4.64956522
491;4.60812521
492;4.58416653
493;4.61166668
494;4.5958333
495;4.59129
496;4.64431
497;4.60869551
498;4.58869553
499;4.58782625
500;4.5043478
501;4.43578386
502;4.42363644
503;5.60880709
504;5.34287977
505;5.34287977
506;5.30467796
507;5.23373127
508;5.18133974
509;4.22090912
510;4.19114208
511;4.36363649
512;4.36363649
513;4.39409113
514;4.39547014
515;4.65130424
516;4.62750006
517;4.71083355
518;4.74166679
519;4.69083357
520;4.60472965
521;4.60260868
522;4.55304337
523;4.45217371
524;4.45391369
525;4.51999998
526;4.62260866
527;6.05350351
528;8.29839516
529;5.47813702
530;4.93263769
531;4.82446003
532;4.98797655
533;5.36578608
534;6.80098534
535;8.10104561
536;7.13805199
537;6.19357061
538;5.70184565
539;5.71946335
540;5.91876316
541;5.75759602
542;5.58716869
543;4.93931389
544;4.69680071
545;4.72318935
546;4.77978659
547;4.76894712
548;4.79916668
549;4.73750019
550;4.70499992
551;7.95046616
552;7.01944733
553;4.87726688
554;4.8006053
555;4.67996311
556;4.69413567
557;4.85785437
558;5.19394493
559;6.07784033
560;7.38922977
561;8.13611126
562;8.02954578
563;5.1258831
564;4.84000015
565;4.73831797
566;4.7470727
567;4.84958601
568;4.8119998
569;4.80159998
570;4.81040001
571;4.81680012
572;4.82719994
573;4.82719994
574;4.82079983
575;8.53986359
576;6.09403801
577;5.03608418
578;4.89400721
579;4.92475033
580;4.18454361
581;2.47617388
582;5.24626732
583;5.87816525
584;7.01210308
585;8.18248749
586;8.37807083
587;7.73727798
588;6.48761559
589;5.9559269
590;5.73135233
591;5.58278894
592;5.62239027
593;5.14871788
594;4.79760027
595;4.74639988
596;4.71600008
597;4.69680071
598;6.18908501
599;8.63393116
600;6.21252346
601;4.93748617
602;4.91891575
603;4.81410742
604;1.8922509
605;2.29957485
606;5.96838951
607;8.00846291
608;7.14390564
609;6.19665146
610;5.4022131
611;4.99607134
612;4.99067879
613;4.77721119
614;4.62606621
615;4.72858095
616;5.29320812
617;6.13425398
618;6.9950738
619;7.34119034
620;7.16441202
621;6.59688473
622;6.14486456
623;5.97303724
624;3.65357137
625;1.45286417
626;1.43261623
627;1.43212712
628;1.53540003
629;2.20626736
630;5.67920399
631;7.84908199
632;6.84086895
633;5.84697533
634;5.13692093
635;4.95962238
636;5.00640297
637;4.80131769
638;4.56919289
639;3.20559525
640;3.63776731
641;4.85100937
642;6.68784046
643;6.92592525
644;6.63198185
645;6.08234692
646;5.6303606
647;5.47907162
648;4.21801519
649;1.42907834
650;1.41533339
651;1.4632535
652;1.59799445
653;2.26291943
654;5.84142637
655;7.31077433
656;6.54273796
657;5.80587816
658;5.41001415
659;5.47660398
660;5.70162582
661;5.58084345
662;5.47353363
663;5.50436544
664;5.84454775
665;6.4025898
666;7.09014463
667;7.47920847
668;7.27313423
669;6.67951107
670;6.21888161
671;6.03958225
672;4.89127922
673;4.90650225
674;2.02492189
675;1.68262851
676;1.86559284
677;2.53976488
678;6.66416836
679;8.02184868
680;7.12770367
681;6.21215916
682;5.69792461
683;5.67976093
684;5.68980885
685;5.46316957
686;5.28743935
687;5.34009647
688;5.82045078
689;6.49139023
690;7.32663822
691;7.77751541
692;7.47136879
693;6.32274103
694;6.7805891
695;6.10582876
696;4.86958885
697;4.82642269
698;4.84163284
699;4.59563255
700;2.21333838
701;2.99841213
702;6.73065853
703;7.95812845
704;7.11273146
705;6.17713594
706;5.73871613
707;5.55652809
708;5.69345045
709;5.53608513
710;5.36410761
711;5.37208176
712;5.77236176
713;6.57324886
714;7.36121273
715;7.74632311
716;4.94170427
717;4.82775116
718;5.03249836
719;8.66065025
720;6.5691576
721;4.9360199
722;4.88180828
723;4.85510635
724;4.99740648
725;3.88751841
726;5.4810009
727;6.05745459
728;7.24038982
729;8.09624481
730;7.92172527
731;7.28715944
732;6.74547291
733;6.37776995
734;6.1985836
735;6.16032982
736;5.7854495
737;4.70590162
738;4.57801533
739;4.64941931
740;4.72741175
741;4.75307703
742;4.71923065
743;8.59618378
744;5.91507196
745;5.12608385
746;5.0084157
747;4.92780733
748;4.92403126
749;4.09441185
750;5.27228451
751;5.88668489
752;7.07089901
753;8.24458885
754;8.347229
755;8.09329319
756;7.09600067
757;5.59703636
758;4.85673237
759;5.23918486
760;4.91211987
761;4.7051959
762;4.80794716
763;4.75583363
764;4.72666645
765;4.70166683
766;4.67416668
767;8.07777977
768;6.56652737
769;4.74856758
770;4.72278452
771;4.74094772
772;4.88760614
773;5.29693604
774;6.81574154
775;8.14669132
776;7.07944489
777;6.26700306
778;5.8333025
779;5.77006817
780;5.97031784
781;4.77040052
782;4.73120022
783;4.68147278
784;4.78289461
785;4.78000021
786;4.73416662
787;4.69666672
788;4.66250038
789;4.625
790;4.59416676
791;7.56997204
792;7.30876637
793;4.7895155
794;4.78689766
795;4.7935524
796;4.92079735
797;5.31094503
798;6.83367157
799;8.23037624
800;7.15469074
801;6.27325296
802;5.83162308
803;5.68015289
804;4.70668793
805;4.72469616
806;4.72017813
807;4.73679924
808;4.82166719
809;4.72583342
810;4.63000011
811;4.58796501
812;4.60405302
813;4.6013484
814;4.60812521
815;7.16787434
816;7.22494364
817;5.28097582
818;4.76426268
819;4.75168371
820;4.88142967
821;5.294384
822;6.9297924
823;8.23267269
824;7.15089035
825;5.84704018
826;4.8083334
827;4.79538012
828;4.74288034
829;4.70967722
830;4.75357008
831;4.8083334
832;4.72916651
833;4.66916656
834;4.64499998
835;4.59529829
836;4.59663916
837;4.64359856
838;4.63739109
839;6.85828876
840;7.39193153
841;5.37776423
842;4.71608496
843;4.69377184
844;4.82261324
845;5.23822784
846;6.83226681
847;8.22046471
848;7.13251543
849;6.09284687
850;4.75666666
851;4.79851341
852;4.6960001
853;4.73920059
854;4.73920059
855;4.7104001
856;4.77513361
857;4.75750017
858;4.67583323
859;4.5859766
860;4.61702108
861;4.63511181
862;4.64787531
863;7.23049498
864;7.59239101
865;4.82808781
866;4.72225475
867;4.71181822
868;4.84512138
869;5.2504282
870;6.79426813
871;8.16417313
872;7.10230112
873;6.23938417
874;5.85515928
875;5.5499115
876;4.76639986
877;4.83279991
878;4.80499411
879;4.82800007
880;4.71600008
881;4.80083323
882;4.68416643
883;4.59395981
884;4.64431
885;4.59652233
886;4.57913113
887;7.26140547
888;6.96492958
889;5.53010035
890;4.84357452
891;4.79011774
892;4.84440517
893;5.01828861
894;5.36033535
895;6.07736397
896;7.45579672
897;8.2850399
898;4.67511034
899;4.7249999
900;4.79583311
901;4.81416655
902;4.80333328
903;4.76583338
904;4.70749998
905;4.65083313
906;4.60666656
907;4.60540771
908;4.62880421
909;4.63652039
910;4.63913059
911;6.81847
912;7.19848633
913;5.18744469
914;4.85350847
915;4.80326891
916;4.8012042
917;4.88479233
918;5.20765781
919;5.89914274
920;7.11259651
921;8.34827805
922;6.25628757
923;4.71833324
924;4.76749992
925;4.79416704
926;4.81166649
927;4.80416679
928;4.75500011
929;4.69999981
930;4.67416668
931;4.59666729
932;4.63020182
933;4.63304329
934;4.61826086
935;6.87487125
936;7.11149311
937;5.25065327
938;4.73625708
939;4.67931128
940;4.80621862
941;5.25128794
942;6.82529831
943;8.28988075
944;7.17074871
945;5.20624971
946;4.74592829
947;4.72320032
948;4.77279997
949;4.81840038
950;4.82000017
951;4.78719997
952;4.71199989
953;4.778234
954;4.75333309
955;4.67916727
956;4.61666679
957;4.58333349
958;4.63934422
959;6.91010666
960;6.9408083
961;5.61119461
962;4.66633081
963;4.65823555
964;4.80682087
965;5.2701683
966;6.94178152
967;8.29218197
968;6.72417736
969;4.74916649
970;4.78600836
971;4.70668793
972;4.68959999
973;4.69181395
974;4.67999983
975;4.76278114
976;4.81583357
977;4.72249985
978;4.62750006
979;4.59749985
980;4.60083342
981;4.61666679
982;4.61583328
983;7.09165096
984;7.66406727
985;4.7993598
986;4.75033903
987;4.74100256
988;4.85231543
989;5.28577423
990;6.84993267
991;8.25506401
992;7.25113678
993;6.36394978
994;5.85411263
995;5.59894466
996;4.71759987
997;4.7487998
998;4.74960041
999;4.73759985
1000;4.70480013
1001;4.72318935
1002;4.79381466
1003;4.79166651
1004;4.77583313
1005;4.77833319
1006;4.76749992
1007;7.84670353
1008;7.28078651
1009;4.8291707
1010;4.81394434
1011;4.81384993
1012;4.93377399
1013;5.32307053
1014;6.80360985
1015;8.13293076
1016;7.10054731
1017;6.21533871
1018;5.78565693
1019;5.84317207
1020;5.45614243
1021;4.81583357
1022;4.80166674
1023;4.76666737
1024;4.71083355
1025;4.64583397
1026;4.59798145
1027;4.65043497
1028;4.63130426
1029;4.58521795
1030;4.54869556
1031;6.91237879
1032;7.22854805
1033;5.17503691
1034;4.60724688
1035;4.57526827
1036;4.68719196
1037;5.08749723
1038;6.66550732
1039;8.01920986
1040;7.08069372
1041;6.15761137
1042;4.87157059
1043;4.81083393
1044;4.76278114
1045;4.73376656
1046;4.73225164
1047;4.77978659
1048;4.75833321
1049;4.61416674
1050;4.64359856
1051;4.61304331
1052;4.57999992
1053;4.55739117
1054;4.52956533
1055;6.96617985
1056;6.93240023
1057;5.38266325
1058;4.6200242
1059;4.57009268
1060;4.64316845
1061;4.82615566
1062;5.21289825
1063;5.97657204
1064;7.33264923
1065;8.29961777
1066;5.27610493
1067;4.7791667
1068;4.77203751
1069;4.67999983
1070;4.69920015
1071;4.68294621
1072;4.81750011
1073;4.63916683
1074;4.63440895
1075;4.63217402
1076;4.57478237
1077;4.55913067
1078;4.56695652
1079;7.15004635
1080;7.0320611
1081;4.87874413
1082;4.82903957
1083;4.81210375
1084;4.81927729
1085;4.91865206
1086;5.20931101
1087;5.80585432
1088;7.06670189
1089;8.3651495
1090;8.529356
1091;4.960742
1092;4.75357008
1093;4.69200039
1094;4.72959995
1095;4.79279995
1096;4.81120014
1097;4.81840038
1098;4.82800007
1099;4.80240011
1100;4.80319977
1101;4.79920006
1102;4.79200029
1103;8.30791664
1104;6.61812687
1105;4.90953732
1106;4.89705276
1107;4.88318539
1108;4.97862577
1109;4.52317095
1110;6.7258997
1111;8.03561115
1112;7.07757664
1113;6.23829937
1114;5.82326126
1115;5.72801208
1116;5.94904613
1117;5.78771591
1118;5.61886358
1119;5.58543444
1120;6.03372002
1121;6.59989357
1122;6.26460552
1123;4.80583334
1124;4.72583342
1125;4.61499977
1126;4.62254477
1127;8.07044029
1128;6.78037548
1129;4.78250074
1130;4.81579685
1131;4.83664608
1132;4.94867277
1133;5.35455513
1134;6.89749432
1135;8.25081539
1136;7.19837475
1137;6.26505995
1138;5.77667999
1139;5.79338789
1140;4.78162766
1141;4.74166679
1142;4.74666643
1143;4.7166667
1144;4.68666649
1145;4.66166687
1146;4.64916658
1147;4.62249994
1148;4.61583328
1149;4.60666656
1150;4.5999999
1151;7.14986467
1152;7.0692234
1153;5.3993721
1154;4.70869732
1155;4.74765968
1156;4.87530661
1157;5.28992414
1158;6.95729446
1159;8.10959435
1160;6.44410658
1161;4.57739115
1162;4.59129
1163;4.67083311
1164;4.74500036
1165;4.77250004
1166;4.78916645
1167;4.79083347
1168;4.77250004
1169;4.73500013
1170;4.66499996
1171;4.60750055
1172;4.62740898
1173;4.64260864
1174;4.59304333
1175;6.52627468
1176;6.35876417
1177;6.3866291
1178;4.68730068
1179;4.54354286
1180;4.68871117
1181;5.12362432
1182;6.78436184
1183;6.0164628
1184;4.409091
1185;4.47913027
1186;4.58869553
1187;4.63160133
1188;4.59749985
1189;4.65916681
1190;4.69000053
1191;4.68833351
1192;4.67416668
1193;4.64666653
1194;4.59916687
1195;4.62260866
1196;4.63652229
1197;4.63722515
1198;4.64173985
1199;6.31723261
1200;6.64309311
1201;6.57865286
1202;4.69793653
1203;4.6901145
1204;4.83452082
1205;5.24278927
1206;6.89640474
1207;7.78071594
1208;4.60260868
1209;4.59478283
1210;4.63500071
1211;4.68916655
1212;4.72583342
1213;4.7541666
1214;4.74083328
1215;4.7166667
1216;4.68249989
1217;4.60750055
1218;4.61633348
1219;4.60695648
1220;4.52956533
1221;4.4956522
1222;4.43652153
1223;5.88112926
1224;6.53765583
1225;6.53932333
1226;4.92904806
1227;4.60140467
1228;4.71448851
1229;4.81981564
1230;5.20015335
1231;5.9635601
1232;7.42654991
1233;5.13313532
1234;4.62750006
1235;4.70416689
1236;4.77250004
1237;4.79583311
1238;4.79833317
1239;4.78666687
1240;4.71916676
1241;4.60666656
1242;4.63090134
1243;4.62260866
1244;4.57043457
1245;4.53565216
1246;4.5086956
1247;6.51585007
1248;6.68763781
1249;5.5006628
1250;4.65320683
1251;4.60555506
