Index;Wert
0;0.347917676
1;0.260938257
2;0.260938257
3;0.260938257
4;0.608855903
5;1.7395885
6;6.08855915
7;9.56773663
8;6.52345657
9;3.91407394
10;2.60938263
11;2.60938263
12;3.04427958
13;2.60938263
14;2.17448545
15;2.17448545
16;3.04427958
17;4.78386831
18;6.958354
19;7.82814789
20;6.958354
21;5.21876526
22;3.91407394
23;3.479177
24;0.347917676
25;0.260938257
26;0.260938257
27;0.260938257
28;0.608855903
29;1.7395885
30;6.08855915
31;9.56773663
32;6.52345657
33;3.91407394
34;2.60938263
35;2.60938263
36;3.04427958
37;2.60938263
38;2.17448545
39;2.17448545
40;3.04427958
41;4.78386831
42;6.958354
43;7.82814789
44;6.958354
45;5.21876526
46;3.91407394
47;3.479177
48;0.599191546
49;0.499326289
50;0.399461031
51;0.299595773
52;0.499326289
53;0.998652577
54;1.99730515
55;3.99461031
56;7.48989487
57;9.48719978
58;8.48854733
59;6.49124241
60;4.99326277
61;3.99461031
62;3.49528432
63;3.49528432
64;4.49393654
65;5.9919157
66;7.48989487
67;7.48989487
68;6.99056864
69;5.19299364
70;3.49528432
71;1.49797893
72;0.76670748
73;0.657177806
74;0.438118577
75;0.328588903
76;0.438118577
77;0.76670748
78;1.64294457
79;3.28588915
80;6.5717783
81;9.85766697
82;10.4053154
83;8.21472263
84;6.02413034
85;4.92883348
86;4.38118553
87;3.83353758
88;4.92883348
89;6.5717783
90;8.21472263
91;8.21472263
92;7.11942673
93;5.47648191
94;3.72400784
95;2.73824096
96;0.347917676
97;0.260938257
98;0.260938257
99;0.260938257
100;0.608855903
101;1.7395885
102;6.08855915
103;9.56773663
104;6.52345657
105;3.91407394
106;2.60938263
107;2.60938263
108;3.04427958
109;2.60938263
110;2.17448545
111;2.17448545
112;3.04427958
113;4.78386831
114;6.958354
115;7.82814789
116;6.958354
117;5.21876526
118;3.91407394
119;3.479177
120;0.347917676
121;0.260938257
122;0.260938257
123;0.260938257
124;0.608855903
125;1.7395885
126;6.08855915
127;9.56773663
128;6.52345657
129;3.91407394
130;2.60938263
131;2.60938263
132;3.04427958
133;2.60938263
134;2.17448545
135;2.17448545
136;3.04427958
137;4.78386831
138;6.958354
139;7.82814789
140;6.958354
141;5.21876526
142;3.91407394
143;3.479177
144;0.347917676
145;0.260938257
146;0.260938257
147;0.260938257
148;0.608855903
149;1.7395885
150;6.08855915
151;9.56773663
152;6.52345657
153;3.91407394
154;2.60938263
155;2.60938263
156;3.04427958
157;2.60938263
158;2.17448545
159;2.17448545
160;3.04427958
161;4.78386831
162;6.958354
163;7.82814789
164;6.958354
165;5.21876526
166;3.91407394
167;3.479177
168;0.347917676
169;0.260938257
170;0.260938257
171;0.260938257
172;0.608855903
173;1.7395885
174;6.08855915
175;9.56773663
176;6.52345657
177;3.91407394
178;2.60938263
179;2.60938263
180;3.04427958
181;2.60938263
182;2.17448545
183;2.17448545
184;3.04427958
185;4.78386831
186;6.958354
187;7.82814789
188;6.958354
189;5.21876526
190;3.91407394
191;3.479177
192;0.347917676
193;0.260938257
194;0.260938257
195;0.260938257
196;0.608855903
197;1.7395885
198;6.08855915
199;9.56773663
200;6.52345657
201;3.91407394
202;2.60938263
203;2.60938263
204;3.04427958
205;2.60938263
206;2.17448545
207;2.17448545
208;3.04427958
209;4.78386831
210;6.958354
211;7.82814789
212;6.958354
213;5.21876526
214;3.91407394
215;3.479177
216;0.599191546
217;0.499326289
218;0.399461031
219;0.299595773
220;0.499326289
221;0.998652577
222;1.99730515
223;3.99461031
224;7.48989487
225;9.48719978
226;8.48854733
227;6.49124241
228;4.99326277
229;3.99461031
230;3.49528432
231;3.49528432
232;4.49393654
233;5.9919157
234;7.48989487
235;7.48989487
236;6.99056864
237;5.19299364
238;3.49528432
239;1.49797893
240;0.76670748
241;0.657177806
242;0.438118577
243;0.328588903
244;0.438118577
245;0.76670748
246;1.64294457
247;3.28588915
248;6.5717783
249;9.85766697
250;10.4053154
251;8.21472263
252;6.02413034
253;4.92883348
254;4.38118553
255;3.83353758
256;4.92883348
257;6.5717783
258;8.21472263
259;8.21472263
260;7.11942673
261;5.47648191
262;3.72400784
263;2.73824096
264;0.347917676
265;0.260938257
266;0.260938257
267;0.260938257
268;0.608855903
269;1.7395885
270;6.08855915
271;9.56773663
272;6.52345657
273;3.91407394
274;2.60938263
275;2.60938263
