Index;Wert
0;4.76837158E-07
1;4.76837158E-07
2;4.76837158E-07
3;4.76837158E-07
4;0
5;5.38522339
6;5.9103055
7;5.9103055
8;5.66965055
9;5.66965055
10;5.66965055
11;5.66965055
12;5.77052498
13;5.77052498
14;5.77052498
15;5.77052498
16;5.71121264
17;5.71121264
18;5.71121264
19;5.71121264
20;6.92366266
21;6.92366266
22;6.92366266
23;6.92366266
24;16.4709473
25;16.4709473
26;16.4709473
27;16.4709473
28;18.1766243
29;18.1766243
30;18.1766243
31;18.1766243
32;17.8158722
33;17.8158722
34;17.8158722
35;17.8158722
36;17.1764126
37;17.1764126
38;17.1764126
39;17.1764126
40;17.139967
41;17.139967
42;17.139967
43;17.139967
44;16.8749199
45;16.8749199
46;16.8749199
47;16.8749199
48;15.3746786
49;15.3746786
50;15.3746786
51;15.3746786
52;14.3039618
53;14.3039618
54;14.3039618
55;14.3039618
56;13.3089685
57;13.3089685
58;13.3089685
59;13.3089685
60;12.5861692
61;12.5861692
62;12.5861692
63;12.5861692
64;12.3593874
65;12.3593874
66;12.3593874
67;12.3593874
68;14.2873526
69;14.2873526
70;14.2873526
71;14.2873526
72;16.1805191
73;16.1805191
74;16.1805191
75;16.1805191
76;16.1011906
77;16.1011906
78;16.1011906
79;16.1011906
80;15.6638489
81;15.6638489
82;15.6638489
83;15.6638489
84;15.7040539
85;15.7040539
86;15.7040539
87;15.7040539
88;15.1861095
89;15.1861095
90;15.1861095
91;15.1861095
92;7.50946903
93;7.50946903
94;7.50946903
95;7.50946903
96;6.54310799
97;6.54310799
98;6.54310799
99;6.54310799
100;5.57291269
101;5.57291269
102;5.57291269
103;5.57291269
104;5.66698599
105;5.66698599
106;5.66698599
107;5.66698599
108;5.54442596
109;5.54442596
110;5.54442596
111;5.54442596
112;5.58927202
113;5.58927202
114;5.58927202
115;5.58927202
116;6.77184772
117;6.77184772
118;6.77184772
119;6.77184772
120;15.9940948
121;15.9940948
122;15.9940948
123;15.9940948
124;17.2164993
125;17.2164993
126;17.2164993
127;17.2164993
128;17.33918
129;17.33918
130;17.33918
131;17.33918
132;17.2556286
133;17.2556286
134;17.2556286
135;17.2556286
136;16.9263248
137;16.9263248
138;16.9263248
139;16.9263248
140;16.6292057
141;16.6292057
142;16.6292057
143;16.6292057
144;15.4449682
145;15.4449682
146;15.4449682
147;15.4449682
148;13.7368574
149;13.7368574
150;13.7368574
151;13.7368574
152;12.4695263
153;12.4695263
154;12.4695263
155;12.4695263
156;12.1912241
157;12.1912241
158;12.1912241
159;12.1912241
160;11.5192947
161;11.5192947
162;11.5192947
163;11.5192947
164;12.9985542
165;12.9985542
166;12.9985542
167;12.9985542
168;14.9649734
169;14.9649734
170;14.9649734
171;14.9649734
172;14.4880819
173;14.4880819
174;14.4880819
175;14.4880819
176;14.4881802
177;14.4881802
178;14.4881802
179;14.4881802
180;14.547821
181;14.547821
182;14.547821
183;14.547821
184;13.6348877
185;13.6348877
186;13.6348877
187;13.6348877
188;6.00916958
189;6.00916958
190;6.00916958
191;6.00916958
192;5.10162544
193;5.10162544
194;5.10162544
195;5.10162544
196;4.35250759
197;4.35250759
198;4.35250759
199;4.35250759
200;4.30551815
201;4.30551815
202;4.30551815
203;4.30551815
204;4.2404232
205;4.2404232
206;4.2404232
207;4.2404232
208;3.91058803
209;3.91058803
210;3.91058803
211;3.91058803
212;3.77974725
213;3.77974725
214;3.77974725
215;3.77974725
216;10.6462479
217;10.6462479
218;10.6462479
219;10.6462479
220;14.2357292
221;14.2357292
222;14.2357292
223;14.2357292
224;14.1477451
225;14.1477451
226;14.1477451
227;14.1477451
228;13.7260447
229;13.7260447
230;13.7260447
231;13.7260447
232;12.367795
233;12.367795
234;12.367795
235;12.367795
236;10.1603222
237;10.1603222
238;10.1603222
239;10.1603222
240;9.65442562
241;9.65442562
242;9.65442562
243;9.65442562
244;8.77374649
245;8.77374649
246;8.77374649
247;8.77374649
248;7.75494719
249;7.75494719
250;7.75494719
251;7.75494719
252;7.08039522
253;7.08039522
254;7.08039522
255;7.08039522
256;7.50190258
257;7.50190258
258;7.50190258
259;7.50190258
260;9.89659023
261;9.89659023
262;9.89659023
263;9.89659023
264;14.450223
265;14.450223
266;14.450223
267;14.450223
268;14.4317226
269;14.4317226
270;14.4317226
271;14.4317226
272;14.5121994
273;14.5121994
274;14.5121994
275;14.5121994
276;14.4727821
277;14.4727821
278;14.4727821
279;14.4727821
280;11.5894356
281;11.5894356
282;11.5894356
283;11.5894356
284;5.59801006
285;5.59801006
286;5.59801006
287;5.59801006
288;4.83251667
289;4.83251667
290;4.83251667
291;4.83251667
292;4.74331951
293;4.74331951
294;4.74331951
295;4.74331951
296;4.77787876
297;4.77787876
298;4.77787876
299;4.77787876
300;4.75646496
301;4.75646496
302;4.75646496
303;4.75646496
304;3.74221539
305;3.74221539
306;3.74221539
307;3.74221539
308;4.47678185
309;4.47678185
310;4.47678185
311;4.47678185
312;11.9577084
313;11.9577084
314;11.9577084
315;11.9577084
316;14.472003
317;14.472003
318;14.472003
319;14.472003
320;14.118185
321;14.118185
322;14.118185
323;14.118185
324;13.5318079
325;13.5318079
326;13.5318079
327;13.5318079
328;12.9609957
329;12.9609957
330;12.9609957
331;12.9609957
332;11.8763285
333;11.8763285
334;11.8763285
335;11.8763285
336;10.6160622
337;10.6160622
338;10.6160622
339;10.6160622
340;9.43753529
341;9.43753529
342;9.43753529
343;9.43753529
344;8.61524677
345;8.61524677
346;8.61524677
347;8.61524677
348;8.3536644
349;8.3536644
350;8.3536644
351;8.3536644
352;8.79120445
353;8.79120445
354;8.79120445
355;8.79120445
356;10.7385807
357;10.7385807
358;10.7385807
359;10.7385807
360;14.4720526
361;14.4720526
362;14.4720526
363;14.4720526
364;14.4721756
365;14.4721756
366;14.4721756
367;14.4721756
368;14.6912651
369;14.6912651
370;14.6912651
371;14.6912651
372;16.3610992
373;16.3610992
374;16.3610992
375;16.3610992
376;14.6067924
377;14.6067924
378;14.6067924
379;14.6067924
380;7.09439754
381;7.09439754
382;7.09439754
383;7.09439754
384;5.95509529
385;5.95509529
386;5.95509529
387;5.95509529
388;5.77803516
389;5.77803516
390;5.77803516
391;5.77803516
392;5.65410471
393;5.65410471
394;5.65410471
395;5.65410471
396;5.86208057
397;5.86208057
398;5.86208057
399;5.86208057
400;6.14944172
401;6.14944172
402;6.14944172
403;6.14944172
404;6.99791336
405;6.99791336
406;6.99791336
407;6.99791336
408;15.957222
409;15.957222
410;15.957222
411;15.957222
412;17.7141247
413;17.7141247
414;17.7141247
415;17.7141247
416;17.6510391
417;17.6510391
418;17.6510391
419;17.6510391
420;17.5386887
421;17.5386887
422;17.5386887
423;17.5386887
424;17.7203922
425;17.7203922
426;17.7203922
427;17.7203922
428;16.7648983
429;16.7648983
430;16.7648983
431;16.7648983
432;15.7493782
433;15.7493782
434;15.7493782
435;15.7493782
436;14.8509712
437;14.8509712
438;14.8509712
439;14.8509712
440;13.7731895
441;13.7731895
442;13.7731895
443;13.7731895
444;13.2867861
445;13.2867861
446;13.2867861
447;13.2867861
448;13.2428246
449;13.2428246
450;13.2428246
451;13.2428246
452;14.7044725
453;14.7044725
454;14.7044725
455;14.7044725
456;16.2026939
457;16.2026939
458;16.2026939
459;16.2026939
460;16.1415215
461;16.1415215
462;16.1415215
463;16.1415215
464;16.2017479
465;16.2017479
466;16.2017479
467;16.2017479
468;15.9837341
469;15.9837341
470;15.9837341
471;15.9837341
472;14.5414257
473;14.5414257
474;14.5414257
475;14.5414257
476;7.10160446
477;7.10160446
478;7.10160446
479;7.10160446
480;6.56308746
481;6.56308746
482;6.56308746
483;6.56308746
484;5.91347361
485;5.91347361
486;5.91347361
487;5.91347361
488;5.76428986
489;5.76428986
490;5.76428986
491;5.76428986
492;5.63679647
493;5.63679647
494;5.63679647
495;5.63679647
496;5.56339455
497;5.56339455
498;5.56339455
499;5.56339455
500;7.12325668
501;7.12325668
502;7.12325668
503;7.12325668
504;17.0756798
505;17.0756798
506;17.0756798
507;17.0756798
508;18.9793606
509;18.9793606
510;18.9793606
511;18.9793606
512;18.6850929
513;18.6850929
514;18.6850929
515;18.6850929
516;18.0364532
517;18.0364532
518;18.0364532
519;18.0364532
520;17.9259434
521;17.9259434
522;17.9259434
523;17.9259434
524;17.207159
525;17.207159
526;17.207159
527;17.207159
528;15.9400358
529;15.9400358
530;15.9400358
531;15.9400358
532;15.02841
533;15.02841
534;15.02841
535;15.02841
536;14.3079929
537;14.3079929
538;14.3079929
539;14.3079929
540;14.286849
541;14.286849
542;14.286849
543;14.286849
544;14.4355783
545;14.4355783
546;14.4355783
547;14.4355783
548;14.7187481
549;14.7187481
550;14.7187481
551;14.7187481
552;16.1166153
553;16.1166153
554;16.1166153
555;16.1166153
556;16.0702152
557;16.0702152
558;16.0702152
559;16.0702152
560;16.0464115
561;16.0464115
562;16.0464115
563;16.0464115
564;16.1314926
565;16.1314926
566;16.1314926
567;16.1314926
568;14.9892712
569;14.9892712
570;14.9892712
571;14.9892712
572;7.66770363
573;7.66770363
574;7.66770363
575;7.66770363
576;6.35302639
577;6.35302639
578;6.35302639
579;6.35302639
580;5.90395975
581;5.90395975
582;5.90395975
583;5.90395975
584;5.48777485
585;5.48777485
586;5.48777485
587;5.48777485
588;5.33893871
589;5.33893871
590;5.33893871
591;5.33893871
592;5.37433624
593;5.37433624
594;5.37433624
595;5.37433624
596;6.47552776
597;6.47552776
598;6.47552776
599;6.47552776
600;15.5842628
601;15.5842628
602;15.5842628
603;15.5842628
604;18.6075287
605;18.6075287
606;18.6075287
607;18.6075287
608;18.2311916
609;18.2311916
610;18.2311916
611;18.2311916
612;17.2747822
613;17.2747822
614;17.2747822
615;17.2747822
616;17.2369308
617;17.2369308
618;17.2369308
619;17.2369308
620;16.5260983
621;16.5260983
622;16.5260983
623;16.5260983
624;15.0020313
625;15.0020313
626;15.0020313
627;15.0020313
628;14.7436028
629;14.7436028
630;14.7436028
631;14.7436028
632;14.2972479
633;14.2972479
634;14.2972479
635;14.2972479
636;13.7891397
637;13.7891397
638;13.7891397
639;13.7891397
640;14.2526379
641;14.2526379
642;14.2526379
643;14.2526379
644;13.5889225
645;13.5889225
646;13.5889225
647;13.5889225
648;16.1564369
649;16.1564369
650;16.1564369
651;16.1564369
652;16.0763321
653;16.0763321
654;16.0763321
655;16.0763321
656;16.1958942
657;16.1958942
658;16.1958942
659;16.1958942
660;15.9779615
661;15.9779615
662;15.9779615
663;15.9779615
664;14.0644703
665;14.0644703
666;14.0644703
667;14.0644703
668;5.95673561
669;5.95673561
670;5.95673561
671;5.95673561
672;4.19874716
673;4.19874716
674;4.19874716
675;4.19874716
676;3.94468856
677;3.94468856
678;3.94468856
679;3.94468856
680;3.70796704
681;3.70796704
682;3.70796704
683;3.70796704
684;3.81783009
685;3.81783009
686;3.81783009
687;3.81783009
688;3.83367157
689;3.83367157
690;3.83367157
691;3.83367157
692;4.59989595
693;4.59989595
694;4.59989595
695;4.59989595
696;12.0077934
697;12.0077934
698;12.0077934
699;12.0077934
700;18.1031742
701;18.1031742
702;18.1031742
703;18.1031742
704;17.6503792
705;17.6503792
706;17.6503792
707;17.6503792
708;16.7915745
709;16.7915745
710;16.7915745
711;16.7915745
712;14.3542719
713;14.3542719
714;14.3542719
715;14.3542719
716;12.376173
717;12.376173
718;12.376173
719;12.376173
720;10.9778547
721;10.9778547
722;10.9778547
723;10.9778547
724;11.3488064
725;11.3488064
726;11.3488064
727;11.3488064
728;11.7801828
729;11.7801828
730;11.7801828
731;11.7801828
732;11.4724092
733;11.4724092
734;11.4724092
735;11.4724092
736;11.1827087
737;11.1827087
738;11.1827087
739;11.1827087
740;11.7294226
741;11.7294226
742;11.7294226
743;11.7294226
744;14.8664036
745;14.8664036
746;14.8664036
747;14.8664036
748;14.1238842
749;14.1238842
750;14.1238842
751;14.1238842
752;13.3950586
753;13.3950586
754;13.3950586
755;13.3950586
756;12.6067829
757;12.6067829
758;12.6067829
759;12.6067829
760;10.2220707
761;10.2220707
762;10.2220707
763;10.2220707
764;6.00457382
765;6.00457382
766;6.00457382
767;6.00457382
768;6.38995314
769;6.38995314
770;6.38995314
771;6.38995314
772;5.36042929
773;5.36042929
774;5.36042929
775;5.36042929
776;5.38387299
777;5.38387299
778;5.38387299
779;5.38387299
780;5.24433756
781;5.24433756
782;5.24433756
783;5.24433756
784;5.297616
785;5.297616
786;5.297616
787;5.297616
788;6.54994392
789;6.54994392
790;6.54994392
791;6.54994392
792;15.5513134
793;15.5513134
794;15.5513134
795;15.5513134
796;17.2165527
797;17.2165527
798;17.2165527
799;17.2165527
800;17.2239628
801;17.2239628
802;17.2239628
803;17.2239628
804;16.9236755
805;16.9236755
806;16.9236755
807;16.9236755
808;16.9411335
809;16.9411335
810;16.9411335
811;16.9411335
812;16.2603416
813;16.2603416
814;16.2603416
815;16.2603416
816;14.4716291
817;14.4716291
818;14.4716291
819;14.4716291
820;12.3203964
821;12.3203964
822;12.3203964
823;12.3203964
824;11.1067343
825;11.1067343
826;11.1067343
827;11.1067343
828;11.0810413
829;11.0810413
830;11.0810413
831;11.0810413
832;10.7631044
833;10.7631044
834;10.7631044
835;10.7631044
836;12.4235077
837;12.4235077
838;12.4235077
839;12.4235077
840;14.9655495
841;14.9655495
842;14.9655495
843;14.9655495
844;14.4907122
845;14.4907122
846;14.4907122
847;14.4907122
848;14.4922495
849;14.4922495
850;14.4922495
851;14.4922495
852;14.5533066
853;14.5533066
854;14.5533066
855;14.5533066
856;13.9780159
857;13.9780159
858;13.9780159
859;13.9780159
860;6.61658001
861;6.61658001
862;6.61658001
863;6.61658001
864;6.1497221
865;6.1497221
866;6.1497221
867;6.1497221
868;5.38932371
869;5.38932371
870;5.38932371
871;5.38932371
872;5.1755414
873;5.1755414
874;5.1755414
875;5.1755414
876;4.84774446
877;4.84774446
878;4.84774446
879;4.84774446
880;4.17922544
881;4.17922544
882;4.17922544
883;4.17922544
884;3.94135046
885;3.94135046
886;3.94135046
887;3.94135046
888;11.08255
889;11.08255
890;11.08255
891;11.08255
892;14.4091654
893;14.4091654
894;14.4091654
895;14.4091654
896;14.3018951
897;14.3018951
898;14.3018951
899;14.3018951
900;14.0766153
901;14.0766153
902;14.0766153
903;14.0766153
904;13.2673321
905;13.2673321
906;13.2673321
