Index;Wert
0;26.6195374
1;25.6642303
2;26.5715771
3;31.2961655
4;54.5313911
5;70.0522079
6;65.5239029
7;64.1377487
8;61.8154335
9;56.7283173
10;55.7422409
11;55.7382469
12;57.6720505
13;54.1234093
14;55.552372
15;60.8037872
16;71.2578964
17;84.2138214
18;90.7843628
19;89.562088
20;84.1615601
21;61.1108398
22;23.9167652
23;24.0893631
24;23.5924358
25;22.6769409
26;23.5464706
27;28.0741138
28;50.3408051
29;65.2146301
30;60.9371719
31;59.7329636
32;57.5074539
33;52.6634254
34;51.7494965
35;51.7456779
36;53.6299019
37;50.1981468
38;51.5675468
39;56.6311073
40;66.7425537
41;79.3446732
42;85.8275757
43;84.7804108
44;79.542923
45;57.1116066
46;22.0860023
47;22.0680008
48;22.0499992
49;22.0419998
50;22.026001
51;21.9960003
52;31.6498508
53;50.7036362
54;43.3161774
55;40.2502975
56;45.9905434
57;44.2731171
58;45.4135132
59;45.4086189
60;42.5149498
61;37.9843369
62;40.8269463
63;48.5362968
64;60.8042336
65;72.312561
66;72.7168884
67;62.1177979
68;49.6977234
69;27.1025753
70;21.6819992
71;21.6580009
72;21.6040001
73;21.5680008
74;21.5559998
75;21.566
76;40.3647575
77;61.5569878
78;53.3404236
79;47.3806152
80;51.2563095
81;50.911293
82;52.2141991
83;53.1252747
84;51.08284
85;44.5047035
86;47.3723488
87;55.3589478
88;68.4157562
89;79.0886536
90;78.2933044
91;67.0581207
92;57.1351509
93;35.0131149
94;21.6439991
95;21.5760002
96;21.4899998
97;21.3840008
98;21.2980003
99;25.2396927
100;46.6543541
101;60.9590416
102;55.4128952
103;51.3900452
104;51.227253
105;49.0875587
106;48.2371025
107;48.2334213
108;50.0740623
109;46.7451172
110;48.0621185
111;52.9604187
112;62.7704391
113;75.0613098
114;81.4671097
115;80.5739975
116;75.4799347
117;53.5935059
118;21.6570034
119;21.6429996
120;21.618
121;21.5779991
122;21.5200005
123;25.6910248
124;47.2413521
125;61.6366692
126;57.5447388
127;56.4751015
128;54.3211899
129;49.6569672
130;48.7963867
131;48.7926826
132;50.6402664
133;47.2949524
134;48.6202965
135;53.5449104
136;63.402935
137;75.7433624
138;82.161438
139;81.2437973
140;76.1268921
141;54.1537056
142;21.2260036
143;21.3460007
144;21.3059998
145;21.3500004
146;21.2999992
147;21.5481186
148;41.8530922
149;55.4165306
150;50.1577721
151;46.3433876
152;46.2915039
153;44.430336
154;43.662529
155;43.6590309
156;45.4428864
157;42.24786
158;43.4966049
159;48.1796722
160;57.5971146
161;69.4826126
162;75.7879944
163;75.09552
164;70.1882477
165;49.0114899
166;22.0639992
167;21.9880009
168;21.9039993
169;21.9300003
170;21.9659996
171;21.9400005
172;21.868
173;28.2143097
174;24.3660812
175;21.7280025
176;21.7552605
177;21.7419987
178;22.0659981
179;22.1909981
180;22.7134781
181;22.3780022
182;22.3640022
183;24.7161961
184;32.2068863
185;42.1028481
186;47.9154243
187;48.2076492
188;44.2171364
189;26.5233288
190;21.8199997
191;21.6860008
192;21.7000008
193;21.723999
194;21.7479992
195;25.2345734
196;46.6476898
197;60.9513512
198;55.4056015
199;51.3830414
200;51.2204018
201;49.0811043
202;48.2307549
203;48.2270622
204;50.067627
205;46.7388763
206;48.0557709
207;52.9537735
208;62.7632523
209;75.053566
210;81.4592133
211;80.566391
212;75.47258
213;53.5871391
214;21.6089993
