Index;Wert
0;26.814724
1;0
2;0
3;0
4;0
5;0
6;3.40675783
7;7.9037075
8;9.26340961
9;8.98740959
10;6.32293224
11;3.89245796
12;1.85490859
13;0.832134426
14;0
15;0
16;0
17;1.55505753
18;7.66663456
19;9.89910793
20;8.93833256
21;8.65940952
22;2.01998353
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;3.1295979
31;7.56110811
32;8.83797073
33;8.8099699
34;6.53621483
35;4.19445801
36;2.1726687
37;1.16277409
38;0
39;0
40;0
41;1.41073859
42;7.42807293
43;9.66182804
44;8.7179327
45;8.40196991
46;1.71870327
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;1.11411226
55;5.07164812
56;6.21494484
57;6.14494467
58;3.99517584
59;1.94140899
60;0.218463883
61;0
62;0
63;0
64;0
65;0
66;5.35247278
67;7.43824148
68;6.67576742
69;6.41294479
70;0.525641143
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;2.47070432
79;6.69076824
80;7.87907457
81;7.74907446
82;5.48754025
83;3.26000786
84;1.42755198
85;0.537324071
86;0
87;0
88;0
89;1.11539972
90;6.99984455
91;9.14537907
92;8.26514721
93;7.97707462
94;1.60647726
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;3.57843208
103;7.99584675
104;9.30682564
105;9.18982506
106;6.66461658
107;4.26040792
108;2.33294463
109;1.364712
110;0.0537370518
111;0
112;0
113;2.08345628
114;8.28359318
115;10.4788027
116;9.54656887
117;9.24482536
118;2.4392004
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;4.00179052
127;8.74322891
128;10.0584965
129;9.86449623
130;7.21977711
131;4.74905777
132;2.82215667
133;1.87870514
134;0.661438048
135;0.116803035
136;0.51761955
137;2.55652165
138;8.96104717
139;11.3717651
140;10.5663109
141;10.2624969
142;3.26033998
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;3.40476346
151;7.88536882
152;9.16011238
153;8.84211254
154;6.29980946
155;3.87550807
156;1.92239177
157;0.98183459
158;0
159;0
160;0
161;1.60002005
162;7.32955313
163;9.5158577
164;8.58229828
165;8.30211258
166;1.70720637
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0.350590885
175;5.75889111
176;5.83189106
177;5.95914364
178;3.06411982
179;1.22510386
180;0
181;0
182;0
183;0
184;0
185;0.581095874
186;3.61662483
187;3.55862474
188;2.53936338
189;2.17885923
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;2.71764851
199;7.0036087
200;8.25916862
201;8.11716843
202;5.62468815
203;3.36620855
204;1.31236851
205;0.38644895
206;0
207;0
208;0
209;0.962088466
210;6.91725016
211;9.27573013
212;8.477808
213;8.2321682
214;1.79472899
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;1.26297843
223;5.40790844
224;6.46889067
225;6.4198904
226;4.31842422
227;2.17895865
228;0.425988287
229;0
230;0
231;0
232;0
233;0.226998121
234;5.83240414
235;7.80186892
236;6.96438265
237;6.63389063
238;0.533493221
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;2.17961216
247;6.46664858
248;7.73194504
249;7.72694492
250;5.6074276
251;3.44290853
252;1.39946401
253;0.268242151
254;0
255;0
256;0
257;0.618315756
258;6.3627224
259;8.45124149
260;7.62901688
261;7.350945
262;1.08739138
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;2.79964876
271;7.13660955
272;8.38916969
273;8.36316967
274;6.12618923
275;3.88920879
276;2.02836871
277;0.963948309
278;0
279;0
280;0
281;1.44208777
282;7.44674921
283;9.61772919
284;8.73030663
285;8.43416977
286;1.90222919
287;0
288;0
289;0
290;0
291;0
292;0
293;0
294;4.2173748
295;8.92546749
296;10.3183527
297;10.2523527
298;7.8373065
299;5.43125868
300;3.27393198
301;2.30377007
302;0.962885022
303;0.330443442
304;0.699163735
305;2.7804904
306;9.29818821
307;11.6732378
308;10.7590714
309;10.5063524
310;3.4932127
311;0
312;0
313;0
314;0
315;0
316;0
317;0
318;4.97212696
319;11.4657574
320;11.5297575
321;11.4441442
322;7.74352074
323;5.32643938
324;3.50812697
325;3.68251157
326;3.43612695
327;3.31174231
328;3.45874238
329;4.39689827
330;8.2582922
331;8.31829166
332;6.99436474
333;6.51159525
334;1.64066136
335;0
336;0
337;0
338;0
339;0
340;0
341;0
342;7.33478069
343;12.8951273
344;14.5126572
345;14.5066576
346;11.6654816
347;8.85030842
348;6.49901772
349;5.32937002
350;3.76384234
351;2.96807837
352;3.38395977
353;5.79125071
354;13.3690119
355;16.1521854
356;14.9905357
357;14.6326571
358;6.32813311
359;0
360;0
361;0
362;0
363;0
364;0
365;0
366;8.44379902
367;14.2153273
368;15.8013372
369;15.6843376
370;12.6880722
371;9.69580746
372;7.12129593
373;5.89204121
374;4.25703287
375;3.53552866
376;4.02727938
377;6.56379271
378;14.4820805
379;17.2913456
380;16.0890865
381;15.7653379
382;7.22754431
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;10.6038771
391;16.8656864
392;18.5819206
393;18.5079212
394;15.2740154
395;12.0681095
396;9.27875996
397;7.88808632
398;6.16785431
399;5.36573839
400;6.01029587
401;8.86164284
402;17.7022476
403;20.968153
404;19.2404785
405;18.813921
406;9.35220146
407;0
408;0
409;0
410;0
411;0
412;0
413;1.45932853
414;15.6645861
415;23.3135681
416;23.4599991
417;23.4459991
418;21.4584999
419;17.4300079
420;13.9838715
421;12.2408047
422;10.0333805
423;9.0966692
424;10.0490217
425;13.379159
426;23.3980007
427;23.5480003
428;23.5779991
429;23.7169991
430;14.5015173
431;0.984615207
432;0.0178200547
433;0.0138199637
434;0.0358200856
435;0.0298199486
436;0.0478199795
437;1.48386848
438;14.8996267
439;21.8251877
440;23.4599991
441;23.3600006
442;19.7871399
443;15.7203588
444;12.3922606
445;10.6742125
446;8.46147919
447;7.32211208
448;7.90079689
449;11.1328936
450;21.1358719
451;22.7679996
452;22.8540001
453;22.9220009
454;12.3455782
455;0
456;0
457;0
458;0
459;0
460;0
461;0.430208653
462;13.4888086
463;20.6062088
464;22.7026119
465;22.6026115
466;18.9949074
467;15.0272083
468;11.6526089
469;9.95630741
470;7.98090935
471;7.15270805
472;7.97180891
473;11.1884079
474;20.9493084
475;23.3120003
476;22.8917065
477;22.3946133
478;11.9275084
479;0
480;0
481;0
482;0
483;0
484;0
485;0
486;10.0335693
487;16.1150284
488;17.7660179
489;17.5200176
490;14.1902876
491;10.9555569
492;8.23707485
493;6.86833525
494;5.16934872
495;4.36685371
496;5.0321002
497;7.77058125
498;16.067276
499;19.109005
500;17.9982643
501;17.9080181
502;9.07282925
503;0
504;0
505;0
506;0
507;0
508;0
509;0.533208668
510;13.422308
511;19.5932083
512;21.5306091
513;21.4636097
514;17.6481571
515;13.6517086
516;10.3376074
517;8.68455696
518;6.67316008
519;5.82645798
520;6.66480827
521;9.88890743
522;19.2055569
523;22.8199997
524;21.3709564
525;20.7346096
526;10.3272591
527;0
528;0
529;0
530;0
531;0
532;0
533;0
534;3.60173059
535;8.33062744
536;9.65545654
537;9.64445686
538;7.29900789
539;4.95455885
540;2.90131712
541;1.91769516
542;0.616868019
543;0
544;0.313659757
545;2.37190151
546;8.70183468
547;11.0132856
548;10.142664
549;9.95945644
550;3.08210969
551;0
552;0
553;0
554;0
555;0
556;0
557;0
558;5.72677088
559;10.1710291
560;11.3988171
561;11.1688175
562;8.31768608
563;5.46455765
564;3.1878767
565;2.08653522
566;0.714747608
567;0.105854303
568;0.502300441
569;2.59498143
570;9.11747456
571;11.5126038
572;10.4532633
573;10.1088171
574;2.89143038
575;0
576;0
577;0
578;0
579;0
580;0
581;0
582;0.0551280379
583;4.81824684
584;4.75624704
585;4.56565428
586;1.71679604
587;0
588;0
589;0
590;0
591;0
592;0
593;0
594;2.49560547
595;2.62360549
596;1.70258176
