Index;Wert
0;7.09568739
1;4.86657715
2;4.84886265
3;4.82386303
4;4.81141424
5;4.82720518
6;4.95826149
7;5.05877304
8;4.91061687
9;4.93148375
10;4.87235022
11;4.95715046
12;4.8392086
13;4.85121202
14;4.81398487
15;4.91205549
16;4.93763924
17;4.95639467
18;4.99883938
19;5.0246172
20;4.99723911
21;4.91928387
22;4.86581707
23;4.38330984
24;2.30909657
25;2.30595875
26;2.31689715
27;2.33443403
28;2.37427831
29;2.81493998
30;5.03582859
31;5.13040829
32;5.0282712
33;4.8915
34;4.81075048
35;4.85715008
36;4.91843939
37;4.92515039
38;4.9238615
39;4.93026161
40;4.96243906
41;5.03159475
42;5.1196394
43;5.14781761
44;5.11243916
45;5.04888344
46;5.00421715
47;2.86475563
48;2.0656023
49;2.06199956
50;2.05839705
51;2.05479431
52;2.06199956
53;2.41700149
54;4.87506914
55;4.93672228
56;5.05481482
57;5.15486765
58;5.10842609
59;4.96740389
60;4.92797947
61;4.89733791
62;4.40788555
63;4.03673077
64;4.32713079
65;5.04237509
66;5.06281471
67;5.01481485
68;4.96480179
69;4.90776777
70;4.86139679
71;2.53826237
72;2.32362556
73;2.32345319
74;2.31555057
75;2.31159925
76;2.29864383
77;2.62837124
78;4.77526045
79;4.84555531
80;4.9768939
81;5.14743185
82;5.2175889
83;5.12543821
84;5.04340553
85;5.04182196
86;5.02359819
87;4.73857546
88;4.70528507
89;4.99769354
90;5.02176332
91;5.01776314
92;4.96987152
93;4.93585825
94;4.9272809
95;2.85156775
96;2.45161152
97;2.44847369
98;2.44847369
99;2.44847369
100;2.46102476
101;2.90774584
102;5.03659487
103;5.17385578
104;5.08296251
105;4.86021709
106;4.91395044
107;4.94897604
108;4.97363901
109;4.95555019
110;4.94466114
111;4.92946148
112;4.88483906
113;4.8989439
114;5.02251959
115;5.00541687
116;4.96849251
117;4.94007254
118;4.91422081
119;3.3044281
120;2.49745631
121;2.51274061
122;2.51274061
123;2.51274061
124;2.52529168
125;2.98335409
126;5.03409481
127;5.13127327
128;5.02978373
129;4.95271158
130;4.89875031
131;4.95235014
132;4.93763924
133;4.89875031
134;4.83586121
135;4.78853416
136;4.92133379
137;5.03286123
138;5.08547258
139;5.08601761
140;4.97297239
141;4.897717
142;4.84731674
143;3.6714077
144;2.39807558
145;2.39493775
146;2.39493775
147;2.39493775
148;2.40748882
149;2.84476256
150;4.96409464
151;5.07293987
152;4.96061707
153;4.99898386
154;4.88755035
155;4.93833065
156;4.87967062
157;4.88008881
158;4.88306141
159;4.80035734
160;4.88894844
161;4.9427948
162;5.04286909
163;5.02475071
164;5.01941347
165;5.01135015
166;4.99541712
167;3.16637754
168;1.94676006
169;1.85792148
170;1.85792148
171;1.85792148
172;1.95617342
173;2.25406694
