Index;Wert
0;0
1;0
2;0
3;0
4;0
5;4.86491585
6;5.82544708
7;5.82544708
8;5.66693401
9;5.66693401
10;5.66693401
11;5.66693401
12;5.7768383
13;5.7768383
14;5.7768383
15;5.7768383
16;5.71741867
17;5.71741867
18;5.71741867
19;5.71741867
20;6.92976093
21;6.92976093
22;6.92976093
23;6.92976093
24;16.4771347
25;16.4771347
26;16.4771347
27;16.4771347
28;18.1654968
29;18.1654968
30;18.1654968
31;18.1654968
32;18.0971298
33;18.0971298
34;18.0971298
35;18.0971298
36;17.5373898
37;17.5373898
38;17.5373898
39;17.5373898
40;17.1759796
41;17.1759796
42;17.1759796
43;17.1759796
44;17.0800819
45;17.0800819
46;17.0800819
47;17.0800819
48;15.400898
49;15.400898
50;15.400898
51;15.400898
52;14.4048872
53;14.4048872
54;14.4048872
55;14.4048872
56;13.1778936
57;13.1778936
58;13.1778936
59;13.1778936
60;11.9324789
61;11.9324789
62;11.9324789
63;11.9324789
64;12.0780354
65;12.0780354
66;12.0780354
67;12.0780354
68;14.1321678
69;14.1321678
70;14.1321678
71;14.1321678
72;16.1794834
73;16.1794834
74;16.1794834
75;16.1794834
76;16.1010246
77;16.1010246
78;16.1010246
79;16.1010246
80;15.6639681
81;15.6639681
82;15.6639681
83;15.6639681
84;15.7035961
85;15.7035961
86;15.7035961
87;15.7035961
88;15.1635132
89;15.1635132
90;15.1635132
91;15.1635132
92;7.49534512
93;7.49534512
94;7.49534512
95;7.49534512
96;6.52898312
97;6.52898312
98;6.52898312
99;6.52898312
100;5.54748631
101;5.54748631
102;5.54748631
103;5.54748631
104;5.63025379
105;5.63025379
106;5.63025379
107;5.63025379
108;5.49072886
109;5.49072886
110;5.49072886
111;5.49072886
112;5.50728607
113;5.50728607
114;5.50728607
115;5.50728607
116;6.74922466
117;6.74922466
118;6.74922466
119;6.74922466
120;15.985611
121;15.985611
122;15.985611
123;15.985611
124;17.2170525
125;17.2170525
126;17.2170525
127;17.2170525
128;17.4351101
129;17.4351101
130;17.4351101
131;17.4351101
132;17.160284
133;17.160284
134;17.160284
135;17.160284
136;17.2357559
137;17.2357559
138;17.2357559
139;17.2357559
140;17.0255928
141;17.0255928
142;17.0255928
143;17.0255928
144;15.5445156
145;15.5445156
146;15.5445156
147;15.5445156
148;13.3518925
149;13.3518925
150;13.3518925
151;13.3518925
152;12.4699631
153;12.4699631
154;12.4699631
155;12.4699631
156;12.1355
157;12.1355
158;12.1355
159;12.1355
160;11.4716778
161;11.4716778
162;11.4716778
163;11.4716778
164;13.0211134
165;13.0211134
166;13.0211134
167;13.0211134
168;14.96521
169;14.96521
170;14.96521
171;14.96521
172;14.4880037
173;14.4880037
174;14.4880037
175;14.4880037
176;14.4880819
177;14.4880819
178;14.4880819
179;14.4880819
180;14.547802
181;14.547802
182;14.547802
183;14.547802
184;13.6433468
185;13.6433468
186;13.6433468
187;13.6433468
188;5.98379135
189;5.98379135
190;5.98379135
191;5.98379135
192;5.07624531
193;5.07624531
194;5.07624531
195;5.07624531
196;4.34122705
197;4.34122705
198;4.34122705
199;4.34122705
200;4.28295565
201;4.28295565
202;4.28295565
203;4.28295565
204;4.19811392
205;4.19811392
206;4.19811392
207;4.19811392
208;3.83159494
209;3.83159494
210;3.83159494
211;3.83159494
212;3.82771015
213;3.82771015
214;3.82771015
215;3.82771015
216;10.5926428
217;10.5926428
218;10.5926428
219;10.5926428
220;14.1990452
221;14.1990452
222;14.1990452
223;14.1990452
224;14.4104757
225;14.4104757
226;14.4104757
227;14.4104757
228;14.0282297
229;14.0282297
230;14.0282297
231;14.0282297
232;12.9052982
233;12.9052982
234;12.9052982
235;12.9052982
236;10.731534
237;10.731534
238;10.731534
239;10.731534
240;9.36568069
241;9.36568069
242;9.36568069
243;9.36568069
244;8.96055222
245;8.96055222
246;8.96055222
247;8.96055222
248;7.61100817
249;7.61100817
250;7.61100817
251;7.61100817
252;6.20757723
253;6.20757723
254;6.20757723
255;6.20757723
256;7.15341759
257;7.15341759
258;7.15341759
259;7.15341759
260;9.72456741
261;9.72456741
262;9.72456741
263;9.72456741
264;14.4493237
265;14.4493237
266;14.4493237
267;14.4493237
268;14.4303493
269;14.4303493
270;14.4303493
271;14.4303493
