Index;Wert
0;0.477529347
1;0.477529347
2;0.477529347
3;0.477529347
4;0.477529347
5;0.565094948
6;1.34059334
7;1.74859989
8;1.86517334
9;1.86517334
10;1.66117001
11;1.39888
12;1.23101437
13;1.10296321
14;0.995356977
15;0.941553891
16;0.998011827
17;1.1750592
18;1.70663357
19;1.90247691
20;1.81854403
21;1.79056644
22;1.20303679
23;0.503596783
24;0.466962874
25;0.466962874
26;0.466962874
27;0.469215125
28;0.472825885
29;0.562876999
30;1.29887581
31;1.69627833
32;1.79458737
33;1.79825866
34;1.58343315
35;1.37342
36;1.20860958
37;1.12620437
38;1.01633084
39;0.961394012
40;0.988862395
41;1.15367281
42;1.6755724
43;1.8678515
44;1.78544593
45;1.75797772
46;1.18114114
47;0.494431198
48;0.39114961
49;0.39114961
50;0.39114961
51;0.39114961
52;0.39114961
53;0.460175991
54;1.0584048
55;1.38052797
56;1.47256327
57;1.47256327
58;1.31150162
59;1.13054252
60;0.97344923
61;0.90707773
62;0.818582356
63;0.77433461
64;0.796458483
65;0.963287175
66;1.4035368
67;1.56459844
68;1.49557197
69;1.47256327
70;0.992554605
71;0.417161971
72;0.436854392
73;0.446667224
74;0.447411656
75;0.447411656
76;0.447411656
77;0.522448301
78;1.17395723
79;1.51897395
80;1.61699843
81;1.61699843
82;1.44013917
83;1.26328003
84;1.10024393
85;1.02441609
86;0.93370676
87;0.883589149
88;0.909561515
89;1.06115508
90;1.54120171
91;1.71806085
92;1.64226377
93;1.61894119
94;1.0951823
95;0.465201288
96;0.484011263
97;0.484011263
98;0.484011263
99;0.484011263
100;0.484011263
101;0.569424927
102;1.30967748
103;1.70827484
104;1.80635452
105;1.81535256
106;1.5579468
107;1.36662006
108;1.19831157
109;1.12062848
110;1.01129889
111;0.956633925
112;0.98396647
113;1.14796078
114;1.675318
115;1.89036143
116;1.77660584
117;1.7534821
118;1.18908668
119;0.500593424
120;0.484684408
121;0.489695638
122;0.493368328
123;0.493368328
124;0.493368328
125;0.580433309
126;1.33499658
127;1.74129999
128;1.85738659
129;1.85738659
130;1.63246882
131;1.39304006
132;1.22587514
133;1.14229286
134;1.0308497
135;0.975127995
136;1.00339019
137;1.2028718
138;1.77032161
139;1.97347331
140;1.88640821
141;1.85738659
142;1.24793172
143;0.522390008
144;0.465098739
145;0.465098739
146;0.465098739
147;0.465098739
148;0.465098739
149;0.54717499
150;1.25850248
151;1.64152491
152;1.75096011
153;1.75096011
154;1.55944872
155;1.31322002
156;1.14828455
157;1.04914308
158;0.950863779
159;0.919254005
160;0.948934615
161;1.12424052
162;1.60212839
163;1.75027359
164;1.65105021
165;1.63704884
166;1.11597753
167;0.472759187
168;0.348836064
169;0.332225829
170;0.332225829
171;0.332225829
172;0.348836064
173;0.398666769
174;0.930194378
175;1.34545016
176;1.34545016
177;1.38702703
178;1.16273761
179;1.02985573
180;0.897524476
181;0.910389066
182;0.894417703
183;0.878446341
184;0.879799843
185;0.963414848
186;1.19595826
187;1.19595826
188;1.11290693
189;1.0796864
190;0.780702233
191;0.365446299
192;0.453714043
193;0.451173246
194;0.451173246
195;0.451173246
196;0.451173246
197;0.535288393
198;1.25341022
199;1.65047264
200;1.73532343
201;1.75034475
202;1.51275718
203;1.32697999
204;1.12369359
205;1.04186475
206;0.925683677
207;0.874657273
208;0.910622954
209;1.07179165
210;1.59782434
211;1.80469298
212;1.72507405
213;1.69853461
214;1.16306853
215;0.495758384
216;0.433599174
217;0.432517916
218;0.432517916
219;0.423540115
220;0.416255236
221;0.489712
222;1.12633765
223;1.44599998
224;1.56707847
225;1.55033493
226;1.35450232
227;1.17719233
228;1.03592932
229;0.958294868
230;0.865463436
231;0.824034631
232;0.847578466
233;1.01982868
234;1.49362159
235;1.66502094
236;1.59156394
237;1.56707847
238;1.05288088
239;0.440740764
240;0.433296055
241;0.433296055
242;0.433296055
243;0.433296055
244;0.433296055
245;0.509760022
246;1.17244804
247;1.52927995
248;1.65104461
249;1.69566751
250;1.50707054
251;1.31165099
252;1.12462091
253;1.04500794
254;0.918441832
255;0.85776931
256;0.882276952
257;1.04093349
258;1.54426706
259;1.73318422
260;1.65671992
261;1.63123202
262;1.0959841
263;0.458784014
264;0.445842028
265;0.445842028
266;0.445842028
267;0.445842028
268;0.445842028
269;0.52451998
270;1.21612501
271;1.57924533
272;1.67846417
273;1.67846417
274;1.49488199
275;1.31130004
276;1.1539439
277;1.075266
278;0.970362008
279;0.91790998
280;0.944135964
281;1.10149205
282;1.59978604
283;1.78336811
284;1.70468974
285;1.68452847
286;1.13910925
287;0.481309116
288;0.504589975
289;0.503335297
290;0.5031268
291;0.502710342
292;0.503752828
293;0.594376028
294;1.3693434
295;1.78610003
296;1.90517318
297;1.90517318
298;1.69679499
299;1.48717737
300;1.28992033
