Groesse;Wert
Lauf.ID_Projekt;1026
Sim.Restwaerme;0
Sim.Reststrom;21.9470119
Sim.bSimulationWP;True
Sim.bSimulationKessel;True
Sim.bSimulationSolarthermie;False
Sim.bSimulationBHKW;False
Sim.bSimulationPV;True
Sim.bSimulationSSP;True
Sim.PufferWP_vorhanden;False
Sim.Speicher_Anzahl;1
Ergebnis.ID_Projekt;1026
Ergebnis.Bezeichner;Simulation Beispiel WP WG 1
Ergebnis.ID_Klimaregion;1020036
Ergebnis.Sim_Energiebedarf;True
Ergebnis.Sim_Waermepumpe;True
Ergebnis.Sim_Heizkessel;True
Ergebnis.Sim_Solarthermie;False
Ergebnis.Sim_BHKW;False
Ergebnis.Sim_PV;True
Ergebnis.Sim_Stromspeicher;True
Energiebedarf.Waermebedarf_Gesamt;64.31
Energiebedarf.Waermelast_Max;38.6
Energiebedarf.Strombedarf_Gesamt;8
Energiebedarf.Strombedarf_Max;3.72
Energiebedarf.Waermerestbedarf;0
Energiebedarf.Stromrestbedarf;21.95
Energiebedarf.Waermebedarf_Heizung;59.31
Energiebedarf.Waermebedarf_Brauchwasser;5
Energiebedarf.Waermebedarf_Prozess;0
Waermepumpe.Waermebedarf;64.31
Waermepumpe.Restwaermebedarf;13.69
Waermepumpe.Waermeproduktion_WP;51.26
Waermepumpe.Stromverbrauch_WP;19.4
Waermepumpe.Stromverbrauch_Heizstab;0
Waermepumpe.Kapazitaet_Pufferspeicher;9.02
Waermepumpe.Min_Spitzenkesselleistung;29
Waermepumpe.Waermebedarfsdeckung;78.71
Waermepumpe.Vollbenutzungsstunden;4351.45
Waermepumpe.Bivalenzpunkt;10.1
Waermepumpe.Deckung_Heizung;72.83
Waermepumpe.Deckung_Brauchwasser;5.88
Waermepumpe.Deckung_Prozess;0
WaermepumpeModul[0].Modul;CS6800iAW MB + AW 10 OR-T
WaermepumpeModul[0].Leistung;11
WaermepumpeModul[0].Waermeproduktion;51.26
WaermepumpeModul[0].Stromverbrauch;19.4
WaermepumpeModul[0].Heizstab;0
WaermepumpeModul[0].Betriebsstunden;4351.45
Heizkessel.Waermebedarf;13.69
Heizkessel.Restwaermebedarf;0
Heizkessel.Waermeproduktion;13.69
Heizkessel.Strombedarf;27.4
Heizkessel.Reststrombedarf;27.4
Heizkessel.Waermebedarfsdeckung;21.29
Heizkessel.Stromverbrauch;0
Heizkessel.Maximale_Kesselleistung;80
Heizkessel.Gasspitze;29
Heizkessel.Gasverbrauch;13.69
Heizkessel.Oelverbrauch;0
Heizkessel.Koks;0
Heizkessel.Rapsoelverbrauch;0
Heizkessel.Holzverbrauch;0
Heizkessel.Kohle;0
Heizkessel.Sonstigverbrauch;0
Heizkessel.Pellets;0
Heizkessel.TierischeFette;0
Heizkessel.Quellwaerme;0
Heizkessel.Deckung_Heizung;19.4
Heizkessel.Deckung_Brauchwasser;1.89
Heizkessel.Deckung_Prozess;0
HeizkesselModul[0].Modul;Vitocrossal 200 CM2 raumluftabh�ngig
HeizkesselModul[0].Waerme_Gas;13.69
