Index;Wert
0;5.5767746
1;3.55277658
2;2.57264638
3;2.59122992
4;2.63229728
5;3.09683323
6;5.46113968
7;5.5559535
8;5.37954235
9;5.94866467
10;6.98419857
11;6.56471634
12;6.10180283
13;5.10716772
14;5.43451405
15;5.3522687
16;5.16890192
17;5.88808584
18;7.29164219
19;6.03869152
20;7.26593065
21;6.13079548
22;7.93087721
23;8.38830376
24;5.55664921
25;2.56681037
26;2.51830339
27;2.53005362
28;2.57792544
29;3.06626821
30;5.56023264
31;5.58625078
32;5.62960529
33;5.37683201
34;5.26409054
35;5.58391428
36;7.19197178
37;5.1199646
38;5.34193325
39;6.67036963
40;5.38215303
41;5.63864613
42;5.63708162
43;5.95800972
44;5.82729101
45;5.71551657
46;6.47449064
47;6.67749929
48;5.04716921
49;2.59155059
50;2.47634983
51;2.37231565
52;2.27607536
53;2.64231801
54;5.12045574
55;5.12914515
56;5.54656887
57;5.51981354
58;5.31371784
59;5.33624458
60;6.47926378
61;6.93207359
62;6.82586288
63;5.35846376
64;5.24074364
65;6.23167372
66;6.49277735
67;6.38936234
68;6.69327354
69;7.24356747
70;8.03351879
71;8.42822647
72;3.63654041
73;2.55093026
74;2.53258276
75;2.52083349
76;2.50182414
77;2.89596915
78;5.02021122
79;5.32137632
80;5.86920977
81;5.71718264
82;5.74714613
83;5.19190884
84;5.77356625
85;5.3283143
86;5.34586048
87;5.22205639
88;5.32556868
89;5.35971069
90;6.12847424
91;6.4756484
92;6.50753546
93;5.85054016
94;7.3235693
95;6.47040844
96;3.8986764
97;2.71097398
98;2.71402979
99;2.69930267
100;2.73698831
101;3.22165895
102;5.30970716
103;5.70693731
104;5.98332787
105;6.94596767
106;5.59438848
107;5.47308922
108;6.12733364
109;5.3818264
110;5.36704445
111;5.3882041
112;5.23544979
113;5.45719719
114;6.8273015
115;6.71589851
116;6.1541729
117;5.76290321
118;6.22550631
119;6.84832287
120;4.72769785
121;2.71324658
122;2.73749733
123;2.73008037
124;2.77998304
125;3.2382412
126;5.2745676
127;6.12281322
128;6.18040276
129;5.79352236
130;5.57932281
131;5.13657999
132;5.88652372
133;5.78456116
134;5.78126812
135;5.52261066
136;5.3670702
137;5.7208252
138;7.41556072
139;6.23953342
140;5.68367577
141;5.59993649
142;5.92821598
143;7.64667892
144;5.31042862
145;2.93433261
146;2.68318033
147;2.65405607
148;2.70112276
149;3.15605664
150;5.21685648
151;5.58240128
152;5.46319485
153;5.85547638
154;5.94355822
155;5.31159019
156;5.79800081
157;6.13364553
158;7.63532162
159;6.55735493
160;7.27871609
161;6.13599777
162;5.72271109
163;6.1712966
164;7.33122396
165;5.84851313
166;8.37048721
167;7.03401947
168;3.81113172
169;2.09361339
170;2.04245234
171;2.05816126
172;2.18396306
173;2.50630403
174;5.46690655
175;5.55795336
176;5.38574219
177;6.04945278
178;6.91933203
179;6.64151621
180;5.97253513
181;5.14716768
182;5.46682167
183;5.40073013
184;5.06190443
185;5.91688585
186;7.32764244
187;6.09629154
188;7.35233068
189;6.19239569
190;7.98047733
191;8.4203043
192;4.63101482
193;2.50340056
194;2.45489359
195;2.45594811
196;2.48638153
197;2.9475522
198;5.55557156
199;5.61294556
200;5.63267612
201;5.40476179
202;5.24960756
203;5.73591423
204;7.15272188
205;5.08910275
206;5.21525002
207;6.52400255
208;5.28636408
209;5.51618481
210;5.59665394
211;5.93480968
212;5.72809076
213;5.56911659
214;6.3930006
215;6.66211128
216;5.35770273
217;2.72314286
218;2.60768175
219;2.45982575
220;2.32823801
221;2.703686
222;5.17085552
223;5.13427305
224;5.59616899
225;5.56278467
226;5.25642586
227;5.27727509
228;6.53541756
229;6.94747448
230;6.83949709
231;5.3800025
232;5.24305153
233;6.21193504
234;6.50397778
235;6.38456249
236;6.75647354
237;7.32756758
238;8.1265049
239;8.52313805
240;3.47795939
241;2.43080688
242;2.40933061
243;2.39788556
244;2.37857199
245;2.77016425
246;5.01743937
247;5.33640194
248;5.89550591
249;5.83134604
250;5.80137396
251;5.16587591
252;5.66342402
253;5.30524588
254;5.25023746
255;5.12666464
256;5.25326157
257;5.33206654
258;6.21053886
259;6.60844803
260;6.64913559
261;5.96931839
262;7.40829277
263;6.48528719
264;3.51511669
265;2.53094769
266;2.5340035
267;2.51927638
268;2.5559957
269;3.0061636
270;5.2877183
271;5.61189985
272;5.8728447
273;6.81495571
274;5.60238838
275;5.40108919
276;6.04110718
277;5.28182602
278;5.32064438
279;5.35780382
280;5.18104935
281;5.44039726
282;6.84955215
283;6.66341829
284;6.15577316
285;5.76734591
286;6.2194891
287;6.85595894
288;4.72708845
289;2.75277805
290;2.75798488
291;2.74854565
292;2.8033998
293;3.27414441
294;5.3370676
295;6.12697983
296;6.22706938
297;5.8160224
298;5.6122613
299;5.19072151
300;5.83205748
301;5.69016171
302;5.69166803
303;5.47461033
304;5.43000126
305;5.72861862
306;7.40806103
307;6.22370005
308;5.69700909
309;5.65243721
310;5.95738316
311;7.63751221
312;5.49264669
313;2.95761943
314;2.72800207
315;2.72585797
316;2.93395734
317;3.36224437
318;5.05323362
319;5.3943944
320;5.40904951
321;5.79620075
322;5.70772457
323;5.32012367
324;5.67127371
325;6.14361429
326;7.6683836
327;6.56135511
328;7.30622005
329;6.1329422
330;5.78694439
331;6.19390011
332;7.37832403
333;5.85373878
334;8.295187
335;6.91425323
336;5.31239986
337;3.2001276
338;3.14896655
339;3.16467547
