Index;Wert
0;5387.7251
1;5387.7251
2;5387.7251
3;5387.7251
4;5387.7251
5;6338.5
6;14578.5498
7;19015.5
8;20283.2012
9;20283.2012
10;18064.7246
11;15846.25
12;13944.7002
13;12993.9258
14;11726.2256
15;11092.375
16;11409.2998
17;13310.8496
18;19332.4258
19;21550.9004
20;20600.125
21;20283.2012
22;13627.7754
23;5704.6499
24;5405.40527
25;5405.40527
26;5405.40527
27;5405.40527
28;5405.40527
29;6359.2998
30;14626.3896
31;19077.9004
32;20349.7617
33;20349.7617
34;18124.0059
35;15898.25
36;13990.46
37;13036.5654
38;11764.7051
39;11128.7754
40;11446.7393
41;13354.5303
42;19395.8652
43;21621.6211
44;20667.7246
45;20349.7617
46;13672.4951
47;5723.36963
48;4774.0083
49;4774.0083
50;4774.0083
51;4774.0083
52;4774.0083
53;5616.47998
54;12917.9043
55;16849.4395
56;17972.7363
57;17972.7363
58;16006.9678
59;14041.2002
60;12356.2559
61;11513.7842
62;10390.4883
63;9828.83984
64;10109.6631
65;11794.6074
66;17130.2637
67;19096.0332
68;18253.5586
69;17972.7363
70;12075.4326
71;5054.83154
72;5186.29248
73;5186.29248
74;5186.29248
75;5186.29248
76;5186.29248
77;6101.52002
78;14033.4961
79;18304.5605
80;19524.8652
81;19524.8652
82;17389.332
83;15253.7998
84;13423.3438
85;12508.1162
86;11287.8125
87;10677.6602
88;10982.7354
89;12813.1914
90;18609.6367
91;20745.1699
92;19829.9395
93;19524.8652
94;13118.2686
95;5491.36768
96;5520.64844
97;5520.64844
98;5520.64844
99;5520.64844
100;5520.64844
101;6494.87988
102;14938.2236
103;19484.6387
104;20783.6172
105;20783.6172
106;18510.4082
107;16237.2002
108;14288.7363
109;13314.5039
110;12015.5283
111;11366.04
112;11690.7832
113;13639.248
114;19809.3848
115;22082.5938
116;21108.3594
117;20783.6172
118;13963.9922
119;5845.3916
120;5674.88916
121;5674.88916
122;5674.88916
123;5674.88916
124;5674.88916
125;6676.33984
126;15355.582
127;20029.0195
128;21364.2891
129;21364.2891
130;19027.5684
131;16690.8496
132;14687.9482
133;13686.4971
134;12351.2295
135;11683.5947
136;12017.4111
137;14020.3135
138;20362.8379
139;22699.5566
140;21698.1035
141;21364.2891
142;14354.1318
143;6008.70557
144;5392.16211
145;5392.16211
146;5392.16211
147;5392.16211
148;5392.16211
149;6343.71973
150;14590.5557
151;19031.1602
152;20299.9043
153;20299.9043
154;18079.6016
155;15859.2998
156;13956.1836
157;13004.626
158;11735.8818
159;11101.5098
160;11418.6953
161;13321.8115
162;19348.3457
163;21568.6484
164;20617.0898
165;20299.9043
166;13638.998
167;5709.34766
168;4499.56396
169;4285.31201
170;4285.31201
171;4285.31201
172;4499.56396
173;5142.31982
174;11998.3828
175;17354.6836
176;17354.6836
177;17568.9355
178;14997.9111
179;13283.8955
180;11998.3828
181;12212.6348
182;11998.3828
183;11784.1318
184;11784.1318
185;12426.8877
186;15426.416
187;15426.416
188;14355.1553
189;13926.6514
190;10070.1162
191;4713.81592
192;5246.88037
193;5246.88037
194;5246.88037
195;5246.88037
196;5246.88037
197;6172.7998
198;14197.4404
199;18518.4004
200;19752.9609
201;19752.9609
202;17592.4805
203;15432
204;13580.1602
205;12654.2402
206;11419.6797
207;10802.4004
208;11111.0391
209;12962.8799
210;18827.041
211;20987.5215
212;20061.5996
213;19752.9609
214;13271.5205
215;5555.51953
216;4904.41504
217;4904.41504
218;4904.41504
219;4904.41504
220;4904.41504
221;5769.8999
222;13270.7705
223;17309.6992
224;18463.6816
225;18463.6816
226;16444.2148
227;14424.75
228;12693.7803
229;11828.2949
230;10674.3154
231;10097.3252
232;10385.8193
233;12116.79
234;17598.1953
235;19617.6602
236;18752.1738
237;18463.6816
238;12405.2852
239;5192.90967
240;5101.2583
241;5101.2583
242;5101.2583
243;5101.2583
244;5101.2583
245;6001.47998
246;13803.4043
247;18004.4395
248;19204.7363
249;19204.7363
250;17104.2188
251;15003.7002
252;13203.2559
253;12303.0342
254;11102.7383
255;10502.5898
256;10802.6631
257;12603.1074
258;18304.5137
259;20405.0332
260;19504.8086
261;19204.7363
262;12903.1826
263;5401.33154
264;5306.38037
265;5306.38037
266;5306.38037
267;5306.38037
268;5306.38037
269;6242.7998
270;14358.4404
271;18728.4004
272;19976.9609
273;19976.9609
274;17791.9805
275;15607
276;13734.1602
277;12797.7402
278;11549.1797
279;10924.9004
280;11237.0391
281;13109.8799
282;19040.541
283;21225.5215
284;20289.0996
285;19976.9609
286;13422.0205
287;5618.51953
288;5758.25732
289;5758.25732
290;5758.25732
291;5758.25732
292;5758.25732
293;6774.41992
294;15581.166
295;20323.2598
296;21678.1445
297;21678.1445
298;19307.0977
299;16936.0508
300;14903.7236
301;13887.5615
302;12532.6768
303;11855.2354
304;12193.9551
305;14226.2822
306;20661.9805
307;23033.0293
308;22016.8633
309;21678.1445
310;14565.0039
311;6096.97754
312;5720.43604
313;5448.05078
314;5448.05078
315;5448.05078
316;5720.43604
317;6537.59131
318;15253.9189
319;22063.5488
320;22063.5488
321;22335.9355
322;19067.3125
323;16888.2305
324;15253.9189
325;15526.3037
326;15253.9189
327;14981.5342
328;14981.5342
329;15798.6895
330;19612.084
331;19612.084
332;18250.1562
333;17705.3867
334;12802.4531
