Index;Wert
0;6.0447607
1;5.82544708
2;5.66693401
3;5.7768383
4;5.71741867
5;6.92976093
6;16.4771347
7;18.1654968
8;18.0971298
9;17.5373898
10;17.1759796
11;17.0800819
12;15.400898
13;14.4048872
14;13.1778936
15;11.9324789
16;12.0780354
17;14.1321678
18;16.1794834
19;16.1010246
20;15.6639681
21;15.7035961
22;15.1635132
23;7.49534512
24;6.52898312
25;5.54748631
26;5.63025379
27;5.49072886
28;5.50728607
29;6.74922466
30;15.985611
31;17.2170525
32;17.4351101
33;17.160284
34;17.2357559
35;17.0255928
36;15.5445156
37;13.3518925
38;12.4699631
39;12.1355
40;11.4716778
41;13.0211134
42;14.96521
43;14.4880037
44;14.4880819
45;14.547802
46;13.6433468
47;5.98379135
48;5.07624531
49;4.34122705
50;4.28295565
51;4.19811392
52;3.83159494
53;3.82771015
54;10.5926428
55;14.1990452
56;14.4104757
57;14.0282297
58;12.9052982
59;10.731534
60;9.36568069
61;8.96055222
62;7.61100817
63;6.20757723
64;7.15341759
65;9.72456741
66;14.4493237
67;14.4303493
68;14.5112181
69;14.4724512
70;11.5611763
71;5.53017426
72;4.67980099
73;4.73543262
74;4.77915764
75;4.7553997
76;3.78949356
77;4.63794518
78;12.0142269
79;14.4727049
80;14.4123821
81;14.0779219
82;13.470294
83;11.5865946
84;10.2710638
85;9.55068779
86;8.23819542
87;7.91615152
88;8.58847141
89;10.6341438
90;14.4710007
91;14.4720526
92;14.6907873
93;16.3606606
94;14.5050278
95;6.97252178
96;5.96418619
97;5.78893948
98;5.66270113
99;5.86619568
100;6.15041351
101;6.98705387
102;15.943285
103;17.7338734
104;18.0122299
105;17.8484192
106;17.8160248
107;17.4924641
108;14.9631243
109;14.5563803
110;13.7844162
111;13.0552759
112;12.8908005
113;14.4361753
114;16.2019005
115;16.1430721
116;16.2011433
117;15.9831362
118;14.501852
119;7.06202173
120;6.49238586
121;5.86491346
122;5.77044868
123;5.64244175
124;5.56772566
125;7.1216135
126;17.0709114
127;18.9671192
128;19.058857
129;18.4647923
130;17.7566204
131;18.0449104
132;15.2350788
133;15.0963335
134;13.5584784
135;13.8540421
136;14.1559362
137;14.6286602
138;16.1056595
139;16.0569935
140;16.0105934
141;16.125906
142;14.9900436
143;7.65591288
144;6.35700607
145;5.89957952
146;5.49274778
147;5.3424716
148;5.36663055
149;6.47291756
150;15.5892639
151;18.6001396
152;18.6075287
153;17.9111195
154;17.3106136
155;16.5691338
156;14.6949615
157;14.6077175
158;14.183485
159;12.9623728
160;14.1282768
161;13.9392109
162;16.1599922
163;16.0769424
164;16.1955738
165;15.9772825
166;13.929143
167;5.84955978
168;4.09426498
169;3.95346355
170;3.71980023
171;3.80929518
172;3.80806518
173;4.5801363
174;11.903327
175;18.0297375
176;18.0210724
177;17.3698826
178;15.3081169
179;12.628643
180;11.0628271
181;11.1588945
182;11.3137589
183;10.8541698
184;10.638629
185;11.5996828
186;14.8156204
187;14.2056961
188;13.3217096
189;12.5108366
190;10.1373844
191;5.79555368
192;6.42951202
193;5.39433146
194;5.41777039
195;5.20761585
196;5.20719767
197;6.42555571
198;15.4862604
199;17.2175369
200;17.4351654
201;17.0449238
202;16.9036922
203;16.5462723
204;14.8309002
205;12.4107733
206;11.0961227
207;10.7938166
208;10.3503361
209;12.2008982
210;14.964344
211;14.4885788
212;14.4907122
213;14.5518703
214;13.8535805
215;6.59369278
216;6.16412163
217;5.38932371
218;5.31977177
219;5.06813717
220;4.43891668
221;4.14723969
222;11.1953096
223;14.4077482
224;14.4091654
225;14.1826172
226;13.8143787
227;11.5126257
228;10.6017952
229;9.29414082
230;8.42332172
231;7.09301424
232;7.69279051
233;10.4004068
234;14.4490347
235;14.4304819
236;14.5094318
237;14.4699869
238;11.8981819
239;5.35557985
240;4.16418791
241;4.11223698
242;4.11986637
243;4.12277508
244;3.25173306
245;4.27367878
246;11.9396973
247;14.4718809
248;14.4137344
249;14.1323433
250;14.2197943
251;13.5419874
252;11.0162563
253;10.0181427
254;8.18920994
255;7.22958422
256;8.15641022
257;10.2649374
258;14.467802
259;14.4683857
260;14.6868782
261;16.3570595
262;14.1547241
263;6.51015615
264;5.18565798
265;5.02514648
266;5.11874008
267;5.35625315
268;5.62763739
269;6.46950531
270;15.1579876
271;17.7122307
272;18.0098038
273;18.0241299
274;17.8496475
275;17.2422905
276;15.766098
277;13.99259
278;12.7745438
279;12.3098736
280;12.4964771
281;13.9618063
282;16.2003689
283;16.1416473
284;16.2010937
285;15.9832134
286;13.9441872
287;6.84745026
288;6.73421764
289;6.01906919
290;5.8732152
291;5.74570942
292;5.69078255
293;7.29351234
294;17.4655437
295;18.965332
296;19.0387688
297;18.66259
298;18.3165283
299;17.2013779
300;16.1616306
301;15.5083876
302;14.7014446
303;14.117178
304;14.5170841
305;14.9887133
306;16.1088295
307;16.0637627
308;16.0048561
309;16.102747
310;15.3510342
311;7.80204868
312;6.41269588
313;5.70359945
314;5.28832483
315;5.13834429
316;5.40717316
317;6.33515358
318;15.5362654
319;18.7588444
320;18.6958084
321;17.9300156
322;17.3283367
323;16.8721771
324;14.9674273
325;15.4562635
326;15.9846268
327;15.7058296
328;16.5651131
329;15.6498394
330;16.1762352
331;16.105299
332;16.2353344
333;16.0236149
334;13.5185719
335;6.64144421
336;7.42082596
337;7.11524439
338;6.87947226
339;6.98625612
340;6.92913246
341;8.35226822
342;17.1031246
343;18.2037945
344;18.1223907
345;17.4861393
346;17.1951332
347;17.3915367
348;17.4506035
349;17.9312878
350;16.8953934
351;15.9430943
352;15.3445129
353;16.5596333
354;16.2852459
355;16.2092228
356;15.7716141
357;15.8175583
358;15.9223766
359;9.06952667
360;8.41382027
361;7.416996
362;7.47263145
363;7.29876566
364;7.26076794
365;8.7063694
366;16.9170647
367;17.3654709
368;17.5812759
369;17.0498009
370;16.8370094
371;16.3676357
372;16.7970829
373;16.8102608
374;16.4212646
375;16.028923
376;15.6276903
377;15.8580828
378;15.090023
379;14.6205063
380;14.609149
381;14.6738472
382;15.8780775
383;8.45671272
384;8.96225071
385;8.19867992
386;8.12100506
387;8.00788975
388;7.59749269
389;8.07063103
390;14.8007193
391;14.6395836
392;14.6238327
393;14.2453594
394;13.8874283
395;13.4101696
396;14.3405781
397;13.7168026
398;14.1473904
399;13.9319992
400;14.4537039
401;14.6847229
402;14.6939926
403;14.7278023
404;14.829731
405;14.7073765
406;14.6931257
407;9.00313091
408;8.35971451
409;8.25603104
410;8.27772331
411;8.45517731
412;7.56414223
413;9.05137348
414;14.8162251
415;14.8129349
416;14.7511864
417;14.2957859
418;13.8221588
419;13.615921
420;13.505888
421;13.4295063
422;13.5761948
423;13.8656712
424;14.1965933
425;14.8337183
426;14.8367271
427;14.8296146
428;15.0215979
429;16.6890068
430;16.9590149
431;11.5346718
432;10.0875444
433;9.96881104
434;9.84968662
435;10.0826149
436;10.3652668
437;11.8200703
438;17.2988415
439;18.0197315
440;18.3348827
441;18.360918
442;18.0951214
443;18.3437328
444;17.8058758
445;17.8124237
446;17.6417713
447;17.8514576
448;17.7148781
449;17.0828857
450;16.3435097
451;16.3080482
452;16.4398499
453;16.239994
454;16.2550354
455;10.7046986
456;9.40635014
457;8.70496464
458;8.55949593
459;8.43519497
460;8.36282444
461;10.4350529
462;18.119606
463;19.3051567
464;19.3592472
465;18.7641945
466;18.2220459
467;18.3012123
468;17.2787743
469;17.3748684
470;17.4335766
471;18.0930252
472;18.3186245
473;16.7182846
474;16.4076767
475;16.4042244
476;16.3450813
477;16.4093418
478;16.6487732
479;10.6434879
480;8.65208721
481;8.17897415
482;7.7749815
483;7.6312933
484;7.66332817
485;9.18239784
486;17.5462513
487;18.8330803
488;18.8335304
489;18.1329746
490;17.9122009
491;17.3250713
492;16.9758701
493;17.30616
494;17.7678814
495;17.8151569
496;17.7471504
497;16.6484108
498;16.3352699
499;16.2652321
500;16.3848877
501;16.2066154
502;16.2228775
503;9.03576088
504;8.25044537
505;7.94226933
506;7.73529625
507;7.91029072
508;8.00304985
509;9.69189644
510;17.3339157
511;18.4092255
512;18.3671417
513;17.6808128
514;17.1998138
515;16.6849098
516;16.3716068
517;16.6777325
518;16.8577671
519;16.6059113
520;16.5483055
521;16.5860424
522;16.3580151
523;16.3021584
524;15.9145641
525;15.9534388
526;16.0200806
527;9.97951126
528;7.31533241
529;6.344491
530;6.4237299
531;6.19061947
532;5.90191364
533;7.01224327
534;16.7765884
535;17.2143364
536;17.4344406
537;16.9565105
538;16.4961224
539;17.0312138
540;16.8521881
541;14.7696571
542;13.5978107
543;13.3915348
544;12.6818457
545;14.751976
546;14.9701729
547;14.4942093
548;14.4940147
549;14.5693073
550;15.7510052
551;7.32896042
552;6.98808908
553;6.21113348
554;6.12877417
555;6.01232052
556;5.58961678
557;5.70156622
558;14.2795124
559;14.6603355
560;14.5806608
561;14.0896444
562;14.1175003
563;13.3123245
564;13.0897074
565;11.6920624
566;10.4903975
567;8.89233112
568;9.58980083
569;12.6998463
570;14.4492207
571;14.429121
572;14.5084534
573;14.4684448
574;13.9412193
575;6.20569181
576;3.15162539
577;3.20268631
578;3.26588297
579;3.28860044
580;2.4397316
581;2.99545383
582;8.45397377
583;12.9253283
584;13.4757185
585;13.1297226
586;9.82555199
587;6.83597279
588;5.31650829
589;5.08259249
590;4.97754765
591;5.13907623
592;6.11544847
593;7.6346364
594;10.8807907
595;11.3942165
596;11.0753078
597;12.2040272
598;9.97110653
599;5.45140314
600;3.7992444
601;3.64270115
602;3.47960281
603;3.57762408
604;3.89630508
605;4.0688839
606;8.03672218
607;11.9657354
608;12.3204536
609;12.5018673
610;9.5643959
611;7.50420952
612;6.28073883
613;5.95358467
614;6.20160007
615;6.52332687
616;6.56527519
617;7.04068136
618;9.12370682
619;9.18992233
620;8.39580917
621;7.80339622
622;5.56454372
623;3.75066042
624;3.81924105
625;3.57533121
626;3.44979978
627;3.32890511
628;3.24155569
629;3.94890904
630;8.45005798
631;12.2962961
632;12.9986286
633;12.5177002
634;10.3716278
635;8.08474159
636;7.01214409
637;7.39082336
638;6.09377146
639;6.53814936
640;6.38340235
641;6.06092024
642;9.65746117
643;10.3126717
644;9.42956543
645;9.28623295
646;6.27306461
647;3.78720474
648;3.82366037
649;3.66251326
650;3.37163234
651;3.31521082
652;3.35610056
653;3.67368388
654;9.10128784
655;13.3894978
656;14.0776672
657;13.8065739
658;12.4588804
659;10.5563087
660;9.7530241
661;9.85277271
662;9.73919201
663;8.58116722
664;9.04636574
665;8.4306469
666;11.7062168
667;13.4362621
668;13.6631985
669;12.5176344
670;9.42763901
671;3.86175871
672;3.7879281
673;3.6468792
674;3.4387064
675;3.55681133
676;3.5474999
677;3.97123027
678;9.68132019
679;14.8155651
680;14.7787228
681;14.2085714
682;11.7131023
683;9.35012245
684;7.68675375
685;7.66455173
686;7.82215118
687;7.43873978
688;7.2460804
689;8.36918545
690;11.109375
691;10.6712399
692;10.2654696
693;9.60132408
694;8.04661751
695;4.82707357
696;5.53349733
697;4.59153461
698;4.67147255
699;4.42460632
700;4.32534742
701;5.34102011
702;13.1518974
703;17.2137184
704;17.4323997
705;16.8643475
706;15.5318632
707;13.3484097
708;12.2898636
709;10.2590733
710;8.87866497
711;9.0853529
712;8.46168232
713;9.98800278
714;14.4629297
715;14.4854774
716;14.485363
717;14.5461578
718;11.2817764
719;5.14902306
720;5.62544632
721;4.99770546
722;5.01286364
723;4.94500113
724;4.65483952
725;4.78287983
726;12.1967258
727;14.4151659
728;14.413681
729;13.8925581
730;13.8864536
731;12.4233131
732;11.4202547
733;10.7004824
734;9.55654526
735;8.08675289
736;8.03917599
737;9.71174431
738;14.3655262
739;14.3664627
740;14.4680462
741;14.4517841
742;11.3452225
743;4.90089893
744;4.16532993
745;4.16664028
746;4.32586718
747;4.42725945
748;3.58746386
749;4.67313528
750;12.9262409
751;14.4665365
752;14.4083796
753;14.0251627
754;13.8116035
755;13.3591805
756;11.7829752
757;10.6548491
758;9.60400963
759;8.60917473
