Groesse;Wert
Lauf.ID_Projekt;1008
Sim.Restwaerme;2.80843234
Sim.Reststrom;10322.3682
Sim.bSimulationWP;True
Sim.bSimulationKessel;False
Sim.bSimulationSolarthermie;False
Sim.bSimulationBHKW;False
Sim.bSimulationPV;False
Sim.bSimulationSSP;False
Sim.PufferWP_vorhanden;True
Puffer.Q_max;6.96
Puffer.Ladung_gesamt;28516.5295
Puffer.Entladung_gesamt;27864.2649
Puffer.Verluste_gesamt;645.735748
Puffer.SOC_Mittel;5.78971799
Puffer.SOC_Max;6.52887487
Puffer.Vollzyklen;4097.20251
Sim.Speicher_Anzahl;1
Ergebnis.ID_Projekt;1008
Ergebnis.Bezeichner;Simulation Heinestr 15
Ergebnis.ID_Klimaregion;1008001
Ergebnis.Sim_Energiebedarf;True
Ergebnis.Sim_Waermepumpe;True
Ergebnis.Sim_Heizkessel;False
Ergebnis.Sim_Solarthermie;False
Ergebnis.Sim_BHKW;False
Ergebnis.Sim_PV;False
Ergebnis.Sim_Stromspeicher;False
Energiebedarf.Waermebedarf_Gesamt;54.88
Energiebedarf.Waermelast_Max;37.76
Energiebedarf.Strombedarf_Gesamt;10310.17
Energiebedarf.Strombedarf_Max;4178.2
Energiebedarf.Waermerestbedarf;2.81
Energiebedarf.Stromrestbedarf;10322.37
Energiebedarf.Waermebedarf_Heizung;54.88
Energiebedarf.Waermebedarf_Brauchwasser;0
Energiebedarf.Waermebedarf_Prozess;0
Waermepumpe.Waermebedarf;54.88
Waermepumpe.Restwaermebedarf;2.81
Waermepumpe.Waermeproduktion_WP;52.73
Waermepumpe.Stromverbrauch_WP;12.2
Waermepumpe.Stromverbrauch_Heizstab;0
Waermepumpe.Kapazitaet_Pufferspeicher;6.96
Waermepumpe.Min_Spitzenkesselleistung;19.9
Waermepumpe.Waermebedarfsdeckung;94.88
Waermepumpe.Vollbenutzungsstunden;1701.64
Waermepumpe.Bivalenzpunkt;6.48
Waermepumpe.Deckung_Heizung;94.88
Waermepumpe.Deckung_Brauchwasser;0
Waermepumpe.Deckung_Prozess;0
WaermepumpeModul[0].Modul;CS7800iLW 16
WaermepumpeModul[0].Leistung;15
WaermepumpeModul[0].Waermeproduktion;50.12
WaermepumpeModul[0].Stromverbrauch;11.23
WaermepumpeModul[0].Heizstab;0
WaermepumpeModul[0].Betriebsstunden;2960.29
WaermepumpeModul[1].Modul;CS5800i AW 12 M + AW 5 OR-S
WaermepumpeModul[1].Leistung;3
WaermepumpeModul[1].Waermeproduktion;2.6
WaermepumpeModul[1].Stromverbrauch;0.96
WaermepumpeModul[1].Heizstab;0
WaermepumpeModul[1].Betriebsstunden;442.99
Pufferspeicher[0].ID_Pufferspeicher;1008007
Pufferspeicher[0].Bezeichner;Vitocell 140-E 600 Liter
Pufferspeicher[0].Verwendung;Heizung
Pufferspeicher[0].Q_max;6.96
Pufferspeicher[0].Ladung_gesamt;28516.53
Pufferspeicher[0].Entladung_gesamt;27864.26
Pufferspeicher[0].Verluste_gesamt;645.74
Pufferspeicher[0].SOC_Ende;6.53
Pufferspeicher[0].SOC_Mittel;5.79
Pufferspeicher[0].SOC_Max;6.53
Pufferspeicher[0].Vollzyklen;4097.2
Pufferspeicher[0].Entladung_Heizung;27864.26
Pufferspeicher[0].Entladung_Brauchwasser;0
Pufferspeicher[0].Entladung_Prozess;0
Pufferspeicher[0].Durchsatz_Geladen;24208.54
Pufferspeicher[0].Durchsatz_Entladen;24208.54
Pufferspeicher[0].ID_Anlage;
Pufferspeicher[0].T_oben_Mittel;8.32
Pufferspeicher[0].T_oben_Min;0
Vektor.waermebedarf.Summe;54881.2365
Vektor.waermebedarf_gebaeude.Summe;54881236.6
Vektor.waermebedarf_brauchwasser.Summe;0
Vektor.waermebedarf_prozess.Summe;0
Vektor.waermebedarf_extern.Summe;0
Vektor.waermebedarf_dauerlinie.Summe;145361.134
Vektor.stundentemperatur.Summe;86493.64
Vektor.restwaerme.Summe;2808.43189
Vektor.strombedarf_viertelstunde.Summe;41240684.8
Vektor.reststrom_viertelstunde.Summe;41289470.8
Vektor.wp_waermebedarf.Summe;54881.2365
Vektor.wp_produktion.Summe;52725.0696
Vektor.wp_strom.Summe;12196.5078
Vektor.heizstab.Summe;0
Vektor.wp_restwaerme.Summe;2808.43189
Vektor.wp_quellentemperatur.Summe;86493.64
Vektor.wp_warmwasserbedarf.Summe;0
Vektor.puffer_soc.Summe;50717.9296
Vektor.puffer_ladung.Summe;28516.5298
Vektor.puffer_entladung.Summe;27864.2648
