Index;Wert
0;7.2864728
1;7.2864728
2;7.2864728
3;7.2864728
4;7.2864728
5;8.57231998
6;19.7163353
7;25.7169609
8;27.4314251
9;27.4314251
10;24.4311142
11;21.4307995
12;18.8591042
13;17.5732574
14;15.8587923
15;15.0015602
16;15.4301758
17;18.0018711
18;26.1455765
19;29.1458912
20;27.8600388
21;27.4314251
22;18.4304886
23;7.71508789
24;5.31562853
25;5.31562853
26;5.31562853
27;5.31562853
28;5.31562853
29;6.25367975
30;14.3834639
31;18.7610397
32;20.0117779
33;20.0117779
34;17.8229885
35;15.6342001
36;13.7580957
37;12.8200436
38;11.5693083
39;10.9439402
40;11.2566242
41;13.1327276
42;19.0737247
43;21.2625141
44;20.3244591
45;20.0117779
46;13.4454117
47;5.62831211
48;4.08156443
49;4.08156443
50;4.08156443
51;4.08156443
52;4.08156443
53;4.80183983
54;11.0442314
55;14.4055195
56;15.3658886
57;15.3658886
58;13.6852446
59;12.0045996
60;10.5640478
61;9.84377289
62;8.88340473
63;8.40322113
64;8.6433115
65;10.0838642
66;14.6456127
67;16.3262577
68;15.6059799
69;15.3658886
70;10.3239565
71;4.32165575
72;4.89751339
73;4.89751339
74;4.89751339
75;4.89751339
76;4.89751339
77;5.76178026
78;13.2520933
79;17.2853394
80;18.4376965
81;18.4376965
82;16.421072
83;14.4044504
84;12.6759157
85;11.8116484
86;10.6592941
87;10.0831156
88;10.3712034
89;12.0997372
90;17.5734291
91;19.5900536
92;18.7257824
93;18.4376965
94;12.3878269
95;5.18560171
96;5.31552649
97;5.31552649
98;5.31552649
99;5.31552649
100;5.31552649
101;6.25356007
102;14.3831873
103;18.7606792
104;20.0113926
105;20.0113926
106;17.8226471
107;15.6339006
108;13.7578316
109;12.8197985
110;11.5690861
111;10.9437304
112;11.2564068
113;13.1324768
114;19.0733566
115;21.2621059
116;20.32407
117;20.0113926
118;13.4451542
119;5.62820339
120;5.35617352
121;5.35617352
122;5.35617352
123;5.35617352
124;5.35617352
125;6.30137968
126;14.4931736
127;18.9041405
128;20.1644154
129;20.1644154
130;17.9589329
131;15.7534513
132;13.8630352
133;12.9178305
134;11.6575527
135;11.0274153
136;11.3424835
137;13.2328978
138;19.2192097
139;21.4246941
140;20.4794846
141;20.1644154
142;13.5479679
143;5.67124176
144;4.76000023
145;4.76000023
146;4.76000023
147;4.76000023
148;4.76000023
149;5.5999999
150;12.8800001
151;16.7999992
152;17.9200001
153;17.9200001
154;15.96
155;14
156;12.3199997
157;11.4799995
158;10.3599997
159;9.80000019
160;10.0799999
161;11.7600002
162;17.0799999
163;19.0400009
164;18.2000008
165;17.9200001
166;12.04
167;5.03999996
168;2.75673842
169;2.62547326
170;2.62547326
171;2.62547326
172;2.75673842
173;3.15053439
174;7.35102463
175;10.6326571
176;10.6326571
177;10.7639236
178;9.18873882
179;8.13861656
180;7.35102463
181;7.48229027
182;7.35102463
183;7.21975994
184;7.21975994
185;7.61355495
186;9.45126915
187;9.45126915
188;8.79494381
189;8.53241253
190;6.16963673
191;2.88800383
192;6.47664356
193;6.47664356
194;6.47664356
195;6.47664356
196;6.47664356
197;7.61958027
198;17.5250359
199;22.8587379
200;24.3826561
201;24.3826561
202;21.7158031
203;19.0489483
204;16.7630768
205;15.6201391
206;14.0962238
207;13.3342648
208;13.7152443
209;16.0011177
210;23.2397194
211;25.9065742
212;24.7636356
213;24.3826561
214;16.3820972
215;6.85762215
216;4.60125446
217;4.60125446
218;4.60125446
219;4.60125446
220;4.60125446
221;5.41324043
222;12.4504519
223;16.2397194
224;17.3223686
225;17.3223686
226;15.4277344
227;13.5331001
228;11.9091282
229;11.0971422
230;10.0144939
231;9.47317028
232;9.74383068
233;11.3678036
234;16.5103836
235;18.4050179
236;17.593029
237;17.3223686
238;11.6384668
239;4.87191534
240;5.04075527
241;5.04075527
242;5.04075527
243;5.04075527
244;5.04075527
245;5.93029976
246;13.6396904
247;17.7908993
248;18.9769611
249;18.9769611
250;16.9013557
251;14.8257504
252;13.0466595
253;12.157115
254;10.971055
255;10.3780251
256;10.6745396
257;12.4536295
258;18.0874138
259;20.1630211
260;19.2734737
261;18.9769611
262;12.7501459
263;5.33726978
264;5.1416502
265;5.1416502
266;5.1416502
267;5.1416502
268;5.1416502
269;6.04899931
270;13.9127007
271;18.1469994
272;19.3568001
273;19.3568001
274;17.2396507
275;15.1225004
276;13.3078012
277;12.4004498
278;11.19065
279;10.5857496
280;10.8881989
281;12.7028999
282;18.4494514
283;20.5666008
284;19.6592503
285;19.3568001
286;13.0053501
287;5.44409943
288;5.66526747
289;5.66526747
290;5.66526747
291;5.66526747
292;5.66526747
293;6.66501951
294;15.329546
295;19.99506
296;21.328064
297;21.328064
298;18.995306
299;16.66255
300;14.663044
301;13.663291
302;12.330287
303;11.663785
304;11.997035
305;13.996541
306;20.3283119
307;22.6610699
308;21.661314
309;21.328064
310;14.329793
311;5.99851751
312;5.54030371
313;5.27649498
314;5.27649498
315;5.27649498
316;5.54030371
317;6.3317275
318;14.7735844
319;21.3687859
320;21.3687859
321;21.6325932
322;18.466898
323;16.3564339
324;14.7735844
325;15.0373926
326;14.7735844
327;14.5097771
328;14.5097771
329;15.3011999
330;18.9945145
331;18.9945145
332;17.6754723
333;17.1478558
334;12.399313
335;5.80411196
336;6.87944126
337;6.87944126
338;6.87944126
339;6.87944126
340;6.87944126
341;8.09346008
342;18.6149578
343;24.2803783
344;25.8990746
345;25.8990746
346;23.0663605
347;20.2336502
348;17.8056107
349;16.5915947
350;14.9729013
351;14.1635551
352;14.5682278
353;16.9962654
354;24.6850548
355;27.517765
356;26.3037434
357;25.8990746
358;17.4009399
359;7.28411388
360;7.18284035
361;7.18284035
362;7.18284035
363;7.18284035
364;7.18284035
365;8.45040035
366;19.4359207
367;25.3512001
368;27.0412807
369;27.0412807
370;24.0836411
371;21.1259995
372;18.5908794
373;17.3233204
374;15.6332407
375;14.7882004
376;15.2107201
377;17.7458401
378;25.7737198
379;28.7313614
380;27.4637985
381;27.0412807
382;18.1683598
383;7.60536003
384;8.05252647
385;8.05252647
386;8.05252647
387;8.05252647
388;8.05252647
389;9.47355938
390;21.7891903
391;28.4206791
392;30.3153934
393;30.3153934
394;26.9996471
395;23.6839008
396;20.8418312
397;19.4207993
398;17.5260868
399;16.5787296
400;17.0524063
401;19.8944759
402;28.8943577
403;32.2101059
404;30.7890682
405;30.3153934
406;20.3681545
407;8.52620316
408;9.0280714
409;9.0280714
410;9.0280714
411;9.0280714
412;9.0280714
413;10.6212597
414;24.428896
415;31.8637791
416;33.9880295
417;33.9880295
418;30.2705898
419;26.5531502
420;23.3667736
421;21.7735844
422;19.649332
423;18.5872059
424;19.1182671
425;22.3046436
426;32.3948441
427;36.1122856
428;34.5190926
429;33.9880295
430;22.8357105
431;9.55913353
432;8.58943748
433;8.58943748
434;8.58943748
435;8.58943748
436;8.58943748
437;10.1052198
438;23.2420063
439;30.3156605
440;32.3367043
441;32.3367043
442;28.7998772
443;25.2630501
444;22.2314835
445;20.7157021
446;18.6946583
447;17.6841354
448;18.189394
449;21.2209606
450;30.8209209
451;34.3577499
452;32.8419647
453;32.3367043
454;21.7262249
455;9.094697
456;8.21570873
457;8.21570873
458;8.21570873
459;8.21570873
460;8.21570873
461;9.66553879
462;22.2307415
463;28.9966202
464;30.9297295
465;30.9297295
466;27.5467892
467;24.1638508
468;21.2641869
469;19.8143578
470;17.8812504
471;16.9146957
472;17.3979721
473;20.2976322
474;29.4798985
475;32.8628349
476;31.4130039
477;30.9297295
478;20.7809105
479;8.69898605
480;7.04697609
481;7.04697609
482;7.04697609
483;7.04697609
484;7.04697609
485;8.29055977
486;19.0682888
487;24.8716793
488;26.5297947
489;26.5297947
490;23.6280956
491;20.7264004
492;18.239233
493;16.9956493
494;15.3375359
495;14.5084801
496;14.923008
497;17.4101753
498;25.2862072
499;28.1879044
500;26.9443188
501;26.5297947
502;17.8247032
503;7.46150398
504;7.44596672
505;7.44596672
506;7.44596672
507;7.44596672
508;7.44596672
509;8.75996017
510;20.1479073
511;26.2798786
512;28.0318737
513;28.0318737
514;24.9658871
515;21.8999004
516;19.2719116
517;17.9579182
518;16.2059269
519;15.3299294
520;15.7679281
521;18.395916
522;26.7178783
523;29.7838669
524;28.4698696
525;28.0318737
526;18.8339138
527;7.88396406
528;5.2198844
529;5.2198844
530;5.2198844
531;5.2198844
532;5.2198844
533;6.14103937
534;14.1243925
535;18.4231186
536;19.651329
537;19.651329
538;17.5019646
539;15.3526011
540;13.5102873
541;12.5891323
542;11.3609247
543;10.7468204
544;11.0538712
545;12.896184
546;18.7301712
547;20.8795376
548;19.9583797
549;19.651329
550;13.2032366
551;5.52693558
552;5.64724779
553;5.64724779
554;5.64724779
555;5.64724779
556;5.64724779
557;6.64382029
558;15.2807865
559;19.9314594
560;21.2602253
561;21.2602253
562;18.9348869
563;16.6095505
564;14.6164045
565;13.6198311
566;12.2910671
567;11.6266842
568;11.9588747
569;13.9520216
570;20.2636528
571;22.5889912
572;21.5924149
573;21.2602253
574;14.284214
575;5.97943735
576;2.46702957
577;2.34955907
578;2.34955907
579;2.34955907
580;2.46702957
581;2.81944084
582;6.57849693
583;9.51525974
584;9.51525974
585;9.63273048
586;8.22308445
587;7.28332043
588;6.57849693
589;6.69596767
590;6.57849693
591;6.46102667
592;6.46102667
593;6.81343794
594;8.45802498
595;8.45802498
596;7.8706727
597;7.63573122
598;5.52126265
599;2.58450031
600;2.68281221
601;2.55506706
602;2.55506706
603;2.55506706
604;2.68281221
605;3.06604815
606;7.15389538
607;10.3475275
608;10.3475275
609;10.4752722
610;8.94232941
611;7.92036772
612;7.15389538
613;7.28164101
614;7.15389538
615;7.02615118
616;7.02615118
617;7.40938663
618;9.19782066
619;9.19782066
620;8.55909348
621;8.30360317
622;6.00418901
623;2.8105576
624;3.04522705
625;3.04522705
626;3.04522705
627;3.04522705
628;3.04522705
629;3.58261991
630;8.24002647
631;10.747859
632;11.464385
633;11.464385
634;10.2104664
635;8.9565506
636;7.88176394
637;7.34437132
638;6.62784719
639;6.26958513
640;6.44871569
641;7.52350187
642;10.9269915
643;12.1809082
644;11.6435146
645;11.464385
646;7.70263338
647;3.22435784
648;3.48732924
649;3.48732924
650;3.48732924
651;3.48732924
652;3.48732924
653;4.10274029
654;9.43630219
655;12.3082199
656;13.1287689
657;13.1287689
658;11.6928082
659;10.2568493
660;9.02602863
661;8.41061687
662;7.59006929
663;7.17979479
664;7.38493156
665;8.61575413
666;12.5133562
667;13.949317
668;13.3339043
669;13.1287689
670;8.82089138
671;3.69246578
672;2.847296
673;2.71171832
674;2.71171832
675;2.71171832
676;2.847296
677;3.25402737
678;7.59250164
679;10.9819336
680;10.9819336
681;11.1175117
682;9.49058437
683;8.40596581
684;7.59250164
685;7.72807932
686;7.59250164
687;7.45692492
688;7.45692492
689;7.86365557
690;9.76173782
691;9.76173782
692;9.08385181
693;8.81269741
694;6.37230635
695;2.98287296
696;5.42538023
697;5.42538023
698;5.42538023
699;5.42538023
700;5.42538023
701;6.38279963
702;14.680439
703;19.1483994
704;20.4249611
705;20.4249611
706;18.1909809
707;15.9569998
708;14.04216
709;13.0847406
710;11.8081808
711;11.1698999
712;11.4890394
713;13.4038801
714;19.4675407
715;21.7015209
716;20.7440987
717;20.4249611
718;13.7230206
719;5.74451971
720;4.97204161
721;4.97204161
722;4.97204161
723;4.97204161
724;4.97204161
725;5.84946012
726;13.4537582
727;17.548378
728;18.7182732
729;18.7182732
730;16.6709614
731;14.6236506
732;12.8688116
733;11.9913931
734;10.8215008
735;10.2365551
736;10.529027
737;12.283865
738;17.8408527
739;19.8881664
740;19.0107441
741;18.7182732
742;12.5763397
743;5.26451349
744;5.57851601
745;5.57851601
746;5.57851601
747;5.57851601
748;5.57851601
749;6.56296015
750;15.0948086
751;19.688879
752;21.0014725
753;21.0014725
754;18.7044373
755;16.4074001
756;14.4385118
757;13.4540682
758;12.1414766
759;11.4851799
760;11.8133268
761;13.7822161
762;20.0170269
763;22.314064
764;21.3296185
765;21.0014725
766;14.1103649
767;5.90666342
768;5.80126762
769;5.80126762
770;5.80126762
771;5.80126762
772;5.80126762
773;6.82501936
774;15.697546
775;20.4750614
776;21.840065
777;21.840065
778;19.4513073
779;17.0625515
780;15.0150442
781;13.991291
782;12.6262875
783;11.9437847
784;12.2850351
785;14.3325424
786;20.8163109
787;23.2050705
788;22.1813145
789;21.840065
790;14.6737928
791;6.14251757
792;6.41617441
793;6.41617441
794;6.41617441
795;6.41617441
796;6.41617441
797;7.54843998
798;17.361412
799;22.6453209
800;24.1550102
801;24.1550102
802;21.513052
803;18.8710995
804;16.6065693
805;15.4743023
806;13.9646139
807;13.2097702
808;13.5871916
809;15.8517237
810;23.0227413
811;25.6646976
812;24.5324287
813;24.1550102
814;16.229147
815;6.79359579
816;6.74770832
817;6.74770832
818;6.74770832
819;6.74770832
820;6.74770832
821;7.93847942
822;18.258503
823;23.8154392
824;25.4031391
825;25.4031391
826;22.6246681
827;19.846199
828;17.4646568
829;16.2738838
830;14.6861887
831;13.8923397
832;14.2892637
833;16.6708088
834;24.2123642
835;26.9908333
836;25.8000584
837;25.4031391
838;17.0677319
839;7.14463186
840;5.64444256
841;5.64444256
842;5.64444256
843;5.64444256
844;5.64444256
845;6.6405201
846;15.2731962
847;19.9215584
848;21.2496643
849;21.2496643
850;18.9254818
851;16.6013012
852;14.6091442
853;13.6130667
854;12.2849617
855;11.6209097
856;11.9529352
857;13.9450922
858;20.2535858
859;22.5777702
860;21.5816898
861;21.2496643
862;14.2771177
863;5.97646761
864;5.59499025
865;5.328578
866;5.328578
867;5.328578
868;5.59499025
869;6.39422655
870;14.9194098
871;21.5797081
872;21.5797081
873;21.8461246
874;18.6491776
875;16.5178833
876;14.9194098
877;15.1858225
878;14.9194098
879;14.6529989
880;14.6529989
881;15.4522343
882;19.1820011
883;19.1820011
884;17.8499413
885;17.3171177
886;12.5217028
887;5.86140251
888;6.61143637
889;6.61143637
890;6.61143637
891;6.61143637
892;6.61143637
893;7.7781601
894;17.8897667
895;23.3344784
896;24.8901138
897;24.8901138
898;22.1677551
899;19.4454002
900;17.1119518
901;15.9452286
902;14.389596
903;13.6117792
904;14.0006876
905;16.3341351
906;23.7233887
907;26.4457455
908;25.2790203
909;24.8901138
910;16.7230453
911;7.0003438
912;5.9369278
913;5.9369278
914;5.9369278
915;5.9369278
916;5.9369278
917;6.98461962
918;16.0646267
919;20.9538593
920;22.3507843
921;22.3507843
922;19.906168
923;17.4615517
924;15.3661642
925;14.3184719
926;12.9215469
927;12.2230854
928;12.5723162
929;14.6677008
930;21.303091
931;23.7477112
932;22.7000141
933;22.3507843
934;15.0169334
935;6.28615808
936;6.32185841
937;6.32185841
938;6.32185841
939;6.32185841
940;6.32185841
941;7.4374795
942;17.1062031
943;22.312439
944;23.7999363
945;23.7999363
946;21.1968193
947;18.5936985
948;16.3624554
949;15.2468338
950;13.7593393
951;13.0155897
952;13.3874636
953;15.6187077
954;22.6843147
955;25.2874336
956;24.1718082
957;23.7999363
958;15.9905825
959;6.69373178
960;6.75197554
961;6.75197554
962;6.75197554
963;6.75197554
964;6.75197554
965;7.94349957
966;18.27005
967;23.8304996
968;25.4192009
969;25.4192009
970;22.6389751
971;19.8587494
972;17.4756985
973;16.2841759
974;14.6954746
975;13.901125
976;14.2982998
977;16.6813488
978;24.2276764
979;27.0079021
980;25.8163738
981;25.4192009
982;17.0785255
983;7.14914989
984;5.7819891
985;5.7819891
986;5.7819891
987;5.7819891
988;5.7819891
989;6.80234003
990;15.6453829
991;20.4070187
992;21.7674904
993;21.7674904
994;19.3866692
995;17.0058498
996;14.965147
997;13.9447975
998;12.5843296
999;11.9040947
1000;12.2442122
1001;14.284914
1002;20.7471371
1003;23.1279564
1004;22.1076031
1005;21.7674904
1006;14.6250315
1007;6.12210608
1008;5.99671602
1009;5.99671602
1010;5.99671602
1011;5.99671602
1012;5.99671602
1013;7.0549593
1014;16.226408
1015;21.1648808
1016;22.5758724
1017;22.5758724
1018;20.106636
1019;17.6373997
1020;15.5209122
1021;14.4626694
1022;13.0516758
1023;12.34618
1024;12.6989279
1025;14.8154163
1026;21.5176296
1027;23.9868641
1028;22.9286194
1029;22.5758724
1030;15.1681643
1031;6.34946394
1032;4.23751163
1033;4.03573751
1034;4.03573751
1035;4.03573751
1036;4.23751163
1037;4.842834
1038;11.2996044
1039;16.343956
1040;16.343956
1041;16.5457306
1042;14.1244411
1043;12.5102491
1044;11.2996044
1045;11.5013781
1046;11.2996044
1047;11.0978308
1048;11.0978308
1049;11.7031527
1050;14.5279894
1051;14.5279894
1052;13.5191193
1053;13.1155701
1054;9.48363781
1055;4.43928623
1056;5.25611639
1057;5.00583982
1058;5.00583982
1059;5.00583982
1060;5.25611639
1061;6.00694418
1062;14.0157795
1063;20.2726822
1064;20.2726822
1065;20.5229588
1066;17.5196438
1067;15.517437
1068;14.0157795
1069;14.2660551
1070;14.0157795
1071;13.7655039
1072;13.7655039
1073;14.5163317
1074;18.0201988
1075;18.0201988
1076;16.768816
1077;16.2682648
1078;11.7632961
1079;5.50639248
1080;7.04736757
1081;7.04736757
1082;7.04736757
1083;7.04736757
1084;7.04736757
1085;8.29101944
1086;19.0693455
1087;24.8730583
1088;26.5312653
1089;26.5312653
1090;23.629406
1091;20.7275505
1092;18.2402439
1093;16.9965916
1094;15.3383865
1095;14.509285
1096;14.9238358
1097;17.4111423
1098;25.2876129
1099;28.1894703
1100;26.9458141
1101;26.5312653
1102;17.8256931
1103;7.46191788
1104;4.28848839
1105;4.28848839
1106;4.28848839
1107;4.28848839
1108;4.28848839
1109;5.04527998
1110;11.6041431
1111;15.1358395
1112;16.1448956
1113;16.1448956
1114;14.3790474
1115;12.6132011
1116;11.0996161
1117;10.342824
1118;9.33376789
1119;8.82923985
1120;9.08150387
1121;10.595088
1122;15.3881044
1123;17.1539536
1124;16.3971577
1125;16.1448956
1126;10.847352
1127;4.54075193
1128;7.1839962
1129;7.1839962
1130;7.1839962
1131;7.1839962
1132;7.1839962
1133;8.45175934
1134;19.4390488
1135;25.355278
1136;27.0456333
1137;27.0456333
1138;24.0875149
1139;21.1294003
1140;18.593874
1141;17.3261089
1142;15.6357555
1143;14.7905798
1144;15.2131681
1145;17.7486954
1146;25.7778683
1147;28.7359848
1148;27.4682178
1149;27.0456333
1150;18.1712856
1151;7.60658407
1152;7.10637474
1153;7.10637474
1154;7.10637474
1155;7.10637474
1156;7.10637474
1157;8.36044025
1158;19.2290115
1159;25.0813198
1160;26.7534084
1161;26.7534084
1162;23.8272533
1163;20.9011021
1164;18.3929691
1165;17.1389027
1166;15.466814
1167;14.6307707
1168;15.0487909
1169;17.5569229
1170;25.499342
1171;28.425499
1172;27.1714287
1173;26.7534084
1174;17.974947
1175;7.52439547
1176;7.71849346
1177;7.71849346
1178;7.71849346
1179;7.71849346
1180;7.71849346
1181;9.08057976
1182;20.885334
1183;27.2417412
1184;29.0578575
1185;29.0578575
1186;25.879652
1187;22.7014503
1188;19.9772778
1189;18.6151886
1190;16.7990723
1191;15.891016
1192;16.3450432
1193;19.0692196
1194;27.6957703
1195;30.8739738
1196;29.5118847
1197;29.0578575
1198;19.5232487
1199;8.17252159
1200;7.20111513
1201;7.20111513
1202;7.20111513
1203;7.20111513
1204;7.20111513
1205;8.47189999
1206;19.4853706
1207;25.415699
1208;27.1100807
1209;27.1100807
1210;24.1449146
1211;21.1797523
1212;18.6381798
1213;17.3673973
1214;15.6730156
1215;14.8258238
1216;15.2494192
1217;17.7909908
1218;25.8392944
1219;28.8044605
1220;27.5336742
1221;27.1100807
1222;18.2145863
1223;7.62470961
1224;6.27095985
1225;6.27095985
1226;6.27095985
1227;6.27095985
1228;6.27095985
1229;7.37760019
1230;16.9684811
1231;22.1327991
1232;23.6083202
1233;23.6083202
1234;21.0261593
1235;18.4440002
1236;16.2307205
1237;15.1240807
1238;13.6485596
1239;12.9108
1240;13.2796793
1241;15.49296
1242;22.5016804
1243;25.0838394
1244;23.9771996
1245;23.6083202
1246;15.8618412
1247;6.63983965
1248;6.17577744
1249;6.17577744
1250;6.17577744
1251;6.17577744
1252;6.17577744
1253;7.26561975
1254;16.7109261
1255;21.7968597
1256;23.2499847
