Index;Wert
0;10.5020914
1;10.5020914
2;10.5020914
3;10.5020914
4;10.5020914
5;10.5020914
6;10.5020905
7;10.5020914
8;10.5020914
9;10.5020914
10;10.5020914
11;10.5020914
12;10.5020914
13;10.5020914
14;10.5020914
15;10.5020914
16;10.5020914
17;10.5020914
18;10.5020905
19;10.5020914
20;10.5020914
21;10.5020905
22;10.5020914
23;10.5020914
24;10.5020914
25;10.5020914
26;10.5020914
27;10.5020914
28;10.5020914
29;10.5020914
30;10.5020905
31;10.5020914
32;10.5020914
33;10.5020914
34;10.5020914
35;10.5020914
36;10.5020914
37;10.5020914
38;10.5020914
39;10.5020914
40;10.5020914
41;10.5020914
42;10.5020905
43;10.5020914
44;10.5020914
45;10.5020905
46;10.5020914
47;10.5020914
48;10.5020914
49;10.5020914
50;10.5020914
51;10.5020914
52;10.5020914
53;10.5020914
54;10.5020914
55;10.5020914
56;10.5020905
57;10.5020914
58;10.5020914
59;10.5020914
60;10.5020914
61;10.5020914
62;10.5020914
63;10.5020914
64;10.5020914
65;10.5020905
66;10.5020914
67;10.5020914
68;10.5020905
69;10.5020914
70;10.5020914
71;10.5020914
72;10.5020914
73;10.5020914
74;10.5020914
75;10.5020914
76;10.5020914
77;10.5020914
78;10.5020914
79;10.5020914
80;10.5020905
81;10.5020914
82;10.5020914
83;10.5020914
84;10.5020914
85;10.5020914
86;10.5020914
87;10.5020914
88;10.5020914
89;10.5020905
90;10.5020914
91;10.5020914
92;10.5020905
93;10.5020914
94;10.5020914
95;10.5020914
96;10.5020914
97;10.5020914
98;10.5020914
99;10.5020914
100;10.5020914
101;10.5020914
102;10.5020905
103;10.5020914
104;10.5020914
105;10.5020914
106;10.5020914
107;10.5020914
108;10.5020914
109;10.5020914
110;10.5020914
111;10.5020914
112;10.5020914
113;10.5020914
114;10.5020905
115;10.5020914
116;10.5020914
117;10.5020905
118;10.5020914
119;10.5020914
120;10.5020914
121;10.5020914
122;10.5020914
123;10.5020914
124;10.5020914
125;10.5020905
126;10.5020914
127;10.5020914
128;10.5020914
129;10.5020914
130;10.5020914
131;10.5020914
132;10.5020914
133;10.5020914
134;10.5020914
135;10.5020914
136;10.5020914
137;10.5020914
138;10.5020905
139;10.5020914
140;10.5020914
141;10.5020905
142;10.5020914
143;10.5020914
144;10.5020914
145;10.5020914
146;10.5020914
147;10.5020914
148;10.5020914
149;10.5020914
150;10.5020914
151;10.5020914
152;10.5020914
153;10.5020914
154;10.5020914
155;10.5020914
156;10.5020914
157;10.5020914
158;10.5020914
159;10.5020914
160;10.5020914
161;10.5020914
162;10.5020914
163;10.5020905
164;10.5020914
165;10.5020914
166;10.5020914
167;10.5020914
168;10.5020914
169;10.5020914
170;10.5020914
171;10.5020914
172;10.5020914
173;10.5020914
174;10.5020914
175;10.5020914
176;10.5020914
177;10.5020914
178;10.5020914
179;10.5020914
180;10.5020914
181;10.5020914
182;10.5020914
183;10.5020914
184;10.5020914
185;10.5020914
186;10.5020905
187;10.5020914
188;10.5020914
189;10.5020914
190;10.5020914
191;10.5020914
192;10.5020914
193;10.5020914
194;10.5020914
195;10.5020914
196;10.5020914
197;10.5020914
198;10.5020905
199;10.5020914
200;10.5020914
201;10.5020914
202;10.5020914
203;10.5020914
204;10.5020914
205;10.5020914
206;10.5020914
207;10.5020914
208;10.5020914
209;10.5020905
210;10.5020914
211;10.5020914
212;10.5020905
213;10.5020914
214;10.5020914
215;10.5020914
216;10.5020914
217;10.5020914
218;10.5020914
219;10.5020914
