Index;Wert
0;50.9555359
1;50.0312309
2;50.9685783
3;55.750164
4;79.0453949
5;94.6262054
6;90.1579056
7;88.8337479
8;86.5714264
9;81.5763168
10;80.3142395
11;79.8642426
12;81.5860519
13;77.9014053
14;79.2583694
15;84.5657883
16;95.1348953
17;108.21582
18;114.896355
19;113.764084
20;108.377563
21;85.3168411
22;48.160759
23;48.3493614
24;47.8624382
25;46.9569397
26;47.844471
27;52.3861122
28;74.6718063
29;89.5746307
30;85.3051758
31;84.1039581
32;81.8584518
33;77.0194244
34;76.0774918
35;76.0256729
36;77.7939072
37;74.2481461
38;75.5615387
39;80.5891037
40;90.6845551
41;103.284668
42;109.751572
43;108.680412
44;103.45092
45;81.0296097
46;45.1085663
47;45.0817261
48;21.3164635
49;20.1617012
50;21.2835808
51;27.0996246
52;55.6538506
53;74.7636337
54;67.3421783
55;64.3143005
56;70.0805359
57;68.3831177
58;69.4535141
59;69.2646179
60;66.2829437
61;61.7143364
62;64.5429535
63;72.2482986
64;84.6002426
65;96.2045593
66;96.7228928
67;86.2077942
68;73.9077225
69;51.3925781
70;12.8893557
71;18.5963516
72;26.5956421
73;25.345253
74;26.6201515
75;33.083149
76;64.7987518
77;85.9389954
78;77.6654205
79;71.6856155
80;75.5103073
81;75.1332932
82;76.3061981
83;77.0912781
84;74.9568405
85;68.3767014
86;71.2693405
87;79.2569504
88;92.4157562
89;103.184647
90;102.463303
91;91.3161163
92;81.4031448
93;59.3161125
94;16.7825356
95;23.1549244
96;45.3535042
97;44.5590401
98;45.5013008
99;49.9416924
100;71.3983612
101;85.7130432
102;80.0568924
103;75.8980484
104;75.6062469
105;73.4785614
106;72.5111008
107;72.2554169
108;73.9650574
109;70.6571121
110;71.9801178
111;76.8664169
112;86.7144394
113;99.1953049
114;105.779114
115;104.915993
116;99.7439346
117;77.8995056
118;43.1175842
119;42.9405708
120;45.7105293
121;44.8494911
122;45.7310371
123;50.1710243
124;71.7753525
125;86.2126694
126;82.104744
127;80.9891052
128;78.903183
129;74.2189636
130;73.1643829
131;72.852684
132;74.5662689
133;71.2969513
134;72.6802902
135;77.722908
136;87.7039337
137;100.111359
138;106.565437
139;105.709793
140;100.666893
141;78.8896942
142;43.9367409
143;43.7808266
144;42.1152763
145;41.3204422
146;42.0693626
147;46.2481194
148;66.5890961
149;80.0745239
150;74.7897797
151;71.025383
152;71.0134964
153;69.1583328
154;68.072525
155;67.7470322
156;69.326889
157;66.0818558
158;67.3416061
159;72.2396698
160;81.9061127
161;93.8296127
162;99.9339981
163;98.944519
164;94.0032425
165;72.8444824
166;39.5328331
167;39.1861877
168;24.4515209
169;23.9246101
170;24.4788475
171;27.46418
172;42.348896
173;52.3463097
174;48.5120811
175;45.7947922
176;45.9756927
177;45.9180374
178;45.4689178
179;45.1423607
180;46.5224762
181;43.8496895
182;44.7114983
183;48.3521919
184;56.0108871
185;66.0328522
186;71.9374313
187;72.2656479
188;68.2171326
189;50.575325
190;24.4418964
191;23.0014954
192;45.2386894
193;44.3442879
194;45.1564865
195;49.4865723
196;70.9256897
197;85.2723541
198;79.7705994
199;75.7710419
200;75.5734024
201;73.4551086
202;72.4627457
203;72.1270676
204;73.8696289
205;70.3388748
206;71.6557693
207;76.553772
208;86.3632507
209;98.829567
210;105.326218
211;104.524391
212;99.6285782
213;77.8711395
214;43.1312485
215;42.9839249
216;26.5982018
217;25.2659626
218;26.502821
219;32.8921967
220;64.4525757
221;85.4259186
222;77.0768814
223;73.3794174
224;78.9109039
225;76.3100967
226;77.1669159
227;77.0794678
228;74.2269745
229;69.2943268
230;72.3306122
231;80.7067719
232;94.2228012
233;106.97052
234;107.758797
235;96.7143326
236;83.7141724
237;59.1331024
238;16.4372158
239;22.7211666
240;28.221426
241;26.8955193
242;28.1652451
243;34.898922
244;67.9941788
245;90.1399078
246;81.6302261
247;75.4559021
248;79.2874908
249;78.6807709
250;79.8817215
251;80.7735748
252;78.7337494
253;71.7555389
254;74.472229
255;82.5503006
256;96.1036072
257;107.373001
258;106.749443
259;95.3219147
260;85.1678314
261;62.2913666
262;18.0545959
263;24.6889591
264;42.1714554
265;41.3325882
266;42.2811279
267;46.4675865
268;66.9557953
269;80.6796417
270;75.4023209
271;71.5402451
272;71.4358597
273;69.5297012
274;68.7213516
275;68.6658249
276;70.4076614
277;67.2010651
278;68.3338242
279;73.0027618
280;82.5872726
281;94.6400833
282;100.987144
283;100.333359
284;95.3792267
285;74.1266098
286;40.5377541
287;40.1870995
288;48.1077156
289;47.1846085
290;48.0546646
291;52.588253
292;74.8990784
293;89.8060455
294;85.5324478
295;84.4148865
296;82.1514587
297;77.3356171
298;76.3527756
299;76.3049316
300;78.1561813
301;74.5947037
302;76.0125046
303;81.0976486
304;91.2679443
305;103.914352
306;110.449791
307;109.477554
308;104.237473
309;81.8831406
310;45.9947662
311;46.0817375
312;39.9486504
313;39.2297363
314;40.0603371
315;44.1122169
316;63.7637749
317;76.9385605
318;71.9628983
319;68.3983612
320;68.0283813
321;66.5057907
322;65.4378204
323;65.0024567
324;66.5085754
325;63.2232399
326;64.3262329
327;68.8847046
328;78.1754684
329;89.9243393
330;96.2804794
331;95.7763748
332;91.0597916
333;70.4175644
334;38.1498222
335;37.6141052
336;64.4672928
337;63.3251495
338;64.3206482
339;69.9039688
340;97.3827438
341;115.833458
342;108.801132
343;103.686615
344;103.146843
345;99.2860565
346;97.9808655
347;97.9201431
348;100.039085
349;96.0191727
350;97.7306519
351;103.823395
352;115.764618
353;130.274094
354;137.244995
355;135.280716
356;129.170624
357;103.463676
358;60.7932205
359;61.8563805
360;68.550148
361;67.3948059
362;68.5420761
363;74.3177719
364;102.943825
365;122.079605
366;116.177025
367;113.86499
368;110.984375
369;104.478973
370;102.975471
371;102.870552
372;104.983482
373;100.694099
374;102.465675
375;108.779808
376;121.241745
377;136.239456
378;143.350449
379;141.213211
380;134.82077
381;108.371147
382;64.2122879
383;65.6095734
384;56.7439957
385;54.6921616
386;56.7849617
387;67.2083817
388;118.108475
389;153.218689
390;142.24057
391;135.938019
392;135.132309
393;127.710304
394;127.11161
395;127.036865
396;125.249229
397;117.947006
398;122.131378
399;134.266525
400;154.545746
401;174.411972
402;176.975021
403;162.576324
404;146.491425
405;109.230644
406;41.4000664
407;51.6036797
408;62.6419678
409;60.5159492
410;62.9216042
411;74.1150055
412;128.581711
413;164.931671
414;152.677979
415;145.201935
416;144.343979
417;136.180847
418;135.77829
419;136.483459
420;135.399185
421;125.912682
422;130.072876
423;142.441986
424;163.68837
425;183.062576
426;184.374023
427;169.071167
428;155.475754
429;118.861542
430;46.6497231
431;57.7404785
432;89.8991165
433;88.516777
434;89.8731995
435;96.9789429
436;131.810379
437;155.099304
438;147.446136
439;143.810455
440;139.992523
441;131.821381
442;129.871078
443;129.65509
444;131.746674
445;126.581894
446;128.562393
447;135.926193
448;150.382889
449;167.637115
450;175.377502
451;172.205536
452;165.196014
453;134.811523
454;82.4596786
455;84.9975281
456;83.4884491
457;82.1845551
458;83.5240707
459;90.3074417
460;123.499611
461;145.74408
462;138.630661
463;135.416809
464;132.208115
465;124.73098
466;122.90831
467;122.802597
468;124.782509
469;119.672493
470;121.516617
471;128.715134
472;142.841705
473;159.728073
474;167.403412
475;164.633209
476;157.570084
477;128.131271
478;77.9637604
479;80.1674194
480;73.0555496
481;71.8113403
482;72.8142853
483;78.8169022
484;108.412827
485;128.251251
486;121.982361
487;119.36393
488;116.399681
489;109.609505
490;107.89753
491;107.602425
492;109.670959
493;105.231827
494;106.991013
495;113.530075
496;126.329453
497;141.869888
498;149.156418
499;146.815277
500;140.332275
501;113.353363
502;68.0484238
503;69.7917938
504;71.7466431
505;70.5436478
506;71.6862411
507;77.6707001
508;106.994827
509;126.587509
510;120.765091
511;118.543312
512;115.008919
513;108.409866
514;106.908089
515;106.47805
516;108.114159
517;103.430557
518;105.029991
519;111.375824
520;124.083031
521;139.593491
522;147.027115
523;144.829697
524;138.647186
525;111.740112
526;66.4887695
527;67.6284866
528;54.1925583
529;52.9391785
530;53.6628761
531;58.4279022
532;82.3895187
533;98.363678
534;93.6368179
535;92.1390457
536;89.825943
537;84.5309067
538;83.4721298
539;83.4409866
540;85.3911972
541;81.6765823
542;83.1664886
543;88.6025848
544;99.2737427
545;112.636284
546;119.352783
547;118.017731
548;112.470772
549;89.0132904
550;50.880127
551;51.2961655
552;34.6448746
553;33.3346329
554;34.9921455
555;42.5723305
556;79.4401016
557;105.162704
558;97.864769
559;94.2546616
560;94.5636673
561;90.6482925
562;90.9509048
563;90.5046005
564;87.586525
565;81.8612442
566;85.1376648
567;94.4356537
568;109.670242
569;124.211266
570;125.379929
571;113.283577
572;99.4740067
573;71.6347046
574;22.4055786
575;29.7482395
576;9.49300861
577;8.73250198
578;9.62220383
579;13.9703655
580;34.8071823
581;48.7477455
582;43.5876579
583;39.7865295
584;37.8664818
585;46.890274
586;48.6218758
587;49.0788345
588;46.347908
589;41.0371094
590;43.1488266
591;48.9746323
592;58.3411598
593;65.1271057
594;63.5432472
595;54.4372101
596;46.4923058
597;31.4750385
598;3.39585733
599;7.61011362
600;4.66170406
601;4.33446503
602;4.68231678
603;6.3856616
604;14.7428751
605;20.3211269
606;18.0581303
607;16.4041615
608;15.4344778
609;13.2508421
610;12.3715611
611;12.2141151
612;12.4850922
613;11.4288454
614;11.897748
615;13.5541401
616;16.7045994
617;33.2098045
618;29.7169952
619;40.026001
620;28.3282394
621;23.5421925
622;1.32075846
623;3.00268126
624;10.0803242
625;9.65304375
626;10.1188698
627;12.2260256
628;22.5643787
629;29.5063229
630;26.8248253
631;24.862566
632;23.8238697
633;21.1935043
634;20.3413963
635;20.2826118
636;20.6974678
637;19.4173431
638;20.0564728
639;22.0721893
640;25.8939915
641;43.0482674
642;39.7168159
643;49.6574326
644;46.3967438
645;31.5202484
646;6.71304655
647;8.790658
648;20.2589455
649;19.6917915
650;20.2086697
651;22.9967957
652;36.7478828
653;45.9123459
654;42.3649521
655;39.7918854
656;38.3428879
657;34.9560661
658;33.964798
659;33.9624405
660;34.677433
661;33.0765076
662;33.95187
663;36.609581
664;41.6005173
665;59.8630142
666;65.5704727
667;66.2067184
668;62.4917412
669;45.5388184
670;20.8638172
671;19.1324139
672;10.0286179
673;9.62372684
674;10.0633316
675;12.1967182
676;22.5596161
677;29.638483
678;27.1283417
679;25.2645741
680;24.2501163
681;21.6614437
682;20.5934792
683;20.3107071
684;20.6273479
685;19.3361759
686;19.9192295
687;21.9169579
688;25.7455845
689;42.8347397
690;39.5728264
691;49.5933533
692;46.437542
693;31.7467804
694;11.6048393
695;9.27592945
696;34.1923828
697;33.4939575
698;34.209404
699;37.8014603
700;55.6688576
701;67.6454086
702;63.0025711
703;59.6398239
704;59.7534828
705;58.4327774
706;57.6132622
707;57.3921814
708;59.0245285
709;56.0933456
710;57.1938934
711;61.404705
712;69.9843521
713;81.049469
714;87.1522675
715;86.9965591
716;82.4781952
717;62.9491539
718;32.8126411
719;32.0379372
720;27.4696121
721;26.2284107
722;27.556572
723;34.1879768
724;66.7260742
725;88.4719772
726;80.1052933
727;76.2612228
728;81.5525742
729;78.741539
730;79.4416351
731;79.3640594
732;76.5615921
733;71.6112061
734;74.7227936
735;83.2024612
736;96.8201218
737;109.3367
738;110.142525
739;98.8731155
740;85.7990036
741;60.6772041
742;17.0131969
743;23.5872726
744;30.9758205
745;29.5826225
746;30.9916611
747;38.1844978
748;73.2283936
749;96.6644211
750;87.6992569
751;81.2046204
752;84.8559189
753;83.745163
754;84.7973251
755;85.6550522
756;83.718071
757;76.626442
758;79.5839767
759;88.1595688
760;102.391609
761;114.359322
762;114.004402
763;102.232857
764;91.9520493
765;67.8277512
766;21.09478
767;28.1423397
768;48.0467148
769;47.1922455
770;48.1050072
771;52.6768227
772;74.9143753
773;89.7966232
774;84.109436
775;79.9524612
776;79.9432297
777;77.1391525
778;75.9009399
779;75.6351318
780;77.3477249
781;73.8140945
782;75.1599808
783;80.3004761
784;90.5055542
785;103.145752
786;109.793289
787;108.888672
788;103.756508
789;81.4565353
790;45.7602348
791;45.7733078
792;59.9972649
793;58.8771019
794;59.8357315
795;65.1084976
796;91.0176086
797;108.339226
798;103.161949
799;101.34182
800;98.6340561
801;92.9069061
802;91.5306473
803;91.4061813
804;93.3365784
805;89.3879852
806;90.994751
807;96.7686768
808;108.195374
809;122.241791
810;129.301956
811;127.832733
812;122.106178
813;97.3746414
814;56.6071701
815;57.3325119
816;63.3395424
817;62.304142
818;63.3589401
819;68.7846756
820;95.6739502
821;113.668678
822;108.172585
823;106.252007
824;103.687973
825;97.3610535
826;95.6540604
827;95.4674225
828;97.5091629
829;93.4775085
830;95.111969
831;101.112473
832;112.994057
833;127.506927
834;134.571884
835;132.749283
836;126.922852
837;101.483788
838;59.6158524
839;60.5815506
840;49.3617516
841;48.4451675
842;49.3115311
843;53.9603729
844;76.3969879
845;91.3535995
846;87.0492706
847;85.8382416
848;83.1613388
849;78.2348251
850;77.1152878
851;76.8614349
852;78.5486298
853;74.9813004
854;76.2503204
855;81.340538
856;91.5756683
857;104.377747
858;111.106552
859;110.243446
860;105.213867
861;82.8125381
862;46.7813301
863;46.8235512
864;42.2862167
865;41.509861
866;42.3506203
867;46.4813004
868;66.6465149
869;80.0905685
870;76.3772583
871;75.5916595
872;73.5279846
873;68.8375473
874;67.7690964
875;67.507637
876;69.132019
877;65.7134171
878;66.7864685
879;71.4005432
880;80.8230209
881;92.9465866
882;99.5213852
883;99.1478958
884;94.5519409
885;73.6662903
886;40.6621437
887;40.2422981
888;44.6852303
889;42.8914223
890;44.4027786
891;53.1060104
892;95.9851379
893;124.653084
894;113.577126
895;107.9963
896;112.298378
897;106.902168
898;106.628853
899;106.407486
900;104.033752
901;97.6003876
902;101.283928
903;111.805794
904;129.239899
905;146.125687
906;147.954758
907;134.852234
908;120.148758
909;88.4780579
910;31.1845722
911;39.8390083
912;39.6650047
913;38.0313377
914;39.5391846
915;47.5349159
916;87.2301559
917;113.80127
918;103.617668
919;96.1656342
920;99.200737
921;96.6383057
922;97.1657715
923;97.9166946
924;96.1382904
925;88.4777374
926;91.7711639
927;101.25676
928;117.136948
929;130.814758
930;130.854446
931;118.231522
932;107.14669
933;80.1976013
934;27.3982182
935;35.3487549
936;61.7753601
937;60.7023163
938;61.7549858
939;67.059288
940;93.5272675
941;111.129318
942;104.245064
943;99.3745804
944;98.6998215
945;94.914238
946;93.2123642
947;92.9098358
948;94.8532562
949;90.8030853
950;92.3091049
951;98.1617355
952;109.804779
953;124.099297
954;131.111649
955;129.565109
956;123.814407
957;98.8981247
958;57.6834793
959;58.7068748
960;64.2514114
961;63.2533607
962;64.3573608
963;69.8908386
964;97.0492859
965;115.139389
966;109.505882
967;107.273811
968;104.41378
969;98.0271072
970;96.4804535
971;96.2437897
972;98.3282776
973;94.2632599
974;95.9646454
975;101.968918
976;113.868851
977;128.355515
978;135.51947
979;133.828857
980;127.837082
981;102.249603
982;59.8638573
983;60.8035316
984;55.6965637
985;54.723217
986;55.6998787
987;60.7936707
988;85.3129883
989;101.63958
990;96.6821671
991;95.0176163
992;92.4279556
993;86.8756332
994;85.6162872
995;85.555069
996;87.5087433
997;83.6759109
998;85.1076889
999;90.6146088
1000;101.571449
1001;115.105103
1002;121.90123
1003;120.497826
1004;114.99588
1005;91.1140289
1006;52.1659203
1007;52.61129
1008;51.7192383
1009;50.7934761
1010;51.8089447
1011;56.5953903
1012;79.9813156
1013;95.6227875
1014;91.0911331
1015;89.8040009
1016;87.5400238
1017;82.3461914
1018;81.1810532
1019;81.0350418
1020;82.8594818
1021;79.2333221
1022;80.6599197
1023;85.9783401
1024;96.5797195
1025;109.742569
1026;116.498978
1027;115.474838
