Index;Wert
0;4.73376608
1;4.78134012
2;4.82854748
3;4.81083345
4;4.78583336
5;4.76083326
6;4.73583317
7;4.71000004
8;4.68499994
9;4.64666653
10;4.76166677
11;4.74959993
12;4.83440018
13;4.70076942
14;4.72846174
15;4.70692301
16;4.80499411
17;4.79920006
18;4.75519991
19;4.71920013
20;4.71360016
21;4.71759987
22;4.70240021
23;4.6960001
24;4.69199991
25;4.6880002
26;4.68079996
27;4.69774914
28;4.72620487
29;4.7704916
30;4.78289461
31;4.78756714
32;4.75663519
33;4.76432085
34;4.72168303
35;4.6880002
36;4.7343998
37;4.78000021
38;4.80240011
39;4.81680012
40;4.82320023
41;4.82399988
42;4.83039999
43;4.84000015
44;4.8368001
45;4.83279991
46;4.83199978
47;4.83440018
48;4.82719994
49;4.82000017
50;4.81680012
51;4.81040001
52;4.79839993
53;4.77600002
54;4.7895999
55;4.77439976
56;4.76399994
57;4.75600004
58;4.78399992
59;4.77358484
60;4.70461559
61;4.71923065
62;4.72461557
63;4.72615385
64;4.69384623
65;4.82775116
66;4.79759979
67;4.76399994
68;4.71600008
69;4.68400002
70;4.69181395
71;4.70668793
72;4.74288034
73;4.82695532
74;4.82000017
75;4.81500006
76;4.81916666
77;4.80479717
78;4.71717167
79;4.68737459
80;4.69840002
81;4.71120024
82;4.76319981
83;4.81360006
84;4.80047512
85;4.79746819
86;4.83539772
87;4.83693027
88;4.80000019
89;4.76160002
90;4.73199987
91;4.69680023
92;4.69280005
93;4.68442154
94;4.70967722
95;4.76432085
96;4.82333326
97;4.7874999
98;4.74333334
99;4.70749998
100;4.69000006
101;4.68583345
102;4.73166656
103;4.78833342
104;4.80008268
105;4.81901217
106;4.69040012
107;4.79120016
108;4.82622576
109;4.83519983
110;4.83279991
111;4.83759975
112;4.82240009
113;4.74639988
114;4.69774914
115;4.74288034
116;4.69439983
117;4.68885326
118;4.72318888
119;4.74440384
120;4.76586151
121;4.80479717
122;4.82416677
123;4.80000019
124;4.77750015
125;4.76000023
126;4.76666689
127;4.78583336
128;4.75750017
129;4.76583338
130;4.78289461
131;4.77600002
132;4.82959986
133;4.79920006
134;4.77600002
135;4.72879982
136;4.68147278
137;4.78289461
138;4.83166647
139;4.80583334
140;4.7750001
141;4.69333315
142;4.68083334
143;4.67749977
144;4.72749996
145;4.71083355
146;4.72916651
147;4.70833349
148;4.69333315
149;4.72583342
150;4.73666668
151;4.71583319
152;4.69916677
153;4.69666672
154;4.82916689
155;4.76480007
156;4.81558037
157;4.74123144
158;4.75733852
159;4.77600002
160;4.69329596
161;4.75050974
162;4.74160004
163;4.76322985
164;4.7137332
165;4.73977423
166;4.7944665
167;4.82560015
168;4.79519987
169;4.76160002
170;4.77199984
171;4.78639984
172;4.77600002
173;4.74720001
174;4.74160004
175;4.71199989
176;4.69119978
177;4.74745417
178;4.69680023
179;4.8263998
180;4.70513296
181;4.74076939
182;4.76076937
183;4.75538445
184;4.69799709
185;4.82800007
186;4.79120016
187;4.77680016
188;4.80000019
189;4.77920008
190;4.75199986
191;4.72800016
192;4.70072412
193;4.67999983
194;4.68959999
195;4.69920015
196;4.68879986
197;4.71117401
198;4.778234
199;4.81426191
200;4.75970554
201;4.79225063
202;4.70720005
203;4.84000015
204;4.6951499
205;4.74913836
206;4.6757164
207;4.67043304
208;4.72741127
209;4.70153856
210;4.78997231
211;4.81680012
212;4.73759985
213;4.68639994
214;4.75050974
215;4.81901217
216;4.82333326
217;4.82377386
218;4.82377386
219;4.74440384
220;4.70800018
221;4.7816
222;4.84000015
223;4.77952766
224;4.81360006
225;4.79897118
226;4.72670794
