Index;Wert
0;14.0192709
1;5.5262146
2;5.5262146
3;5.5262146
4;5.58420086
5;6.72343159
6;15.6883087
7;19.7397499
8;19.7397499
9;19.7397499
10;19.7397499
11;19.0983124
12;14.54708
13;13.5238228
14;12.1836395
15;11.5497894
16;12.0116796
17;14.2031603
18;19.7397499
19;19.7397499
20;19.7397499
21;19.7397499
22;19.7397499
23;8.46726227
24;5.55839157
25;5.54389477
26;5.54389477
27;5.54389477
28;5.60188103
29;6.74423122
30;15.7361488
31;19.7397499
32;19.7397499
33;19.7397499
34;19.7397499
35;19.3980846
36;14.5928402
37;13.5664625
38;12.2221184
39;11.5861893
40;12.049119
41;14.2468414
42;19.7397499
43;19.7397499
44;19.7397499
45;19.7397499
46;19.7397499
47;8.78831673
48;4.9688735
49;4.9522295
50;4.93558502
51;4.91894102
52;4.9522295
53;5.87792206
54;13.345788
55;17.6102066
56;19.3160515
57;19.6489372
58;17.5167255
59;15.2180748
60;13.2834663
61;12.2745523
62;11.0680361
63;10.5063877
64;10.9536524
65;12.8882599
66;18.4735794
67;19.7397499
68;19.7397499
69;19.3938255
70;12.7529793
71;5.39949465
72;5.40907717
73;5.39082241
74;5.35431242
75;5.33605766
76;5.35431242
77;6.32430458
78;14.4023199
79;18.9472084
80;19.7397499
81;19.7397499
82;19.7397499
83;18.6353397
84;14.5223656
85;13.4245872
86;12.1130095
87;11.4115829
88;11.8992081
89;14.0034876
90;19.7397499
91;19.7397499
92;19.7397499
93;19.7397499
94;18.6673489
95;6.0427413
96;5.67363501
97;5.6591382
98;5.6591382
99;5.6591382
100;5.71712446
101;6.87981129
102;16.0479832
103;19.7397499
104;19.7397499
105;19.7397499
106;19.7397499
107;19.7397499
108;16.4855499
109;13.8444004
110;12.4729424
111;11.8234539
112;12.2931633
113;14.531559
114;19.7397499
115;19.7397499
116;19.7397499
117;19.7397499
118;19.7397499
119;9.93217278
120;5.82787561
121;5.81337881
122;5.81337881
123;5.81337881
124;5.87136507
125;7.06127119
126;16.4653416
127;19.7397499
128;19.7397499
129;19.7397499
130;19.7397499
131;19.7397499
132;19.4709721
133;14.2163935
134;12.8086433
135;12.1410084
136;12.619791
137;14.9126244
138;19.7397499
139;19.7397499
140;19.7397499
141;19.7397499
142;19.7397499
143;10.4813042
144;5.54514885
145;5.53065205
146;5.53065205
147;5.53065205
148;5.58863831
149;6.72865152
150;15.7003155
151;19.7397499
152;19.7397499
153;19.7397499
154;19.7397499
155;19.173542
156;14.5585632
157;13.534523
158;12.1932964
159;11.5589237
160;12.0210752
161;14.2141228
162;19.7397499
163;19.7397499
164;19.7397499
165;19.7397499
166;19.7397499
167;8.54783344
168;4.6525507
169;4.4238019
170;4.4238019
171;4.4238019
172;4.69604015
173;5.52725124
174;13.1081429
175;19.0443058
176;18.5369263
177;18.3162804
178;15.5278082
179;13.8137922
180;12.6007624
181;12.7425318
182;12.4557972
183;12.2415466
184;12.3865118
185;13.3191986
186;16.6811409
187;16.826107
188;15.6098804
189;14.8914452
190;10.817461
191;5.38867855
192;5.39986706
193;5.38537025
194;5.38537025
195;5.38537025
196;5.44335651
197;6.55773115
198;15.3071995
199;19.7397499
200;19.7397499
201;19.7397499
202;19.7397499
203;16.7102566
204;14.1825399
205;13.1841373
206;11.8770943
207;11.2598152
208;11.713419
209;13.8551912
210;19.7397499
211;19.7397499
212;19.7397499
213;19.7397499
214;19.4154034
215;6.23038244
216;5.09928036
217;5.08263636
218;5.06599188
219;5.04934788
220;5.08263636
221;6.03134203
222;13.6986542
223;18.0704689
224;19.7397499
225;19.7397499
226;18.4154396
227;15.6016235
228;13.6209908
229;12.5890636
230;11.3518629
231;10.7748728
232;11.2298088
233;13.2104416
234;18.9415112
235;19.7397499
236;19.7397499
237;19.7397499
238;14.2183533
239;5.53757286
240;5.3240428
241;5.30578804
242;5.26927805
243;5.25102329
244;5.26927805
245;6.22426462
246;14.1722279
247;18.6470871
248;19.7397499
249;19.7397499
250;19.7397499
251;17.480608
252;14.3022766
253;13.2195053
254;11.9279356
255;11.2365131
256;11.7191353
257;13.7934036
258;19.7397499
259;19.7397499
260;19.7397499
261;19.7397499
262;17.1969376
263;5.95270491
264;5.4593668
265;5.44487
266;5.44487
267;5.44487
268;5.50285625
269;6.62773132
270;15.4682007
271;19.7397499
272;19.7397499
273;19.7397499
274;19.7397499
275;17.7190952
276;14.3365402
277;13.3276367
278;12.0065937
279;11.3823147
280;11.8394184
281;14.0021906
282;19.7397499
283;19.7397499
284;19.7397499
285;19.7397499
286;19.7397499
287;6.99010181
288;5.91124392
289;5.89674711
290;5.89674711
291;5.89674711
292;5.95473337
293;7.15935135
294;16.6909256
295;19.7397499
296;19.7397499
297;19.7397499
298;19.7397499
299;19.7397499
300;19.7397499
301;15.7474165
302;12.9900913
303;12.3126488
304;12.7963352
305;15.1185932
306;19.7397499
307;19.7397499
308;19.7397499
309;19.7397499
310;19.7397499
311;10.7781124
312;5.87342262
313;5.5865407
314;5.5865407
315;5.5865407
316;5.91691208
317;6.92252302
318;16.363678
319;19.7397499
320;19.7397499
321;19.7397499
322;19.7397499
323;19.7397499
324;19.7397499
325;18.0072994
326;15.7113323
327;15.4389477
328;15.5839138
329;16.6910019
330;19.7397499
331;19.7397499
332;19.7397499
333;19.7397499
334;14.570529
335;6.66768408
336;6.91698074
337;6.90248394
338;6.90248394
339;6.90248394
340;6.9604702
341;8.34257126
342;19.4123306
343;19.7397499
344;19.7397499
345;19.7397499
346;19.7397499
347;19.7397499
348;19.7397499
349;19.7397499
350;19.0115356
351;14.3832836
352;14.9261312
353;17.6033535
354;19.7397499
355;19.7397499
356;19.7397499
357;19.7397499
358;19.7397499
359;14.3587418
360;7.18677092
361;7.17227411
362;7.17227411
363;7.17227411
364;7.23026037
365;8.65997124
366;19.7397499
367;19.7397499
368;19.7397499
369;19.7397499
370;19.7397499
371;19.7397499
372;19.7397499
373;19.7397499
374;19.7397499
375;16.1109276
376;15.4974508
377;18.2698956
378;19.7397499
379;19.7397499
380;19.7397499
381;19.7397499
382;19.7397499
383;15.319252
384;7.88835144
385;7.87170744
386;7.85506296
387;7.83841896
388;7.87170744
389;9.31260204
390;19.7397499
391;19.7397499
392;19.7397499
393;19.7397499
394;19.7397499
395;19.7397499
396;19.7397499
397;19.7397499
398;19.7397499
399;19.7397499
400;19.4723015
401;19.7397499
402;19.7397499
403;19.7397499
404;19.7397499
405;19.7397499
406;19.7397499
407;16.9692669
408;9.5108366
409;9.49258232
410;9.45607185
411;9.43781757
412;9.45607185
413;11.1499043
414;19.7397499
415;19.7397499
416;19.7397499
417;19.7397499
418;19.7397499
419;19.7397499
420;19.7397499
421;19.7397499
422;19.7397499
423;19.7397499
424;19.7397499
425;19.7397499
426;19.7397499
427;19.7397499
428;19.7397499
429;19.7397499
430;19.7397499
431;18.8643417
432;8.97059822
433;8.95610142
434;8.95610142
435;8.95610142
436;9.01408768
437;10.7585907
438;19.7397499
439;19.7397499
440;19.7397499
441;19.7397499
442;19.7397499
443;19.7397499
444;19.7397499
445;19.7397499
446;19.7397499
447;19.7397499
448;19.7397499
449;19.7397499
450;19.7397499
451;19.7397499
452;19.7397499
453;19.7397499
454;19.7397499
455;18.4897175
456;8.67168617
457;8.65719032
458;8.65719032
459;8.65719032
460;8.71517658
461;10.4069319
462;19.7397499
463;19.7397499
464;19.7397499
465;19.7397499
466;19.7397499
467;19.7397499
468;19.7397499
469;19.7397499
470;19.7397499
471;19.7397499
472;19.7397499
473;19.7397499
474;19.7397499
475;19.7397499
476;19.7397499
477;19.7397499
478;19.7397499
479;18.1732235
480;7.53518581
481;7.52068901
482;7.52068901
483;7.52068901
484;7.57867527
485;9.06987095
486;19.7397499
487;19.7397499
488;19.7397499
489;19.7397499
490;19.7397499
491;19.7397499
492;19.7397499
493;19.7397499
494;19.7397499
495;19.2720757
496;16.2352715
497;19.1306839
498;19.7397499
499;19.7397499
500;19.7397499
501;19.7397499
502;19.7397499
503;16.5596809
504;8.38693714
505;8.37244034
506;8.37244034
507;8.37244034
508;8.4304266
509;10.0719318
510;19.7397499
511;19.7397499
512;19.7397499
513;19.7397499
514;19.7397499
515;19.7397499
516;19.7397499
517;19.7397499
518;19.7397499
519;19.7397499
520;19.7397499
521;19.7397499
522;19.7397499
523;19.7397499
524;19.7397499
525;19.7397499
526;19.7397499
527;17.8717232
528;5.78350592
529;5.76900911
530;5.76900911
531;5.76900911
532;5.82699537
533;7.00907135
534;16.3452816
535;19.7397499
536;19.7397499
537;19.7397499
538;19.7397499
539;19.7397499
540;18.6121674
541;14.1093836
542;12.7120743
543;12.0496597
544;12.5258312
545;14.8030043
546;19.7397499
547;19.7397499
548;19.7397499
549;19.7397499
550;19.7397499
551;10.3233376
552;6.05046415
553;6.03382015
554;6.01717567
555;6.00053167
556;6.03382015
557;7.15038204
558;16.2724457
559;19.7397499
560;19.7397499
561;19.7397499
562;19.7397499
563;19.7397499
564;19.7397499
565;18.247467
566;13.4220867
567;12.7331924
568;13.2440815
569;15.5604248
570;19.7397499
571;19.7397499
572;19.7397499
573;19.7397499
574;19.7397499
575;10.7254448
576;4.41053772
577;4.19287825
578;4.15636826
579;4.1381135
