Index;Wert
0;1.96000004
1;1.76999998
2;1.59000003
3;1.39999998
4;1.22000003
5;1.02999997
6;0.850000024
7;0.660000026
8;0.479999989
9;1.54999995
10;2.61999989
11;4
12;4.59000015
13;5.13000011
14;5.44000006
15;5.23999977
16;4.09000015
17;2.3499999
18;1.44000006
19;0.730000019
20;1.63
21;1.40999997
22;1.30999994
23;1.20000005
24;0.959999979
25;0.680000007
26;0.439999998
27;0.100000001
28;-0.140000001
29;-0.319999993
30;-0.419999987
31;-0.550000012
32;-0.569999993
33;-0.569999993
34;-0.0900000036
35;0.699999988
36;1.34000003
37;1.98000002
38;2.3499999
39;2.38000011
40;2.02999997
41;1.64999998
42;1.27999997
43;1.09000003
44;0.519999981
45;0.49000001
46;0.5
47;0.460000008
48;0.49000001
49;0.639999986
50;0.689999998
51;0.829999983
52;0.959999979
53;1.14999998
54;1.25
55;1.26999998
56;0.460000008
57;0.5
58;0.829999983
59;1.16999996
60;1.59000003
61;1.96000004
62;2.38000011
63;2.66000009
64;2.1500001
65;1.09000003
66;0.5
67;-0.289999992
68;-1.12
69;-1.44000006
70;-1.77999997
71;-1.84000003
72;-1.78999996
73;-1.75999999
74;-1.59000003
75;-1.38999999
76;-1.21000004
77;-1.14999998
78;-1.11000001
79;-1.01999998
80;-0.579999983
81;-0.0299999993
82;0.870000005
83;2.25
84;3.32999992
85;3.93000007
86;4.07000017
87;3.8599999
88;3.32999992
89;2.41000009
90;1.77999997
91;1.32000005
92;1.04999995
93;0.600000024
94;0.140000001
95;-0.430000007
96;-0.949999988
97;-1.53999996
98;-1.86000001
99;-2.4000001
100;-2.86999989
101;-3.04999995
102;-2.73000002
103;-2.01999998
104;-2.05999994
105;-1.27999997
106;0.129999995
107;1.64999998
108;3.46000004
109;4.46000004
110;4.80999994
111;4.92000008
112;3.86999989
113;2.27999997
114;0.460000008
115;-1.05999994
116;-1.76999998
117;-2.32999992
118;-2.6500001
119;-2.66000009
120;-2.63000011
121;-2.21000004
122;-1.33000004
123;-1.60000002
124;-2.30999994
125;-2.73000002
126;-2.79999995
127;-2.76999998
128;-2.49000001
129;-1.66999996
130;0.310000002
131;2.53999996
132;4.09000015
133;4.96000004
134;5.32999992
135;5.0999999
136;3.63000011
137;2.88000011
138;1.98000002
139;-0.75999999
140;-0.649999976
141;-0.370000005
142;-0.270000011
143;-0.649999976
144;-1.19000006
145;-1.54999995
146;-0.5
147;-0.419999987
148;-0.850000024
149;-1.25
150;-2.03999996
151;-2.0999999
152;-3.00999999
153;-2.76999998
154;-1.28999996
155;2.06999993
156;3.70000005
157;4.63999987
158;4.80999994
159;4.25
160;3.5999999
161;2.66000009
162;1.58000004
163;1.00999999
164;1.89999998
