Index;Wert
0;5.5767746
1;3.55277658
2;2.57264638
3;2.59122992
4;2.63229728
5;3.09683323
6;5.46113968
7;5.5559535
8;5.37954235
9;5.44670486
10;6.30044365
11;6.02055073
12;5.31710529
13;4.67704344
14;4.98703957
15;4.80194044
16;5.1081233
17;5.88808584
18;7.29164219
19;6.03869152
20;7.26593065
21;6.13079548
22;7.93087721
23;8.38830376
24;5.55664921
25;2.56681037
26;2.51830339
27;2.53005362
28;2.57792544
29;3.06626821
30;5.56023264
31;5.58625078
32;5.62960529
33;5.29735231
34;5.26409054
35;5.3267746
36;6.56274557
37;4.54796314
38;5.19232464
39;6.56283855
40;5.34007549
41;5.63864613
42;5.63708162
43;5.95800972
44;5.82729101
45;5.71551657
46;6.47449064
47;6.67749929
48;5.04716921
49;2.59155059
50;2.47634983
51;2.37231565
52;2.27607536
53;2.64231801
54;5.12045574
55;5.12914515
56;5.54656887
57;5.15765095
58;4.70876122
59;4.53473186
60;5.00371218
61;6.1295867
62;5.4268837
63;3.45298386
64;5.17061472
65;6.23167372
66;6.49277735
67;6.38936234
68;6.69327354
69;7.24356747
70;8.03351879
71;8.42822647
72;3.63654041
73;2.55093026
74;2.53258276
75;2.52083349
76;2.50182414
77;2.89596915
78;5.02021122
79;5.32137632
80;5.86920977
81;5.22099352
82;4.30338097
83;2.64436793
84;4.85960245
85;4.85814953
86;4.56813192
87;4.87576962
88;5.26946545
89;5.35971069
90;6.12847424
91;6.4756484
92;6.50753546
93;5.85054016
94;7.3235693
95;6.47040844
96;3.8986764
97;2.71097398
98;2.71402979
99;2.69930267
100;2.73698831
101;3.22165895
102;5.30970716
103;5.70693731
104;5.98332787
105;6.03942013
106;4.76733017
107;4.7138586
108;4.28117847
109;4.90703726
110;5.14263153
111;5.16846657
112;5.16532087
113;5.45719719
114;6.8273015
115;6.71589851
116;6.1541729
117;5.76290321
118;6.22550631
119;6.84832287
120;4.72769785
121;2.71324658
122;2.73749733
123;2.73008037
124;2.77998304
125;3.2382412
126;5.2745676
127;6.12281322
128;6.18040276
129;4.84128523
130;4.46261406
131;4.60994339
132;3.809587
133;5.0532999
134;4.59424448
135;5.20989609
136;5.29226589
137;5.7208252
138;7.41556072
139;6.23953342
140;5.68367577
141;5.59993649
142;5.92821598
143;7.64667892
144;5.31042862
145;2.93433261
146;2.68318033
147;2.65405607
148;2.70112276
149;3.15605664
150;5.21685648
151;5.58240128
152;5.46319485
153;4.8451128
154;3.99841094
155;4.00672817
156;5.09324741
157;5.86715555
158;7.45766163
159;6.02501965
160;7.2646904
161;6.13599777
162;5.72271109
163;6.1712966
164;7.33122396
165;5.84851313
166;8.37048721
167;7.03401947
168;3.81113172
169;2.09361339
170;2.04245234
171;2.05816126
172;2.18396306
173;2.50630403
174;5.46690655
175;5.55795336
176;5.38574219
177;5.05748606
178;5.00513363
179;3.72256088
180;3.77425337
181;3.26254225
182;3.96969199
183;4.5685215
184;4.39733362
185;5.91688585
186;7.32764244
187;6.09629154
188;7.35233068
189;6.19239569
190;7.98047733
191;8.4203043
192;4.63101482
193;2.50340056
194;2.45489359
195;2.45594811
196;2.48638153
197;2.9475522
198;5.55557156
199;5.61294556
200;5.63267612
201;5.199646
202;4.9737668
203;5.49280024
204;6.90025759
205;4.78988552
206;4.89733171
207;6.19834042
208;5.13037825
209;5.51618481
210;5.59665394
211;5.93480968
212;5.72809076
213;5.56911659
214;6.3930006
215;6.66211128
216;5.35770273
217;2.72314286
218;2.60768175
219;2.45982575
220;2.32823801
221;2.703686
222;5.17085552
223;5.13427305
224;5.59616899
225;5.47395468
226;5.07876587
227;4.73733616
228;6.14737034
229;5.92302704
230;6.28554535
231;4.88026714
232;5.02464724
233;6.21193504
234;6.50397778
235;6.38456249
236;6.75647354
237;7.32756758
238;8.1265049
239;8.52313805
240;3.47795939
241;2.43080688
242;2.40933061
243;2.39788556
244;2.37857199
245;2.77016425
246;5.01743937
247;5.33640194
248;5.89550591
249;5.57253504
250;5.72189426
251;5.00224161
252;4.7567749
253;4.88914728
254;4.57490635
255;4.13448143
256;5.2205348
257;5.33206654
258;6.21053886
259;6.60844803
260;6.64913559
261;5.96931839
262;7.40829277
263;6.48528719
264;3.51511669
265;2.53094769
266;2.5340035
267;2.51927638
268;2.5559957
269;3.0061636
270;5.2877183
271;5.61189985
272;5.8728447
273;6.64764404
274;4.91429758
275;4.84753513
276;5.77929211
277;4.32100058
278;4.13844585
279;4.43419695
280;4.78548098
281;5.44039726
282;6.84955215
283;6.66341829
284;6.15577316
285;5.76734591
286;6.2194891
287;6.85595894
288;4.72708845
289;2.75277805
290;2.75798488
291;2.74854565
292;2.8033998
293;3.27414441
294;5.3370676
295;6.12697983
296;6.22706938
297;5.68043947
298;5.42992592
299;2.62233329
300;3.51618528
301;4.58204651
302;5.35037374
303;4.88373613
304;5.26873112
305;5.72861862
306;7.40806103
307;6.22370005
308;5.69700909
309;5.65243721
310;5.95738316
311;7.63751221
312;5.49264669
313;2.95761943
314;2.72800207
315;2.72585797
316;2.93395734
317;3.36224437
318;5.05323362
319;5.3943944
320;5.40904951
321;4.54244423
322;3.68781376
323;2.43517518
324;2.56867981
325;2.98079419
326;4.939188
327;5.29441929
328;7.04571533
329;6.1329422
330;5.78694439
331;6.19390011
332;7.37832403
333;5.85373878
334;8.295187
335;6.91425323
336;5.31239986
337;3.2001276
338;3.14896655
339;3.16467547
