Index;Wert
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0.298787177
10;0.609145463
11;0.609963536
12;0.813413203
13;0.507240534
14;0.507005155
15;0.455832064
16;0.0726846606
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;0
33;0.0960996151
34;0
35;0.30855453
36;0.703885615
37;0.642887592
38;0.178994924
39;0.128706604
40;0.0504380502
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0.263224363
58;0.565080643
59;0.781726778
60;1.15194559
61;0.810376942
62;0.980417669
63;0.838054299
64;0.0835704282
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0
81;0.294324368
82;0.840834916
83;1.35302174
84;0.897738695
85;0.547314703
86;0.731981277
87;0.358152121
88;0.0673053414
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;0
103;0
104;0
105;0.362894326
106;0.670724094
107;0.764073193
108;1.29730165
109;0.55355674
110;0.267513007
111;0.261908501
112;0.0840016901
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;0
128;0
129;0.371836931
130;0.772016644
131;0.598348618
132;1.37559092
133;0.778401554
134;0.930646956
135;0.347921729
136;0.0902542546
137;0
138;0
139;0
140;0
141;0
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;0
151;0
152;0
153;0.379541576
154;0.962341547
155;1.03092718
156;0.764199853
157;0.316308796
158;0.211492583
159;0.479480237
160;0.0169564951
161;0
162;0
163;0
164;0
165;0
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0
177;0.383044392
178;0.96377939
179;1.46723759
180;1.41998994
181;1.30638564
182;1.04714942
183;0.602934361
184;0.231220484
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;0
199;0
200;0
201;0.211962461
202;0.330495566
203;0.289546549
204;0.29937768
205;0.352677464
206;0.373876303
207;0.358521819
208;0.125702187
209;0
210;0
211;0
212;0
213;0
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;0
223;0
224;0
225;0.106131211
226;0.211307555
227;0.609341681
228;0.456659347
229;0.956825316
230;0.603403926
231;0.467503041
232;0.146450341
233;0
234;0
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;0
247;0
248;0
249;0.243450552
250;0.0962336287
251;0.19751741
252;0.922534585
253;0.494876176
254;0.695143819
255;0.677718282
256;0.0389686972
257;0
258;0
259;0
260;0
261;0
262;0
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;0
271;0
272;0
273;0.184461281
274;0.636854708
275;0.632956505
276;0.313280076
277;0.94906044
278;0.970850408
279;0.669760227
280;0.212732017
281;0
282;0
283;0
284;0
285;0
286;0
287;0
288;0
289;0
290;0
291;0
292;0
293;0
294;0
295;0
296;0
297;0.164341435
298;0.220429912
299;1.44736016
300;1.51729071
301;1.03707433
302;0.408617795
303;0.542505622
304;0.144303411
305;0
306;0
307;0
308;0
309;0
310;0
311;0
312;0
313;0
314;0
315;0
316;0
317;0
318;0
319;0
320;0
321;0.458690494
322;1.04905975
323;1.54386187
324;1.73506105
325;1.73684001
326;1.46886086
327;0.80585897
328;0.192898169
329;0
330;0
331;0
332;0
333;0
334;0
335;0
336;0
337;0
338;0
339;0
340;0
341;0
342;0
343;0
344;0
345;0.36298731
346;0.65284586
347;0.386158407
348;0.261798084
349;0.165524855
350;0.672897279
351;0.102987364
352;0.265634537
353;0
354;0
355;0
356;0
357;0
358;0
359;0
360;0
361;0
362;0
363;0
364;0
365;0
366;0
367;0
368;0
369;0.343439966
370;0.520968854
371;1.0749191
372;0.448197037
373;0.278538138
374;0.441856772
375;0.306965083
376;0.0744449422
377;0
378;0
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;0
391;0
392;0
393;0.239522889
394;0.562295973
395;1.06583822
396;0.326485127
