Index;Wert
0;1.1221
1;1.12294757
2;1.12380588
3;1.13342226
4;1.14410913
5;1.1549027
6;1.16580451
7;1.17718506
8;1.18831193
9;1.20559371
10;1.15454125
11;1.11908197
12;1.11685169
13;1.11469138
14;1.11408985
15;1.11455548
16;1.11627293
17;1.11774075
18;1.11892498
19;1.11996019
20;1.12012696
21;1.12000763
22;1.1204654
23;1.12066174
24;1.12078547
25;1.12091029
26;1.1211369
27;1.1214695
28;1.12196684
29;1.12275279
30;1.12297559
31;1.12305975
32;1.12250531
33;1.1226424
34;1.12188733
35;1.12091029
36;1.11951542
37;1.11824703
38;1.11765778
39;1.11729002
40;1.11712921
41;1.11710918
42;1.11695027
43;1.11671472
44;1.1167928
45;1.11689103
46;1.1169107
47;1.11685169
48;1.11702955
49;1.11720943
50;1.11729002
51;1.1174525
52;1.11776149
53;1.11835456
54;1.11799192
55;1.11839771
56;1.11868131
57;1.11890268
58;1.11814034
59;1.11588025
60;1.11460626
61;1.11428761
62;1.11417198
63;1.11413908
64;1.11484563
65;1.11655962
66;1.11778235
67;1.11868131
68;1.12005532
69;1.12103581
70;1.1213665
71;1.12162507
72;1.12226105
73;1.12377656
74;1.12953007
75;1.13165128
76;1.12988329
77;1.12337184
78;1.12180829
79;1.12128961
80;1.12058783
81;1.12019885
82;1.11870325
83;1.11737108
84;1.11621618
85;1.11617851
86;1.1166563
87;1.11667573
88;1.11772001
89;1.11874735
90;1.11958492
91;1.12063706
92;1.12076068
93;1.12123859
94;1.12167728
95;1.1226424
96;1.12811828
97;1.1433934
98;1.16252255
99;1.17829275
100;1.18607759
101;1.18793929
102;1.1676321
103;1.14303577
104;1.12328625
105;1.123631
106;1.1208353
107;1.11794984
108;1.11654031
109;1.11683202
110;1.11689103
111;1.11677325
112;1.11714923
113;1.11917222
114;1.1214695
115;1.12226105
116;1.12071109
117;1.12131524
118;1.12191379
119;1.12228799
120;1.12266994
121;1.12337184
122;1.12776554
123;1.1380403
124;1.14769506
125;1.15526438
126;1.15237463
127;1.14410913
128;1.15635002
129;1.15273547
130;1.12297559
131;1.11835456
132;1.11697006
133;1.11774075
134;1.11835456
135;1.1196779
136;1.12118769
137;1.12297559
138;1.12459671
139;1.13555121
140;1.14877319
141;1.18459046
142;1.19017744
143;1.19167197
144;1.1694628
145;1.17681611
146;1.16873014
147;1.17792344
148;1.18459046
149;1.17019594
150;1.16543937
151;1.17460489
152;1.18199289
153;1.18310547
154;1.12565196
155;1.11865926
156;1.11640608
157;1.11547935
158;1.11567843
159;1.11835456
160;1.12139225
161;1.12239635
162;1.11930871
163;1.1157515
164;1.11514151
165;1.11546147
166;1.11614084
167;1.11706936
168;1.11320174
169;1.03202116
170;1.01696944
171;1.00709558
172;1.06548691
173;1.11914968
174;1.11930871
175;1.12017488
176;1.12081039
177;1.12234211
178;1.12063706
179;1.11704946
180;1.11503649
181;1.11383045
182;1.11341858
183;1.11352825
184;1.11494946
185;1.11700964
186;1.11794984
187;1.11833298
188;1.11772001
189;1.11826849
190;1.1190145
191;1.11970127
192;1.12152123
193;1.1211623
194;1.12086022
195;1.12056327
196;1.12088525
197;1.12170339
198;1.12289166
199;1.12354422
200;1.12256002
201;1.12314439
202;1.12031949
203;1.11671472
204;1.11491477
205;1.10703492
206;1.08472621
207;1.08314443
208;1.10036933
209;1.11467433
210;1.11608469
211;1.11729002
212;1.11942327
213;1.12096035
214;1.12239635
215;1.123631
216;1.12811828
217;1.12371826
218;1.12371826
219;1.12228799
220;1.12029529
221;1.11820424
222;1.11671472
223;1.11595428
224;1.11737108
225;1.11619735
226;1.11530066
227;1.11438751
228;1.11341858
229;1.1025784
230;1.10368776
231;1.11368644
232;1.11479402
233;1.11631083
234;1.11749327
235;1.11881375
236;1.11826849
237;1.11857164
238;1.118119
239;1.11767852
240;1.11759591
241;1.11792874
242;1.11772001
243;1.11790776
244;1.11863732
245;1.11958492
246;1.120103
247;1.1204654
248;1.12194026
249;1.12374735
250;1.12360203
251;1.12305975
252;1.12134087
253;1.11839771
254;1.11546147
255;1.11381435
256;1.1141063
257;1.1153897
258;1.11638701
259;1.11697006
260;1.11685169
261;1.11763716
262;1.1178658
263;1.11826849
264;1.11879158
265;1.11883593
266;1.12056327
267;1.12078547
268;1.12063706
269;1.12101066
270;1.12167728
271;1.12139225
272;1.12086022
273;1.12091029
274;1.12058783
275;1.11996019
276;1.11935437
277;1.11949229
278;1.11807656
279;1.11753428
280;1.11857164
281;1.11965466
282;1.11993647
283;1.1208353
284;1.12066174
285;1.12139225
286;1.12180829
287;1.12242353
288;1.12368917
289;1.12351537
290;1.12348664
291;1.12342918
292;1.12357318
293;1.12377656
294;1.12565196
295;1.14232063
296;1.1362617
297;1.14303577
298;1.13129747
299;1.12383509
300;1.12283599
301;1.12039232
302;1.12096035
303;1.1211369
304;1.12228799
305;1.12311614
306;1.12776554
307;1.14232063
308;1.14303577
309;1.16143072
310;1.17718506
311;1.19579268
312;1.21815908
313;1.23435807
314;1.24332869
315;1.25395095
316;1.27027309
317;1.29458594
318;1.31149888
319;1.3333081
320;1.27027309
321;1.28115034
322;1.23009288
323;1.1494925
324;1.12131524
325;1.11903691
326;1.11797082
327;1.11824703
328;1.11991274
329;1.12234211
330;1.13555121
331;1.14410913
332;1.1549027
333;1.16179454
334;1.17313325
335;1.17903173
336;1.1797713
337;1.17718506
338;1.16325104
339;1.16398001
340;1.17129648
341;1.19391775
342;1.20786786
343;1.21548188
344;1.21357346
345;1.2185421
346;1.21739352
347;1.20673025
348;1.20105946
349;1.20786786
350;1.21243
351;1.21739352
352;1.21739352
353;1.22084272
354;1.2246877
355;1.22815943
356;1.22777319
357;1.23396969
358;1.2394197
359;1.24607313
360;1.25158191
361;1.25434637
362;1.25830722
363;1.25276577
364;1.25474179
365;1.25791049
366;1.26029289
367;1.27147663
368;1.26867044
369;1.25949812
370;1.24411213
371;1.2293191
372;1.21090722
373;1.1935432
374;1.19579268
375;1.19955206
376;1.21969187
377;1.23474669
378;1.24176347
379;1.24921775
380;1.23785985
381;1.24293721
382;1.25474179
383;1.27509475
384;1.28642452
385;1.29458594
386;1.31649578
387;1.33288491
388;1.33754909
389;1.34522152
390;1.34993482
391;1.34779
392;1.33203888
393;1.31233025
394;1.29704571
395;1.28358161
396;1.27590036
397;1.2654717
398;1.26108801
399;1.27308321
400;1.29335809
401;1.3333081
402;1.36245131
403;1.41613412
404;1.43856788
405;1.35596073
406;1.36158383
407;1.37072372
408;1.39054728
409;1.41568053
410;1.48086786
411;1.47456813
412;1.46650422
413;1.47178006
414;1.46480942
415;1.4615196
416;1.45939279
417;1.45845699
418;1.47216201
419;1.46707988
420;1.41976869
421;1.3821373
422;1.35941792
423;1.35466695
424;1.38877189
425;1.48230302
426;1.48531139
427;1.47819877
428;1.45157087
429;1.44958365
430;1.44135892
431;1.43071473
432;1.42026854
433;1.4161911
434;1.41652107
435;1.414698
436;1.41519725
437;1.4136951
438;1.4234587
439;1.42889345
440;1.44593823
441;1.46270859
442;1.48446333
443;1.4450537
444;1.34779
445;1.30239308
446;1.27107525
447;1.25276577
448;1.2394197
449;1.24725127
450;1.26307857
451;1.28723812
452;1.35941792
453;1.37817419
454;1.3932153
455;1.40394664
456;1.41568053
457;1.42890298
458;1.43949234
459;1.4506402
460;1.46660709
461;1.49434316
462;1.4890219
463;1.4821471
464;1.45674193
465;1.4507792
466;1.46270859
467;1.48494828
468;1.38832843
469;1.30942309
470;1.27147663
471;1.27590036
472;1.31149888
473;1.37949371
474;1.42661309
475;1.48278177
476;1.48326063
477;1.46802592
478;1.46897256
479;1.48230302
480;1.49282074
481;1.4890219
482;1.45204079
483;1.44458926
484;1.42569828
485;1.42890298
486;1.41251028
487;1.40754497
488;1.40799558
489;1.38877189
490;1.33542669
491;1.27549744
492;1.24921775
493;1.23435807
494;1.22161067
495;1.2289325
496;1.2394197
497;1.26987219
498;1.29458594
499;1.30404329
500;1.30445623
501;1.34479392
502;1.42067909
503;1.48709846
504;1.48891485
505;1.48903406
506;1.48543239
507;1.47857141
508;1.46310365
509;1.45417929
510;1.43865836
511;1.42091167
512;1.458323
513;1.46191645
514;1.47881961
515;1.40349758
516;1.27469218
517;1.21433651
518;1.17681611
519;1.16325104
520;1.18570566
521;1.24725127
522;1.29745615
523;1.32109523
524;1.37072372
525;1.36985016
526;1.33712435
527;1.2880522
528;1.23164201
529;1.18162239
530;1.14232063
531;1.12320101
532;1.1208353
533;1.11963129
534;1.11981845
535;1.12034369
536;1.12183464
537;1.12183464
538;1.1215471
539;1.12101066
540;1.12068641
541;1.11988914
542;1.12000763
543;1.12029529
544;1.11940026
545;1.12063706
546;1.12191379
547;1.12291956
548;1.12272513
549;1.13839626
550;1.16507435
551;1.17940152
552;1.20597243
553;1.2409817
554;1.27067411
555;1.29335809
556;1.33161604
557;1.35941792
558;1.36505747
559;1.36854112
560;1.28886688
561;1.26387572
562;1.23319328
563;1.15093267
564;1.11890268
565;1.11671472
566;1.11544347
567;1.11555147
568;1.11689103
569;1.11741173
570;1.11767852
571;1.1174525
572;1.11729002
573;1.11702955
574;1.11702955
575;1.11718929
576;0.985385835
577;0.91720438
578;0.940653682
579;0.983244598
580;1.08831608
581;1.13306785
582;1.17092955
583;1.18831193
584;1.14769506
585;1.13661718
586;1.11859345
587;1.11344981
588;1.01347578
589;0.951358795
590;0.924051464
591;0.914740503
592;1.02716172
593;1.11370242
594;1.11602867
595;1.11778235
596;1.11917222
597;1.12005532
598;1.12063706
599;1.12196684
600;0.838054776
601;0.800753951
602;0.836393237
603;0.874793231
604;0.855620503
605;0.869208872
606;1.1196779
607;1.1188581
608;1.11749327
609;1.1167928
610;1.11368644
611;0.999904513
612;0.917279541
613;0.875828207
614;0.862680197
615;0.868771195
616;0.899060607
617;0.96189338
618;1.03078365
619;1.07843864
620;1.07481933
621;1.08791006
622;1.08951211
623;0.849091947
624;0.73880893
625;0.634015322
626;0.647600234
627;0.645947814
628;0.63809377
629;0.729360521
630;1.11332524
631;1.10313261
632;1.0768832
633;1.0494771
634;1.00408685
635;0.952073932
636;0.912850738
637;0.888493359
638;0.880824089
639;0.884490013
640;0.902673244
641;0.936714351
642;0.954590082
643;0.988066018
644;0.964863181
645;0.950645268
646;0.951001823
647;0.766393781
648;0.72335428
649;0.661576092
650;0.62905407
651;0.612380087
652;0.633395791
653;0.752241552
654;0.980535686
655;0.982106566
656;0.943948567
657;0.962263107
658;0.985271394
659;1.00198913
660;1.02002978
661;1.04376447
662;1.05969894
663;1.0768832
664;1.09219742
665;1.11154354
666;1.10984671
667;1.11432087
668;1.11512399
669;1.11508894
670;1.11512399
671;1.07943261
672;0.806864798
673;0.725436985
674;0.735875666
675;0.75461185
676;0.804921627
677;0.970293045
678;1.1212641
679;1.12322938
680;1.12368917
681;1.12366009
682;1.11870325
683;1.11507142
684;1.08684576
685;1.037678
686;1.01477659
687;1.01088917
688;1.02987468
689;1.08525503
690;1.11427104
691;1.11564207
692;1.11683202
693;1.11778235
694;1.11874735
695;1.11965466
696;1.12007916
697;1.12053871
698;1.12073588
699;1.12012696
700;1.11960804
701;1.119748
702;1.11970127
703;1.11972463
704;1.11979496
705;1.11822569
706;1.11519444
707;1.10535765
708;1.04613364
709;1.03444374
710;1.03398407
711;1.03032887
712;1.03444374
713;1.06367028
714;1.11335623
715;1.11418843
716;1.11407351
717;1.11524737
718;1.11655962
719;1.1178031
720;1.11852801
721;1.11958492
722;1.12029529
723;1.12063706
724;1.12170339
725;1.12314439
726;1.12706053
727;1.12337184
728;1.12188733
729;1.12024701
730;1.11857164
731;1.1178031
732;1.1166563
733;1.11724961
734;1.11751378
735;1.11755478
736;1.11706936
737;1.01434243
738;1.03398407
739;1.05479515
740;1.0768832
741;1.10036933
742;1.11357558
743;1.11428761
744;1.11503649
745;1.11582494
746;1.1166563
747;1.11753428
748;1.1184628
749;1.11942327
750;1.1204654
751;1.12157309
752;1.12275279
753;1.12530005
754;1.12345791
755;1.12191379
756;1.12093532
757;1.11956167
758;1.11831152
759;1.11784494
760;1.118119
761;1.11942327
762;1.12159908
763;1.12342918
764;1.15707433
765;1.16982925
766;1.18088162
767;1.19316864
768;1.20332432
769;1.21395493
770;1.22314811
771;1.23591304
772;1.24803746
773;1.25989544
774;1.26627052
775;1.26667011
776;1.26069033
777;1.2289325
778;1.16580451
779;1.123088
780;1.11998391
781;1.11868131
782;1.11850619
783;1.11960804
784;1.12118769
785;1.12297559
786;1.14661813
787;1.16653514
788;1.18310547
789;1.19842291
790;1.21548188
791;1.22970593
792;1.22545826
793;1.21509993
794;1.20483673
795;1.20483673
796;1.2006824
797;1.2006824
798;1.20900667
799;1.22084272
800;1.19879913
801;1.20521522
802;1.1694628
803;1.14769506
804;1.12360203
805;1.12162507
806;1.12194026
807;1.12186098
808;1.12215352
809;1.12882388
810;1.17019594
811;1.21319222
812;1.23747027
813;1.24685848
814;1.24528825
815;1.24921775
816;1.2555331
817;1.26507246
818;1.2654717
819;1.25870407
820;1.25276577
821;1.25316072
822;1.25118744
823;1.27107525
824;1.29540527
825;1.24646568
826;1.16726637
827;1.1344862
828;1.12320101
829;1.12226105
830;1.12167728
831;1.12245071
832;1.1344862
833;1.16873014
834;1.1954174
835;1.20635128
836;1.24176347
837;1.24254584
838;1.26947153
839;1.28115034
840;1.29090619
841;1.29172289
842;1.29009008
843;1.30983794
844;1.31942058
845;1.31942058
846;1.31942058
847;1.32067633
848;1.24607313
849;1.23902953
850;1.20294642
851;1.15671217
852;1.12325776
853;1.12066174
854;1.11937737
855;1.11937737
856;1.12022293
857;1.12283599
858;1.15635002
859;1.19242013
860;1.23630214
861;1.25434637
862;1.26467347
863;1.27187812
864;1.27791679
865;1.28845954
866;1.2995106
867;1.3065232
868;1.3102529
869;1.30735099
870;1.30942309
871;1.31149888
872;1.30115688
873;1.24137247
874;1.18459046
875;1.13768435
876;1.12178195
877;1.11861539
878;1.11689103
879;1.11627293
880;1.11700964
881;1.12005532
882;1.13768435
883;1.18868482
884;1.2409817
885;1.26987219
886;1.3003335
887;1.30859375
888;1.31733072
889;1.31066811
890;1.27751315
891;1.27549744
892;1.28115034
893;1.29009008
894;1.29458594
895;1.3065232
896;1.32193339
897;1.30074513
898;1.24411213
899;1.20748854
900;1.17056262
901;1.13982165
902;1.13200521
903;1.13661718
904;1.15273547
905;1.17829275
906;1.20370221
907;1.22391772
908;1.24764431
909;1.26108801
910;1.2654717
911;1.28034115
912;1.29009008
913;1.28927445
914;1.28115034
915;1.27027309
916;1.27993667
917;1.29909945
918;1.31607854
919;1.3148278
920;1.27710974
921;1.25632501
922;1.22815943
923;1.19729495
924;1.17350101
925;1.1520139
926;1.14053512
927;1.13306785
928;1.1362617
929;1.15743673
930;1.18162239
931;1.19316864
932;1.2285459
933;1.26188385
934;1.28317606
935;1.29009008
936;1.30404329
937;1.30610955
938;1.31108344
939;1.3003335
940;1.3265543
941;1.32781768
942;1.3148278
943;1.33119345
944;1.27227962
945;1.25158191
946;1.16726637
947;1.12231505
948;1.11984205
949;1.1184411
950;1.11724961
951;1.11720943
952;1.11805534
953;1.12017488
954;1.12289166
955;1.15816188
956;1.19092441
957;1.2193085
958;1.23474669
959;1.26706994
960;1.29745615
961;1.32193339
962;1.33119345
963;1.33415508
964;1.33712435
965;1.32823908
966;1.30776513
967;1.28277063
968;1.26029289
969;1.21052682
970;1.15997672
971;1.12303162
972;1.12162507
973;1.12086022
974;1.1213665
975;1.1211623
976;1.12261486
977;1.13129747
978;1.17166364
979;1.21433651
980;1.22815943
981;1.22661519
982;1.2193085
983;1.21969187
984;1.2289325
985;1.23552418
986;1.23785985
987;1.25118744
988;1.24725127
989;1.23785985
990;1.22122669
991;1.21319222
992;1.18756664
993;1.16215849
994;1.13023663
995;1.12328625
996;1.12191379
997;1.12000763
998;1.1191045
999;1.11908197
1000;1.11942327
1001;1.12039232
1002;1.12191379
1003;1.12317264
1004;1.14160609
1005;1.14841378
1006;1.14733601
1007;1.1520139
1008;1.16143072
1009;1.16799796
1010;1.18682182
1011;1.19242013
1012;1.19129813
1013;1.19429243
1014;1.20030546
1015;1.22276354
1016;1.23630214
1017;1.2235328
1018;1.19129813
1019;1.16507435
1020;1.1433934
1021;1.13342226
1022;1.13129747
1023;1.13732851
1024;1.15237463
1025;1.17681611
1026;1.20597243
1027;1.24332869
1028;1.27509475
1029;1.28398728
1030;1.30569601
1031;1.32319188
1032;1.32781768
1033;1.34180534
1034;1.35380507
1035;1.36288524
1036;1.37773466
1037;1.38611364
1038;1.39366055
1039;1.40170312
1040;1.40889716
1041;1.3257128
1042;1.24059093
1043;1.17129648
1044;1.13342226
1045;1.12261486
1046;1.1221
1047;1.12207329
1048;1.12291956
1049;1.15598798
1050;1.22045898
1051;1.26947153
1052;1.29254019
1053;1.30817938
1054;1.31900227
1055;1.33246183
1056;1.35725605
1057;1.39232528
1058;1.41386795
1059;1.41658783
1060;1.41296268
1061;1.41296268
1062;1.41296268
1063;1.42204595
1064;1.46992004
1065;1.35509801
1066;1.26069033
1067;1.19767082
1068;1.14697695
1069;1.12278044
1070;1.1211623
1071;1.12056327
1072;1.12121308
1073;1.1305902
1074;1.20900667
1075;1.26427448
1076;1.28358161
1077;1.31066811
1078;1.31816626
1079;1.31441116
1080;1.31108344
1081;1.31233025
1082;1.30735099
1083;1.28845954
1084;1.27308321
1085;1.2555331
1086;1.24528825
1087;1.23669136
1088;1.23474669
1089;1.22045898
1090;1.19316864
1091;1.16325104
1092;1.12635601
1093;1.12245071
1094;1.12078547
1095;1.11965466
1096;1.11790776
1097;1.11743212
1098;1.11724961
1099;1.11700964
1100;1.11765778
1101;1.11763716
1102;1.11774075
1103;1.11792874
1104;1.11820424
1105;1.11826849
1106;1.11850619
1107;1.11874735
1108;1.11903691
1109;1.11960804
1110;1.11998391
1111;1.12068641
1112;1.12250531
1113;1.12170339
1114;1.11883593
1115;1.11638701
1116;1.11445451
1117;1.11341858
1118;1.11352825
1119;1.11371839
1120;1.11445451
1121;1.11654031
1122;1.12000763
1123;1.12322938
1124;1.13555121
1125;1.17019594
1126;1.22007537
1127;1.25751388
1128;1.24882412
1129;1.23202956
1130;1.20786786
1131;1.19167197
1132;1.18125188
1133;1.18793929
1134;1.18831193
1135;1.18868482
1136;1.18719423
1137;1.18384767
1138;1.17203081
1139;1.17092955
1140;1.16690075
1141;1.15816188
1142;1.16325104
1143;1.16106701
1144;1.17423677
1145;1.18756664
1146;1.19879913
1147;1.20445848
1148;1.21662843
1149;1.21969187
