Index;Wert
0;1310.63232
1;1310.63232
2;1310.63232
3;1310.63232
4;1280.44421
5;1280.44421
6;1280.44421
7;1280.44421
8;1294.46814
9;1294.46814
10;1294.46814
11;1294.46814
12;1278.54578
13;1278.54578
14;1278.54578
15;1278.54578
16;1302.67041
17;1302.67041
18;1302.67041
19;1302.67041
20;1870.32922
21;1870.32922
22;1870.32922
23;1870.32922
24;2155.97095
25;2155.97095
26;2155.97095
27;2155.97095
28;2340.5105
29;2340.5105
30;2340.5105
31;2340.5105
32;2319.44507
33;2319.44507
34;2319.44507
35;2319.44507
36;2246.47241
37;2246.47241
38;2246.47241
39;2246.47241
40;2132.2251
41;2132.2251
42;2132.2251
43;2132.2251
44;2294.91455
45;2294.91455
46;2294.91455
47;2294.91455
48;2232.5686
49;2232.5686
50;2232.5686
51;2232.5686
52;2233.94312
53;2233.94312
54;2233.94312
55;2233.94312
56;2341.38135
57;2341.38135
58;2341.38135
59;2341.38135
60;2258.66528
61;2258.66528
62;2258.66528
63;2258.66528
64;2127.16064
65;2127.16064
66;2127.16064
67;2127.16064
68;1941.58105
69;1941.58105
70;1941.58105
71;1941.58105
72;2142.57202
73;2142.57202
74;2142.57202
75;2142.57202
76;1981.88599
77;1981.88599
78;1981.88599
79;1981.88599
80;1938.40295
81;1938.40295
82;1938.40295
83;1938.40295
84;1592.1615
85;1592.1615
86;1592.1615
87;1592.1615
88;1483.08826
89;1483.08826
90;1483.08826
91;1483.08826
92;1530.67859
93;1530.67859
94;1530.67859
95;1530.67859
96;1454.60742
97;1454.60742
98;1454.60742
99;1454.60742
100;1407.93188
101;1407.93188
102;1407.93188
103;1407.93188
104;1261.93677
105;1261.93677
106;1261.93677
107;1261.93677
108;1259.99695
109;1259.99695
110;1259.99695
111;1259.99695
112;1304.10681
113;1304.10681
114;1304.10681
115;1304.10681
116;1869.65515
117;1869.65515
118;1869.65515
119;1869.65515
120;2093.36035
121;2093.36035
122;2093.36035
123;2093.36035
124;2361.51685
125;2361.51685
126;2361.51685
127;2361.51685
128;2333.05933
129;2333.05933
130;2333.05933
131;2333.05933
132;2354.08228
133;2354.08228
134;2354.08228
135;2354.08228
136;2246.05469
137;2246.05469
138;2246.05469
139;2246.05469
140;2246.7749
141;2246.7749
142;2246.7749
143;2246.7749
144;2184.64526
145;2184.64526
146;2184.64526
147;2184.64526
148;2243.53101
149;2243.53101
150;2243.53101
151;2243.53101
152;2252.25928
153;2252.25928
154;2252.25928
155;2252.25928
156;2197.36865
157;2197.36865
158;2197.36865
159;2197.36865
160;2046.26282
161;2046.26282
162;2046.26282
163;2046.26282
164;1984.61743
165;1984.61743
166;1984.61743
167;1984.61743
168;2020.51465
169;2020.51465
170;2020.51465
171;2020.51465
172;1871.57202
173;1871.57202
174;1871.57202
175;1871.57202
176;1522.08386
177;1522.08386
178;1522.08386
179;1522.08386
180;1053.85071
181;1053.85071
182;1053.85071
183;1053.85071
184;990.987122
185;990.987122
186;990.987122
187;990.987122
188;1063.11621
189;1063.11621
190;1063.11621
191;1063.11621
192;1097.50232
193;1097.50232
194;1097.50232
195;1097.50232
196;1103.81348
197;1103.81348
198;1103.81348
199;1103.81348
200;1107.60449
201;1107.60449
202;1107.60449
203;1107.60449
204;1161.94824
205;1161.94824
206;1161.94824
207;1161.94824
208;1295.80139
209;1295.80139
210;1295.80139
211;1295.80139
212;1767.8938
213;1767.8938
214;1767.8938
215;1767.8938
216;1931.72778
217;1931.72778
218;1931.72778
219;1931.72778
220;2132.05859
221;2132.05859
222;2132.05859
223;2132.05859
224;2113.81763
225;2113.81763
226;2113.81763
227;2113.81763
228;2207.04736
229;2207.04736
230;2207.04736
231;2207.04736
232;2040.02002
233;2040.02002
234;2040.02002
235;2040.02002
236;2279.17969
237;2279.17969
238;2279.17969
239;2279.17969
240;2203.2915
241;2203.2915
242;2203.2915
243;2203.2915
244;2246.69824
245;2246.69824
246;2246.69824
247;2246.69824
248;2298.80005
249;2298.80005
250;2298.80005
251;2298.80005
252;2184.77393
253;2184.77393
254;2184.77393
255;2184.77393
256;2212.91846
257;2212.91846
258;2212.91846
259;2212.91846
260;2066.35815
261;2066.35815
262;2066.35815
263;2066.35815
264;2156.07227
265;2156.07227
266;2156.07227
267;2156.07227
268;2104.5686
269;2104.5686
270;2104.5686
271;2104.5686
272;1852.67859
273;1852.67859
274;1852.67859
275;1852.67859
276;1440.42542
277;1440.42542
278;1440.42542
279;1440.42542
280;1505.1748
281;1505.1748
282;1505.1748
283;1505.1748
284;1337.86462
285;1337.86462
286;1337.86462
287;1337.86462
288;1297.91138
289;1297.91138
290;1297.91138
291;1297.91138
292;1284.98499
293;1284.98499
294;1284.98499
295;1284.98499
296;1269.41833
297;1269.41833
298;1269.41833
299;1269.41833
300;1251.03845
301;1251.03845
302;1251.03845
303;1251.03845
304;1303.61316
305;1303.61316
306;1303.61316
307;1303.61316
308;1693.19897
309;1693.19897
310;1693.19897
311;1693.19897
312;2079.24536
313;2079.24536
314;2079.24536
315;2079.24536
316;2114.61108
317;2114.61108
318;2114.61108
319;2114.61108
320;2024.65637
321;2024.65637
322;2024.65637
323;2024.65637
324;2084.23877
325;2084.23877
326;2084.23877
327;2084.23877
328;1992.60388
329;1992.60388
330;1992.60388
331;1992.60388
332;2092.5686
333;2092.5686
334;2092.5686
335;2092.5686
336;2139.23999
337;2139.23999
338;2139.23999
339;2139.23999
340;2038.68091
341;2038.68091
342;2038.68091
343;2038.68091
344;1861.1106
345;1861.1106
346;1861.1106
347;1861.1106
348;1793.61365
349;1793.61365
350;1793.61365
351;1793.61365
352;1815.24194
353;1815.24194
354;1815.24194
355;1815.24194
356;1638.31726
357;1638.31726
358;1638.31726
359;1638.31726
360;1595.11841
361;1595.11841
362;1595.11841
363;1595.11841
364;1310.52686
365;1310.52686
366;1310.52686
367;1310.52686
368;1280.61292
369;1280.61292
370;1280.61292
371;1280.61292
372;1102.01672
373;1102.01672
374;1102.01672
375;1102.01672
376;971.830444
377;971.830444
378;971.830444
379;971.830444
380;4179.97266
381;4179.97266
382;4179.97266
383;4179.97266
384;958.679382
385;958.679382
386;958.679382
387;958.679382
388;962.027344
389;962.027344
390;962.027344
391;962.027344
392;936.061462
393;936.061462
394;936.061462
395;936.061462
396;968.143311
397;968.143311
398;968.143311
399;968.143311
400;740.257202
401;740.257202
402;740.257202
403;740.257202
404;593.816528
405;593.816528
406;593.816528
407;593.816528
408;557.615845
409;557.615845
410;557.615845
411;557.615845
412;635.57959
413;635.57959
414;635.57959
415;635.57959
416;691.079773
417;691.079773
418;691.079773
419;691.079773
420;614.107971
421;614.107971
422;614.107971
423;614.107971
424;572.026428
425;572.026428
426;572.026428
427;572.026428
428;526.691895
429;526.691895
430;526.691895
431;526.691895
432;502.556671
433;502.556671
434;502.556671
435;502.556671
436;451.193787
437;451.193787
438;451.193787
439;451.193787
440;372.220551
441;372.220551
442;372.220551
443;372.220551
444;353.343781
445;353.343781
446;353.343781
447;353.343781
448;292.263824
449;292.263824
450;292.263824
451;292.263824
452;272.732727
453;272.732727
454;272.732727
455;272.732727
456;264.641907
457;264.641907
458;264.641907
459;264.641907
460;263.727295
461;263.727295
462;263.727295
463;263.727295
464;256.21701
465;256.21701
466;256.21701
467;256.21701
468;247.975586
469;247.975586
470;247.975586
471;247.975586
472;239.12738
473;239.12738
474;239.12738
475;239.12738
476;237.518433
477;237.518433
478;237.518433
479;237.518433
480;236.656815
481;236.656815
482;236.656815
483;236.656815
484;229.993073
485;229.993073
486;229.993073
487;229.993073
488;230.010498
489;230.010498
490;230.010498
491;230.010498
492;232.081314
493;232.081314
494;232.081314
495;232.081314
496;222.197601
497;222.197601
498;222.197601
499;222.197601
500;219.758331
501;219.758331
502;219.758331
503;219.758331
504;243.570114
505;243.570114
506;243.570114
507;243.570114
508;291.58197
509;291.58197
510;291.58197
511;291.58197
512;375.166412
513;375.166412
514;375.166412
515;375.166412
516;382.742676
517;382.742676
518;382.742676
519;382.742676
520;382.083221
521;382.083221
522;382.083221
523;382.083221
524;376.703552
525;376.703552
526;376.703552
527;376.703552
528;362.572021
529;362.572021
530;362.572021
531;362.572021
532;377.354858
533;377.354858
534;377.354858
535;377.354858
536;366.312988
537;366.312988
538;366.312988
539;366.312988
540;345.497925
541;345.497925
542;345.497925
543;345.497925
544;282.473267
545;282.473267
546;282.473267
547;282.473267
548;270.956207
549;270.956207
550;270.956207
551;270.956207
552;264.706726
553;264.706726
554;264.706726
555;264.706726
556;257.794678
557;257.794678
558;257.794678
559;257.794678
560;244.973969
561;244.973969
562;244.973969
563;244.973969
564;241.025726
565;241.025726
566;241.025726
567;241.025726
568;237.328247
569;237.328247
570;237.328247
571;237.328247
572;238.103104
573;238.103104
574;238.103104
575;238.103104
576;230.609619
577;230.609619
578;230.609619
579;230.609619
580;225.943436
581;225.943436
582;225.943436
583;225.943436
584;227.930298
585;227.930298
586;227.930298
587;227.930298
588;229.998505
589;229.998505
590;229.998505
591;229.998505
592;224.108963
593;224.108963
594;224.108963
595;224.108963
596;219.610031
597;219.610031
598;219.610031
599;219.610031
600;249.221542
601;249.221542
602;249.221542
603;249.221542
604;297.65094
605;297.65094
606;297.65094
607;297.65094
608;375.225372
609;375.225372
610;375.225372
611;375.225372
612;386.247284
613;386.247284
614;386.247284
615;386.247284
616;392.110596
617;392.110596
618;392.110596
619;392.110596
620;384.71228
621;384.71228
622;384.71228
623;384.71228
624;361.825592
625;361.825592
626;361.825592
627;361.825592
628;376.651642
629;376.651642
630;376.651642
