Index;Wert
0;832.43811
1;839.43811
2;831.43811
3;843.43811
4;995.671326
5;1126.67139
6;1191.67139
7;1141.67139
8;1089.77881
9;1030.77881
10;1116.77881
11;1093.77881
12;1091.73743
13;1148.73743
14;1117.73743
15;1083.73743
16;1002.99786
17;1107.9978
18;1028.9978
19;1011.99786
20;846.44165
21;793.44165
22;817.44165
23;781.44165
24;866.777283
25;793.777283
26;792.777283
27;814.777283
28;1127.1803
29;1227.1803
30;1334.1803
31;1281.1803
32;1251.02478
33;1195.02478
34;1199.02478
35;1176.02478
36;1352.10364
37;1360.10364
38;1343.10364
39;1299.10364
40;1508.078
41;1530.078
42;1458.078
43;1288.078
44;961.409302
45;930.409302
46;967.409302
47;986.409302
48;851.385376
49;853.385376
50;880.385376
51;947.385376
52;966.412354
53;1047.41235
54;1144.41235
55;1135.41235
56;1258.92517
57;1177.92517
58;1297.92517
59;1260.92517
60;1267.62695
61;1293.62695
62;1236.62695
63;1250.62695
64;1104.70471
65;1148.70471
66;1122.70471
67;996.704712
68;973.39917
69;1006.39917
70;923.39917
71;903.39917
72;1262.18347
73;1254.18347
74;1245.18347
75;1271.18347
76;1159.51184
77;1351.51184
78;1368.51184
79;1324.51184
80;1666.18726
81;1620.18726
82;1670.18726
83;1694.18726
84;1356.12524
85;1268.12524
86;1234.12524
87;1245.12524
88;1612.57617
89;1589.57617
90;1446.57617
91;1431.57617
92;1459.46057
93;1395.46057
94;1400.46057
95;5520.46045
96;990.170654
97;977.170654
98;993.170654
99;879.170654
100;364.011658
101;334.011658
102;346.011658
103;335.011658
104;281.787903
105;258.787903
106;239.787888
107;235.787888
108;204.053604
109;168.053604
110;169.053604
111;170.053604
112;169.877792
113;169.877792
114;171.877792
115;172.877792
116;177.164276
117;173.164276
118;173.164276
119;174.164276
120;290.889038
121;290.889038
122;291.889038
123;286.889038
124;290.26828
125;290.26828
126;287.26828
127;290.26828
128;309.988525
129;307.988525
130;308.988525
131;309.988525
132;245.352814
133;243.352814
134;243.352814
135;243.352814
136;227.686646
137;228.686646
138;227.686646
139;225.686646
140;322.770386
141;321.770386
142;322.770386
143;320.770386
144;712.308105
145;713.308105
146;714.308105
147;711.308105
148;174.671036
149;177.671036
150;174.671036
151;174.671036
152;227.962418
153;228.962418
154;228.962418
155;225.962418
156;558.099487
157;559.099487
158;559.099487
159;560.099487
160;233.856064
161;234.856064
162;231.856064
163;234.856064
164;305.290894
165;305.290894
166;304.290894
167;312.290894
168;310.283783
169;305.283783
170;307.283783
171;329.283783
172;645.738342
173;955.738342
174;1036.73828
175;1087.73828
176;1204.60364
177;1188.60364
178;1275.60364
179;1299.60364
180;1276.44458
181;1204.44458
182;1126.44458
183;1190.44458
184;1378.90771
185;1387.90771
186;1341.90771
187;1270.90771
188;1114.46106
189;1114.46106
190;1106.46106
191;1084.46106
192;1120.82935
193;1114.82935
194;1115.82935
195;1163.82935
196;1038.88599
197;1185.88599
198;1298.88599
199;1277.88599
200;1313.5332
201;1226.5332
202;1309.5332
203;1269.5332
204;1219.99426
205;1105.99426
206;1110.99426
207;1118.99426
208;1080.38623
209;1038.38623
210;1024.38623
211;836.38623
212;688.369568
213;683.369568
214;671.369568
215;673.369568
216;678.37561
217;677.37561
218;680.37561
219;698.37561
220;961.395752
221;1139.39575
222;1206.39575
223;1133.39575
224;1282.2074
225;1239.2074
226;1259.2074
227;1235.2074
228;1215.48096
229;1202.48096
230;1178.48096
231;1182.48096
232;1077.48889
233;1104.48889
234;1024.48889
235;985.488892
236;794.790283
237;802.790283
238;777.790283
239;749.790283
240;1046.21143
241;1033.21143
242;1052.21143
243;1058.21143
244;1352.63635
245;1463.63635
246;1499.63635
247;1430.63635
248;1488.5144
249;1374.5144
250;1375.5144
251;1343.5144
252;949.342163
253;906.342163
254;828.342163
255;735.342163
256;664.818115
257;548.818115
258;502.818115
259;509.818115
260;752.788452
261;774.788452
262;766.788452
263;760.788452
264;815.184814
265;808.184814
266;739.184814
267;659.184814
268;506.591309
269;505.591309
270;504.591309
271;505.591309
272;596.272949
273;595.272949
274;596.272949
275;593.272949
276;738.010986
277;737.010986
278;738.010986
279;740.010986
280;938.109619
281;935.109619
282;937.109619
283;940.109619
284;1039.82751
285;1039.82751
286;1037.82751
287;1037.82751
288;235.206696
289;235.206696
290;237.206696
291;234.206696
292;169.739899
293;168.739899
294;165.739899
295;168.739899
296;165.008072
297;163.008072
298;165.008072
299;165.008072
300;162.964035
301;164.964035
302;163.964035
303;163.964035
304;159.256897
305;157.256897
306;156.256897
307;161.256897
308;166.675522
309;167.675522
310;166.675522
311;163.675522
312;169.365997
313;174.365997
314;176.365997
315;200.365997
316;447.768494
317;710.768494
318;777.768494
319;900.768494
320;1035.04407
321;1119.04407
322;1145.04407
323;1149.04407
324;1040.50757
325;1042.50757
326;1002.50757
327;1047.50757
328;1151.95447
329;1147.95447
330;1093.95447
331;1092.95447
332;715.333801
333;716.333801
334;701.333801
335;656.333801
336;766.218994
337;818.218994
338;844.218994
339;856.218994
340;1071.77319
341;1151.77319
342;1144.77319
343;1126.77319
344;1114.63672
345;1060.63672
346;1123.63672
347;1076.63672
348;1025.05176
349;988.051758
350;996.051758
351;1005.05176
352;1012.44336
353;1048.44336
354;983.443359
355;976.443359
356;806.723877
357;767.723877
358;759.723877
359;752.723877
360;978.911499
361;970.911499
362;956.911499
363;981.911499
364;1200.26978
365;1314.26978
366;1347.26978
367;1459.26978
368;1486.31335
369;1422.31335
370;1429.31335
371;1403.31335
372;1207.86182
373;1071.86182
374;1063.86182
375;1021.86182
376;1412.70093
377;1415.70093
378;1339.70093
379;1167.70093
380;915.934082
381;895.934082
382;867.934082
383;870.934082
384;531.965759
385;499.96579
386;448.96579
387;437.96579
388;426.955902
389;424.955902
390;400.955902
391;293.955902
392;206.725983
393;178.725983
394;176.725983
395;176.725983
396;177.014771
397;176.014771
398;174.014771
399;176.014771
400;177.423004
401;177.423004
402;175.423004
403;179.423004
404;186.477921
405;184.477921
406;182.477921
407;181.477921
408;235.666275
409;238.666275
410;242.666275
411;258.66626
412;618.48822
413;671.48822
414;683.48822
415;723.48822
416;810.177734
417;799.177734
418;786.177734
419;696.177734
420;938.992859
421;932.992859
422;920.992859
423;912.992859
424;569.805054
425;525.805054
426;403.805054
427;323.805054
428;267.83606
429;265.83606
430;264.83606
431;261.83606
432;415.87912
433;416.87912
434;417.87912
435;418.87912
436;226.749832
437;227.749832
438;226.749832
439;225.749832
440;221.629562
441;221.629562
442;221.629562
443;220.629562
444;227.752151
445;223.752151
446;224.752151
447;227.752151
448;194.08847
449;191.08847
450;190.08847
451;191.08847
452;274.120972
453;271.120972
454;271.120972
455;271.120972
456;626.647217
457;625.647217
458;628.647217
459;621.647217
460;579.200562
461;581.200562
462;582.200562
463;583.200562
464;454.862793
465;454.862793
466;456.862793
467;458.862793
468;357.660583
469;358.660583
470;359.660583
471;359.660583
472;467.583984
473;466.583984
474;462.583984
475;468.583984
476;624.187622
477;622.187622
478;622.187622
479;621.187622
480;338.328888
481;338.328888
482;339.328888
483;363.328888
484;368.877319
485;626.877319
486;633.877319
487;624.877319
488;672.444519
489;636.444519
490;759.444519
491;770.444519
492;801.575439
493;785.575439
494;786.575439
495;862.575439
496;896.062378
497;946.062378
498;930.062378
499;900.062378
500;657.603333
501;704.603333
502;709.603333
503;704.603333
504;756.991028
505;751.991028
506;736.991028
507;757.991028
508;1136.91895
509;1314.91895
510;1316.91895
511;1281.91895
512;1344.57153
513;1383.57153
514;1361.57153
515;1345.57153
516;1295.97766
517;1320.97766
518;1273.97766
