Index;Wert
0;36.3791389
1;35.5354309
2;36.5507774
3;41.4103661
4;64.7835922
5;80.4424057
6;76.0521011
7;74.808548
8;72.6242294
9;67.7515945
10;66.1278381
11;64.9680405
12;66.4142532
13;62.3628616
14;63.6067848
15;69.0021286
16;79.8726807
17;93.1584167
18;99.9819565
19;98.9666901
20;93.5983658
21;70.5246429
22;33.4179611
23;33.6273613
24;33.1534386
25;32.2609406
26;33.1718712
27;37.7473106
28;60.0824051
29;75.0606308
30;70.8119736
31;69.6185608
32;67.3210526
33;62.4950256
34;61.4802933
35;61.3296738
36;62.9471054
37;59.2531471
38;60.4937401
39;65.4745026
40;75.5491562
41;88.1466675
42;94.5927658
43;93.4904099
44;88.2713242
45;65.8630066
46;29.9445648
47;29.9099255
48;6.16806412
49;5.03670025
50;6.1689806
51;12.005826
52;40.5990486
53;60.8700066
54;55.5810928
55;53.5752029
56;55.1375351
57;53.4661179
58;54.4455185
59;53.9364548
60;50.7287064
61;46.1004372
62;48.9070702
63;56.6061401
64;69.0899582
65;80.9894409
66;81.6706848
67;71.2647934
68;59.1207275
69;36.7095795
70;0
71;3.97315097
72;12.0348434
73;10.9248533
74;12.2517519
75;18.7303486
76;50.4329529
77;71.482193
78;64.8934708
79;61.6112328
80;62.8991318
81;60.3618965
82;61.365799
83;61.9870758
84;59.6851997
85;53.0987816
86;56.0699234
87;64.0606689
88;77.3557587
89;88.2494507
90;87.6243057
91;76.5915146
92;66.6915436
93;44.6539116
94;2.16453576
95;8.63052368
96;30.9747047
97;30.2920418
98;31.3720989
99;35.9242935
100;57.4355583
101;71.7632446
102;67.4534454
103;66.0964966
104;63.6321411
105;59.0451584
106;57.8073044
107;57.2240181
108;58.7467957
109;55.4827156
110;56.8135185
111;61.6842194
112;71.5816422
113;84.3095093
114;91.1403122
115;90.3551941
116;85.0271378
117;63.2451019
118;28.5229855
119;28.3823719
120;31.1887302
121;30.3926907
122;31.3496361
123;35.8650246
124;57.5395546
125;72.0314713
126;67.9027405
127;66.7273026
128;64.7297897
129;60.0195656
130;58.6711845
131;57.8706856
132;59.4100647
133;56.2395515
134;57.6982918
135;62.8943062
136;73.0365295
137;85.6181641
138;92.1606369
139;91.3855972
140;86.4388885
141;64.9164963
142;30.0025425
143;29.857029
144;28.0354767
145;27.2926426
146;27.9843616
147;32.2281189
148;52.6158943
149;65.9999237
150;62.1707268
151;61.4500351
152;59.5125885
153;55.1747322
154;53.6755257
155;52.8014336
156;54.086647
157;50.6846161
158;51.9789047
159;57.2576714
160;67.2595139
161;79.2818069
162;85.063797
163;83.5943832
164;78.5463486
165;57.4441071
166;24.2486343
167;24.0429859
168;9.40712166
169;8.98940945
170;9.50984764
171;12.4483795
172;27.3668957
173;37.4579086
174;35.1312332
175;35.488842
176;34.1233444
177;31.3650379
178;30.7443161
179;29.9965611
180;31.0467377
181;28.1478672
182;28.9280376
183;32.5907135
184;40.5194473
185;50.8818512
186;56.9060287
187;57.281044
188;53.1571274
189;35.5829277
190;9.53789616
191;8.17549515
192;30.6050911
193;29.6742878
194;30.455286
195;34.7541733
196;56.2270889
197;70.6569519
198;66.7589493
199;65.7978973
200;63.5316887
201;58.9775047
202;57.7043495
203;56.9370651
204;58.3719063
205;54.4863358
206;55.6744881
207;60.5630722
208;70.4730301
209;83.2878876
210;90.0325928
211;89.40979
212;84.7713776
213;63.1803398
214;28.5834484
215;28.5505257
216;12.2194023
217;10.8403635
218;12.0772219
219;18.3339977
220;49.6915741
221;71.5140915
222;65.1519928
223;62.3015213
224;63.8067055
225;61.0353165
226;61.7382736
227;61.4844055
228;58.443512
229;53.4166679
230;56.4592323
231;64.9766922
232;78.7031021
233;91.7145767
234;92.6701889
235;81.7869339
236;68.7217712
237;44.1771011
238;1.42661572
239;7.65596628
240;13.1458254
241;11.8615189
242;13.1052446
243;19.8623199
244;53.0459785
245;75.3009109
246;68.6814728
247;65.2957153
248;66.8141174
249;64.2577667
250;65.4457169
251;66.2881775
252;64.081955
253;56.7787361
254;59.071846
255;66.8453445
256;80.4551697
257;91.9600677
258;91.5060577
259;80.1657181
260;69.9960251
261;47.2209663
262;3.01279616
263;9.69655895
264;27.241457
265;26.4077873
266;27.5487289
267;31.7585869
268;52.2311935
269;65.9940414
270;62.2736702
271;61.3616982
272;59.2251511
273;54.8336983
274;53.9915504
275;53.8684273
276;55.5426598
277;52.3516693
278;53.3180275
279;57.9193573
280;67.6312714
281;79.8088837
282;86.1871414
283;85.6295624
284;80.6572342
285;59.4800072
286;25.9327545
287;25.6418991
288;33.6795158
289;32.7408066
290;33.6082611
291;38.1366539
292;60.4604797
293;75.385643
294;71.1354446
295;70.1400833
296;67.8324585
297;63.0660172
298;61.9973717
299;61.8897362
300;63.6499825
301;59.844101
302;61.3217049
303;66.4250488
304;76.7097397
305;89.4341507
306;96.0683899
307;95.2027588
308;89.9678802
309;67.7461472
310;31.9695683
311;32.1865349
312;26.2136898
313;25.6090145
314;26.5021744
315;30.6274967
316;50.3905754
317;63.7285576
318;60.3537674
319;59.9093742
320;57.2253723
321;53.206028
322;51.7871819
323;50.7796555
324;51.8541756
325;48.3218384
326;49.2974358
327;53.8897095
328;63.3728714
329;75.3713379
330;81.9562759
331;81.5145721
332;76.8759918
333;56.2831612
334;24.0960236
335;23.6019039
336;50.4602928
337;49.2999496
338;50.1966438
339;55.7851677
