Groesse;Wert
Lauf.ID_Projekt;1030
Sim.Restwaerme;0
Sim.Reststrom;3070.00854
Sim.bSimulationWP;False
Sim.bSimulationKessel;True
Sim.bSimulationSolarthermie;False
Sim.bSimulationBHKW;True
Sim.bSimulationPV;False
Sim.bSimulationSSP;False
Sim.PufferWP_vorhanden;True
Puffer.Q_max;580
Puffer.Ladung_gesamt;2947360.96
Puffer.Entladung_gesamt;2945596.47
Puffer.Verluste_gesamt;1213.625
Puffer.SOC_Mittel;550.86145
Puffer.SOC_Max;550.86145
Puffer.Vollzyklen;5081.65682
Sim.Speicher_Anzahl;1
Ergebnis.ID_Projekt;1030
Ergebnis.Bezeichner;Simulation Referenz BHKW-Kaskade (Regressionstest)
Ergebnis.ID_Klimaregion;1020040
Ergebnis.Sim_Energiebedarf;True
Ergebnis.Sim_Waermepumpe;False
Ergebnis.Sim_Heizkessel;True
Ergebnis.Sim_Solarthermie;False
Ergebnis.Sim_BHKW;True
Ergebnis.Sim_PV;False
Ergebnis.Sim_Stromspeicher;False
Energiebedarf.Waermebedarf_Gesamt;6137.56
Energiebedarf.Waermelast_Max;2206
Energiebedarf.Strombedarf_Gesamt;4790.09
Energiebedarf.Strombedarf_Max;2070
Energiebedarf.Waermerestbedarf;0
Energiebedarf.Stromrestbedarf;3070.01
Energiebedarf.Waermebedarf_Heizung;6137.56
Energiebedarf.Waermebedarf_Brauchwasser;0
Energiebedarf.Waermebedarf_Prozess;0
BHKW.Waermebedarf;6137.56
BHKW.Restwaermebedarf;3971.18
BHKW.Strombedarf;4790.09
BHKW.Reststrombedarf;3070.01
BHKW.Waermeproduktion;2167.21
BHKW.Waermeueberschuss;0
BHKW.Stromproduktion;1720.08
BHKW.Betriebsstunden_Gesamt;12860.72
BHKW.Betriebsstunden_Durchschnitt;6430.36
BHKW.Waermebedarfsdeckung;35.3
BHKW.Strombedarfsdeckung;35.91
BHKW.Gasverbrauch;4423.19
BHKW.Oelverbrauch;0
BHKW.Koks;0
BHKW.Rapsoelverbrauch;0
BHKW.Holzverbrauch;0
BHKW.Kohle;0
BHKW.Sonstigverbrauch;0
BHKW.Pellets;0
BHKW.TierischeFette;0
BHKW.VbhElektrisch;5733.59
BHKW.Deckung_Heizung;35.3
BHKW.Deckung_Brauchwasser;0
BHKW.Deckung_Prozess;0
BHKWModul[0].Modul;BHKW EW M 50 S [K] Erdgas
BHKWModul[0].Waermeproduktion;605.52
BHKWModul[0].Stromproduktion;373.78
BHKWModul[0].Brennstoff;Gas
BHKWModul[0].Verbrauch;1235.85
BHKWModul[0].carrier_id;63
BHKWModul[0].VbhThermisch;7475.59
BHKWModul[0].VbhElektrisch;7475.69
BHKWModul[0].Hilfsenergie;0
BHKWModul[1].Modul;Agenitor 306(250kw.el) Gas
BHKWModul[1].Waermeproduktion;1561.69
BHKWModul[1].Stromproduktion;1346.29
BHKWModul[1].Brennstoff;Gas
BHKWModul[1].Verbrauch;3187.34
BHKWModul[1].carrier_id;63
BHKWModul[1].VbhThermisch;5385.13
BHKWModul[1].VbhElektrisch;5385.16
BHKWModul[1].Hilfsenergie;0
Heizkessel.Waermebedarf;6137.56
Heizkessel.Restwaermebedarf;2166.38
Heizkessel.Waermeproduktion;3972.09
Heizkessel.Strombedarf;4790.09
Heizkessel.Reststrombedarf;4790.09
Heizkessel.Waermebedarfsdeckung;64.7
Heizkessel.Stromverbrauch;0
Heizkessel.Maximale_Kesselleistung;2200
Heizkessel.Gasspitze;1835.14
Heizkessel.Gasverbrauch;3972.09
Heizkessel.Oelverbrauch;0
Heizkessel.Koks;0
Heizkessel.Rapsoelverbrauch;0
Heizkessel.Holzverbrauch;0
Heizkessel.Kohle;0
Heizkessel.Sonstigverbrauch;0
Heizkessel.Pellets;0
Heizkessel.TierischeFette;0
Heizkessel.Quellwaerme;0
Heizkessel.Deckung_Heizung;64.7
Heizkessel.Deckung_Brauchwasser;0
Heizkessel.Deckung_Prozess;0
HeizkesselModul[0].Modul;Vitocrossal 200 CM2 raumluftabh�ngig
HeizkesselModul[0].Waerme_Gas;3972.09
HeizkesselModul[0].Waerme_Oel;0
HeizkesselModul[0].Brennstoff;
HeizkesselModul[0].Verbrauch;0
HeizkesselModul[0].Jahresnutzungsgrad;100
HeizkesselModul[0].carrier_id;63
HeizkesselModul[0].Waermeproduktion;0
HeizkesselModul[0].Hilfsenergie;0
Pufferspeicher[0].ID_Pufferspeicher;1054170
Pufferspeicher[0].Bezeichner;Pufferspeicher 20 m3 BHKW-Kaskade
Pufferspeicher[0].Verwendung;Heizung
Pufferspeicher[0].Q_max;580
Pufferspeicher[0].Ladung_gesamt;2947360.96
Pufferspeicher[0].Entladung_gesamt;2945596.47
Pufferspeicher[0].Verluste_gesamt;1213.63
Pufferspeicher[0].SOC_Ende;550.86
Pufferspeicher[0].SOC_Mittel;550.86
Pufferspeicher[0].SOC_Max;550.86
Pufferspeicher[0].Vollzyklen;5081.66
Pufferspeicher[0].Entladung_Heizung;2945596.47
Pufferspeicher[0].Entladung_Brauchwasser;0
Pufferspeicher[0].Entladung_Prozess;0
Pufferspeicher[0].Durchsatz_Geladen;3191963.53
Pufferspeicher[0].Durchsatz_Entladen;3191963.53
Pufferspeicher[0].ID_Anlage;
Pufferspeicher[0].T_oben_Mittel;83.74
Pufferspeicher[0].T_oben_Min;83.74
Vektor.waermebedarf.Summe;6137560
Vektor.waermebedarf_gebaeude.Summe;0
Vektor.waermebedarf_brauchwasser.Summe;0
Vektor.waermebedarf_prozess.Summe;0
Vektor.waermebedarf_extern.Summe;6137560
Vektor.waermebedarf_dauerlinie.Summe;278221.216
Vektor.stundentemperatur.Summe;83869.71
Vektor.restwaerme.Summe;0
Vektor.strombedarf_viertelstunde.Summe;19160344
Vektor.reststrom_viertelstunde.Summe;12280034.5
Vektor.puffer_soc.Summe;4825546.3
Vektor.puffer_ladung.Summe;2947360.96
Vektor.puffer_entladung.Summe;2945596.43
Vektor.kessel_waermebedarf.Summe;6137560
Vektor.kessel_leistung.Summe;3972092.8
Vektor.kessel_restwaerme.Summe;3334363.01
Vektor.kessel_strom.Summe;0
Vektor.bhkw_waermebedarf.Summe;6137560
Vektor.bhkw_waerme.Summe;2167231.73
Vektor.bhkw_strom.Summe;1720077.38
Vektor.bhkw_restwaerme.Summe;3971180.25
