Index;Wert
0;1.9415977
1;1.7810576
2;1.84029734
3;1.84121668
4;1.83073163
5;2.77392077
6;11.4160738
7;12
8;12
9;12
10;12
11;12
12;10.5861177
13;8.90849209
14;7.64211702
15;6.92140388
16;7.19881153
17;9.67563629
18;12
19;12
20;12
21;12
22;11.3600903
23;3.57248402
24;2.40726066
25;1.58462894
26;1.5876745
27;1.62668109
28;1.68248856
29;2.70502973
30;11.205864
31;12
32;12
33;12
34;12
35;12
36;11.0945148
37;8.98127747
38;7.73541307
39;7.52989292
40;7.2053113
41;9.28066826
42;12
43;12
44;12
45;12
46;9.90310001
47;2.10448766
48;0.998026133
49;0.382070512
50;0.343592107
51;0.31820932
52;0.309108824
53;1.17907608
54;8.02386665
55;11.7888536
56;12
57;12
58;11.1995611
59;9.2049551
60;8.01185703
61;7.3847208
62;6.26495504
63;4.73906708
64;4.90984344
65;7.25659275
66;12
67;12
68;12
69;12
70;9.10826874
71;2.71928
72;1.39130044
73;1.32617414
74;1.32439792
75;1.31839263
76;1.30819488
77;2.14328456
78;9.54100323
79;12
80;12
81;12
82;12
83;10.6099463
84;8.84028721
85;7.76952457
86;6.56172609
87;5.92545462
88;6.26613617
89;8.16398144
90;12
91;12
92;12
93;12
94;9.865695
95;2.31235099
96;1.87487853
97;1.80359888
98;1.85696888
99;1.98507214
100;1.92365098
101;2.59943986
102;10.9002705
103;12
104;12
105;12
106;12
107;11.7527981
108;9.97670937
109;8.72655964
110;7.62874556
111;6.89411831
112;7.08795118
113;9.48136806
114;12
115;12
116;12
117;12
118;10.518117
119;3.03816557
120;2.28928375
121;1.80022562
122;1.84048343
123;1.82144415
124;1.81656849
125;2.74680042
126;11.2879505
127;12
128;12
129;12
130;12
131;12
132;10.3066502
133;9.43082714
134;8.10422516
135;7.49775982
136;7.93795204
137;10.166894
138;12
139;12
140;12
141;12
142;10.6200657
143;3.44342995
144;2.0872376
145;1.72182596
146;1.58143961
147;1.46171749
148;1.45933557
149;2.38127971
150;10.2900829
151;12
152;12
153;12
154;12
155;11.2148571
156;9.29482174
157;8.44263268
158;7.81401587
159;7.05695295
160;8.09514999
161;9.43827534
162;12
163;12
164;12
165;12
166;10.0108023
167;1.95016444
168;0
169;0
170;0
171;0
172;0
173;0.460049838
174;6.888762
175;11.9212503
176;11.9914436
177;12
178;10.5206738
179;8.40786743
180;6.85643816
181;6.46250534
182;6.31879902
183;5.99122334
184;5.91926479
185;7.1438818
186;10.6371117
187;10.1063004
188;9.66014862
189;8.80897999
190;6.3354125
191;1.87365282
192;2.30705357
193;1.43122196
194;1.37546766
195;1.3444742
196;1.38348162
197;2.38241005
198;10.7065973
199;12
200;12
201;12
202;12
203;11.5058689
204;9.98099041
205;7.76115942
206;6.58938599
207;6.4521699
208;6.17599392
209;8.46288776
210;12
211;12
212;12
213;12
214;10.1078482
215;2.70760965
216;2.07481384
217;1.42365837
218;1.37397993
219;1.18339717
220;0.91389662
221;1.49875617
222;8.62781048
223;12
224;12
225;12
226;11.7577076
227;9.81515503
228;8.55387306
229;7.87646723
230;6.71073914
231;5.2544055
232;5.5121479
233;7.93268061
234;12
235;12
236;12
237;12
238;9.44852066
239;2.54863214
240;0.880352676
241;0.708826363
242;0.676916897
243;0.699511647
244;0.781680405
245;1.78280485
246;9.46817875
247;12
248;12
249;12
250;12
251;11.4041462
252;9.60515118
253;8.18232155
254;6.47709846
255;5.56131506
256;5.8093524
257;7.79813242
258;12
259;12
260;12
261;12
262;9.51920319
263;1.85435915
264;1.10567653
265;1.0643636
266;1.35496688
267;1.53263688
268;1.46631563
269;2.14882016
270;10.1609278
271;12
272;12
273;12
274;12
275;11.3694983
276;9.79284668
277;8.55561256
278;7.32102346
279;6.55580711
280;6.82093573
281;9.00651646
282;12
283;12
284;12
285;12
286;9.96055794
287;2.82345796
288;2.53009605
289;1.95423782
290;1.94752896
291;1.93932307
292;1.96374738
293;2.95018721
294;11.7093067
295;12
296;12
297;12
298;12
299;12
300;11.3690338
301;10.0989027
302;8.72255707
303;7.9540205
304;8.35204887
305;10.5268059
306;12
307;12
308;12
309;12
310;10.9940481
311;3.58544469
312;2.09423089
313;1.46830416
314;1.30241776
315;1.18156242
316;1.41419542
317;2.1191256
318;10.0910254
319;12
320;12
321;12
322;12
323;12
324;10.5332375
325;10.7081528
326;10.8702326
327;10.126895
328;10.7094069
329;11.1489582
330;12
331;12
332;12
333;12
334;9.54323959
335;2.68008685
336;3.25999093
337;3.0166173
338;3.01339054
339;3.02007651
340;3.01525807
341;4.15741396
342;12
343;12
344;12
345;12
346;12
347;12
348;12
349;12
350;11.4271688
351;10.4763346
352;10.5571194
353;12
354;12
355;12
356;12
357;12
358;12
359;5.02125454
360;4.16130114
361;3.32070279
362;3.29288173
363;3.3034215
364;3.30319571
365;4.52701712
366;12
367;12
368;12
369;12
370;12
371;12
372;12
373;12
374;11.8714409
375;11.519311
376;11.2827682
377;12
378;12
379;12
380;12
381;12
382;12
383;4.41916609
384;4.71463633
385;4.06214714
386;3.98243546
387;3.91255283
388;3.85521889
389;5.19512987
390;12
391;12
392;12
393;12
394;12
395;12
396;12
397;12
398;12
399;12
400;12
401;12
402;12
403;12
404;12
405;12
406;12
407;5.94313765
408;4.80292797
409;4.5548687
410;4.4716258
411;4.67525387
412;4.7462225
413;6.20830441
414;12
415;12
416;12
417;12
418;12
419;12
420;12
421;12
422;12
423;12
424;12
425;12
426;12
427;12
428;12
429;12
430;12
431;6.56642866
432;5.70608616
433;5.71067286
434;5.78995609
435;5.96508646
436;5.9093852
437;7.20669985
438;12
439;12
440;12
441;12
442;12
443;12
444;12
445;12
446;12
447;12
448;12
449;12
450;12
451;12
452;12
453;12
454;12
455;6.39918327
456;4.91023731
457;4.33474588
458;4.31780338
459;4.3015976
460;4.29275513
461;5.72116089
462;12
463;12
464;12
465;12
466;12
467;12
468;12
469;12
470;12
471;12
472;12
473;12
474;12
475;12
476;12
477;12
478;12
479;6.14037323
