Index;Wert
0;6.52887487
1;6.52887487
2;6.52887487
3;6.52887487
4;6.52887487
5;6.52887487
6;2.67042017
7;0
8;0
9;0
10;0
11;0
12;0
13;0.612899244
14;3.06599092
15;6.21415281
16;6.52887487
17;5.93902874
18;0
19;0
20;0
21;0
22;0
23;6.52887487
24;6.52887487
25;6.52887487
26;6.52887487
27;6.52887487
28;6.52887487
29;6.52887487
30;6.52887487
31;4.24226332
32;0.835487962
33;0
34;0
35;1.23171771
36;4.55016994
37;6.52887487
38;6.52887487
39;6.52887487
40;6.52887487
41;6.52887487
42;5.04855251
43;1.47723055
44;0
45;0
46;4.16792297
47;6.52887487
48;6.52887487
49;6.52887487
50;6.52887487
51;6.52887487
52;6.52887487
53;6.52887487
54;6.52887487
55;6.52887487
56;6.52887487
57;6.52887487
58;6.52887487
59;6.52887487
60;6.52887487
61;6.52887487
62;6.52887487
63;6.52887487
64;6.52887487
65;6.52887487
66;6.52887487
67;6.52887487
68;6.52887487
69;6.52887487
70;6.52887487
71;6.52887487
72;6.52887487
73;6.52887487
74;6.52887487
75;6.52887487
76;6.52887487
77;6.52887487
78;6.52887487
79;5.98355341
80;4.42776346
81;2.96041512
82;3.78262329
83;6.52887487
84;6.52887487
85;6.52887487
86;6.52887487
87;6.52887487
88;6.52887487
89;6.52887487
90;6.0004487
91;3.29796576
92;1.46133792
93;0
94;4.30812263
95;6.52887487
96;6.52887487
97;6.52887487
98;6.52887487
99;6.52887487
100;6.52887487
101;6.52887487
102;6.52887487
103;3.88528872
104;0.36283648
105;0
106;0
107;1.78738248
108;5.706141
109;6.52887487
110;6.52887487
111;6.52887487
112;6.52887487
113;6.52887487
114;4.18787861
115;0
116;0
117;0
118;3.22534108
119;6.52887487
120;6.52887487
121;6.52887487
122;6.52887487
123;6.52887487
124;6.52887487
125;6.52887487
126;6.52887487
127;3.73071551
128;0
129;0
130;0
131;1.58753622
132;5.31021166
133;6.52887487
134;6.52887487
135;6.52887487
136;6.52887487
137;6.52887487
138;3.65639257
139;0
140;0
141;0
142;2.03030252
143;6.52887487
144;6.52887487
145;6.52887487
146;6.52887487
147;6.52887487
148;6.52887487
149;6.52887487
150;6.52887487
151;5.44676781
152;3.18624115
153;0.941217482
154;1.34430194
155;4.58607244
156;6.52887487
157;6.52887487
158;6.52887487
159;6.52887487
160;6.52887487
161;6.52887487
162;6.52887487
163;5.35307932
164;5.16788149
165;5.18399954
166;6.52887487
167;6.52887487
168;6.52887487
169;6.52887487
170;6.52887487
171;6.52887487
172;6.52887487
173;6.52887487
174;6.52887487
175;6.52887487
176;6.52887487
177;6.52887487
178;6.52887487
179;6.52887487
180;6.52887487
181;6.52887487
182;6.52887487
183;6.52887487
184;6.52887487
185;6.52887487
186;6.52887487
187;6.52887487
188;6.52887487
189;6.52887487
190;6.52887487
191;6.52887487
192;6.52887487
193;6.52887487
194;6.52887487
195;6.52887487
196;6.52887487
197;6.52887487
198;5.48855925
199;0
200;0
201;0
202;0
203;0
204;1.35692692
205;4.31185007
206;6.52887487
207;6.52887487
208;6.52887487
209;6.52887487
210;1.12866557
211;0
212;0
213;0
214;0.247827426
215;6.52887487
216;6.52887487
217;6.52887487
218;6.52887487
219;6.52887487
220;6.52887487
221;6.52887487
222;6.52887487
223;6.52887487
224;6.52887487
225;6.52887487
226;6.52887487
227;6.52887487
228;6.52887487
229;6.52887487
230;6.52887487
231;6.52887487
232;6.52887487
233;6.52887487
234;6.52887487
235;5.32569075
236;5.04704332
237;4.97888422
238;6.52887487
239;6.52887487
240;6.52887487
241;6.52887487
242;6.52887487
243;6.52887487
244;6.52887487
245;6.52887487
246;6.52887487
247;5.6264205
248;3.31446028
249;0.751728058
250;0.292251378
251;1.96986091
252;5.65863609
253;6.52887487
254;6.52887487
255;6.52887487
256;6.52887487
257;6.52887487
258;6.14731407
259;3.59188151
260;1.97277069
261;0.498897612
262;5.14472961
263;6.52887487
264;6.52887487
265;6.52887487
266;6.52887487
267;6.52887487
268;6.52887487
269;6.52887487
270;6.52887487
271;5.1155057
272;2.61572242
273;0.13875556
274;0
275;1.90488672
276;5.68964529
277;6.52887487
278;6.52887487
279;6.52887487
280;6.52887487
281;6.52887487
282;5.07086182
283;1.38135386
284;0
285;0
286;3.67683673
287;6.52887487
288;6.52887487
289;6.52887487
290;6.52887487
291;6.52887487
292;6.52887487
293;6.52887487
294;6.52887487
295;2.67503667
296;0
297;0
298;0
299;0
300;1.87638605
301;5.12105417
302;6.52887487
303;6.52887487
304;6.52887487
305;6.52887487
306;2.52248693
307;0
308;0
309;0
310;1.40898788
311;6.52887487
312;6.52887487
313;6.52887487
314;6.52887487
315;6.52887487
316;6.52887487
317;6.52887487
318;6.05582857
319;0
320;0
321;0
322;0
323;0
324;2.01263094
325;4.14846087
326;6.52887487
327;6.52887487
328;6.52887487
329;6.52887487
330;3.744802
331;0.89240557
332;0
333;0
334;3.36255527
335;6.52887487
336;6.52887487
337;6.52887487
338;6.52887487
339;6.52887487
340;6.52887487
341;6.52887487
342;3.28331447
343;0
344;0
345;0
346;0
347;0
348;0
349;0
