Index;Wert
0;0
1;0
2;0
3;0
4;0
5;0
6;1.4893508
7;4.46805239
8;4.46805239
9;5.21272802
10;5.95740318
11;5.95740318
12;6.70207882
13;5.95740318
14;5.95740318
15;6.70207882
16;8.93610477
17;13.4041576
18;17.8722095
19;20.8509121
20;19.3615627
21;11.1701317
22;4.46805239
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;1.4893508
31;4.46805239
32;4.46805239
33;5.21272802
34;5.95740318
35;5.95740318
36;6.70207882
37;5.95740318
38;5.95740318
39;6.70207882
40;8.93610477
41;13.4041576
42;17.8722095
43;20.8509121
44;19.3615627
45;11.1701317
46;4.46805239
47;0
48;0
49;0
50;0
51;0
52;0
53;1.08837175
54;3.26511526
55;6.53023052
56;10.8837175
57;16.3255768
58;19.5906925
59;19.5906925
60;15.2372055
61;14.1488333
62;15.2372055
63;17.4139481
64;19.5906925
65;20.6790638
66;18.5023212
67;13.060461
68;5.44185877
69;1.08837175
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;1.83304715
79;4.58261824
80;9.16523647
81;14.6643772
82;18.3304729
83;19.2469959
84;15.5809021
85;12.8313303
86;13.7478552
87;15.5809021
88;17.4139481
89;16.4974251
90;12.8313303
91;7.33218861
92;2.74957085
93;0.916523576
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;1.4893508
103;4.46805239
104;4.46805239
105;5.21272802
106;5.95740318
107;5.95740318
108;6.70207882
109;5.95740318
110;5.95740318
111;6.70207882
112;8.93610477
113;13.4041576
114;17.8722095
115;20.8509121
116;19.3615627
117;11.1701317
118;4.46805239
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;1.4893508
127;4.46805239
128;4.46805239
129;5.21272802
130;5.95740318
131;5.95740318
132;6.70207882
133;5.95740318
134;5.95740318
135;6.70207882
136;8.93610477
137;13.4041576
138;17.8722095
139;20.8509121
140;19.3615627
141;11.1701317
142;4.46805239
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;1.4893508
151;4.46805239
152;4.46805239
153;5.21272802
154;5.95740318
155;5.95740318
156;6.70207882
157;5.95740318
158;5.95740318
159;6.70207882
160;8.93610477
161;13.4041576
162;17.8722095
163;20.8509121
164;19.3615627
165;11.1701317
166;4.46805239
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;1.4893508
175;4.46805239
176;4.46805239
177;5.21272802
178;5.95740318
179;5.95740318
180;6.70207882
181;5.95740318
182;5.95740318
183;6.70207882
184;8.93610477
185;13.4041576
186;17.8722095
187;20.8509121
188;19.3615627
189;11.1701317
190;4.46805239
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;1.4893508
199;4.46805239
200;4.46805239
201;5.21272802
202;5.95740318
203;5.95740318
204;6.70207882
205;5.95740318
206;5.95740318
207;6.70207882
208;8.93610477
209;13.4041576
210;17.8722095
211;20.8509121
212;19.3615627
213;11.1701317
214;4.46805239
215;0
216;0
217;0
218;0
219;0
220;0
221;1.08837175
222;3.26511526
223;6.53023052
224;10.8837175
225;16.3255768
226;19.5906925
227;19.5906925
228;15.2372055
229;14.1488333
230;15.2372055
231;17.4139481
232;19.5906925
233;20.6790638
234;18.5023212
235;13.060461
236;5.44185877
237;1.08837175
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;1.83304715
247;4.58261824
248;9.16523647
249;14.6643772
250;18.3304729
251;19.2469959
252;15.5809021
253;12.8313303
254;13.7478552
255;15.5809021
256;17.4139481
257;16.4974251
258;12.8313303
259;7.33218861
260;2.74957085
261;0.916523576
262;0
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;1.4893508
271;4.46805239
272;4.46805239
273;5.21272802
274;5.95740318
275;5.95740318
276;6.70207882
277;5.95740318
278;5.95740318
279;6.70207882
280;8.93610477
281;13.4041576
282;17.8722095
283;20.8509121
284;19.3615627
285;11.1701317
286;4.46805239
287;0
288;0
289;0
290;0
291;0
292;0
293;0
294;1.4893508
295;4.46805239
296;4.46805239
297;5.21272802
298;5.95740318
299;5.95740318
300;6.70207882
301;5.95740318
302;5.95740318
303;6.70207882
304;8.93610477
305;13.4041576
306;17.8722095
307;20.8509121
308;19.3615627
309;11.1701317
310;4.46805239
311;0
312;0
313;0
