Index;Wert
0;5.93079758
1;5.68345737
2;5.65869713
3;5.66651678
4;5.67303181
5;6.63322067
6;15.2923737
7;19.9504833
8;21.2333431
9;21.4232216
10;19.6313648
11;17.2489662
12;15.2165174
13;13.8692923
14;12.7037172
15;11.904604
16;11.9132118
17;14.1828365
18;20.9820747
19;22.650425
20;22.2753544
21;21.4116173
22;15.5284901
23;7.71848392
24;6.53926086
25;5.70262909
26;5.68047476
27;5.68308115
28;5.6856885
29;6.6270299
30;15.105464
31;19.6269703
32;20.9320469
33;20.8486423
34;18.7256794
35;16.6894188
36;15.3749142
37;13.421277
38;12.2538128
39;12.0986929
40;11.7965117
41;13.8746691
42;19.9698524
43;22.3791676
44;21.3713665
45;20.9568062
46;14.5251007
47;6.7348876
48;5.60322618
49;4.96207047
50;4.91239214
51;4.86460924
52;4.81350899
53;5.60507584
54;12.497467
55;16.2092533
56;17.4711647
57;17.4618893
58;15.6535616
59;13.9781551
60;12.9866571
61;12.4127207
62;11.3125553
63;9.79226685
64;9.84544373
65;11.9289923
66;17.1381588
67;18.943882
68;18.3360615
69;18.3428288
70;13.175869
71;6.75887966
72;5.36370039
73;5.14737415
74;5.14346457
75;5.14085913
76;5.12782812
77;6.00368452
78;13.5610037
79;17.8168831
80;19.5654697
81;19.5824108
82;17.5535107
83;15.1675463
84;13.5630865
85;12.4979248
86;11.2201262
87;10.5810547
88;10.7761364
89;12.5395813
90;18.5183601
91;20.8123398
92;20.081131
93;19.4859772
94;13.8996954
95;6.24555111
96;5.69167852
97;5.64476538
98;5.72816896
99;5.88063908
100;5.83111763
101;6.50973988
102;14.7794037
103;19.380661
104;20.8736515
105;21.4064732
106;18.6316662
107;16.2319984
108;14.6519089
109;13.3597593
110;12.2535458
111;11.535718
112;11.6763515
113;13.8037682
114;20.6044807
115;22.7680187
116;21.6059208
117;21.1251621
118;14.5269165
119;7.00776577
120;6.21968365
121;5.66062546
122;5.65671682
123;5.65411091
124;5.66453505
125;6.60666704
126;15.1432838
127;20.0457439
128;21.3806553
129;21.4288731
130;19.1313705
131;16.5505638
132;14.9202499
133;13.9380264
134;12.5302258
135;11.7585602
136;12.0251522
137;14.066494
138;20.9353371
139;22.6177425
140;21.4139824
141;21.0926571
142;14.5337658
143;7.35939646
144;5.96920443
145;5.61512613
146;5.46227312
147;5.35671759
148;5.36453581
149;6.2643795
150;14.1658163
151;18.5702991
152;19.8187447
153;20.1406288
154;18.1011925
155;15.6016569
156;13.9896221
157;13.2774324
158;12.6180153
159;11.4829531
160;12.1599503
161;13.3966751
162;18.9345379
163;21.2522392
164;20.9244843
165;19.9021492
166;14.7448025
167;6.54976463
168;4.47453642
169;4.03639984
170;4.0116396
171;4.01945925
172;4.21677065
173;4.78524971
174;11.1943617
175;16.123251
176;16.1206436
177;16.5013199
178;14.6694736
179;13.0102682
180;11.7612381
181;11.5689058
182;11.4979992
183;11.1508236
184;10.8380651
185;11.7518816
