Index;Wert
0;0
1;0
2;0
3;3.75016403
4;27.0453949
5;42.6262054
6;38.1579056
7;36.8337479
8;34.5714264
9;29.5763168
10;28.3142395
11;27.8642426
12;29.5860519
13;25.9014053
14;27.2583694
15;32.5657883
16;43.1348953
17;56.2158203
18;62.8963547
19;61.7640839
20;56.3775635
21;33.3168411
22;0
23;0
24;0
25;0
26;0
27;0.386112213
28;22.6718063
29;37.5746307
30;33.3051758
31;32.1039581
32;29.8584518
33;25.0194244
34;24.0774918
35;24.0256729
36;25.7939072
37;22.2481461
38;23.5615387
39;28.5891037
40;38.6845551
41;51.284668
42;57.7515717
43;56.6804123
44;51.4509201
45;29.0296097
46;0
47;0
48;0
49;0
50;0
51;0
52;3.65385056
53;22.7636337
54;15.3421783
55;12.3143005
56;18.0805359
57;16.3831177
58;17.4535141
59;17.2646179
60;14.2829437
61;9.7143364
62;12.5429535
63;20.2482986
64;32.6002426
65;44.2045593
66;44.7228928
67;34.2077942
68;21.9077225
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;12.7987518
77;33.9389954
78;25.6654205
79;19.6856155
80;23.5103073
81;23.1332932
82;24.3061981
83;25.0912781
84;22.9568405
85;16.3767014
86;19.2693405
87;27.2569504
88;40.4157562
89;51.1846466
90;50.4633026
91;39.3161163
92;29.4031448
93;7.31611252
94;0
95;0
96;0
97;0
98;0
99;0
100;19.3983612
101;33.7130432
102;28.0568924
103;23.8980484
104;23.6062469
105;21.4785614
106;20.5111008
107;20.2554169
108;21.9650574
109;18.6571121
110;19.9801178
111;24.8664169
112;34.7144394
113;47.1953049
114;53.7791138
115;52.9159927
116;47.7439346
117;25.8995056
118;0
119;0
120;0
121;0
122;0
123;0
124;19.7753525
125;34.2126694
126;30.104744
127;28.9891052
128;26.903183
129;22.2189636
130;21.1643829
131;20.852684
132;22.5662689
133;19.2969513
134;20.6802902
135;25.722908
136;35.7039337
137;48.1113586
138;54.5654373
139;53.7097931
140;48.666893
141;26.8896942
142;0
143;0
144;0
145;0
146;0
147;0
148;14.5890961
149;28.0745239
150;22.7897797
151;19.025383
152;19.0134964
153;17.1583328
154;16.072525
155;15.7470322
156;17.326889
157;14.0818558
158;15.3416061
159;20.2396698
160;29.9061127
161;41.8296127
162;47.9339981
163;46.944519
164;42.0032425
165;20.8444824
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0.346309662
174;0
175;0
176;0
177;0
178;0
179;0
180;0
181;0
182;0
183;0
184;4.01088715
185;14.0328522
186;19.9374313
187;20.2656479
188;16.2171326
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;18.9256897
197;33.2723541
198;27.7705994
199;23.7710419
200;23.5734024
201;21.4551086
202;20.4627457
203;20.1270676
204;21.8696289
205;18.3388748
206;19.6557693
207;24.553772
208;34.3632507
209;46.829567
210;53.3262177
211;52.5243912
212;47.6285782
213;25.8711395
214;0
215;0
216;0
217;0
218;0
219;0
220;12.4525757
221;33.4259186
222;25.0768814
223;21.3794174
224;26.9109039
225;24.3100967
226;25.1669159
227;25.0794678
228;22.2269745
229;17.2943268
230;20.3306122
231;28.7067719
232;42.2228012
233;54.97052
234;55.7587967
235;44.7143326
236;31.7141724
237;7.13310242
238;0
239;0
240;0
241;0
242;0
243;0
244;15.9941788
245;38.1399078
246;29.6302261
247;23.4559021
248;27.2874908
249;26.6807709
250;27.8817215
251;28.7735748
252;26.7337494
253;19.7555389
254;22.472229
255;30.5503006
256;44.1036072
257;55.3730011
258;54.7494431
259;43.3219147
260;33.1678314
261;10.2913666
262;0
263;0
264;0
265;0
266;0
267;0
268;14.9557953
269;28.6796417
270;23.4023209
271;19.5402451
272;19.4358597
273;17.5297012
274;16.7213516
275;16.6658249
276;18.4076614
277;15.2010651
278;16.3338242
279;21.0027618
280;30.5872726
281;42.6400833
282;48.9871445
283;48.3333588
284;43.3792267
285;22.1266098
286;0
287;0
288;0
289;0
290;0
291;0.588253021
292;22.8990784
293;37.8060455
294;33.5324478
295;32.4148865
296;30.1514587
297;25.3356171
298;24.3527756
299;24.3049316
300;26.1561813
301;22.5947037
302;24.0125046
303;29.0976486
304;39.2679443
305;51.9143524
306;58.449791
307;57.4775543
308;52.2374725
309;29.8831406
310;0
311;0
