Index;Wert
0;100
1;95.6487732
2;95.5882263
3;94.1275711
4;94.1176529
5;94.1176529
6;94.1176529
7;91.4289627
8;91.0016251
9;90.0223618
10;90.0223618
11;90.0223618
12;89.974884
13;89.7058792
14;88.5906525
15;88.5906525
16;88.5906525
17;88.2352905
18;87.1604614
19;87.0421143
20;86.9868393
21;85.8025742
22;85.6485825
23;85.6485825
24;85.6485825
25;85.3132629
26;84.437973
27;84.3959656
28;83.8235245
29;83.3151321
30;83.2020264
31;83.0537415
32;82.033371
33;82.033371
34;82.033371
35;82.0262909
36;81.9219971
37;81.9219971
38;81.9219971
39;81.7743225
40;81.6338043
41;81.5494385
42;80.8206482
43;80.2955475
44;80.294838
45;80.294838
46;80.294838
47;80.1761703
48;79.3642883
49;78.9010468
50;78.8870087
51;78.4074707
52;78.1880493
53;78.166626
54;78.0819016
55;77.2550278
56;77.20121
57;77.20121
58;77.20121
59;77.1972351
60;76.9640656
61;76.9640656
62;76.9640656
63;76.9062805
64;76.8018723
65;76.5310135
66;76.2929077
67;76.2807693
68;76.1115417
69;76.0992966
70;76.0841599
71;76.0664902
72;76.0664902
73;76.0664902
74;75.8629227
75;75.7001724
76;75.4066925
77;75.2891693
78;75.2764053
79;74.759285
80;74.6958084
81;74.6958084
82;74.6958084
83;74.6640167
84;74.6598663
85;74.2465973
86;74.2465973
87;74.2465973
88;73.7914658
89;73.5824051
90;73.5294113
91;73.3563766
92;73.0609665
93;72.9617767
94;72.9270401
95;72.884903
96;72.7917862
97;72.7536697
98;72.7419662
99;72.7275009
100;72.6562195
101;72.6562195
102;72.6562195
103;72.5008698
104;72.3761368
105;72.3604507
106;72.1538086
107;72.0461426
108;71.9675751
109;71.8050919
110;71.8050919
111;71.8050919
112;71.6789017
113;71.6343918
114;71.6343918
115;71.6343918
116;71.6228638
117;71.6228638
118;71.6228638
119;71.6086273
120;71.6086273
121;71.6086273
122;71.5344543
123;71.5125885
124;71.4892426
125;71.4838409
126;71.4610825
127;71.3700027
128;71.3660431
129;71.3123322
130;71.2472229
131;71.2472229
132;71.2472229
133;71.1944351
134;71.0622101
135;70.8603897
136;70.8603897
137;70.8603897
138;70.7662811
139;70.3616791
140;70.3616791
141;70.3616791
142;70.3299789
143;70.2720108
144;70.2720108
145;70.2720108
146;70.2681122
147;70.2681122
148;70.2681122
149;70.0455017
150;70.0273132
151;69.6693878
152;69.6061783
153;69.5803757
154;69.2504578
155;69.2114487
156;69.1397324
157;68.86763
158;68.7573318
159;68.617424
160;68.5975571
161;68.5975571
162;68.5975571
163;68.5461121
164;68.5165863
165;68.5099106
166;68.5099106
167;68.5099106
168;68.455864
169;68.4392242
170;68.3785172
171;68.3352966
172;68.3301392
173;68.2765274
174;68.2655411
175;68.251976
176;68.1152039
177;67.9767761
178;67.9271011
179;67.9075089
180;67.8081207
181;67.8081207
182;67.8081207
183;67.7467117
184;67.6470566
185;67.5388107
186;67.4624939
187;67.4624939
