Index;Wert
0;11.6639996
1;11.6330004
2;11.6029997
3;11.5459995
4;11.4860001
5;11.4259996
6;11.3660002
7;11.3039999
8;11.2440004
9;11.1520004
10;11.4280005
11;11.8739996
12;12.0860004
13;12.2220001
14;12.2939997
15;12.2379999
16;12.1230001
17;11.9980001
18;11.8880005
19;11.7980003
20;11.7840004
21;11.7939997
22;11.7559996
23;11.7399998
24;11.7299995
25;11.7200003
26;11.7019997
27;11.6879997
28;11.6689997
29;11.6400003
30;11.632
31;11.6289997
32;11.6490002
33;11.6440001
34;11.6719999
35;11.7200003
36;11.8360004
37;11.9499998
38;12.0060005
39;12.0419998
40;12.0579996
41;12.0600004
42;12.0760002
43;12.1000004
44;12.092
45;12.0819998
46;12.0799999
47;12.0860004
48;12.0679998
49;12.0500002
50;12.0419998
51;12.026
52;11.9960003
53;11.9399996
54;11.974
55;11.9359999
56;11.9099998
57;11.8900003
58;11.96
59;12.1440001
60;12.2320004
61;12.2700005
62;12.2840004
63;12.2880001
64;12.2040005
65;12.1079998
66;11.9939995
67;11.9099998
68;11.79
69;11.71
70;11.6920004
71;11.6820002
72;11.658
73;11.6040001
74;11.5679998
75;11.5559998
76;11.566
77;11.618
78;11.6750002
79;11.6949997
80;11.7460003
81;11.7779999
82;11.908
83;12.0340004
84;12.1260004
85;12.1280003
86;12.1029997
87;12.1020002
88;12
89;11.9040003
90;11.8299999
91;11.7419996
92;11.7320004
93;11.6969995
94;11.6800003
95;11.6440001
96;11.5760002
97;11.4899998
98;11.3839998
99;11.2980003
100;11.2559996
101;11.2460003
102;11.3559999
103;11.4919996
104;11.6210003
105;11.6090002
106;11.7259998
107;11.9779997
108;12.1090002
109;12.0880003
110;12.0819998
111;12.0939999
112;12.0559998
113;11.8660002
114;11.6879997
115;11.658
116;11.7360001
117;11.6940002
118;11.6709995
119;11.6569996
120;11.6429996
121;11.618
122;11.5780001
123;11.5200005
124;11.4659996
125;11.4239998
126;11.4399996
127;11.4860001
128;11.4180002
129;11.4379997
130;11.632
131;11.9399996
132;12.0740004
133;11.9980001
134;11.9399996
135;11.8219995
136;11.6990004
137;11.632
138;11.5959997
139;11.5340004
140;11.46
141;11.2639999
142;11.2340002
143;11.2259998
144;11.3459997
145;11.3059998
146;11.3500004
147;11.3000002
148;11.2639999
149;11.342
150;11.368
151;11.3179998
152;11.2779999
153;11.2720003
154;11.5900002
155;11.9119997
156;12.1160002
157;12.1660004
158;12.1549997
159;11.9399996
160;11.691
161;11.6529999
162;11.8540001
163;12.151
164;12.1850004
165;12.1669998
166;12.1300001
167;12.0640001
168;11.9879999
169;11.9040003
170;11.9300003
171;11.9659996
172;11.9399996
173;11.868
174;11.8540001
175;11.7799997
176;11.7279997
177;11.6549997
178;11.7419996
179;12.066
180;12.191
181;12.3260002
182;12.3780003
183;12.3640003
184;12.1960001
185;12.0699997
186;11.9779997
187;11.9420004
188;12
189;11.948
190;11.8800001
191;11.8199997
192;11.6859999
193;11.6999998
194;11.724
195;11.7480001
196;11.7220001
197;11.6789999
198;11.6350002
199;11.6119995
200;11.6470003
201;11.6260004
202;11.7679996
203;12.1000004
204;12.198
205;12.3999996
206;12.3999996
207;12.3999996
208;12.3999996
209;12.224
210;12.1330004
211;12.0419998
212;11.8439999
213;11.7159996
214;11.6529999
215;11.6090002
216;11.5760002
217;11.6059999
218;11.6059999
219;11.6569996
220;11.7700005
221;11.9540005
222;12.1000004
223;12.1400003
224;12.0340004
225;12.1269999
226;12.1759996
227;12.2580004
228;12.3780003
229;12.3999996
230;12.3999996
231;12.3439999
232;12.21
233;12.1210003
234;12.0220003
235;11.8979998
236;11.948
237;11.9200001
238;11.9619999
239;12.0039997
240;12.0120001
241;11.9799995
242;12
243;11.9820004
244;11.9139996
245;11.8299999
246;11.7860003
247;11.7559996
248;11.6700001
249;11.6049995
250;11.6099997
251;11.6289997
252;11.6929998
253;11.9359999
254;12.1669998
255;12.3280001
256;12.2919998
257;12.1709995
258;12.1169996
259;12.0740004
260;12.0860004
261;12.0080004
262;11.9860001
263;11.948
264;11.8999996
265;11.8959999
266;11.7480001
267;11.7299995
268;11.7419996
269;11.7119999
270;11.6800003
271;11.691
272;11.724
273;11.7200003
274;11.7460003
275;11.7980003
276;11.8500004
277;11.8380003
278;11.9659996
279;12.0179996
280;11.9200001
281;11.8240004
282;11.8000002
283;11.7259998
284;11.7399998
285;11.691
286;11.6750002
287;11.6520004
288;11.6070004
289;11.6129999
290;11.6140003
291;11.6160002
292;11.6110001
293;11.6040001
294;11.5900002
295;11.4960003
296;11.5299997
297;11.4919996
298;11.5579996
299;11.6020002
300;11.6370001
301;11.7620001
302;11.7159996
303;11.7019997
304;11.6569996
305;11.6269999
306;11.5780001
307;11.4960003
308;11.4919996
309;11.3900003
310;11.3039999
311;11.2040005
312;11.0860004
313;11.0019999
314;10.934
315;10.8529997
316;10.7299995
317;10.6000004
318;10.5179996
319;10.4139996
320;10.7299995
321;10.6660004
322;11.0240002
323;11.4560003
324;11.6940002
325;11.8780003
326;11.9759998
327;11.9499998
328;11.802
329;11.6549997
330;11.5340004
331;11.4860001
332;11.4259996
333;11.3879995
334;11.3260002
335;11.2939997
336;11.29
337;11.3039999
338;11.3800001
339;11.3760004
340;11.3360004
341;11.2139997
342;11.1400003
343;11.1000004
344;11.1099997
345;11.0839996
346;11.0900002
347;11.1459999
348;11.1759996
349;11.1400003
350;11.1160002
351;11.0900002
352;11.0900002
353;11.0719995
354;11.052
355;11.0340004
356;11.0360003
357;11.0039997
358;10.9639997
359;10.9130001
360;10.8710003
361;10.8500004
362;10.8199997
363;10.8619995
364;10.8470001
365;10.823
366;10.8050003
367;10.7209997
368;10.7419996
369;10.8109999
370;10.9280005
371;11.0279999
372;11.1239996
373;11.2159996
374;11.2040005
375;11.184
376;11.0780001
377;11
378;10.9460001
379;10.8889999
380;10.9759998
381;10.9370003
382;10.8470001
383;10.6960001
384;10.6400003
385;10.6000004
386;10.4940004
387;10.4160004
388;10.3940001
389;10.3579998
390;10.3360004
391;10.3459997
392;10.4200001
393;10.5139999
394;10.5880003
395;10.6540003
396;10.6920004
397;10.7659998
398;10.7989998
399;10.7089996
400;10.6059999
401;10.4139996
402;10.2779999
403;10.0360003
404;9.93799973
405;10.3079996
406;10.2819996
407;10.2399998
408;10.1499996
409;10.0380001
410;9.75800037
411;9.63300037
412;9.60000038
413;9.61100006
414;9.60000038
415;9.60000038
416;9.60000038
417;9.60000038
418;9.61400032
419;9.81599998
420;10.0200005
421;10.1879997
422;10.2919998
423;10.3140001
424;10.158
425;9.75199986
426;9.69999981
427;9.6619997
428;9.51200008
429;9.48200035
430;9.34300041
431;9.1239996
432;8.98200035
433;8.93200016
434;8.93599987
435;8.91399956
436;8.92000008
437;8.90200043
438;9.02200031
439;9.09200001
440;9.42800045
441;9.60000038
