Index;Wert
0;4.04622841
1;1.58676052
2;1.53559947
3;1.55130839
4;1.58146393
5;1.83161974
6;4.30988026
7;5.35622835
8;5.20481777
9;5.81227303
10;6.73280668
11;6.1788311
12;4.5912199
13;3.49641514
14;3.48985481
15;3.28432107
16;3.10841966
17;4.33412218
18;7.04671717
19;5.82976627
20;7.06260538
21;5.9234705
22;7.73875189
23;5.62696266
24;3.36990356
25;1.61596012
26;1.56745315
27;1.56850755
28;1.58899558
29;1.84320796
30;4.37284184
31;5.30895853
32;5.38324547
33;5.12278605
34;5.0526824
35;5.32812309
36;5.79184532
37;3.43972397
38;3.33212781
39;4.5008626
40;3.31201887
41;4.06986332
42;5.31695652
43;5.62828445
44;5.5007658
45;5.39299154
46;6.15276575
47;3.85111475
48;3.09099483
49;1.74217868
50;1.62983251
51;1.52865291
52;1.42670333
53;1.63417757
54;3.38019395
55;4.37844801
56;5.19603443
57;5.25333881
58;4.53206062
59;4.03979111
60;4.80974674
61;5.01741791
62;4.63014889
63;3.03288221
64;3.04966402
65;4.3487215
66;5.91614914
67;6.13563728
68;6.48754835
69;6.99080324
70;6.25559425
71;4.95525169
72;1.788311
73;1.54022419
74;1.52500975
75;1.51669574
76;1.49425113
77;1.72547948
78;3.59378147
79;4.96319103
80;5.68108463
81;5.51625729
82;5.49422121
83;4.63624048
84;4.29126215
85;3.59818912
86;3.27812767
87;2.99252367
88;3.24438238
89;3.79772472
90;5.90674877
91;6.28912306
92;6.3250103
93;5.67639351
94;6.87913799
95;3.0867753
96;1.64542198
97;1.64603877
98;1.6490947
99;1.63436759
100;1.6611414
101;1.92701817
102;4.24479532
103;5.42887878
104;5.69351959
105;6.63723087
106;5.41426325
107;5.19216394
108;5.06784058
109;3.70989108
110;3.38414884
111;3.25210857
112;3.22187686
113;4.0310688
114;6.63982725
115;6.48329306
116;5.97004795
117;5.58432484
118;6.01259232
119;4.37329102
120;2.32099366
121;1.63731813
122;1.64353716
123;1.63612032
124;1.67511117
125;1.90945315
126;4.27001667
127;5.84725475
128;5.93317747
129;5.53796387
130;5.30670309
131;4.87085485
132;5.5057869
133;4.2336216
134;3.93187618
135;3.56787205
136;3.56905484
137;4.34527016
138;7.09416866
139;5.94397497
140;5.41895056
141;5.4168787
142;5.757658
143;5.36402035
144;2.6450634
145;1.89357591
146;1.64242387
147;1.61329949
148;1.64945459
149;1.88986075
150;4.06750679
151;5.37684298
152;5.27430296
153;5.66908455
154;5.62466621
155;4.92769337
156;4.30886221
157;4.48487568
158;5.66399193
159;4.42241812
160;5.33207893
161;4.63322973
162;5.49138594
163;5.91834164
164;7.12776566
165;5.61901379
166;8.08629513
167;4.16148806
168;1.90605533
169;1.33487344
170;1.28371251
171;1.29942131
172;1.37853086
173;1.55830824
174;3.72034597
175;5.19732857
176;4.92998791
177;5.48702908
178;5.77043343
179;4.97138739
180;4.14651203
181;3.31790042
182;3.55203915
183;3.44237852
184;3.1940639
185;4.13214874
186;6.3478651
187;5.16403723
188;6.11898422
189;4.81569624
190;5.70012569
191;4.92354679
192;3.33368254
193;1.57973933
194;1.53123236
195;1.53228676
196;1.55277479
197;1.80059505
198;4.27483273
199;5.30895853
200;5.38324547
201;5.12278605
202;5.0526824
203;4.71398926
204;5.69809723
205;3.35236764
206;3.25329423
207;4.42629004
208;3.2353158
209;3.98037672
210;5.31695652
211;5.62828445
212;5.5007658
213;5.39299154
214;6.07865715
215;3.26666021
216;3.1207912
217;1.77197492
218;1.65962875
219;1.55844927
220;1.45649958
221;1.66923201
222;3.46081901
223;4.48361158
224;5.29284382
225;5.27408838
226;4.73740482
227;4.1274271
228;4.88686657
229;5.08927917
230;4.69499969
231;3.09422779
232;3.11276197
233;4.4223361
234;6.02306509
235;6.13563728
236;6.48754835
237;7.06984234
238;6.59041309
239;4.98680067
240;1.7688818
241;1.52079499
242;1.50558054
243;1.49726653
244;1.47482193
245;1.7026217
246;3.54120851
247;4.89461803
248;5.68108463
249;5.51625729
250;5.49422121
251;4.37239933
252;4.2409749
253;3.55133057
254;3.2358408
255;2.95252252
256;3.20323801
257;3.74972296
258;5.90674877
259;6.28912306
260;6.3250103
261;5.67639351
262;6.54316807
263;3.06620312
264;1.59646451
265;1.5970813
266;1.60013723
267;1.58541012
268;1.61218393
269;1.86942124
270;4.11232233
271;5.42887878
272;5.69351959
273;6.63723087
274;5.41426325
275;4.73047066
276;4.5768199
277;3.59181714
278;3.27759433
279;3.15131378
280;3.11820197
281;3.91011524
282;6.63982725
283;6.48329306
284;5.97004795
285;5.58432484
286;6.01259232
287;3.70106626
288;2.34004235
289;1.65636659
290;1.66258574
291;1.65516889
292;1.69415975
293;1.93186307
294;4.32155943
295;5.84725475
296;5.93317747
297;5.53796387
298;5.30670309
299;4.87085485
300;5.56719875
301;4.5834403
302;3.97333431
303;3.60708976
304;3.60939288
305;4.39233112
306;7.09416866
307;5.94397497
308;5.41895056
309;5.4168787
310;5.757658
311;5.43183708
312;2.72006989
313;1.90634584
314;1.65519369
315;1.62606931
316;1.72446084
317;1.93415785
318;4.21907663
319;5.37684298
320;5.27430296
321;5.66908455
322;5.62466621
323;5.05706501
324;5.49269533
325;5.5068469
326;6.46781731
327;5.30895281
328;6.14614105
329;5.19916391
330;5.49138594
331;5.91834164
332;7.12776566
333;5.61901379
334;6.90519619
335;3.73189855
336;2.42344809
337;1.90122008
338;1.85005903
339;1.86576796
340;1.89592361
341;2.20157194
342;5.16077042
343;5.35622835
344;5.20481777
345;5.81227303
346;6.73280668
347;6.32539129
348;5.77767754
349;4.91667318
350;5.04993963
351;3.9317379
352;3.77433372
353;5.11102247
354;7.04671717
355;5.82976627
356;7.06260538
357;5.9234705
358;7.73875189
359;6.97308922
360;3.74196672
361;1.98802352
362;1.93951654
363;1.94057095
364;1.96105897
365;2.28092933
366;5.28761244
367;5.30895853
368;5.38324547
369;5.12278605
370;5.0526824
371;5.40618896
372;6.96784687
373;4.85023928
374;5.0498085
375;5.53470612
376;4.09991789
377;4.989079
378;5.31695604
379;5.62828445
380;5.5007658
381;5.39299154
382;6.15276575
383;5.34334803
384;3.75805759
385;2.4092412
386;2.29689503
387;2.19571567
388;2.09376574
389;2.418957
390;4.84113026
391;4.86502028
392;5.29284382
393;5.27408838
394;5.03999233
395;5.07293463
396;6.28492308
397;6.72311783
398;6.6115222
399;5.1425848
400;4.99606419
401;5.91419744
402;6.20545244
403;6.13563728
404;6.48754835
405;7.06984234
406;7.85198021
407;7.59879351
408;2.72550964
409;2.47742271
410;2.46220827
411;2.45389438
412;2.43144965
413;2.82806587
414;4.81331444
415;5.14427662
416;5.68108463
417;5.51625729
418;5.49422121
419;4.88858366
420;5.48336601
421;5.04112101
422;5.02073812
423;4.895401
424;5.03584337
425;5.10838556
426;5.90674877
427;6.28912306
428;6.3250103
429;5.67639351
430;7.12416744
431;6.01634264
432;2.39873505
433;2.39935184
434;2.40240765
435;2.38768053
436;2.41445446
437;2.81326866
438;5.08831549
439;5.42887878
440;5.69351959
441;6.63723087
442;5.41426325
443;5.19216394
444;5.81138229
445;5.05690098
446;5.04451847
447;5.06087875
448;4.92332458
449;5.2210722
450;6.63982725
451;6.48329306
452;5.97004795
453;5.58432484
454;6.01259232
455;6.328578
456;2.9707675
457;2.28709173
458;2.29331088
459;2.28589392
460;2.32488513
461;2.67389274
462;5.01817608
463;5.84725475
464;5.93317747
465;5.53796387
466;5.30670309
467;4.87085485
468;5.56719875
469;5.49563599
470;5.51554298
471;5.30408478
472;5.19587231
473;5.44820499
474;7.09416866
475;5.94397497
476;5.41895056
477;5.4168787
478;5.757658
479;7.1215229
480;3.09976101
481;2.34827352
482;2.09712124
483;2.06799698
484;2.10415196
485;2.42479873
486;4.99046469
487;5.37684298
488;5.27430296
489;5.66908455
490;5.62466621
491;5.05706501
492;5.49269533
493;5.90268898
494;7.38825798
495;6.18477249
496;6.29496765
497;5.75659943
498;5.49138546
499;5.91834164
500;7.12776566
501;5.61901379
502;8.08629513
503;5.9920907
504;2.75931382
505;2.23708582
506;2.18592501
507;2.20163369
508;2.23178935
509;2.5967083
510;5.2355814
511;5.35622835
512;5.20481777
513;5.81227303
514;6.73280668
515;6.32539129
516;5.77767754
517;4.91667318
518;5.21632719
519;5.1556201
520;4.8741827
521;5.59916067
522;7.04671717
523;5.82976627
524;7.06260538
525;5.9234705
526;7.73875189
527;7.77575874
528;3.42133904
529;1.66739583
530;1.61888885
531;1.61994326
532;1.64043128
533;1.90372038
534;4.51202106
535;5.30895853
536;5.38324547
537;5.12278605
538;5.0526824
539;5.40618896
540;6.71020889
541;3.56377411
542;3.4440763
543;4.60675907
544;3.42094135
545;4.19693947
546;5.31695652
547;5.62828445
548;5.5007658
549;5.39299154
550;6.15276575
551;4.20184708
552;3.33812428
553;1.989308
554;1.87696183
555;1.77578235
556;1.67383265
557;1.92491806
558;4.04889679
559;4.86502028
560;5.29284382
561;5.27408838
562;5.03999233
563;5.07293463
564;6.28492308
565;6.38215065
566;5.16801882
567;3.54167843
568;3.57299709
569;4.9592762
570;6.20545244
571;6.13563728
572;6.48754835
573;7.06984234
574;7.85198021
575;6.17216206
576;1.56015778
577;1.26650965
578;1.25129521
579;1.2429812
580;1.2660979
581;1.42489302
582;2.9388063
583;4.47136831
584;5.13330698
585;5.1391716
586;4.59125376
587;3.53770518
588;3.77569866
589;3.33730507
590;3.25050545
591;3.0587523
592;3.24090505
593;3.51269579
594;5.01148415
595;5.39385843
596;5.16022873
597;4.35792351
598;4.91885614
599;2.8344779
600;1.11565399
601;1.08143342
602;1.08448935
603;1.06976223
604;1.13137341
605;1.27916288
606;2.78254056
607;4.12652779
608;4.27523899
609;5.15441895
610;3.46371937
611;2.96292186
612;3.38967776
613;2.65347242
614;2.58969164
615;2.5712142
616;2.46678257
617;2.93528748
618;4.92457199
619;4.80116081
620;4.08060646
621;3.55896282
622;3.31047463
623;3.02458191
624;1.72093105
625;1.03725541
626;1.04347456
627;1.03605771
628;1.07504857
629;1.20349705
630;2.64631748
631;4.18153811
632;4.31543112
633;3.82084942
634;3.25307894
635;2.53040576
636;2.99746084
637;2.78641176
638;2.62585711
639;2.33244896
640;2.29833412
641;2.86276269
642;5.37005854
643;4.53981256
644;3.85874033
645;3.74944806
646;3.18006754
647;3.8609271
648;2.2293992
649;1.47791159
650;1.22675943
651;1.19763517
652;1.23379016
653;1.40084386
654;2.9427681
655;4.13394547
656;4.10756397
657;4.40297747
658;3.97272062
659;3.0689652
660;3.23302507
661;3.48239136
662;4.75931072
663;3.56663847
664;4.45184898
665;3.60629416
666;4.19714212
667;4.9933753
668;6.02560997
669;4.40259075
670;5.81172562
671;3.22701335
672;1.72788763
673;1.1651895
674;1.11402845
675;1.12973738
676;1.20036316
677;1.3546896
678;3.24525023
679;4.51014137
680;4.24280071
681;4.79135895
682;5.17656612
683;4.44538975
684;3.67141652
685;2.83432126
686;3.07694364
687;2.97576642
688;2.72745156
689;3.6400857
690;5.73703098
691;4.55320263
692;5.55056858
693;4.26424789
694;5.30138302
695;4.73689556
696;3.18467379
697;1.43073058
698;1.38222361
699;1.38327801
700;1.40376604
701;1.62529087
702;3.87163258
703;4.89003992
704;5.09541702
705;4.7355895
706;4.1835165
707;4.10473824
708;5.31242752
709;2.99299359
710;2.9289813
711;4.11950779
712;2.91976833
713;3.61223769
714;4.860425
715;5.62828445
716;5.30003119
717;5.05547905
718;4.46871424
719;3.10888648
720;3.12520361
721;1.77638745
722;1.66404128
723;1.56286168
724;1.46091211
725;1.67442322
726;3.47275901
727;4.49918509
728;5.29284382
729;5.27408838
730;4.78487206
731;4.14040518
732;4.8982873
733;5.09992123
734;4.7046032
735;3.10331202
736;3.12210608
737;4.43323755
738;6.03889799
739;6.13563728
740;6.48754787
741;7.06984234
742;6.65157127
743;4.99147272
744;1.83682561
745;1.59541607
746;1.58027625
747;1.57201898
748;1.55036688
749;1.79268479
750;3.75773382
751;5.12677145
752;5.64875746
753;5.48848104
754;5.46705341
755;4.87813807
756;5.09275627
757;3.73894191
758;3.40424657
759;3.11436057
760;3.36664438
761;3.94121099
762;5.86819077
763;6.2400074
764;6.27490377
765;5.64419556
766;7.05199528
767;3.84995842
768;1.75357091
769;1.75403357
770;1.7570051
771;1.7426846
772;1.76926792
773;2.05648661
