Index;Wert
0;3.98920012
1;3.90240002
2;3.81839991
3;3.82529998
4;3.84229994
5;3.8592999
6;3.8763001
7;3.89386678
8;3.91086674
9;3.93693328
10;3.85873342
11;4.33360004
12;4.63040018
13;4.96080017
14;5.06159973
15;4.98320007
16;4.71439981
17;4.50719976
18;4.35319996
19;4.22720003
20;4.20760012
21;4.22160006
22;4.16839981
23;4.14599991
24;4.13199997
25;4.11800003
26;4.09280014
27;4.05639982
28;4.00320005
29;3.92199993
30;3.89960003
31;3.89120007
32;3.94720006
33;3.93320012
34;4.01160002
35;4.11800003
36;4.2803998
37;4.44000006
38;4.51840019
39;4.56879997
40;4.59119987
41;4.59399986
42;4.61640024
43;4.6500001
44;4.63880014
45;4.62479973
46;4.62200022
47;4.63040018
48;4.60519981
49;4.57999992
50;4.56879997
51;4.54640007
52;4.50439978
53;4.42600012
54;4.47359991
55;4.42040014
56;4.38399982
57;4.35599995
58;4.454
59;4.77320004
60;4.97480011
61;5.02799988
62;5.04759979
63;5.05320024
64;4.9355998
65;4.6724
66;4.50159979
67;4.38399982
68;4.21600008
69;4.10400009
70;4.06760025
71;4.0395999
72;3.97239995
73;3.82119989
74;3.81906676
75;3.82246661
76;3.81963325
77;3.86039996
78;4.01999998
79;4.07600021
80;4.15439987
81;4.19920015
82;4.38119984
83;4.55760002
84;4.72280025
85;4.72840023
86;4.65840006
87;4.65560007
88;4.51000023
89;4.37559986
90;4.27199984
91;4.1487999
92;4.13479996
93;4.08160019
94;4.03399992
95;3.93320012
96;3.81680012
97;3.84116673
98;3.87120008
99;3.8955667
100;3.90746665
101;3.91030002
102;3.87913322
103;3.84060001
104;3.86879992
105;3.83520007
106;4.12639999
107;4.47919989
108;4.67519999
109;4.63320017
110;4.62479973
111;4.64160013
112;4.58839989
113;4.32240009
114;4.05639982
115;3.97239995
116;4.14039993
117;4.07320023
118;4.00880003
119;3.96959996
120;3.93040013
121;3.86039996
122;3.8162334
123;3.83266664
124;3.84796667
125;3.85986662
126;3.85533333
127;3.84229994
128;3.86156678
129;3.85590005
130;3.89960003
131;4.42600012
132;4.61359978
133;4.50719976
134;4.42600012
135;4.26079988
136;4.08720016
137;3.89960003
138;3.81113338
139;3.82870007
140;3.8496666
141;3.9052
142;3.9137001
143;3.91596675
144;3.88196659
145;3.89330006
146;3.88083339
147;3.89499998
148;3.9052
149;3.88310003
150;3.87573338
151;3.88989997
152;3.90123343
153;3.90293336
154;3.81283331
155;4.38679981
156;4.6947999
157;4.83479977
158;4.8039999
159;4.42600012
160;4.06480026
161;3.95840001
162;4.30560017
163;4.79279995
164;4.88800001
165;4.83760023
166;4.73400021
167;4.59959984
168;4.47453642
169;4.03639984
170;4.0116396
171;4.01945925
172;4.21677065
173;4.32520008
174;4.30560017
