Index;Wert
0;2.29970002
1;5.38772488
2;5.38772488
3;5.38772488
4;5.38772488
5;6.33850002
6;14.5785494
7;19.0154991
8;20.2832012
9;20.2832012
10;18.064724
11;15.8462496
12;13.9447002
13;12.993926
14;11.7262259
15;11.0923748
16;11.4092999
17;13.3108492
18;19.3324261
19;21.5508995
20;20.6001244
21;20.2832012
22;13.6277752
23;5.70464993
24;5.40540504
25;5.40540504
26;5.40540504
27;5.40540504
28;5.40540504
29;6.35929966
30;14.6263895
31;19.0778999
32;20.349762
33;20.349762
34;18.1240063
35;15.8982496
36;13.9904604
37;13.0365658
38;11.7647047
39;11.1287756
40;11.4467392
41;13.3545303
42;19.3958645
43;21.6216202
44;20.6677246
45;20.349762
46;13.6724949
47;5.7233696
48;4.77400827
49;4.77400827
50;4.77400827
51;4.77400827
52;4.77400827
53;5.61647987
54;12.9179039
55;16.8494396
56;17.9727364
57;17.9727364
58;16.0069675
59;14.0412006
60;12.3562555
61;11.5137844
62;10.3904886
63;9.82884026
64;10.109663
65;11.7946072
66;17.1302643
67;19.0960331
68;18.2535591
69;17.9727364
70;12.0754328
71;5.0548315
72;5.18629265
73;5.18629265
74;5.18629265
75;5.18629265
76;5.18629265
77;6.10152006
78;14.0334959
79;18.3045597
80;19.5248661
81;19.5248661
82;17.3893318
83;15.2537994
84;13.4233437
85;12.5081158
86;11.2878122
87;10.67766
88;10.9827356
89;12.8131914
90;18.6096363
91;20.7451706
92;19.8299389
93;19.5248661
94;13.118269
95;5.49136782
96;5.52064848
97;5.52064848
98;5.52064848
99;5.52064848
100;5.52064848
101;6.49487972
102;14.9382238
103;19.4846382
104;20.783617
105;20.783617
106;18.5104084
107;16.2371998
108;14.2887363
109;13.3145037
110;12.0155287
111;11.3660402
112;11.6907835
113;13.6392479
114;19.8093853
115;22.0825939
116;21.1083603
117;20.783617
118;13.9639921
119;5.84539175
120;5.67488909
121;5.67488909
122;5.67488909
123;5.67488909
124;5.67488909
125;6.67633963
126;15.3555822
127;20.0290203
128;21.3642883
129;21.3642883
130;19.0275688
131;16.6908493
132;14.6879482
133;13.6864967
134;12.3512297
135;11.6835947
136;12.0174112
137;14.0203133
138;20.3628387
139;22.6995564
140;21.698103
141;21.3642883
142;14.3541317
143;6.00870562
144;5.39216232
145;5.39216232
146;5.39216232
147;5.39216232
148;5.39216232
149;6.34371996
150;14.5905552
151;19.0311604
152;20.2999039
153;20.2999039
154;18.0796013
155;15.8592997
156;13.9561834
157;13.0046263
158;11.7358818
159;11.10151
160;11.4186954
161;13.3218117
162;19.3483448
163;21.5686493
164;20.6170902
165;20.2999039
166;13.638998
167;5.70934772
