Index;Wert
0;5.5767746
1;2.71942329
2;2.69816637
3;2.71690702
4;2.75797439
5;3.22251034
6;5.46113968
7;5.5559535
8;5.37954235
9;5.44670486
10;6.30044365
11;6.02055073
12;5.31710529
13;4.67704344
14;4.98703909
15;4.65325308
16;5.1081233
17;5.88808584
18;7.29164219
19;6.03869152
20;7.26593065
21;6.13079548
22;7.93087721
23;6.36475897
24;4.44389009
25;2.68746018
26;2.63895321
27;2.65128541
28;2.70009041
29;3.18988514
30;5.56023216
31;5.58625078
32;5.62960529
33;5.29735231
34;5.26409054
35;5.3267746
36;6.56274557
37;4.54796314
38;5.19232464
39;6.50116444
40;5.34007549
41;5.63864613
42;5.63708162
43;5.95800972
44;5.82729101
45;5.71551657
46;6.47449064
47;4.5230422
48;4.06387138
49;2.71220064
50;2.59699965
51;2.49296546
52;2.39672518
53;2.76296782
54;5.12045574
55;5.12914515
56;5.54656887
57;5.15765095
58;4.70876122
59;4.53473186
60;5.00371218
61;6.1295867
62;5.07521486
63;2.88375807
64;4.80572128
65;6.23167372
66;6.49277735
67;6.38936234
68;6.69327354
69;7.24356747
70;8.03351879
71;6.01852369
72;2.87572002
73;2.67639828
74;2.65825987
75;2.6465106
76;2.62750125
77;3.02071047
78;5.02021122
79;5.32137632
80;5.86920977
81;5.22099352
82;4.30338097
83;2.64436793
84;4.85960245
85;4.85814953
86;4.5681324
87;4.72037745
88;5.26946545
89;5.35971069
90;6.12847424
91;6.4756484
92;6.50753546
93;5.85054016
94;7.3235693
95;4.3019824
96;2.83876204
97;2.83665109
98;2.8397069
99;2.82497978
100;2.86266541
101;3.34733629
102;5.30970716
103;5.70693731
104;5.98332787
105;6.03942013
106;4.76733017
107;4.7138586
108;4.28117847
109;4.90703726
110;5.14263153
111;5.16846609
112;5.16532087
113;5.45719719
114;6.8273015
115;6.71589851
116;6.1541729
117;5.76290321
118;6.22550631
119;4.88042736
120;3.49840593
121;2.83798814
122;2.86317444
123;2.85575747
124;2.90566015
125;3.3639183
126;5.2745676
127;6.12281322
128;6.18040276
129;4.84128523
130;4.46261406
131;4.60994339
132;3.809587
133;5.0532999
134;4.59424448
135;5.20989513
136;5.29226589
137;5.7208252
138;7.41556072
139;6.23953342
140;5.68367577
141;5.59993649
142;5.92821598
143;5.87967682
144;3.81422496
145;3.06000972
146;2.80885744
147;2.77973318
148;2.82679987
149;3.28173375
150;5.21685648
151;5.58240128
152;5.46319485
153;4.8451128
154;3.99841094
155;4.00672817
156;5.09324741
157;5.86715555
158;7.45766163
159;5.9932394
160;7.2646904
161;6.13599777
162;5.72271109
163;6.1712966
164;7.33122396
165;5.84851313
166;8.37048721
167;4.88275433
168;2.82467842
169;2.21426344
170;2.16310239
171;2.17881131
172;2.30461311
173;2.62695384
174;5.46690655
175;5.55795336
176;5.38574219
177;5.05748606
178;5.00513363
179;3.72256088
180;3.77425337
181;3.26254225
182;3.96969199
183;4.56852102
184;4.3973341
185;5.91688585
186;7.32764244
187;6.09629154
188;7.35233068
189;6.19239569
190;7.6761117
191;5.96842527
192;4.3933239
193;2.62405038
194;2.5755434
