Index;Wert
0;0.0579862855
1;0.0434897132
2;0.0434897132
3;0.0434897132
4;0.101475991
5;0.289931417
6;1.0147599
7;1.59462285
8;1.08724284
9;0.652345717
10;0.434897125
11;0.434897125
12;0.507379949
13;0.434897125
14;0.362414271
15;0.362414271
16;0.507379949
17;0.797311425
18;1.15972567
19;1.30469143
20;1.15972567
21;0.86979425
22;0.652345717
23;0.579862833
24;0.0579862855
25;0.0434897132
26;0.0434897132
27;0.0434897132
28;0.101475991
29;0.289931417
30;1.0147599
31;1.59462285
32;1.08724284
33;0.652345717
34;0.434897125
35;0.434897125
36;0.507379949
37;0.434897125
38;0.362414271
39;0.362414271
40;0.507379949
41;0.797311425
42;1.15972567
43;1.30469143
44;1.15972567
45;0.86979425
46;0.652345717
47;0.579862833
48;0.0998652652
49;0.0832210556
50;0.0665768459
51;0.0499326326
52;0.0832210556
53;0.166442111
54;0.332884222
55;0.665768445
56;1.24831581
57;1.5812
58;1.41475797
59;1.08187377
60;0.832210541
61;0.665768445
62;0.582547426
63;0.582547426
64;0.748989463
65;0.998652697
66;1.24831581
67;1.24831581
68;1.16509485
69;0.86549896
70;0.582547426
71;0.249663174
72;0.127784595
73;0.109529644
74;0.0730197653
75;0.0547648221
76;0.0730197653
77;0.127784595
78;0.273824126
79;0.547648251
80;1.0952965
81;1.64294469
82;1.73421943
83;1.3691206
84;1.00402176
85;0.821472347
86;0.730197668
87;0.638922989
88;0.821472347
89;1.0952965
90;1.3691206
91;1.3691206
92;1.18657124
93;0.912747085
94;0.620667994
95;0.456373543
96;0.0579862855
97;0.0434897132
98;0.0434897132
99;0.0434897132
100;0.101475991
101;0.289931417
102;1.0147599
103;1.59462285
104;1.08724284
105;0.652345717
106;0.434897125
107;0.434897125
108;0.507379949
109;0.434897125
110;0.362414271
111;0.362414271
112;0.507379949
113;0.797311425
114;1.15972567
115;1.30469143
116;1.15972567
117;0.86979425
118;0.652345717
119;0.579862833
120;0.0579862855
121;0.0434897132
122;0.0434897132
123;0.0434897132
124;0.101475991
