Index;Wert
0;0
1;0
2;0
3;0
4;0
5;0
6;3.21254945
7;7.71149921
8;9.03920078
9;9.13120079
10;6.636724
11;3.97224951
12;1.85870028
13;0.771926045
14;0
15;0
16;0
17;1.31284928
18;7.44442606
19;9.75289917
20;8.81612396
21;8.48920155
22;1.87177515
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;2.99438953
31;7.44889975
32;8.7007618
33;8.70576191
34;6.45200634
35;4.17824984
36;2.15446043
37;1.08656573
38;0
39;0
40;0
41;1.29453027
42;7.31986427
43;9.5216198
44;8.5757246
45;8.26776218
46;1.59249485
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0.943903923
55;4.91343975
56;6.06273651
57;6.08273649
58;4.04696751
59;1.89720058
60;0.12425556
61;0
62;0
63;0
64;0
65;0
66;5.13626432
67;7.18603325
68;6.46355915
69;6.26273632
70;0.383432776
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;2.35849595
79;6.60955954
80;7.77886629
81;7.74686623
82;5.48133183
83;3.21979952
84;1.29734361
85;0.380115747
86;0
87;0
88;0
89;0.90919143
90;6.77963638
91;9.00317097
92;8.09793854
93;7.82786608
94;1.43826902
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;3.58222389
103;7.99263811
104;9.16261673
105;9.17461681
106;6.78440857
107;4.25919962
108;2.17973638
109;1.22650361
110;0
111;0
112;0
113;1.77324796
114;8.12138557
115;10.4245939
116;9.37236023
117;9.08961678
118;2.29299212
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;3.91558218
127;8.54302025
128;9.94628811
129;9.9262886
130;7.39556885
131;4.75084925
132;2.61394835
133;1.68849683
134;0.4112297
135;0
136;0.318411231
137;2.38831329
138;8.76683903
139;11.165556
140;10.2381029
141;10.1002884
142;3.12013173
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;3.22255516
151;7.71316051
152;9.02190399
153;9.02790356
154;6.48960114
155;3.94729972
156;1.8401835
157;0.838626266
158;0
159;0
160;0
161;1.66881168
162;7.49434471
163;9.41764927
164;8.43208981
165;8.13290405
166;1.50899804
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0.144382566
175;5.57468271
176;5.62668276
177;5.91393518
178;3.25591135
179;1.21789551
180;0
181;0
182;0
183;0
184;0
185;0.356887519
186;3.44841647
187;3.48441648
188;2.35515499
189;1.97865105
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;2.56244016
199;6.9064002
200;8.10595989
201;8.1269598
202;5.82447958
203;3.33200026
204;1.38216019
205;0.254240602
206;0
207;0
208;0
209;0.738880157
210;6.69404173
211;8.94552231
212;8.21759987
213;8.0369606
214;1.61852062
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;1.17077005
223;5.16970015
224;6.42968225
225;6.33668232
226;4.26821566
227;2.16675043
228;0.315779984
229;0
230;0
231;0
232;0
233;0
234;5.57619619
235;7.71966076
236;6.80417442
237;6.5436821
238;0.443284899
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;2.01740384
247;6.24844027
248;7.53473663
249;7.59973669
250;5.4942193
251;3.37470031
252;1.51025569
253;0.367033869
254;0
255;0
256;0
257;0.432107449
258;6.18751383
259;8.33103275
260;7.41880846
261;7.19673681
262;0.917183042
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;2.67844033
271;7.0374012
272;8.25296116
273;8.25696087
274;6.04598093
275;3.80900025
276;1.8841604
277;0.959739983
278;0
279;0
280;0
281;1.28587949
282;7.2405405
283;9.49952126
284;8.54909897
285;8.28596115
286;1.74702096
287;0
288;0
289;0
290;0
291;0
292;0
293;0
294;3.99116635
295;8.82725906
296;10.1481447
297;10.1861448
298;7.7490983
299;5.33405018
300;3.26672363
301;2.12556171
302;0.816676736
303;0.153235108
304;0.536955416
305;2.59928203
306;9.08397961
307;11.5370293
308;10.5248632
309;10.2881441
310;3.26100445
311;0
312;0
313;0
314;0
315;0
316;0
317;0
318;4.73591852
319;11.6495495
320;11.3335495
321;11.6699352
322;8.04331207
323;5.43223143
324;3.55991864
325;3.64830327
326;3.27791858
327;3.03153396
328;3.17953396
329;4.14368963
330;8.07808304
331;8.12608337
332;6.82415628
333;6.3173871
334;1.47645307
335;0
