Index;Wert
0;9.46782494
1;5.61098623
2;5.23826504
3;5.23296547
4;5.34782934
5;5.69290638
6;7.54124832
7;8.91464996
8;7.79075146
9;7.4349699
10;7.99779701
11;7.58551216
12;7.29491806
13;6.14364958
14;6.31071568
15;6.23156071
16;6.35888243
17;5.88808584
18;7.29164219
19;6.03869152
20;7.26593065
21;6.13079548
22;7.93087769
23;12.2324762
24;8.58509636
25;5.17524099
26;5.11612272
27;5.13090324
28;5.28317738
29;5.68850279
30;7.57167006
31;8.83263016
32;7.97116089
33;6.83879948
34;6.26108408
35;6.58800411
36;8.36558151
37;6.13951349
38;6.20383739
39;7.53654242
40;6.58227062
41;7.51346397
42;5.7288394
43;5.95800972
44;5.82729101
45;5.71551657
46;6.47449064
47;10.5685501
48;8.62543774
49;5.6589632
50;5.50382614
51;5.35838461
52;5.29702473
53;3.33048177
54;5.79668045
55;6.46495867
56;8.07743835
57;8.8481636
58;8.43869114
59;7.78804445
60;8.40636635
61;8.50186729
62;8.21449375
63;6.74895763
64;7.01571608
65;6.98930788
66;6.49277782
67;6.38936234
68;6.69327354
69;7.24356747
70;8.03351879
71;12.3192768
72;6.43880749
73;5.42334461
74;5.32121038
75;5.26760149
76;5.27587318
77;4.78427458
78;5.58144712
79;6.42261124
80;8.07913017
81;9.13427448
82;9.3679409
83;8.46732807
84;8.10172653
85;6.39480448
86;5.86508846
87;6.12927914
88;5.97350788
89;5.35971069
90;6.12847424
91;6.47564888
92;6.50753546
93;5.85054016
94;7.3235693
95;10.3614597
96;6.63329506
97;5.27831841
98;5.23399401
99;5.18043613
100;5.29476547
101;5.66388941
102;7.35194159
103;9.00368977
104;8.36202621
105;8.41893005
106;6.59888363
107;6.48472691
108;7.30975628
109;6.40902615
110;6.23540878
111;6.26148939
112;6.44630623
113;5.96370554
114;6.8273015
115;6.71589851
116;6.1541729
117;5.76290321
118;6.22550678
119;10.549984
120;7.6896553
121;5.25215578
122;5.27451992
123;5.23989391
124;5.3625803
125;5.6825285
126;7.32792664
127;9.4377594
128;8.57251549
