Index;Wert
0;9.46782494
1;9.46782494
2;9.46782494
3;9.46782494
4;5.61098623
5;5.61098623
6;5.61098623
7;5.61098623
8;5.23826504
9;5.23826504
10;5.23826504
11;5.23826504
12;5.23296547
13;5.23296547
14;5.23296547
15;5.23296547
16;5.34782934
17;5.34782934
18;5.34782934
19;5.34782934
20;5.69290638
21;5.69290638
22;5.69290638
23;5.69290638
24;7.54124832
25;7.54124832
26;7.54124832
27;7.54124832
28;8.91464996
29;8.91464996
30;8.91464996
31;8.91464996
32;7.79075146
33;7.79075146
34;7.79075146
35;7.79075146
36;7.4349699
37;7.4349699
38;7.4349699
39;7.4349699
40;7.99779701
41;7.99779701
42;7.99779701
43;7.99779701
44;7.58551216
45;7.58551216
46;7.58551216
47;7.58551216
48;7.29491806
49;7.29491806
50;7.29491806
51;7.29491806
52;6.14364958
53;6.14364958
54;6.14364958
55;6.14364958
56;6.31071568
57;6.31071568
58;6.31071568
59;6.31071568
60;6.23156071
61;6.23156071
62;6.23156071
63;6.23156071
64;6.35888243
65;6.35888243
66;6.35888243
67;6.35888243
68;5.88808584
69;5.88808584
70;5.88808584
71;5.88808584
72;7.29164219
73;7.29164219
74;7.29164219
75;7.29164219
76;6.03869152
77;6.03869152
78;6.03869152
79;6.03869152
80;7.26593065
81;7.26593065
82;7.26593065
83;7.26593065
84;6.13079548
85;6.13079548
86;6.13079548
87;6.13079548
88;7.93087769
89;7.93087769
90;7.93087769
91;7.93087769
92;12.2324762
93;12.2324762
94;12.2324762
95;12.2324762
96;8.58509636
97;8.58509636
98;8.58509636
99;8.58509636
100;5.17524099
101;5.17524099
102;5.17524099
103;5.17524099
104;5.11612272
105;5.11612272
106;5.11612272
107;5.11612272
108;5.13090324
109;5.13090324
110;5.13090324
111;5.13090324
112;5.28317738
113;5.28317738
114;5.28317738
115;5.28317738
116;5.68850279
117;5.68850279
118;5.68850279
119;5.68850279
120;7.57167006
121;7.57167006
122;7.57167006
123;7.57167006
124;8.83263016
125;8.83263016
126;8.83263016
127;8.83263016
128;7.97116089
129;7.97116089
130;7.97116089
131;7.97116089
132;6.83879948
133;6.83879948
134;6.83879948
135;6.83879948
136;6.26108408
137;6.26108408
138;6.26108408
139;6.26108408
140;6.58800411
141;6.58800411
142;6.58800411
143;6.58800411
144;8.36558151
145;8.36558151
146;8.36558151
147;8.36558151
148;6.13951349
149;6.13951349
150;6.13951349
151;6.13951349
152;6.20383739
153;6.20383739
154;6.20383739
155;6.20383739
156;7.53654242
157;7.53654242
158;7.53654242
159;7.53654242
160;6.58227062
161;6.58227062
162;6.58227062
163;6.58227062
164;7.51346397
165;7.51346397
166;7.51346397
167;7.51346397
168;5.7288394
169;5.7288394
170;5.7288394
171;5.7288394
172;5.95800972
173;5.95800972
174;5.95800972
175;5.95800972
176;5.82729101
177;5.82729101
178;5.82729101
179;5.82729101
180;5.71551657
181;5.71551657
182;5.71551657
183;5.71551657
184;6.47449064
185;6.47449064
186;6.47449064
187;6.47449064
188;10.5685501
189;10.5685501
190;10.5685501
191;10.5685501
192;8.62543774
193;8.62543774
194;8.62543774
195;8.62543774
196;5.6589632
197;5.6589632
198;5.6589632
199;5.6589632
200;5.50382614
201;5.50382614
202;5.50382614
203;5.50382614
204;5.35838461
205;5.35838461
206;5.35838461
207;5.35838461
208;5.29702473
209;5.29702473
210;5.29702473
211;5.29702473
212;3.33048177
213;3.33048177
214;3.33048177
215;3.33048177
216;5.79668045
217;5.79668045
218;5.79668045
219;5.79668045
220;6.46495867
221;6.46495867
222;6.46495867
223;6.46495867
224;8.07743835
225;8.07743835
226;8.07743835
227;8.07743835
228;8.8481636
229;8.8481636
230;8.8481636
231;8.8481636
232;8.43869114
233;8.43869114
234;8.43869114
235;8.43869114
236;7.78804445
237;7.78804445
238;7.78804445
239;7.78804445
240;8.40636635
241;8.40636635
242;8.40636635
243;8.40636635
244;8.50186729
245;8.50186729
246;8.50186729
247;8.50186729
248;8.21449375
249;8.21449375
250;8.21449375
251;8.21449375
252;6.74895763
253;6.74895763
254;6.74895763
255;6.74895763
256;7.01571608
257;7.01571608
258;7.01571608
259;7.01571608
260;6.98930788
261;6.98930788
262;6.98930788
263;6.98930788
264;6.49277782
265;6.49277782
266;6.49277782
267;6.49277782
268;6.38936234
269;6.38936234
270;6.38936234
271;6.38936234
272;6.69327354
273;6.69327354
274;6.69327354
275;6.69327354
276;7.24356747
277;7.24356747
278;7.24356747
279;7.24356747
280;8.03351879
281;8.03351879
282;8.03351879
283;8.03351879
284;12.3192768
285;12.3192768
286;12.3192768
287;12.3192768
288;6.43880749
289;6.43880749
290;6.43880749
291;6.43880749
292;5.42334461
293;5.42334461
294;5.42334461
295;5.42334461
296;5.32121038
297;5.32121038
298;5.32121038
299;5.32121038
