Index;Wert
0;8.62481689
1;5.28689384
2;4.96533346
3;4.94432497
4;5.0422821
5;5.3975029
6;6.81594181
7;8.06869602
8;7.09620857
9;6.13297129
10;5.77526522
11;5.77039576
12;6.02751541
13;5.73725128
14;5.60466337
15;5.5862155
16;5.99497461
17;4.79920006
18;4.75519991
19;4.71920013
20;4.71360016
21;4.71759987
22;4.70240068
23;8.54017258
24;6.48521328
25;4.82598829
26;4.81537724
27;4.82910347
28;4.97413874
29;5.38626385
30;6.7943325
31;8.03394699
32;7.09819078
33;6.22628832
34;5.71867657
35;5.69209003
36;5.90800953
37;5.7995491
38;5.66430426
39;5.68297291
40;6.02331781
41;6.69881773
42;4.92215776
43;4.84000015
44;4.8368001
45;4.83279991
46;4.83199978
47;8.72545052
48;6.66976547
49;5.04830408
50;5.00171041
51;4.95364523
52;5.00184107
53;3.03933263
54;5.46582508
55;6.11021328
56;7.29486942
57;8.08435059
58;7.90897369
59;7.22538471
60;6.63171864
61;6.28902483
62;6.11324644
63;6.11664772
64;6.46881866
65;5.58538532
66;4.79760027
67;4.76399994
68;4.71600008
69;4.68400002
70;4.69181395
71;8.59773922
72;5.88640022
73;5.11485291
74;5.01959085
75;4.9701252
76;5.00501251
77;4.50381613
78;5.27840757
79;5.7886095
80;6.90831995
81;8.12829208
82;8.38399506
83;8.08901882
84;7.12863493
85;5.86395836
86;5.35462523
87;5.74415302
88;5.44793892
89;4.76160002
90;4.73199987
91;4.69680071
92;4.69280005
93;4.68442202
94;4.70967722
95;8.65537167
96;6.28422451
97;4.92531872
98;4.87793827
99;4.83910751
100;4.93991232
101;5.30881834
102;6.77390099
103;8.08508587
104;7.17878151
105;6.29197454
106;5.69489527
107;5.80283785
108;6.0086484
109;5.86240005
110;5.70116472
111;5.71088552
112;6.03325653
113;5.25290823
114;4.69774914
115;4.74288034
116;4.69439983
117;4.68885326
118;4.72318935
119;8.44606495
120;6.70025492
121;4.94311905
122;4.9592638
123;4.932055
124;5.02899933
125;5.38648367
126;6.82002544
127;8.10077953
128;7.14961338
129;6.2427206
130;5.79006767
131;5.79033184
132;6.01516819
133;5.82913113
134;5.64667082
135;5.60464334
136;5.37167835
137;4.78289461
138;4.83166647
139;4.80583334
140;4.7750001
141;4.69333315
142;4.68083334
143;8.00061703
144;7.03690338
145;4.84950447
146;4.8646121
147;4.84068966
148;4.94587326
149;5.35439014
150;6.7926569
151;8.03508377
152;7.09445381
153;6.17447901
154;5.83697128
155;5.77976704
156;6.00189018
157;5.77180576
158;5.62855244
159;5.65085173
160;5.90575123
161;5.00232935
162;4.74160004
163;4.76322985
164;4.7137332
165;4.73977423
166;4.7944665
167;8.71665001
168;6.54015779
169;4.8987422
170;4.9050746
171;4.9143939
172;4.46338463
173;2.88909173
174;6.74505949
175;7.94532919
176;7.02313232
177;6.20654202
178;5.69182873
179;5.82851219
180;5.87643385
181;5.757514
182;5.61990499
