Index;Wert
0;0.84300828
1;0.84300828
2;0.84300828
3;0.84300828
4;0.324092567
5;0.324092567
6;0.324092567
7;0.324092567
8;0.272931576
9;0.272931576
10;0.272931576
11;0.272931576
12;0.28864044
13;0.28864044
14;0.28864044
15;0.28864044
16;0.305547029
17;0.305547029
18;0.305547029
19;0.305547029
20;0.295403451
21;0.295403451
22;0.295403451
23;0.295403451
24;0.725306571
25;0.725306571
26;0.725306571
27;0.725306571
28;0.845953524
29;0.845953524
30;0.845953524
31;0.845953524
32;0.694542646
33;0.694542646
34;0.694542646
35;0.694542646
36;1.30199838
37;1.30199838
38;1.30199838
39;1.30199838
40;2.2225318
41;2.2225318
42;2.2225318
43;2.2225318
44;1.81511641
45;1.81511641
46;1.81511641
47;1.81511641
48;1.26740241
49;1.26740241
50;1.26740241
51;1.26740241
52;0.406398356
53;0.406398356
54;0.406398356
55;0.406398356
56;0.706052244
57;0.706052244
58;0.706052244
59;0.706052244
60;0.645345211
61;0.645345211
62;0.645345211
63;0.645345211
64;0.363907635
65;0.363907635
66;0.363907635
67;0.363907635
68;1.08888566
69;1.08888566
70;1.08888566
71;1.08888566
72;2.53644228
73;2.53644228
74;2.53644228
75;2.53644228
76;1.31949139
77;1.31949139
78;1.31949139
79;1.31949139
80;2.55233049
81;2.55233049
82;2.55233049
83;2.55233049
84;1.41319561
85;1.41319561
86;1.41319561
87;1.41319561
88;3.228477
89;3.228477
90;3.228477
91;3.228477
92;3.6923039
93;3.6923039
94;3.6923039
95;3.6923039
96;2.09988356
97;2.09988356
98;2.09988356
99;2.09988356
100;0.349252522
101;0.349252522
102;0.349252522
103;0.349252522
104;0.300745577
105;0.300745577
106;0.300745577
107;0.300745577
108;0.301799983
109;0.301799983
110;0.301799983
111;0.301799983
112;0.309038848
113;0.309038848
114;0.309038848
115;0.309038848
116;0.30223915
117;0.30223915
118;0.30223915
119;0.30223915
120;0.777337432
121;0.777337432
122;0.777337432
123;0.777337432
124;0.798683584
125;0.798683584
126;0.798683584
127;0.798683584
128;0.872970343
129;0.872970343
130;0.872970343
131;0.872970343
132;0.612511098
133;0.612511098
134;0.612511098
135;0.612511098
136;0.542407334
137;0.542407334
138;0.542407334
139;0.542407334
140;0.895914197
141;0.895914197
142;0.895914197
143;0.895914197
144;2.45757198
145;2.45757198
146;2.45757198
147;2.45757198
148;0.33996439
149;0.33996439
150;0.33996439
151;0.33996439
152;0.539533377
153;0.539533377
154;0.539533377
155;0.539533377
156;1.85356951
157;1.85356951
158;1.85356951
159;1.85356951
160;0.55895263
161;0.55895263
162;0.55895263
163;0.55895263
164;0.814646423
165;0.814646423
166;0.814646423
167;0.814646423
168;0.806681693
169;0.806681693
170;0.806681693
171;0.806681693
172;1.11800933
173;1.11800933
174;1.11800933
175;1.11800933
176;0.990490735
177;0.990490735
178;0.990490735
179;0.990490735
180;0.882716656
181;0.882716656
182;0.882716656
183;0.882716656
184;1.64249086
185;1.64249086
186;1.64249086
187;1.64249086
188;1.84309924
189;1.84309924
190;1.84309924
191;1.84309924
192;1.95567226
193;1.95567226
194;1.95567226
195;1.95567226
196;0.610658884
