Index;Wert
0;5.44571114
1;5.43121481
2;5.43121481
3;5.43121481
4;5.79820108
5;10.357276
6;22.1242867
7;29.9062347
8;31.2585545
9;31.2426586
10;29.1687317
11;25.8358364
12;21.5329247
13;20.9406681
14;20.0114841
15;19.7926331
16;20.6625233
17;23.194006
18;32.7598419
19;35.4322815
20;34.6325378
21;34.2986832
22;21.9831219
23;14.2545128
24;13.691391
25;13.9258947
26;14.1648941
27;14.3928947
28;14.667881
29;18.8770771
30;30.2121258
31;37.5776329
32;38.5281143
33;37.8752174
34;35.3030128
35;31.6378345
36;26.9386845
37;25.9543056
38;24.7119617
39;24.2740345
40;24.9469624
41;27.2426872
42;36.598278
43;39.0660019
44;38.0661392
45;37.5482445
46;25.0378399
47;17.1202335
48;15.7978725
49;15.8912296
50;15.9895849
51;16.0889416
52;16.2382298
53;20.1377678
54;29.8637657
55;36.383316
56;38.1901627
57;37.6190453
58;35.004837
59;30.920763
60;25.9273109
61;24.7873955
62;23.9688816
63;23.6572323
64;24.4024963
65;26.4151039
66;34.9252701
67;36.9540367
68;36.0913429
69;35.5629234
70;23.7229805
71;16.4264927
72;16.4920769
73;16.5278225
74;16.5433121
75;16.575058
76;16.6393108
77;20.5111504
78;30.7742977
79;37.5013199
80;39.3052711
81;39.7019196
82;37.4026604
83;33.2236099
84;27.9462109
85;26.7474327
86;25.4398537
87;24.7534294
88;25.3770523
89;27.4743328
90;36.3874474
91;38.5089798
92;37.3991966
93;36.8093033
94;24.3849373
95;16.5877419
96;16.2156353
97;16.2001381
98;16.2031384
99;16.2101383
100;16.276125
101;20.2966576
102;31.6099606
103;38.8813705
104;39.6699715
105;39.131073
106;36.5294151
107;32.6857834
108;27.85396
109;26.7292461
110;25.3267879
111;24.6832981
112;25.2160091
113;27.4444046
114;36.8317986
115;39.2549744
116;38.1467743
117;37.5461006
118;24.8143368
119;16.6512547
120;42.8068771
121;42.0223808
122;41.2913818
123;40.6253815
124;40.0603638
125;43.525116
126;54.5133209
127;61.3847542
128;57.623642
129;54.0767479
130;49.8675766
131;44.4084396
132;38.9261742
133;37.82724
134;35.8854904
135;39.4258537
136;40.3526382
137;42.5224686
138;51.9762535
139;54.3719368
140;53.1615181
141;52.4897728
142;39.5194817
143;31.0965672
144;30.0681496
145;30.2126522
146;30.3986511
147;30.4906521
148;30.6506386
149;34.7644958
150;45.9712944
151;53.2338943
152;49.9892578
153;46.6613617
154;42.6856079
155;38.1408882
156;32.7324066
157;31.3743687
158;30.0541401
159;34.3887672
160;35.9169235
161;38.3399658
162;47.8077583
163;50.4030304
164;49.5315056
165;49.1303864
166;36.7643471
167;28.9962101
168;4.55755043
169;4.32880211
