Index;Wert
0;2.1865766
1;0
2;0
3;0
4;0
5;1.19118512
6;2.08457398
7;2.97796297
8;2.97796297
9;2.97796297
10;2.97796297
11;2.28707552
12;1.14353776
13;1.09955561
14;1.09955561
15;1.09955561
16;1.13311315
17;1.14353776
18;2.28707552
19;2.28707552
20;2.28707552
21;2.28707552
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;1.17165756
30;2.0571456
31;2.94240904
32;2.91837955
33;2.92435002
34;2.89122605
35;2.28707552
36;1.14353776
37;1.14353776
38;1.14353776
39;1.14353776
40;1.14353776
41;1.14353776
42;2.28707552
43;2.28707552
44;2.28707552
45;2.28707552
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;1.14353776
54;2.00119114
55;2.85884452
56;2.85884452
57;2.85884452
58;2.85884452
59;2.24751925
60;1.09955561
61;1.09955561
62;1.09955561
63;1.09955561
64;1.09955561
65;1.13989019
66;2.28707552
67;2.28707552
68;2.28707552
69;2.28707552
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;1.18231785
78;2.02140522
79;2.86457396
80;2.85884452
81;2.85884452
82;2.85884452
83;2.28707552
84;1.13176739
85;1.13087201
86;1.14216721
87;1.14262366
88;1.14353776
89;1.14353776
90;2.28707552
91;2.28707552
92;2.28707552
93;2.28982353
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;1.19118512
102;2.08457398
103;2.97796297
104;2.95213199
105;2.96683764
106;2.85884452
107;2.28707552
108;1.13943577
109;1.14353776
110;1.14353776
111;1.14353776
112;1.14353776
113;1.14353776
114;2.29810667
115;2.32615519
116;2.28707552
117;2.29257774
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;1.19118512
126;2.08457398
127;2.97796297
128;2.97796297
129;2.97796297
130;2.93877935
131;2.28707552
132;1.14353776
133;1.14353776
134;1.14353776
135;1.14353776
136;1.1439954
137;1.17551172
138;2.38237023
139;2.38237023
140;2.38237023
141;2.38237023
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;1.19118512
150;2.08457398
151;2.97796297
152;2.97796297
153;2.97796297
154;2.97796297
155;2.28707552
156;1.13626564
157;1.11412489
158;1.11892152
159;1.14353776
160;1.14766943
161;1.16544819
162;2.28707552
163;2.24135184
164;2.21187186
165;2.22738194
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;1.14353776
174;2.00119114
175;2.85884452
176;2.85884452
177;2.91124701
178;2.85884452
179;2.28707552
180;1.10337496
181;1.09955561
182;1.09955561
183;1.09955561
184;1.10124981
185;1.14353776
186;2.28707552
187;2.28707552
188;2.28707552
189;2.28707552
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;1.15322483
198;2.05461097
199;2.9631474
200;2.92076468
201;2.94604754
202;2.85884452
203;2.28707552
204;1.100402
205;1.09492314
206;1.07799566
207;1.07677758
208;1.08991408
209;1.09955561
210;2.25727963
211;2.28707552
212;2.28707552
213;2.28707552
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;1.14353776
222;2.00119114
223;2.81382346
224;2.85884452
225;2.82829905
226;2.77449989
227;2.19911122
228;1.09955561
229;1.09157872
230;1.09241283
231;1.09955561
232;1.09955561
233;1.1340121
234;2.28707552
235;2.28707552
236;2.28707552
237;2.28707552
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;1.14353776
246;2.00119114
247;2.85884452
248;2.89356732
249;2.97177196
250;2.96560621
251;2.35392714
252;1.14674866
253;1.14353776
254;1.11369097
255;1.09955561
256;1.09955561
257;1.11195815
258;2.27162862
259;2.28707552
260;2.28707552
261;2.28707552
262;0
263;0
264;0
265;0
266;0
267;0
268;0
269;1.14353776
270;2.01732969
271;2.86917377
272;2.85884452
273;2.85884452
274;2.85884452
275;2.28707552
276;1.14353776
277;1.14353776
278;1.14353776
279;1.14353776
280;1.14353776
281;1.14353776
282;2.28707552
283;2.28707552
284;2.28707552
285;2.29533887
286;0
287;0
288;0
289;0
290;0
291;0
292;0
293;1.18920314
294;2.08457398
295;2.97796297
296;2.97796297
297;2.97796297
298;2.97796297
299;2.38038683
300;1.17309988
301;1.14353776
302;1.14353776
303;1.14353776
304;1.16355085
305;1.17793345
306;2.38237023
307;2.38237023
308;2.38237023
309;2.38237023
310;0
311;0
312;0
313;0
314;0
315;0
316;0
317;1.24297595
318;2.17520785
319;3.10743976
320;3.0939877
321;3.10743976
322;2.97796297
323;2.38237023
324;1.14628887
325;1.14353776
326;1.14353776
327;1.14353776
328;1.14353776
329;1.16449881
330;2.38237023
331;2.38237023
332;2.38237023
333;2.38237023
334;0
335;0
336;0
337;0
338;0
339;0
340;0
341;1.19118512
342;2.08457398
343;2.97796297
344;2.97796297
345;2.97796297
346;2.97796297
347;2.38237023
348;1.19118512
349;1.19118512
350;1.19118512
351;1.19118512
352;1.19118512
353;1.19118512
354;2.38237023
355;2.38237023
356;2.38237023
357;2.38237023
358;0
359;0
360;0
361;0
362;0
363;0
364;0
365;1.22120655
366;2.14260292
367;3.09801102
368;3.0886395
369;3.05824208
370;3.00804353
371;2.38237023
372;1.19118512
373;1.19118512
374;1.19118512
375;1.19118512
376;1.19118512
377;1.19118512
378;2.40037322
379;2.41967392
380;2.39033818
381;2.40340018
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;1.24297595
390;2.17520785
391;3.10743976
392;3.10743976
393;3.10743976
394;3.10743976
395;2.4859519
396;1.24297595
397;1.23119915
398;1.22539413
399;1.24135673
400;1.24297595
401;1.24297595
402;2.4859519
403;2.52102709
404;2.57669616
405;2.4859519
406;0
407;0
408;0
409;0
410;0
411;0
412;0
413;1.29947472
414;2.27408075
415;3.24868703
416;3.24868703
417;3.24868703
418;3.24868703
419;2.59894943
420;1.26497543
421;1.24297595
422;1.24297595
423;1.24297595
424;1.24297595
425;1.29947472
426;2.59894943
427;2.59894943
428;2.59894943
429;2.59894943
430;0
431;0
432;0
433;0
434;0
435;0
436;0
437;1.36070657
438;2.31512165
439;3.25460434
440;3.24868703
441;3.24868703
442;3.24868703
443;2.59305644
444;1.24297595
445;1.24297595
446;1.23866737
447;1.2144624
448;1.19717109
449;1.2072823
450;2.45605183
451;2.4859519
452;2.4859519
453;2.4859519
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;1.29947472
462;2.27408075
463;3.24868703
464;3.24868703
465;3.24868703
466;3.24868703
467;2.59894943
468;1.24297595
469;1.24297595
470;1.23920441
471;1.24297595
472;1.24297595
473;1.24297595
474;2.54685497
475;2.59894943
476;2.59894943
477;2.59894943
478;0
479;0
480;0
481;0
482;0
483;0
484;0
485;1.27626991
486;2.19814491
487;3.12510347
488;3.12647033
489;3.10743976
490;3.10743976
491;2.4859519
492;1.20983696
493;1.19118512
494;1.19118512
495;1.19118512
496;1.19717109
497;1.23705947
498;2.4859519
499;2.4859519
500;2.4859519
501;2.4859519
502;0
503;0
504;0
505;0
506;0
507;0
508;0
509;1.29947472
510;2.27408075
511;3.33198667
512;3.24868703
513;3.24868703
514;3.24868703
515;2.49028277
516;1.24297595
517;1.19118512
518;1.19118512
519;1.19118512
520;1.19118512
521;1.2072823
522;2.4859519
523;2.4859519
524;2.4859519
525;2.4859519
526;0
527;0
528;0
529;0
530;0
531;0
532;0
533;1.14353776
534;2.00119114
535;2.85884452
536;2.88888907
537;2.88888907
538;2.87610126
539;2.28707552
540;1.14353776
541;1.14353776
542;1.14353776
543;1.14353776
544;1.14353776
545;1.14353776
546;2.31391716
547;2.34909153
548;2.34235525
549;2.38237023
550;0
551;0
552;0
553;0
554;0
555;0
556;0
557;1.24297595
558;2.17520785
559;3.10743976
560;3.10743976
561;3.07270479
562;2.97796297
563;2.38237023
564;1.14353776
565;1.14353776
566;1.11325717
567;1.1158644
568;1.14353776
569;1.14353776
570;2.28707552
571;2.28707552
572;2.28707552
573;2.28707552
574;0
575;0
576;0
577;0
578;0
579;0
580;0
581;1.19118512
582;2.08457398
583;2.97796297
584;2.97796297
585;2.97796297
586;2.85884452
587;2.19911122
588;1.02065134
589;0.947264552
590;0.910750091
591;0.90241307
592;1.03207386
593;1.09955561
594;2.25460935
595;2.28707552
596;2.28707552
597;2.28707552
598;0
599;0
600;0
601;0
602;0
603;0
604;0
605;1.14353776
606;2.00119114
607;2.85884452
608;2.85884452
609;2.85884452
610;2.74888921
611;2.01824546
612;0.904697597
613;0.866316557
614;0.853641272
615;0.859544337
616;0.888115764
617;0.965825856
618;2.0701263
619;2.14627957
620;2.1406548
621;2.16088033
622;0
623;0
624;0
625;0
626;0
627;0
628;0
629;1.0919956
630;1.92422235
631;2.72998905
632;2.67983174
633;2.62568378
634;2.53174329
635;1.89704347
636;0.900707126
637;0.878293216
638;0.871067762
639;0.874531806
640;0.891438901
641;0.921910524
642;1.90589631
643;1.99779487
644;1.94214976
645;1.89202166
646;0
647;0
648;0
649;0
650;0
651;0
652;0
653;0.992309809
654;1.73654211
655;2.4842236
656;2.33565736
657;2.4161973
658;2.49115086
659;2.02181363
660;1.02614665
661;1.04566371
662;1.05843925
663;1.07193267
664;1.08371663
665;1.09828842
666;2.19404793
667;2.19911122
668;2.21101665
669;2.20930791
670;0
671;0
672;0
673;0
674;0
675;0
676;0
677;1.14353776
678;2.00439811
679;2.94969511
680;2.96930265
681;2.96806955
682;2.85884452
683;2.20845461
684;1.07962406
685;1.04071522
686;1.0217458
687;1.01846981
688;1.03431427
689;1.07840228
690;2.19911122
691;2.23609281
692;2.28707552
693;2.28707552
694;0
695;0
696;0
697;0
698;0
699;0
700;0
701;1.14353776
702;2.00119114
703;2.85884452
704;2.85884452
705;2.85884452
706;2.76805234
707;2.18733311
708;1.04757953
709;1.03806996
710;1.03769302
711;1.03468859
712;1.03806996
713;1.06158352
714;2.19911122
715;2.19911122
716;2.19911122
717;2.21701789
718;0
719;0
720;0
721;0
722;0
723;0
724;0
725;1.17841899
726;2.08457398
727;2.95579457
728;2.89122605
729;2.85884452
730;2.85884452
731;2.28707552
732;1.14216721
733;1.14353776
734;1.14353776
735;1.14353776
736;1.14353776
737;1.02138066
738;2.07538605
739;2.10907006
740;2.14386535
741;2.17982817
742;0
743;0
744;0
745;0
746;0
747;0
748;0
749;1.14353776
750;2.00119114
751;2.87725902
752;2.92914391
753;2.97796297
754;2.95946646
755;2.31391716
756;1.14353776
757;1.14353776
758;1.14353776
759;1.14353776
760;1.14353776
761;1.14353776
762;2.30273414
763;2.36659336
764;2.38237023
765;2.38237023
766;0
767;0
768;0
769;0
770;0
771;0
772;0
773;1.22382045
774;2.15645599
775;3.08197999
776;3.06217265
777;2.97796297
778;2.97796297
779;2.35489655
780;1.14353776
781;1.14353776
782;1.14353776
783;1.14353776
784;1.1439954
785;1.17551172
786;2.38237023
787;2.38237023
788;2.38237023
789;2.38237023
790;0
791;0
792;0
793;0
794;0
795;0
796;0
797;1.19118512
798;2.08457398
799;2.97796297
800;2.97796297
801;2.97796297
802;2.97796297
803;2.38237023
804;1.18624246
805;1.15183103
806;1.15742695
807;1.15602279
808;1.16118789
809;1.19118512
810;2.38237023
811;2.38237023
812;2.38933945
813;2.41354537
814;0
815;0
816;0
817;0
818;0
819;0
820;0
821;1.21497858
822;2.12170386
823;3.09666872
824;3.10743976
825;3.01565886
826;2.97796297
827;2.38237023
828;1.17939126
829;1.16307759
830;1.15275991
831;1.16639924
832;1.19118512
833;1.19118512
834;2.38237023
835;2.38237023
836;2.40037322
837;2.40239024
838;0
839;0
840;0
841;0
842;0
843;0
844;0
845;1.24297595
846;2.17520785
847;3.10743976
848;3.01438689
849;2.9916749
850;2.97796297
851;2.38237023
852;1.1803652
853;1.14353776
854;1.14353776
855;1.14353776
856;1.14353776
857;1.17309988
858;2.38237023
859;2.38237023
860;2.38634777
861;2.43305922
862;0
863;0
864;0
865;0
866;0
867;0
868;0
869;1.24297595
870;2.17520785
871;3.10743976
872;3.10743976
873;2.9992075
874;2.97796297
875;2.38237023
876;1.1546222
877;1.14353776
878;1.14353776
879;1.13311315
880;1.14353776
881;1.14353776
882;2.38237023
883;2.38237023
884;2.39835954
885;2.47411895
886;0
887;0
888;0
889;0
890;0
891;0
892;0
893;1.24297595
894;2.17520785
895;3.10743976
896;3.10743976
897;3.10743976
898;3.00804353
899;2.38237023
900;1.19118512
901;1.19118512
902;1.19118512
903;1.19118512
904;1.19118512
905;1.19118512
906;2.38237023
907;2.38237023
908;2.41558456
909;2.45078826
910;0
911;0
912;0
913;0
914;0
915;0
916;0
917;1.24297595
918;2.17520785
919;3.10743976
920;3.10743976
921;3.04780865
922;2.97796297
923;2.38237023
924;1.19118512
925;1.19118512
926;1.19118512
927;1.19118512
928;1.19118512
929;1.19118512
930;2.38237023
931;2.38237023
932;2.38237023
933;2.45289087
934;0
935;0
936;0
937;0
938;0
939;0
940;0
941;1.24297595
942;2.17520785
943;3.10743976
944;3.10069895
945;3.03229141
946;2.97796297
947;2.32804918
948;1.14353776
949;1.14353776
950;1.14353776
951;1.14353776
952;1.14353776
953;1.14353776
954;2.34812689
955;2.38237023
956;2.38237023
957;2.38237023
958;0
959;0
960;0
961;0
962;0
963;0
964;0
965;1.24297595
966;2.17520785
967;3.10743976
968;3.06086135
969;2.97796297
970;2.97796297
971;2.35295844
972;1.15183103
973;1.14353776
974;1.14720881
975;1.14353776
976;1.16926157
977;1.19118512
978;2.38237023
979;2.38237023
980;2.38237023
981;2.38237023
982;0
983;0
984;0
985;0
986;0
987;0
988;0
989;1.19516909
990;2.08457398
991;2.97796297
992;2.97796297
993;2.97796297
994;2.97796297
995;2.36170554
996;1.15695858
997;1.14353776
998;1.14353776
999;1.14353776
1000;1.14353776
1001;1.14353776
1002;2.31391716
1003;2.35781002
1004;2.38237023
1005;2.38237023
1006;0
1007;0
1008;0
1009;0
1010;0
1011;0
1012;0
1013;1.19118512
1014;2.08457398
1015;2.97796297
1016;2.98293471
1017;2.97796297
1018;2.97796297
1019;2.38237023
1020;1.19118512
1021;1.19118512
1022;1.19118512
1023;1.19118512
1024;1.19118512
1025;1.19118512
1026;2.38237023
1027;2.40441084
1028;2.4859519
1029;2.4859519
1030;0
1031;0
1032;0
1033;0
1034;0
1035;0
1036;0
1037;1.24297595
1038;2.17520785
1039;3.10743976
1040;3.12920833
1041;3.10743976
1042;2.99669242
1043;2.38237023
1044;1.19118512
1045;1.16926157
1046;1.1602453
1047;1.15977466
1048;1.17454576
1049;1.19118512
1050;2.38237023
1051;2.47304893
1052;2.4859519
1053;2.4859519
1054;0
1055;0
1056;0
1057;0
1058;0
1059;0
1060;0
1061;1.25663495
1062;2.19911098
1063;3.16945052
1064;3.24868703
1065;3.10743976
