Groesse;Wert
Lauf.ID_Projekt;1042
Sim.Restwaerme;4.22583818
Sim.Reststrom;40.6496811
Sim.bSimulationWP;True
Sim.bSimulationKessel;True
Sim.bSimulationSolarthermie;True
Sim.bSimulationBHKW;False
Sim.bSimulationPV;True
Sim.bSimulationSSP;False
Sim.PufferWP_vorhanden;True
Puffer.Q_max;34.8
Puffer.Ladung_gesamt;18250.8091
Puffer.Entladung_gesamt;17473.5001
Puffer.Verluste_gesamt;777.308922
Puffer.SOC_Mittel;22.1000539
Puffer.SOC_Max;32.7424507
Puffer.Vollzyklen;524.448536
Sim.Speicher_Anzahl;3
Ergebnis.ID_Projekt;1042
Ergebnis.Bezeichner;Simulation Booster-Kette mit Kombi-Speicher
Ergebnis.ID_Klimaregion;1020052
Ergebnis.Sim_Energiebedarf;True
Ergebnis.Sim_Waermepumpe;True
Ergebnis.Sim_Heizkessel;True
Ergebnis.Sim_Solarthermie;True
Ergebnis.Sim_BHKW;False
Ergebnis.Sim_PV;True
Ergebnis.Sim_Stromspeicher;False
Energiebedarf.Waermebedarf_Gesamt;89.31
Energiebedarf.Waermelast_Max;45.37
Energiebedarf.Strombedarf_Gesamt;8
Energiebedarf.Strombedarf_Max;3.72
Energiebedarf.Waermerestbedarf;4.23
Energiebedarf.Stromrestbedarf;40.65
Energiebedarf.Waermebedarf_Heizung;59.31
Energiebedarf.Waermebedarf_Brauchwasser;30
Energiebedarf.Waermebedarf_Prozess;0
Waermepumpe.Waermebedarf;89.31
Waermepumpe.Restwaermebedarf;17.74
Waermepumpe.Waermeproduktion_WP;90.59
Waermepumpe.Stromverbrauch_WP;32.65
Waermepumpe.Stromverbrauch_Heizstab;0
Waermepumpe.Kapazitaet_Pufferspeicher;80.76
Waermepumpe.Min_Spitzenkesselleistung;10.43
Waermepumpe.Waermebedarfsdeckung;80.14
Waermepumpe.Vollbenutzungsstunden;4043.2
Waermepumpe.Bivalenzpunkt;8.55
Waermepumpe.Deckung_Heizung;51.28
Waermepumpe.Deckung_Brauchwasser;28.86
Waermepumpe.Deckung_Prozess;0
WaermepumpeModul[0].Modul;CS7800iLW 16
WaermepumpeModul[0].Leistung;15
WaermepumpeModul[0].Waermeproduktion;26.54
WaermepumpeModul[0].Stromverbrauch;9.07
WaermepumpeModul[0].Heizstab;0
WaermepumpeModul[0].Betriebsstunden;2688.48
WaermepumpeModul[1].Modul;CS6800iAW MB + AW 10 OR-T
