Index;Wert
0;5.73564243
1;5.64866304
2;5.64866304
3;5.64866304
4;5.9965806
5;8.07808876
6;20.6671085
7;28.5832367
8;26.8066578
9;24.1972752
10;20.6741066
11;18.4556313
12;16.9889793
13;15.6033087
14;13.9007111
15;13.26686
16;14.4535789
17;18.094717
18;26.2907791
19;29.3790474
20;27.5584793
21;25.5019665
22;17.5418491
23;9.18382645
24;5.7533226
25;5.66634321
26;5.66634321
27;5.66634321
28;6.01426077
29;8.0988884
30;20.7149487
31;28.6456375
32;26.8732185
33;24.2638359
34;20.7333889
35;18.5076332
36;17.0347404
37;15.6459484
38;13.9391899
39;13.3032608
40;14.4910183
41;18.1383991
42;26.3542175
43;29.4497681
44;27.6260796
45;25.5685272
46;17.5865688
47;9.20254707
48;5.37319994
49;5.2733345
50;5.17346954
51;5.07360411
52;5.2733345
53;6.61513233
54;14.9152088
55;20.8440495
56;25.4626312
57;27.4599361
58;24.4955139
59;20.532444
60;17.3495178
61;15.5083942
62;13.8857727
63;13.3241243
64;14.6035995
65;17.7865219
66;24.6201591
67;26.585928
68;25.2441273
69;23.1657295
70;15.5707169
71;6.55281067
72;5.95300007
73;5.84347057
74;5.62441111
75;5.51488161
76;5.62441111
77;6.86822748
78;15.6764402
79;21.5904484
80;26.0966454
81;29.382534
82;27.7946472
83;23.4685211
84;19.4474735
85;17.4369488
86;15.6689978
87;14.511198
88;15.9115696
89;19.3849697
90;26.8243599
91;28.9598923
92;26.9493656
93;25.0013485
94;16.8422775
95;8.22960854
96;5.86856604
97;5.78158665
98;5.78158665
99;5.78158665
100;6.1295042
101;8.23446846
102;21.026783
103;29.0523758
104;27.3070736
105;24.697691
106;21.119791
107;18.8465824
108;17.3330154
109;15.9238863
110;14.1900139
111;13.5405254
112;14.7350636
113;18.4231167
114;26.7677383
115;29.9107418
116;28.0667152
117;26.0023823
118;17.878067
119;9.32456875
120;6.02280664
121;5.93582726
122;5.93582726
123;5.93582726
124;6.28374481
125;8.41592789
126;21.4441414
127;29.596756
128;27.8877449
129;25.2783623
130;21.6369514
131;19.3002319
132;17.7322273
133;16.2958794
134;14.5257149
135;13.8580799
136;15.0616913
137;18.8041821
138;27.3211937
139;30.5277042
140;28.656456
141;26.5830536
142;18.2682056
143;9.48788261
144;5.74007988
145;5.65310049
146;5.65310049
147;5.65310049
148;6.00101805
149;8.08330822
150;20.6791153
151;28.598896
152;26.8233604
153;24.2139778
154;20.6889839
155;18.4686813
156;17.0004635
157;15.6140089
158;13.910367
159;13.2759953
160;14.4629745
161;18.1056805
162;26.3066978
163;29.3967972
164;27.5754433
165;25.5186691
166;17.553072
167;9.18852425
168;4.84748173
169;4.54625034
170;4.54625034
171;4.54625034
172;5.1084199
173;6.88190842
174;18.0869408
175;26.9224205
176;23.8781395
177;21.4830093
178;17.6072941
179;15.8932781
180;15.0426617
181;14.8220177
182;14.1728678
183;13.9586172
184;14.8284111
185;17.2107563
186;22.3847694
187;23.2545643
188;21.313509
189;19.1454163
190;13.98419
191;8.19299316
192;5.59479809
193;5.5078187
194;5.5078187
195;5.5078187
196;5.85573626
197;7.91238785
198;20.2859993
199;28.0861359
200;26.2764168
201;23.6670341
202;20.2018623
203;18.0413818
204;16.6244392
205;15.2636232
206;13.5941648
207;12.9768858
208;14.1553192
209;17.746748
210;25.7853966
211;28.81567
212;27.0199547
213;24.9717255
214;17.1855946
215;9.03469658
216;5.5036068
217;5.40374136
218;5.30387592
219;5.20401096
220;5.40374136
221;6.7685523
222;15.268075
223;21.3043098
224;25.953577
225;27.950882
226;24.9327621
227;20.9159927
228;17.6870422
229;15.8229046
230;14.1695995
231;13.5926094
232;14.879756
233;18.1087055
234;25.0880909
235;27.1075554
236;25.7427425
237;23.6566753
238;15.900569
239;6.6908884
240;5.8679657
241;5.7584362
242;5.53937674
243;5.42984724
244;5.53937674
245;6.76818752
246;15.4463482
247;21.290329
248;25.776516
249;29.0624046
250;27.5095348
251;23.2184219
252;19.2273865
253;17.2318668
254;15.4839239
255;14.3361282
256;15.7314968
257;19.1748848
258;26.5192375
259;28.6197548
260;26.6242352
261;24.6812191
262;16.6271915
263;8.13957214
264;5.65429783
265;5.56731844
266;5.56731844
267;5.56731844
268;5.915236
269;7.9823885
270;20.4469986
271;28.2961388
272;26.5004177
273;23.8910351
274;20.4013634
275;18.216383
276;16.7784405
277;15.4071226
278;13.7236652
279;13.0993853
280;14.2813187
281;17.8937473
282;25.9988937
283;29.053669
284;27.2474518
285;25.1957264
286;17.3360939
287;9.0976963
288;6.10617495
289;6.01919556
290;6.01919556
291;6.01919556
292;6.36711311
293;8.51400852
294;21.6697254
295;29.890995
296;28.201601
297;25.5922184
298;21.916481
299;19.545433
300;17.9480038
301;16.4969444
302;14.7071619
303;14.0297203
304;15.2382355
305;19.0101509
306;27.6203346
307;30.8611774
308;28.9752159
309;26.8969097
310;18.4790783
311;9.57615471
312;6.06835365
313;5.70898914
314;5.70898914
315;5.70898914
316;6.32929182
317;8.27717972
318;21.3424778
319;31.6312866
320;28.5870056
321;26.2500095
322;21.6766949
323;19.4976139
324;18.2981987
325;18.135685
326;17.4284039
327;17.1560192
328;18.0258141
329;20.5825577
330;26.5704384
331;27.4402313
332;25.2085114
333;22.9241524
334;16.716526
335;9.47199821
336;7.11191177
337;7.02493238
338;7.02493238
339;7.02493238
340;7.37284994
341;9.69722843
342;24.3911324
343;33.4406548
344;31.9879055
345;29.3785229
346;25.2886562
347;22.5034828
348;20.5510883
349;18.9225445
350;16.8961201
351;16.1003551
352;17.3680305
353;21.4949112
354;31.2291565
355;34.8841248
356;32.8206825
357;30.6832142
358;21.0229988
359;10.6410522
360;7.38170195
361;7.29472256
362;7.29472256
363;7.29472256
364;7.64264011
365;10.0146284
366;25.121151
367;34.3928566
368;33.0035858
369;30.3942032
370;26.1932468
371;23.2969818
372;21.2493668
373;19.5732155
374;17.4833107
375;16.6558056
376;17.9393501
377;22.1614532
378;32.1972275
379;35.9632874
380;33.8522339
381;31.6988945
382;21.70541
383;10.926712
384;8.29267788
385;8.19281292
386;8.09294701
387;7.99308205
388;8.19281292
389;10.0498123
390;22.8149738
391;31.1480885
392;36.4536057
393;38.4509125
394;34.2843552
395;29.1191444
396;24.9058151
397;22.5494881
398;20.2399311
399;19.3348141
400;20.7860241
401;24.9993515
402;35.095932
403;38.2638397
404;36.4068375
405;34.1567078
406;22.9552784
407;9.64402294
408;10.05476
409;9.94523048
410;9.72617149
411;9.61664104
412;9.72617149
413;11.6938276
414;26.775322
415;36.0672493
416;41.5385628
417;44.8244514
418;41.5476074
419;35.5325241
420;30.0637932
421;27.3294296
422;24.5963573
423;22.9559994
424;24.5976467
425;29.5187302
426;41.5424347
427;45.3669319
428;42.6325684
429;40.4432678
430;27.2173176
431;12.572648
432;9.16552925
433;9.07855034
434;9.07855034
435;9.07855034
436;9.4264679
437;12.1132488
438;29.947979
439;40.6887169
440;39.7191696
441;37.109787
442;32.1743164
443;28.5435333
444;25.8663311
445;23.8753872
446;21.365757
447;20.3283901
448;21.7168674
449;26.5685539
450;38.5980186
451;43.0985947
452;40.6727486
453;38.4144783
454;26.2174435
455;12.8154716
456;8.86661816
457;8.77963924
458;8.77963924
459;8.77963924
460;9.1275568
461;11.7615891
462;29.1391602
463;39.6337357
464;38.5938606
465;35.984478
466;31.172081
467;27.6643829
468;25.09268
469;23.1544819
470;20.7151871
471;19.712986
472;21.0838795
473;25.8300686
474;37.5254555
475;41.9029503
476;39.5298538
477;37.2891693
478;25.4613743
479;12.4989777
480;7.73011684
481;7.64313745
482;7.64313745
483;7.64313745
484;7.99105501
485;10.4245281
486;26.0639191
487;35.6225586
488;34.3152657
489;31.705883
490;27.3614616
491;24.3217316
492;22.1511459
493;20.4135094
494;18.2416267
495;17.3731308
496;18.6771717
497;23.0222416
498;33.447422
499;37.356945
500;35.1844101
501;33.0105743
502;22.5866947
503;11.2956228
504;8.58186817
505;8.49488926
506;8.49488926
507;8.49488926
508;8.84280682
509;11.426589
510;28.36866
511;38.6287384
512;37.5218582
513;34.9124756
514;30.2173309
515;26.8268833
516;24.3556786
517;22.4677315
518;20.095438
519;19.1267357
520;20.4808788
521;25.1265678
522;36.5037041
523;40.7639503
524;38.4411011
525;36.2171669
526;24.7411251
527;12.1974773
528;5.97843695
529;5.89145756
530;5.89145756
531;5.89145756
532;6.23937511
533;8.36372852
534;21.3240814
535;29.440155
536;27.720705
537;25.1113224
538;21.4881821
539;19.169733
540;17.6173878
541;16.1888695
542;14.4291449
543;13.7667303
544;14.9677315
545;18.694561
546;27.1619797
547;30.3502254
548;28.4868088
549;26.4160137
550;18.1559753
551;9.44090271
552;6.45479059
553;6.35492516
554;6.2550602
555;6.15519476
556;6.35492516
557;7.88759232
558;17.8418674
559;24.6614304
560;29.5345039
561;31.5318089
562;28.1220245
563;23.7135925
564;20.1489315
565;18.1169376
566;16.2398243
567;15.55093
568;16.8940277
569;20.4586887
570;28.5011616
571;30.9122906
572;29.3796234
573;27.2376022
574;18.3065071
575;7.69802475
576;4.95446062
577;4.64552641
578;4.42646742
579;4.31693745
580;4.62587166
581;5.55267525
582;12.809864
583;19.4379272
584;22.7238159
585;26.2091141
586;24.363903
587;20.5780716
588;17.1910496
589;16.2951584
590;15.5481052
591;14.801054
592;15.8963509
593;18.1375084
594;22.5721207
595;22.5721207
596;20.4798012
597;18.4380455
598;13.0962858
599;7.12539959
600;3.54997396
601;3.3105247
602;3.3105247
603;3.3105247
604;3.81091213
605;5.39905357
606;14.6270523
607;21.9179707
608;18.8736916
609;16.4167786
610;13.2824507
611;12.0626945
612;11.5827732
613;11.3003454
614;10.7129784
615;10.5605097
616;11.4303036
617;13.6273003
618;17.9363632
619;18.8061562
620;17.1740131
621;15.1294851
622;11.0803413
623;6.83370304
624;3.3965621
625;3.30958247
626;3.30958247
627;3.30958247
628;3.65750027
629;5.32622814
630;14.3378315
631;20.3276558
632;18.0007057
633;15.3913231
634;12.8313065
635;11.575983
636;10.9348869
637;9.96199512
638;8.80976963
639;8.45110512
640;9.50023079
641;12.3158121
642;17.8976059
643;20.0227242
644;18.614933
645;16.6960144
646;11.625351
647;6.70715284
648;3.92087603
649;3.8338964
650;3.8338964
651;3.8338964
652;4.18181419
653;5.9430685
654;15.7565632
655;22.1781769
656;19.9745941
657;17.3652115
658;14.5893002
659;13.118083
660;12.291935
661;11.2265167
662;9.95092297
663;9.53057575
664;10.6105433
665;13.6111755
666;19.7789688
667;22.1199799
668;20.6196632
669;18.6699028
670;12.9515562
671;7.26230907
672;4.06770992
673;3.80360818
