Index;Wert
0;5.57877445
1;2.72142339
2;2.70016646
3;2.71890712
4;2.75997448
5;3.22451043
6;5.46313953
7;5.55795336
8;5.38154221
9;5.81314993
10;6.67500067
11;6.25351715
12;5.66066885
13;4.85902786
14;5.18650436
15;4.98683167
16;5.1672821
17;5.8900857
18;7.29364204
19;6.04069138
20;7.26793051
21;6.13279533
22;7.93287706
23;6.36675882
24;4.44588995
25;2.68946028
26;2.6409533
27;2.6532855
28;2.7020905
29;3.19188523
30;5.56223202
31;5.58825064
32;5.63160515
33;5.3722558
34;5.26609039
35;5.45614195
36;6.82134199
37;4.7879324
38;5.30940485
39;6.5966053
40;5.38415289
41;5.64064598
42;5.63908148
43;5.96000957
44;5.82929087
45;5.71751642
46;6.4764905
47;4.52504206
48;4.06587124
49;2.71420074
50;2.59899974
51;2.49496555
52;2.39872527
53;2.76496792
54;5.1224556
55;5.131145
56;5.54856873
57;5.41282988
58;5.03131962
59;4.91623306
60;5.82028246
61;6.49268723
62;5.92460871
63;4.32760239
64;4.87305975
65;6.23367357
66;6.4947772
67;6.39136219
68;6.6952734
69;7.24556732
70;8.03551865
71;6.02052355
72;2.87772012
73;2.67839837
74;2.66025996
75;2.64851069
76;2.62950134
77;3.02271056
78;5.02221107
79;5.32337618
80;5.87120962
81;5.58435249
82;5.29415417
83;4.40918446
84;5.27774668
85;5.05571985
86;4.95706558
87;4.9100318
88;5.3243947
89;5.36171055
90;6.13047409
91;6.47764826
92;6.50953531
93;5.85254002
94;7.32556915
95;4.30398226
96;2.84076214
97;2.83865118
98;2.84170699
99;2.82697988
100;2.86466551
101;3.34933639
102;5.31170702
103;5.70893717
104;5.98532772
105;6.75180054
106;5.24709129
107;5.06439877
108;5.37462187
109;5.10540771
110;5.26831102
111;5.29488039
112;5.23261595
113;5.45919704
114;6.82930136
115;6.71789837
116;6.15617275
117;5.76490307
118;6.22750616
119;4.88242722
120;3.50040603
121;2.83998823
122;2.86517453
123;2.85775757
124;2.90766025
125;3.3659184
126;5.27656746
127;6.12481308
128;6.18240261
129;5.59140301
130;5.16903925
131;4.83256102
132;5.08385038
133;5.36595917
134;5.26383305
135;5.37213182
136;5.36340284
137;5.72282505
138;7.41756058
139;6.24153328
140;5.68567562
141;5.60193634
142;5.93021584
143;5.88167667
144;3.81622505
145;3.06200981
146;2.81085753
147;2.78173327
148;2.82879996
149;3.28373384
150;5.21885633
151;5.58440113
152;5.4651947
153;5.64539433
154;5.41551924
155;4.73234844
156;5.38862419
157;6.00133085
158;7.58312988
159;6.29417515
160;7.28071594
161;6.13799763
162;5.72471094
163;6.17329645
164;7.33322382
165;5.85051298
166;8.37248707
167;4.88475418
168;2.82667851
169;2.21626353
170;2.16510248
171;2.18081141
172;2.30661321
173;2.62895393
174;5.4689064
175;5.55995321
176;5.38774204
177;5.83893394
