Index;Wert
0;5.57877445
1;5.57877445
2;5.57877445
3;5.57877445
4;2.72142339
5;2.72142339
6;2.72142339
7;2.72142339
8;2.70016646
9;2.70016646
10;2.70016646
11;2.70016646
12;2.71890712
13;2.71890712
14;2.71890712
15;2.71890712
16;2.75997448
17;2.75997448
18;2.75997448
19;2.75997448
20;3.22451043
21;3.22451043
22;3.22451043
23;3.22451043
24;5.46313953
25;5.46313953
26;5.46313953
27;5.46313953
28;5.55795336
29;5.55795336
30;5.55795336
31;5.55795336
32;5.38154221
33;5.38154221
34;5.38154221
35;5.38154221
36;5.81314993
37;5.81314993
38;5.81314993
39;5.81314993
40;6.67500067
41;6.67500067
42;6.67500067
43;6.67500067
44;6.25351715
45;6.25351715
46;6.25351715
47;6.25351715
48;5.66066885
49;5.66066885
50;5.66066885
51;5.66066885
52;4.85902786
53;4.85902786
54;4.85902786
55;4.85902786
56;5.18650436
57;5.18650436
58;5.18650436
59;5.18650436
60;4.98683167
61;4.98683167
62;4.98683167
63;4.98683167
64;5.1672821
65;5.1672821
66;5.1672821
67;5.1672821
68;5.8900857
69;5.8900857
70;5.8900857
71;5.8900857
72;7.29364204
73;7.29364204
74;7.29364204
75;7.29364204
76;6.04069138
77;6.04069138
78;6.04069138
79;6.04069138
80;7.26793051
81;7.26793051
82;7.26793051
83;7.26793051
84;6.13279533
85;6.13279533
86;6.13279533
87;6.13279533
88;7.93287706
89;7.93287706
90;7.93287706
91;7.93287706
92;6.36675882
93;6.36675882
94;6.36675882
95;6.36675882
96;4.44588995
97;4.44588995
98;4.44588995
99;4.44588995
100;2.68946028
101;2.68946028
102;2.68946028
103;2.68946028
104;2.6409533
105;2.6409533
106;2.6409533
107;2.6409533
108;2.6532855
109;2.6532855
110;2.6532855
111;2.6532855
112;2.7020905
113;2.7020905
114;2.7020905
115;2.7020905
116;3.19188523
117;3.19188523
118;3.19188523
119;3.19188523
120;5.56223202
121;5.56223202
122;5.56223202
123;5.56223202
124;5.58825064
125;5.58825064
126;5.58825064
127;5.58825064
128;5.63160515
129;5.63160515
130;5.63160515
131;5.63160515
132;5.3722558
133;5.3722558
134;5.3722558
135;5.3722558
136;5.26609039
137;5.26609039
138;5.26609039
139;5.26609039
140;5.45614195
141;5.45614195
142;5.45614195
143;5.45614195
144;6.82134199
145;6.82134199
146;6.82134199
147;6.82134199
148;4.7879324
149;4.7879324
150;4.7879324
151;4.7879324
152;5.30940485
153;5.30940485
154;5.30940485
155;5.30940485
156;6.5966053
157;6.5966053
158;6.5966053
159;6.5966053
160;5.38415289
161;5.38415289
162;5.38415289
163;5.38415289
164;5.64064598
165;5.64064598
166;5.64064598
167;5.64064598
168;5.63908148
169;5.63908148
170;5.63908148
171;5.63908148
172;5.96000957
173;5.96000957
174;5.96000957
175;5.96000957
176;5.82929087
177;5.82929087
178;5.82929087
179;5.82929087
180;5.71751642
181;5.71751642
182;5.71751642
183;5.71751642
184;6.4764905
185;6.4764905
186;6.4764905
187;6.4764905
188;4.52504206
189;4.52504206
190;4.52504206
191;4.52504206
192;4.06587124
193;4.06587124
194;4.06587124
195;4.06587124
196;2.71420074
197;2.71420074
198;2.71420074
199;2.71420074
200;2.59899974
201;2.59899974
202;2.59899974
203;2.59899974
204;2.49496555
205;2.49496555
206;2.49496555
207;2.49496555
208;2.39872527
209;2.39872527
210;2.39872527
211;2.39872527
212;2.76496792
213;2.76496792
214;2.76496792
215;2.76496792
216;5.1224556
217;5.1224556
218;5.1224556
219;5.1224556
220;5.131145
221;5.131145
222;5.131145
223;5.131145
224;5.54856873
225;5.54856873
226;5.54856873
227;5.54856873
228;5.41282988
229;5.41282988
230;5.41282988
231;5.41282988
232;5.03131962
233;5.03131962
234;5.03131962
235;5.03131962
